,url,price,title,distance,description,location,time_offset,retreived
1528473072,/v-lawnmower-leaf-blower/city-of-toronto/selling-scotts-20-inch-push-mower/1528473072,80.0,*Selling scotts 20 inch push mower*,,Great condition sharp asking 80 text 6476675334,City of Toronto,< 31 minutes ago,2020-10-07 17:12:10.130983
1528469563,/v-lawnmower-leaf-blower/city-of-toronto/toro-recycler-22-smartstow-lawn-mower/1528469563,320.0,"Toro recycler 22"" smartstow lawn mower",,This is the toro mow n' stow mower that can be stored vertically. Saves a lot of space in the garage. Only selling as we have hired a contractor to take care of our lawn. Unit is only 2 years old and ...,City of Toronto,< 51 minutes ago,2020-10-07 17:12:10.131529
1528467025,/v-lawnmower-leaf-blower/city-of-toronto/murray-22-4-5-lawnmower-great-shape-new-carb-clean/1528467025,80.0,Murray 22” 4.5 lawnmower great shape new carb clean,,Selling a Murray 4.5 lawnmower it has recently been tuned up and ready to go Text me 416 2205756,City of Toronto,< 2 hours ago,2020-10-07 17:12:10.132076
1528461159,/v-lawnmower-leaf-blower/city-of-toronto/ryobi-trimmerplus-universal-cultivator-string-trimmer-attachment/1528461159,40.0,RYOBI TrimmerPlus Universal Cultivator String Trimmer Attachment,,Comes with a FREE FIXABLE Ryobi 875R GRASS TRIMMER!!!!!!!!!! Use this Ryoi Trimmer Plus GC720R attachment to convert a grass string trimmer into a tiller. The attachment features steel tines and a ...,City of Toronto,< 2 hours ago,2020-10-07 17:12:10.132674
1528457324,/v-lawnmower-leaf-blower/city-of-toronto/earthwise-electric-chainsaw-16/1528457324,120.0,Earthwise Electric Chainsaw 16”,,"I’m selling my electric chainsaw, it works great and you don’t have to worry about any gas. I got it last year so still fairly new and in great condition, also comes with a case for the blade as ...",City of Toronto,< 2 hours ago,2020-10-07 17:12:10.133252
1528456693,/v-lawnmower-leaf-blower/city-of-toronto/gas-weed-eater-25-sold-as-is-not-working/1528456693,25.0,"GAS weed eater, $25, sold as is, not working",,"GAS weed eater, $25, sold as is, not working",City of Toronto,< 2 hours ago,2020-10-07 17:12:10.133750
1528452525,/v-lawnmower-leaf-blower/city-of-toronto/dolmar-leaf-blower/1528452525,350.0,Dolmar Leaf Blower,,"Selling A Dolmar PB 500R Leaf blower. Machine is in great condition. Has not been used by a maintenance company,only to do my personal property! Asking $350 obo",City of Toronto,< 3 hours ago,2020-10-07 17:12:10.134240
1528439792,/v-lawnmower-leaf-blower/city-of-toronto/toro-super-recycler-21-personal-pace-lawnmower-used/1528439792,50.0,Toro Super Recycler (21”) Personal Pace Lawnmower - Used,,Toro Super Recycler Quick Stow (21”) Personal Pace Self-Propelled Lawn Mower - used Does not start. Has not been used in a few years. Needs a tune up. Carburetor probably just needs to be cleaned. ...,City of Toronto,< 4 hours ago,2020-10-07 17:12:10.134728
1528433561,/v-lawnmower-leaf-blower/city-of-toronto/toro-3-in-1-leaf-blower/1528433561,100.0,Toro 3 in 1  leaf blower,,Toro 3 in 1 leaf blower gently used,City of Toronto,< 4 hours ago,2020-10-07 17:12:10.135250
1528429231,/v-lawnmower-leaf-blower/city-of-toronto/electric-lawn-mower/1528429231,45.0,Electric lawn mower,,In great shape 18”,City of Toronto,< 5 hours ago,2020-10-07 17:12:10.135769
1517539351,/v-lawnmower-leaf-blower/city-of-toronto/black-decker-electric-lawnmower/1517539351,80.0,Black & Decker Electric Lawnmower,,I am selling my electric lawnmower. It is an extremely well built machine made by Black & Decker. Requires an extension cord which is not included. I have owned it for few years but never used more ...,City of Toronto,< 5 hours ago,2020-10-07 17:12:10.136274
1528423580,/v-lawnmower-leaf-blower/city-of-toronto/green-works-weed-trimmer/1528423580,25.0,Green Works Weed Trimmer,,Greenworks 5.5 amp weed trimmer. Great working condition. Moving-Must Sell,City of Toronto,< 5 hours ago,2020-10-07 17:12:10.136784
1528420106,/v-lawnmower-leaf-blower/city-of-toronto/leaf-blower/1528420106,20.0,Leaf Blower,,Blower good working condition. Moving-Must Sell,City of Toronto,< 5 hours ago,2020-10-07 17:12:10.137275
1528418997,/v-lawnmower-leaf-blower/city-of-toronto/lawnmower/1528418997,40.0,Lawnmower,,Hardly used lawnmower.,City of Toronto,< 5 hours ago,2020-10-07 17:12:10.137763
