,url,price,title,distance,description,location,time_offset,retreived
1528196867,/v-magazines/city-of-toronto/architectural-digest-free/1528196867,0.0,Architectural Digest - Free,,"Architectural Digest - December 1998 to January 2004 (most issues) Plus other architectural/decorating magazines (I'm cleaning out my house, so more may become available over the coming weeks.) No ...",City of Toronto,< 3 hours ago,2020-10-06 11:08:54.055353
1515603883,/v-magazines/city-of-toronto/the-oprah-o-magazine-73-issues-mint-condition/1515603883,35.0,The Oprah 'O' Magazine - 73 Issues (MINT CONDITION),,"Are you an Oprah Winfrey fan? If yes, then I've got quite an amazing collection of 73 Magazines that she established through The Oprah 'O' Magazine. Take note that all 73 magazines are in EXQUISITE ...",City of Toronto,< 14 hours ago,2020-10-06 11:08:54.055849
1497207254,/v-magazines/city-of-toronto/best-offer-1963-to-1983-reader-s-digests-back-issues/1497207254,80.0,Best Offer 1963 to 1983 Reader’s Digests Back Issues,,Assorted 1963 to 1983 Reader’s Digests Back Issues Bulk lot of original Reader’s Digest Magazines * near-original condition * a variety of issues from 1963 to 1983 * unable to pull out / identify ...,City of Toronto,< 15 hours ago,2020-10-06 11:08:54.056340
1517382882,/v-magazines/city-of-toronto/wired-november-1998/1517382882,25.0,Wired - November 1998,,This magazine is in good condition. For more information and alphabetized listings please check out the ad on my website: https://www.plenty.forsale/Magazines/Magazines-W/Wired_-_Nov_1998.html,City of Toronto,< 17 hours ago,2020-10-06 11:08:54.056826
1528077337,/v-magazines/city-of-toronto/2019-2020-national-geographic-magazines/1528077337,5.0,2019/2020 National Geographic Magazines!,,"Selling 12 editions of National Geographic Magazines, ranging from Jan 2019 to present! Located at the address shown.",City of Toronto,< 21 hours ago,2020-10-06 11:08:54.057311
1249717159,/v-magazines/city-of-toronto/shonen-jump-magazine-fall-2016/1249717159,4.0,Shonen Jump Magazine Fall 2016,,(This is the magazine only) Brand new books. Greatly discounted prices and no tax. More titles available. Follow us on Instagram account instabooks777 for the latest books!,City of Toronto,< 24 hours ago,2020-10-06 11:08:54.057798
1324055629,/v-magazines/city-of-toronto/50-magazines-car-driver-porsche-ferrari-lamborghini/1324055629,60.0,50+ magazines. car & driver. Porsche Ferrari Lamborghini,,I am selling a box full of car magazines Price is firm. (( IF YOU SEE MY AD IT MEANS IT IS STILL FOR SALE )) Low ballers will not be replied Thanks for looking,City of Toronto,< 24 hours ago,2020-10-06 11:08:54.058287
1494580731,/v-magazines/city-of-toronto/slam-magazine-raptors-magazine-2020-edition/1494580731,25.0,Slam Magazine - Raptors Magazine - 2020 Edition -,,Brand New Slam Magazine featuring current NBA Champs - The Raptors,City of Toronto,Yesterday,2020-10-06 11:08:54.058784
1402470010,/v-magazines/city-of-toronto/elle-magazine-june-1987-cecilia-chancellor-july-1988-hunter-reno/1402470010,25.0,Elle Magazine-June 1987 Cecilia Chancellor July 1988 Hunter Reno,,$25 each. These are two vintage Elle magazines from the 1980's. Each magazine is in very good condition and comes from a smoke free home. 1. July 1988. Cover model is Hunter Reno. Features an article ...,City of Toronto,04/10/2020,2020-10-06 11:08:54.059274
1402438673,/v-magazines/city-of-toronto/four-issues-the-english-home-magazine-from-london-england/1402438673,30.0,Four Issues - The English Home Magazine from London England,,"$30 for 4 issues. These are four issues of the The English Home, a beautiful and elegant homes and home interior magazine from London England. Each issue features gorgeous English homes from palaces ...",City of Toronto,04/10/2020,2020-10-06 11:08:54.059763
1474143004,/v-magazines/city-of-toronto/rolling-stone-magazine-madonna/1474143004,10.0,Rolling Stone Magazine Madonna,,Rolling Stone Magazine Lot: $10 Each April 25th 1985 Issue 446 Richard Gere March 27th 1986 Issue 470 Bruce Willis April 10th 1986 Issue 471 Stevie Wonder April 24th 1986 Issue 472 Wendy and Lisa ...,City of Toronto,04/10/2020,2020-10-06 11:08:54.060411
1482638897,/v-magazines/city-of-toronto/children-s-digest-magazine-1960/1482638897,5.0,Children’s Digest Magazine 1960,,Children's Digest Magazine 1960 For more info please call or text at 647 938 1940 Thanks,City of Toronto,04/10/2020,2020-10-06 11:08:54.061028
1482635900,/v-magazines/city-of-toronto/children-s-digest-hawaii-50th-star-in-our-flag-magazine-1959/1482635900,5.0,Children’s Digest Hawaii 50th Star in our flag Magazine 1959,,Children’s Digest Hawaii 50th Star in our flag Magazine 1959 For more info please call or text at 647 938 1940 Thanks,City of Toronto,04/10/2020,2020-10-06 11:08:54.061542
1505557308,/v-magazines/city-of-toronto/boat-builder-magazine-spring-and-summer-1969-sailboat-hydroplan/1505557308,40.0,Boat  Builder Magazine Spring and Summer 1969 Sailboat Hydroplan,,Boat Builder Magazine Spring and Summer 1969 19 foot racing Sailboat 75 mph Inboard racer Sizzling 8 foot sports Hydroplane,City of Toronto,04/10/2020,2020-10-06 11:08:54.062044
1497019590,/v-magazines/city-of-toronto/toronto-raptors-magazine/1497019590,20.0,Toronto Raptors magazine,,"2004-2005 issue 1 and 3 2002-2003 issue 2 $20 each, specify which issue you want",City of Toronto,04/10/2020,2020-10-06 11:08:54.062543
1497012145,/v-magazines/city-of-toronto/toronto-raptors-magazines/1497012145,20.0,Toronto Raptors magazines,,2016-2017 season issue 4 and 6 2015-2016 season issue 1 Season launch edition 2015-2016 season issue 2 All Star game edition All in excellent condition $20 each please specify which issue you want,City of Toronto,04/10/2020,2020-10-06 11:08:54.063060
1527921268,/v-magazines/city-of-toronto/vintage-car-science-magazines-from-the-early-years/1527921268,60.0,Vintage Car & Science magazines from the early years,,"Car & Science magazines from the early pre electronic years, approx. 50 mags. From the 1930's, 1940's, 1950' & 1970's.....Magazines are in various conditions...Bonus THE POPULAR MAGAZINE.. from ...",City of Toronto,04/10/2020,2020-10-06 11:08:54.063557
1527904196,/v-magazines/city-of-toronto/metal-magazine-holder/1527904196,10.0,Metal Magazine Holder,,Knotted. Very Sturdy. Has an Antiquey Look It sits open at about 12 inches across Hoping to find this a good home Pickup required near me Will maintain physical distancing and wear a mask.,City of Toronto,04/10/2020,2020-10-06 11:08:54.064057
1527892760,/v-magazines/city-of-toronto/hard-copy-motorcycle-magazines/1527892760,5.0,Hard Copy Motorcycle Magazines,,Hard Copy motorcycle magazines. These are in good to very good condition and the price is negotiable on multiples. Many hard to find and extremely rare magazines. Hey if the power goes out and your ...,City of Toronto,04/10/2020,2020-10-06 11:08:54.064554
1527863310,/v-magazines/city-of-toronto/time-magazine-raquel-welch-vietnam-war-1960s/1527863310,7.0,"TIME Magazine - Raquel Welch, Vietnam War, 1960's",,"I am offering a copy of TIME Magazine, dated November 28 1969. Main feature: RAQUEL WELCH. Also has significant story about Mai Lai Massacre. Issue is in solid VF shape. If it's still listed, it's ...",City of Toronto,04/10/2020,2020-10-06 11:08:54.065049
1496960446,/v-magazines/city-of-toronto/toronto-maple-leafs-game-day-magazines-various-years/1496960446,20.0,Toronto Maple Leafs game day magazines various years,,"All magazines are in excellent condition, no rips or markings inside. $20 each 2006-2007 Issue 3 Leafs vs Islanders 2014-2015 Issue 3 Leafs vs Islanders SOLD 2003-2004 Issue 2 Leafs vs Predators ...",City of Toronto,04/10/2020,2020-10-06 11:08:54.065539
1496955603,/v-magazines/city-of-toronto/toronto-maple-leafs-magazine-2015-16-season-holiday-issue-2/1496955603,20.0,Toronto Maple LEAFS magazine 2015-16 Season HOLIDAY ISSUE #2,,"Excellent condition, no rips or markings inside 2 available",City of Toronto,04/10/2020,2020-10-06 11:08:54.066033
1497001914,/v-magazines/city-of-toronto/nhl-2000-all-star-game-magazine/1497001914,30.0,NHL 2000 All Star game magazine,,NHL 50th All Star game magazine. Held in Toronto. Excellent condition. Hockey cards and CD Rom inserts still intact. Limited edition #25195,City of Toronto,04/10/2020,2020-10-06 11:08:54.066528
