,url,price,title,distance,description,location,time_offset,retreived
1527325953,/v-mens-shoes/city-of-toronto/air-jordan-1-low-royal-toe-size-11-5-240/1527325953,240.0,Air Jordan 1 Low Royal Toe Size 11.5 $240,,"Air Jordan 1 Low Royal Toe Size 11.5 $240 Condition: 10/10 Check out my other adds. ***view poster's other adds*** Msg me if you're interested. Tags: jordan, nike, 1,2,3,4,5,6,7,8,9,10,11,12,13, ...",City of Toronto,< 3 minutes ago,2020-10-01 18:06:42.615910
1527325805,/v-mens-shoes/city-of-toronto/adidas-men-size-8-slide-slipper-brand-new/1527325805,25.0,Adidas men size 8 slide / Slipper- brand new,,Brand new Black color Price is firm Thank you,City of Toronto,< 3 minutes ago,2020-10-01 18:06:42.616397
1527325279,/v-mens-shoes/city-of-toronto/stussy-x-nike-benassi-slides-size-12-100/1527325279,100.0,Stussy X Nike Benassi Slides Size 12 $100,,"Stussy X Nike Benassi Slides Size 12 $100 Condition: 10/10 Check out my other adds. ***view poster's other adds*** Msg me if you're interested. Tags: jordan, nike, 1,2,3,4,5,6,7,8,9,10,11,12,13, ...",City of Toronto,< 7 minutes ago,2020-10-01 18:06:42.616881
1527325060,/v-mens-shoes/city-of-toronto/alden-tassel-loafers-men-s-size-11-in-burgundy-oxblood/1527325060,100.0,Alden Tassel Loafers Men’s Size 11 in Burgundy Oxblood,,Excellent shape Alden tassel loafers size 11 a/c Alden storage shoe bags included.,City of Toronto,< 8 minutes ago,2020-10-01 18:06:42.617362
1527324317,/v-mens-shoes/city-of-toronto/size-12-timberland-squall-canyon-chukkas/1527324317,45.0,Size 12 Timberland Squall Canyon Chukkas,,"Bought online, don't fit. Very lightly worn, mint condition. Retails for $150.",City of Toronto,< 13 minutes ago,2020-10-01 18:06:42.618032
1527324013,/v-mens-shoes/city-of-toronto/wtaps-vans-era-bones-black-size-11-5/1527324013,180.0,WTAPS VANS ERA bones black size 11.5,,DS 180 cad dt pickup.,City of Toronto,< 15 minutes ago,2020-10-01 18:06:42.618545
1527323737,/v-mens-shoes/city-of-toronto/nike-dunk-disrupt-low-game-royal-size-7w/1527323737,250.0,Nike dunk disrupt low game royal size 7W,,Deadstock. Receipt available. This is men's size 5.5 Meet downtown or North York. No trades. Check out @BannerRoom on IG to see other sneakers in stock Tags: Yeezy 350 500 700 air force max 1 97 off ...,City of Toronto,< 17 minutes ago,2020-10-01 18:06:42.619029
1527322986,/v-mens-shoes/city-of-toronto/rare-adidas-nmd-jd-sport-size-11-5-160/1527322986,160.0,RARE Adidas NMD JD Sport Size 11.5 $160,,"RARE Adidas NMD JD Sport Size 11.5 $160 Condition: 10/10 Check out my other adds. ***view poster's other adds*** Msg me if you're interested. Tags: jordan, nike, 1,2,3,4,5,6,7,8,9,10,11,12,13, ronnie ...",City of Toronto,< 21 minutes ago,2020-10-01 18:06:42.619522
1527321855,/v-mens-shoes/city-of-toronto/heat-sneaker-jordan-collection-for-sale-check-description/1527321855,100.0,HEAT Sneaker / Jordan Collection for SALE *CHECK DESCRIPTION,,- Follow IG: @leoshoevinci - Located in Hamilton but can deliver in GTA - Negotiable - Refs on IG Jordan 1 “Bred / Banned” • Size 10 • Deadstock (unworn) • OG ALL (receipt included) • $1200 Status: ...,City of Toronto,< 28 minutes ago,2020-10-01 18:06:42.620276
1527321561,/v-mens-shoes/city-of-toronto/bnib-dakota-safety-shoes-size-10/1527321561,50.0,BNIB Dakota safety shoes size 10,,Never used never tried. Pick up Scarborough,City of Toronto,< 30 minutes ago,2020-10-01 18:06:42.620764
1527321449,/v-mens-shoes/city-of-toronto/adidas-superstar-2g-basketball-shoes/1527321449,425.0,Adidas Superstar 2G Basketball Shoes,,"Adidas Superstar 2G Basketball Shoes SIZE 10 US Brand new with box. Never used. No rips or cuts. Also, no yellowing or fading.",City of Toronto,< 31 minutes ago,2020-10-01 18:06:42.621252
1527040320,/v-mens-shoes/city-of-toronto/jjjjound-reebok-size-11/1527040320,400.0,JJJJound Reebok size 11,,Ds with receipt. No trades or shipping. Pick up only located downtown Toronto. If the ad is up then it’s still available. $400 Not responding to low ballers,City of Toronto,< 31 minutes ago,2020-10-01 18:06:42.621795
1527321367,/v-mens-shoes/city-of-toronto/blue-jordan-retro-royals/1527321367,150.0,Blue Jordan Retro Royals,,"Selling a pair of blue Jordan Retro Royals, size 9.5 in very good condition. Price negotiable. Message back if interested.",City of Toronto,< 31 minutes ago,2020-10-01 18:06:42.622384
1527320279,/v-mens-shoes/city-of-toronto/adidas-yeezy-boost-350-v2-carbon/1527320279,310.0,Adidas Yeezy Boost 350 V2 Carbon,,310CAD US7 size,City of Toronto,< 38 minutes ago,2020-10-01 18:06:42.623291
1527320088,/v-mens-shoes/city-of-toronto/adidas-yeezy-boost-350-v2-carbon/1527320088,310.0,Adidas Yeezy Boost 350 V2 Carbon,,US7.5 310CAD,City of Toronto,< 39 minutes ago,2020-10-01 18:06:42.623778
1527319440,/v-mens-shoes/city-of-toronto/men-s-dr-martin-s-boots-cherry-red:-us-10/1527319440,45.0,Men’s Dr Martin’s Boots - Cherry Red: US 10,,Men’s Dr Martin’s Boots Cherry Red: US 10 Check out these hip kicks… Cherry Docs! Good condition. Years and years of wear left in them. I may have the Cherry colour and boot wax around here ...,City of Toronto,< 43 minutes ago,2020-10-01 18:06:42.624299
1527319300,/v-mens-shoes/city-of-toronto/ds-jordan-7-tinker-size-8-5/1527319300,400.0,DS Jordan 7 Tinker Size 8.5,,"Jordan 7 Tinker Alternate Size 8.5 deadstock. $400. Less then Stock X!! Cash only. No trades. Meet STC or Fairview area Jordan 1,2,3,4,5,6,7,8,9,10,11,yeezy, Supreme, bape",City of Toronto,< 44 minutes ago,2020-10-01 18:06:42.624794
