,url,price,title,distance,description,location,time_offset,retreived
1528234298,/v-mice-keyboards-webcam/city-of-toronto/logitech-g-pro-wireless-gaming-mouse/1528234298,150.0,Logitech G PRO Wireless Gaming Mouse,,"The GPW is in like new condition, lightly used for about a week before switching back to my Ultralight 2. The mouse comes with all the original packaging, along with some hyperglides that I replaced ...",City of Toronto,< 27 minutes ago,2020-10-06 12:37:34.147440
1528231970,/v-mice-keyboards-webcam/city-of-toronto/cm-gaming-keyboard/1528231970,55.0,CM Gaming Keyboard,,Great condition Pick up as is CM Storm Quick Fire Rapid,City of Toronto,< 39 minutes ago,2020-10-06 12:37:34.147946
1528226575,/v-mice-keyboards-webcam/city-of-toronto/zeal-transparent-gold-plated-stabilizer/1528226575,40.0,ZEAL TRANSPARENT GOLD PLATED STABILIZER,,Brand New and Pre Lubed from Apex Keyboard. Size: 4x 2u 1x 6.25,City of Toronto,< 2 hours ago,2020-10-06 12:37:34.148447
1528225026,/v-mice-keyboards-webcam/city-of-toronto/pc-monitor-keyboard-and-mouse-keyboard-mouse-brand-new/1528225026,75.0,"PC monitor, Keyboard and Mouse *KEYBOARD/MOUSE BRAND NEW*",,"Hi, I am selling a Insignia 16 inch monitor, keyboard and mouse. All items are in perfect working order, keyboard and mouse have both never been used. Both keyboard and mouse are for gaming with RGB ...",City of Toronto,< 2 hours ago,2020-10-06 12:37:34.149021
1528224415,/v-mice-keyboards-webcam/city-of-toronto/aluratek-hd-1080p-video-webcam-new-open-box/1528224415,60.0,Aluratek HD 1080P Video Webcam - New Open Box,,"New, open box Aluratek HD 1080P webcam for PC, MAC, Desktop & Laptop, Video Call, Conference, USB Specifications: Connectivity - USB, cable length: 8 in.(20 cm) Max Video Resolution - 1920x1080 ...",City of Toronto,< 2 hours ago,2020-10-06 12:37:34.149883
1528221782,/v-mice-keyboards-webcam/city-of-toronto/gaming-keyboard-mechanical-rgb/1528221782,40.0,Gaming keyboard mechanical RGB,,"Mechanical gaming keyboard RGB customizable lights Excellent condition, barely used. $40 obo",City of Toronto,< 2 hours ago,2020-10-06 12:37:34.150610
1528219049,/v-mice-keyboards-webcam/city-of-toronto/new-adesso-wireless-ergonomic-keyboard-laser-mouse-combo/1528219049,49.0,New Adesso Wireless Ergonomic Keyboard Laser mouse combo,,"New Adesso Tru-Form Media 1500, Wireless Ergonomic Keyboard and Laser Mouse Bestbuy retails $85 plus tax: ...",City of Toronto,< 2 hours ago,2020-10-06 12:37:34.151129
1516820584,/v-mice-keyboards-webcam/city-of-toronto/asus-keyboard-brand-new/1516820584,30.0,Asus Keyboard Brand New,,Asus Keyboard Brand New Pick up Yonge and Bloor Cash only,City of Toronto,< 2 hours ago,2020-10-06 12:37:34.151627
1528188462,/v-mice-keyboards-webcam/city-of-toronto/new-logitech-c920x-webcam-1080p-web-camera-stream-full-hd-c920/1528188462,140.0,⭐NEW  Logitech C920x Webcam 1080P web Camera Stream Full HD C920,,"Brand new in a sealed box. The best webcam on the market. Connect with everyone in Full HD 1080p on Skype. Record vibrant, true-to-life HD 1080p video clips that capture the smallest details. Full HD ...",City of Toronto,< 5 hours ago,2020-10-06 12:37:34.152124
1528188140,/v-mice-keyboards-webcam/city-of-toronto/logitech-c920-webcam-1080p-web-camera-stream-full-hd-c920s/1528188140,130.0,⭐ Logitech C920 Webcam 1080P web Camera Stream Full HD C920s  ⭐,,"The best webcam on the market. Bought 2 weeks ago, and used once for an online exam. The protective fild is still on the webcam. No box Connect with everyone in Full HD 1080p on Skype Record vibrant, ...",City of Toronto,< 5 hours ago,2020-10-06 12:37:34.152641
1528187882,/v-mice-keyboards-webcam/city-of-toronto/new-logitech-c930e-webcam-1080p-stream-full-hd-c930-web-cam/1528187882,180.0,⭐⭐NEW Logitech C930e Webcam 1080P Stream Full HD C930 web cam ⭐,,"Brand New sealed C930e Logitech webcam. Newest webcam from Logitech, better than C920 and C922. The best webcam on the market. Carl Zeiss ultra wide angle lens that can cover the whole room. Has a ...",City of Toronto,< 5 hours ago,2020-10-06 12:37:34.153250
