,url,price,title,distance,description,location,time_offset,retreived
1528284498,/v-microwave-cooker/city-of-toronto/george-foreman-5-serving-classic-plate-grill/1528284498,20.0,George Foreman 5-Serving Classic Plate Grill,,"it’s the kitchen appliance that changed the grilling game forever. The George Foreman 5-Serving Basic Plate Grill and Panini delivers fast grilling and delicious results for steak, burgers, ...",City of Toronto,< 46 minutes ago,2020-10-06 17:12:33.125414
1528269710,/v-microwave-cooker/city-of-toronto/slow-cooker-hamilton-beach-moving-sale/1528269710,20.0,Slow cooker - Hamilton Beach - moving sale,,Hamilton Beach Slow Cooker for sale Gently used - works well - in good condition Please make an offer - can meet in downtown Toronto.,City of Toronto,< 3 hours ago,2020-10-06 17:12:33.125910
1528264430,/v-microwave-cooker/city-of-toronto/general-electric-microwave-in-good-condition/1528264430,50.0,General Electric Microwave in good condition,,General Electric Microwave in good condition. My sister doesn't use microwaves anymore so it ended up in my hands.,City of Toronto,< 3 hours ago,2020-10-06 17:12:33.126400
1528263598,/v-microwave-cooker/city-of-toronto/microwave/1528263598,20.0,Microwave,,RCA Microwave Used for 2 years Will deliver,City of Toronto,< 3 hours ago,2020-10-06 17:12:33.126902
1528241214,/v-microwave-cooker/city-of-toronto/instant-pot-mini-duo-3qt/1528241214,50.0,Instant Pot mini duo 3Qt,,Well loved instant pot. May need a new inner pot but still in good condition. Selling due to upgrading to a bigger instant pot! $50 obo Pick up Mccowan & Kingston Can drop for an extra fee,City of Toronto,< 5 hours ago,2020-10-06 17:12:33.127396
1528238960,/v-microwave-cooker/city-of-toronto/microwave-oven/1528238960,160.0,Microwave Oven,,***The item is received directly from Panasonic as an extra and unused. Only top of the carton was opened and resealed to return. Item is brand new and is under warranty. The price is offered with ...,City of Toronto,< 5 hours ago,2020-10-06 17:12:33.127887
1528236759,/v-microwave-cooker/city-of-toronto/microwave-1-7cu-ge-cafe-cvm517-over-the-range-inbox-599-no-tax/1528236759,599.99,"Microwave, 1.7cu-GE Cafe CVM517 Over the Range INBOX-$599-NO TAX",,"Microwave, 1.7 cu. ft.---- GE Cafe CVM517P3MD1 -------Over the Range , 300 CFM, Convection, 1000W Watts, Stainless Steel Interior, LED, 30 inch Exterior Width, Matte Black colour IN BOX WITH WARRANTY ...",City of Toronto,< 5 hours ago,2020-10-06 17:12:33.128378
1528235978,/v-microwave-cooker/city-of-toronto/microwave-oven-rca-panasonic-sharp-hamilton-beach/1528235978,49.99,"MICROWAVE OVEN RCA,PANASONIC, SHARP, HAMILTON BEACH",,"CERTIFIED REFURBISHED MICROWAVE OVENS PANASONIC, RCA, SHARP, MICROWAVE OVEN IN 0.7CU.FT, 1. 1 CU.FT ,1.2Cu FT, 1.3, FT STARTING FROM ONLY $49.99. MICROWAVE OVENS AVAILABLE IN BLACK, WHITE, AND ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                We Deal with Android TV Boxes, Google TV Boxes, TV Wall Mounts, HD TV Antennas, Satellite Dishes, Computers, Laptops and Accessories",City of Toronto,< 5 hours ago,2020-10-06 17:12:33.128923
1528235052,/v-microwave-cooker/city-of-toronto/microwave-plates-large-more/1528235052,10.0,Microwave  Plates Large & More.,,Microwave turning Plates Large. $10. Microwave bearcat frame for wall for over the range hood Microwave $5. Pasta bowl family size $4. Car oil change $3. Washing MACHINE drain house almost new $7. ...,City of Toronto,< 5 hours ago,2020-10-06 17:12:33.129412
1528234617,/v-microwave-cooker/city-of-toronto/anova-precision-cooker-sous-vide/1528234617,99.0,ANOVA Precision Cooker Sous Vide,,This premium Sous Vide has never been used. Brand New in box. Retails for $329,City of Toronto,< 6 hours ago,2020-10-06 17:12:33.129900
