,url,price,title,distance,description,location,time_offset,retreived
1528227901,/v-networking-cables-and-connectors/city-of-toronto/vga-m-to-vga-m-five-foot-cable/1528227901,5.0,VGA•M to VGA•M five foot cable.,,I have this cable. I don't think I need it. I have it because maybe I need it. Maybe I should sell it. I think the only way I'm going to ever need it is after I sell it (Murphy's Rule). I should sell ...,City of Toronto,< 2 hours ago,2020-10-06 12:44:24.916056
1528221250,/v-networking-cables-and-connectors/city-of-toronto/50ft-hdmi-cable-25-hdmi-5ft-75-ft-hdmi-cables-available/1528221250,24.99,"50FT HDMI CABLE $25, HDMI 5FT-75 FT HDMI CABLES AVAILABLE",,"HDMI CABLES 1.4V, 2.0V, 5FT, 6FT, 12FT, 25FT, 33FT, 40FT, 50FT, 75 FT, 100 FT, HDMI 3D COMPATIBLE FIRE RATED. HDMI CABLE STARTING FROM ONLY $2.99 TECH VISION ELECTRONICS 1261 KENNEDY ROAD, UNIT 4 ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                We Deal with Android TV Boxes, Google TV Boxes, TV Wall Mounts, HD TV Antennas, Satellite Dishes, Computers, Laptops and Accessories",City of Toronto,< 2 hours ago,2020-10-06 12:44:24.916618
1528216657,/v-networking-cables-and-connectors/city-of-toronto/power-cord-linovo-and-more/1528216657,30.0,Power cord Linovo and more,,For newer laptops in my case. Made it so I could Leave a cord at the office and have one at home. I could deliver in the city. Features & details FEATURES / POWER SPECS : Only Pwr+ Chargers Have ...,City of Toronto,< 3 hours ago,2020-10-06 12:44:24.917122
1528202136,/v-networking-cables-and-connectors/city-of-toronto/monoprice-usb-2-0-4-port-hub/1528202136,5.0,Monoprice USB 2.0 4 Port Hub,,"4 USB port hub. Unused, unopened. USB v2.0 and v1.1 Non powered Bought this from Monoprice and never used it. Small usb hub, not powered, and max usb version compatible is version 2.0 Check my other ...",City of Toronto,< 4 hours ago,2020-10-06 12:44:24.917827
1528199767,/v-networking-cables-and-connectors/city-of-toronto/cables-hdmi-dvi-display-port-usb-etc/1528199767,5.0,"Cables - HDMI, DVI, Display port, USB, etc.",,I'm selling cables and connectors for $5. I have piles of of stuff that I've accumulated over the years and you'll just need to ask for whatever it is your looking for cable and connector wise. ...,City of Toronto,< 4 hours ago,2020-10-06 12:44:24.918343
1517391169,/v-networking-cables-and-connectors/city-of-toronto/mini-display-port-to-dvi-adapter/1517391169,10.0,Mini Display Port to DVI adapter,,Work perfectly fine. Has the original clear film. Slight colour fade but it might just be the clear film. Was used to connect Macbook to a display. Pickup at 111 Elizabeth Street (Bay and Dundas),City of Toronto,< 5 hours ago,2020-10-06 12:44:24.918855
1528161999,/v-networking-cables-and-connectors/city-of-toronto/dvi-to-hdmi-cable-15ft/1528161999,15.0,DVI To HDMI Cable 15ft.,,DVI To HDMI Cable 15ft. In Good Condition 15ft.,City of Toronto,< 13 hours ago,2020-10-06 12:44:24.919351
1528161309,/v-networking-cables-and-connectors/city-of-toronto/evga-displayport-to-dvi-d-adaptor-dongle/1528161309,5.0,EVGA DisplayPort to DVI-D Adaptor Dongle,,Selling EVGA DisplayPort to DVI-D Dongle. Shipping is available for other areas in Canada.,City of Toronto,< 13 hours ago,2020-10-06 12:44:24.920091
1416557659,/v-networking-cables-and-connectors/city-of-toronto/new-dynex-6-vga-monitor-replacement-cable-dx-c102111/1416557659,10.0,New! -Dynex 6' VGA Monitor Replacement Cable (DX-C102111),,Brand New! Dynex 6' VGA Monitor Replacement Cable (DX-C102111) Images look fuzzy on your monitor? Time to replace that old cord with this 6' male-to-male cable designed with HDDB15 connectors. Cable ...,City of Toronto,< 15 hours ago,2020-10-06 12:44:24.920591
1435428720,/v-networking-cables-and-connectors/city-of-toronto/lenovo-desktop-usb-keyboard/1435428720,30.0,Lenovo Desktop USB Keyboard,,Lenovo Desktop USB Keyboard,City of Toronto,< 16 hours ago,2020-10-06 12:44:24.921084
