,url,price,title,distance,description,location,time_offset,retreived
1528345919,/v-nintendo-ds/city-of-toronto/pokemon-diamond/1528345919,50.0,Pokémon diamond,,Authentic and works perfectly doesn’t come with case 50 obo,City of Toronto,< 6 minutes ago,2020-10-07 00:02:57.726718
1413321065,/v-nintendo-ds/city-of-toronto/nintendo-3ds-comes-with-charger-stylus-charging-station-al/1413321065,75.0,"Nintendo 3DS•	Comes with Charger, Stylus, Charging Station, al",,"Nintendo 3DS • Comes with Charger, Stylus, Charging Station, all the manuals and original box • Upper screen is not working but can be repaired by any technician. Priced accordingly. • Battery is ...",City of Toronto,< 5 hours ago,2020-10-07 00:02:57.727414
1528310682,/v-nintendo-ds/city-of-toronto/fire-emblem-echoes-shadows-of-valentia/1528310682,35.0,Fire Emblem Echoes Shadows of Valentia,,Fire Emblem Echoes Shadows of Valentia Case a little worn Game cartridge really good condition,City of Toronto,< 6 hours ago,2020-10-07 00:02:57.727906
1392512465,/v-nintendo-ds/city-of-toronto/ds-lite-w-original-packaging-charger-accessories-games/1392512465,65.0,DS LITE w ORIGINAL PACKAGING & CHARGER + ACCESSORIES + GAMES,,METALLIC ROSE DS LITE WITH ORIGINAL PACKAGING AND MANUAL; CHARGER & ACCESSORIES: - ICON DS CASE - ICON DSL CHARGING CRADLE - THREE PROTECTIVE GAME CASES - ADAPTER - HEADPHONES FIVE DS GAMES ...,City of Toronto,< 7 hours ago,2020-10-07 00:02:57.728393
1525753766,/v-nintendo-ds/city-of-toronto/49-99-custom-2ds-3ds-console/1525753766,50.0,$49.99 Custom 2DS / 3DS Console,,"The perfect gift for anyone on a budget! Console sale available, charger included with purchase. Can travel to you. Available for 2DS, 2DSXL, 3DS, 3DSXL, New 2DSXL, New 3DSXL. Text 6474942496",City of Toronto,< 8 hours ago,2020-10-07 00:02:57.728881
1528258688,/v-nintendo-ds/city-of-toronto/nintendo-3ds-minecraft-video-game-videogame-mine-craft-new/1528258688,20.0,Nintendo 3DS Minecraft video game videogame mine craft New,,"Nintendo 3DS Minecraft video game videogame mine craft New hey there, selling brand new in case, still sealed, never opened. Description Create and explore your very own world where the only limit is ...",City of Toronto,< 10 hours ago,2020-10-07 00:02:57.729366
1528253497,/v-nintendo-ds/city-of-toronto/nintendo-dsi-xl-plus-games/1528253497,100.0,Nintendo DSi XL plus games,,"Hi, selling a DSi, like new with case, charge, 2 extra pens and Mario cart and Star Wars game",City of Toronto,< 11 hours ago,2020-10-07 00:02:57.730047
1515567502,/v-nintendo-ds/city-of-toronto/nintendo-dsi-xl-in-great-condition/1515567502,50.0,Nintendo DSI XL in great condition,,"Nintendo (Rose gold!) DSI XL in great shape. Includes one game, power adapter and a perfectly working game console. It’s all yours for $50",City of Toronto,< 12 hours ago,2020-10-07 00:02:57.730533
1517262512,/v-nintendo-ds/city-of-toronto/lot-of-3ds-games/1517262512,15.0,LOT of 3DS Games,,Bundle Includes The Following 3 Games: - LEGO Pirates of the Caribbean - $15 - LEGO Lord of the Rings - $15 - Tin Tin - $10 You can buy the bundle for $30 or buy them individually for the prices ...,City of Toronto,< 12 hours ago,2020-10-07 00:02:57.731025
1528207456,/v-nintendo-ds/city-of-toronto/pokemon:-soul-silver-complete-in-box-excellent-condition/1528207456,240.0,"Pokemon: Soul Silver Complete in Box, excellent condition",,"Fantastic condition Pokémon: Soul Silver, complete in box with outer cardboard sleeve, Pokéwalker, inserts, cartridge, manual, etc. The Pokéwalker is in great condition but will need a new battery. ...",City of Toronto,< 15 hours ago,2020-10-07 00:02:57.731516
