,url,price,title,distance,description,location,time_offset,retreived
1528344775,/v-nintendo-wii-u/city-of-toronto/just-dance-2015-for-nintendo-wii-u/1528344775,20.0,Just dance 2015 for Nintendo wii u,,"Posted by Aaron Arulnesan in video games, consoles, Nintendo Wii U in Toronto (GTA), City of Toronto. October 7, 2020",City of Toronto,< 34 minutes ago,2020-10-07 00:05:03.974046
1517512837,/v-nintendo-wii-u/city-of-toronto/wii-u-games-like-new/1517512837,25.0,Wii U games - like new,,$25 each - Super Mario maker - Fifa World Cup South Africa 2010 - Just Dance 2014 - Avengers Battle for Earth - Batman Arkham City Armored Edition - Injustice God Among Us - Lego Dimensiones - Lego ...,City of Toronto,< 5 hours ago,2020-10-07 00:05:03.974547
1517263782,/v-nintendo-wii-u/city-of-toronto/2-wiiu-games/1517263782,0.0,2 WIIU Games,,Selling The following 2 WiiU Games: - Lego Avengers - Guitar Hero (Disk Only) Send me your best offers!!,City of Toronto,< 12 hours ago,2020-10-07 00:05:03.975048
1528164673,/v-nintendo-wii-u/city-of-toronto/cheapest-ps-vita-wiiu-wii-and-3ds-console-modding-service/1528164673,15.0,"Cheapest Ps Vita, WiiU, Wii,  and 3ds console modding service",,"Hello. I can mod your consoles (Ps Vita, Nintendo Wii, Nintendo WiiU, Nintendo Dsi, any nintendo 3ds/2ds model) and put your choice of games on them such as pokemon, zelda, smash, persona 4.... I ...",City of Toronto,< 24 hours ago,2020-10-07 00:05:03.975919
1528157783,/v-nintendo-wii-u/city-of-toronto/wii-u-customize-mod-over-1000-of-games-gc-wii-titles-one-drive/1528157783,75.0,WII U CUSTOMIZE MOD OVER 1000 of GAMES  GC WII  TITLES ONE DRIVE,,ONE OF THE BEST SYSTEM TO MODS FOR TODAYS GENERATION OF GAMING. I AM ABLE TO CUSTOMIZE AN EASY MODIFICATION WHERE YOU CAN HAVE BOTH WII AND GAMECUBE TITLE GAMES ON THE SAME EXTERNAL HARDRIVE. VERY ...,City of Toronto,05/10/2020,2020-10-07 00:05:03.976423
1528108224,/v-nintendo-wii-u/city-of-toronto/wii-u-bundle-deal/1528108224,150.0,Wii U Bundle Deal,,Wii U Handheld screen controller 2 Remote Controllers Super Smash Bros Game * perfect condition,City of Toronto,05/10/2020,2020-10-07 00:05:03.976922
1528061056,/v-nintendo-wii-u/city-of-toronto/nintendo-wiiu-32gb/1528061056,150.0,Nintendo WiiU 32GB,,LNIB nintendo wii U pre loaded with two games mario 3d world and nintendo land and comes with two games super smash bros and splatoon.Working very good and reset to factory settings.No scratches like ...,City of Toronto,05/10/2020,2020-10-07 00:05:03.977418
1517244517,/v-nintendo-wii-u/city-of-toronto/just-dance-2017-wii-u/1517244517,10.0,Just Dance 2017 (Wii U),,Game is in great condition. Can deliver anywhere in the GTA for an extra $30 (probably not worth it unless you're buying other items as well),City of Toronto,04/10/2020,2020-10-07 00:05:03.977913
1515156648,/v-nintendo-wii-u/city-of-toronto/guitar-hero-for-wii-u-with-guitar-and-dongle/1515156648,20.0,Guitar Hero for Wii U with Guitar and Dongle,,"All items in picture which includes the game, guitar, and wireless dongle. Delivery available for $30 anywhere in the GTA (likely not worth it unless you're buying multiple things from me). Interac ...",City of Toronto,04/10/2020,2020-10-07 00:05:03.978399
1527813333,/v-nintendo-wii-u/city-of-toronto/nintendo-wii-u/1527813333,230.0,Nintendo Wii U,,Wii U console Game pad Charging stand for game pad Motion sensor Pro controller Aftermarket controller Wii remote Mario Cart 8 wheel $230 SOLD SEPARATELY GAMES Nintendo Land - $10 NESREMITCH PACK ...,City of Toronto,04/10/2020,2020-10-07 00:05:03.979015
1527678075,/v-nintendo-wii-u/city-of-toronto/wii-u-32-gb-console/1527678075,160.0,Wii U 32 GB Console,,Wii U 32 GB console used. Comes with all main cords and components. $160.,City of Toronto,03/10/2020,2020-10-07 00:05:03.979539
1527632550,/v-nintendo-wii-u/city-of-toronto/nintendo-wii-u-game-lot-super-mario-3d-zelda-kirby-party-amiibo/1527632550,10.0,Nintendo Wii U Game Lot Super Mario 3D Zelda Kirby Party Amiibo,,"All games are in excellent working condition, Discs are mint condition, no scratches, Some show minimal wear to case and cover. most are complete with case/cover, manual/insert, unless noted. Only ...",City of Toronto,03/10/2020,2020-10-07 00:05:03.980033
1527607749,/v-nintendo-wii-u/city-of-toronto/nintendo-wii-u-mario-maker-mint-condition/1527607749,35.0,Nintendo Wii U Mario Maker  Mint Condition,,"Great Condition. Includes booklet.Can meet around Yorkdale Mall,Yonge and Sheppard or Weston Rutherford. Please note if ad is still up item still available.",City of Toronto,03/10/2020,2020-10-07 00:05:03.980527
1527572803,/v-nintendo-wii-u/city-of-toronto/nintendo-wii-u-40-games/1527572803,450.0,Nintendo Wii U 40+ Games,,"Selling a modded Nintendo Wii U 32GB with Wii U Gamepad, Wii Pro Motion Controller, Wii Nunchuck, 500gb solid state hard drive and accessories (Gamepad dock charger and motion sensor bar). Full list ...",City of Toronto,03/10/2020,2020-10-07 00:05:03.981219
1527538598,/v-nintendo-wii-u/city-of-toronto/nintendo-wii-u/1527538598,220.0,Nintendo Wii u,,Selling Nintendo Wii U with all the accessories and charger with the original box. Reasonable offers accepted,City of Toronto,02/10/2020,2020-10-07 00:05:03.981711
1527499997,/v-nintendo-wii-u/city-of-toronto/zelda-breath-of-the-wild-wii-u/1527499997,50.0,Zelda Breath of the Wild Wii U,,Legend of Zelda BOTW,City of Toronto,02/10/2020,2020-10-07 00:05:03.982200
1527429441,/v-nintendo-wii-u/city-of-toronto/donkey-kong-tropical-freeze-wii-u/1527429441,25.0,Donkey Kong Tropical Freeze - Wii U,,Selling DK Tropical freeze / tested and working $25 Pickup and cash please.,City of Toronto,02/10/2020,2020-10-07 00:05:03.982705
1527417448,/v-nintendo-wii-u/city-of-toronto/wiiu-games-for-sale/1527417448,15.0,+++WiiU Games For Sale++,,For Sale WiiU Games. 1. Skylanders Swap Force - $15 2. The Lego Movie - $20 3. NintendoLand - $20 4. Wii Party - SOLD,City of Toronto,02/10/2020,2020-10-07 00:05:03.983195
1527407264,/v-nintendo-wii-u/city-of-toronto/wii-u-games-updated-8am-oct-3/1527407264,20.0,Wii U Games - Updated 8am Oct 3,,For pick up only. North of Dufferin Station. Super Mario 3D World - $20 New Super Mario Bros U - $20 Yoshi's Woolly World - SOLD Super Smash Bros - SOLD Pokken Tournament - SOLD Wii Sports Club ...,City of Toronto,02/10/2020,2020-10-07 00:05:03.983682
1527350721,/v-nintendo-wii-u/city-of-toronto/wii-u-in-a-very-good-condition-with-many-games/1527350721,300.0,Wii U in a very good condition with many games,,Wii U platform includes: - 1 wireless Biogenik Pro controller for Wii U - 2 Wii MotionPlus INSIDE controllers - 2 Nunchack controllers Games: - Assassin's Creed III - Supermario Maker - Monster High ...,City of Toronto,01/10/2020,2020-10-07 00:05:03.984171
