,url,price,title,distance,description,location,time_offset,retreived
1528309708,/v-nintendo-wii/city-of-toronto/wii-star-wars-clone-trooper-blaster-controller/1528309708,30.0,Wii Star Wars Clone Trooper Blaster controller,,Wii Star Wars Clone Trooper Blaster controller New with box. All stickers unused inside.,City of Toronto,< 6 hours ago,2020-10-07 00:04:19.489770
1516883388,/v-nintendo-wii/city-of-toronto/wii-consol-wheel-remote-new-plus-3-games/1516883388,135.0,"Wii consol, wheel remote new plus 3 games",,"Wii Consol, new remote in box, wheel, 3 games",City of Toronto,< 6 hours ago,2020-10-07 00:04:19.490269
1528297876,/v-nintendo-wii/city-of-toronto/mario-sonic-at-the-olympic-games-2008-wii/1528297876,15.0,Mario sonic at the Olympic Games 2008 - wii,,Mario sonic Olympic Games Wii Accepting email money transfer - no cash payment,City of Toronto,< 7 hours ago,2020-10-07 00:04:19.490769
1528281697,/v-nintendo-wii/city-of-toronto/nintendo-wii-4-cds/1528281697,15.0,nintendo wii 4 CDs,,All work well. Pick them up at Yonge and Steeles. Boogie superstar Dance Dance revolution 2 Dance Dance revolution hottest party 2 Kirby’s epic yarn All together $15. Each $5.,City of Toronto,< 8 hours ago,2020-10-07 00:04:19.491289
1528278758,/v-nintendo-wii/city-of-toronto/nintendo-wii-sports-console-white-complete-in-box-80/1528278758,80.0,Nintendo wii sports console white complete in box  $80,,Nintendo wii sports console white complete in box $80,City of Toronto,< 9 hours ago,2020-10-07 00:04:19.491784
1528275742,/v-nintendo-wii/city-of-toronto/assorted-wii-games/1528275742,5.0,Assorted Wii games,,Wii games Titles in photos $5 each or 3 for $10,City of Toronto,< 9 hours ago,2020-10-07 00:04:19.492461
1528275124,/v-nintendo-wii/city-of-toronto/wii-super-paper-mario/1528275124,20.0,Wii Super Paper Mario,,Wii Super Paper Mario. Tested and working. No book.,City of Toronto,< 9 hours ago,2020-10-07 00:04:19.493018
1507122071,/v-nintendo-wii/city-of-toronto/nintendo-wii-games-fifa-08-fifa-09-de-blob-fifa-2004-gc/1507122071,5.0,"Nintendo Wii Games (FIFA 08, FIFA 09, de Blob, FIFA 2004 GC)",,"Selling some GameCube and Wii games (all original). Used only a few times each. No scratches, mint condition in cases. Games are $5 each or take all 4 for $15! (Table Tennis has been sold) Wii: - de ...",City of Toronto,< 10 hours ago,2020-10-07 00:04:19.493516
1528251982,/v-nintendo-wii/city-of-toronto/nintendo-wii/1528251982,50.0,Nintendo Wii,,"Nintendo Wii console with 2 remotes and nunchuks. Comes with the wires, instructions, and other accessories for a complete set. Working and in decent condition.",City of Toronto,< 11 hours ago,2020-10-07 00:04:19.494213
1528217044,/v-nintendo-wii/city-of-toronto/new-super-mario-bros-wii-in-original-case/1528217044,30.0,New super mario bros wii in original case.,,complete and in great shape.,City of Toronto,< 14 hours ago,2020-10-07 00:04:19.495115
