,url,price,title,distance,description,location,time_offset,retreived
1528207082,/v-non-fiction/city-of-toronto/the-book-of-prefaces/1528207082,0.0,The Book of Prefaces,,"Brand new The Book of Prefaces. Posted in books, Non-fiction in City of Toronto. October 6, 2020",City of Toronto,< 60 minutes ago,2020-10-06 10:56:58.742996
1528202601,/v-non-fiction/city-of-toronto/kitchen-confidential-by-anthony-bordain/1528202601,5.0,Kitchen Confidential by Anthony Bordain,,New book read only once.,City of Toronto,< 2 hours ago,2020-10-06 10:56:58.743622
1025620965,/v-non-fiction/city-of-toronto/cycling-fitness-books-for-sale/1025620965,15.0,Cycling fitness books for sale,,"The following books are for sale. $15 if you buy all of them, otherwise priced as indicated. Serious Training for Serious Athletes ISBN 0-88011-338-3 Soft cover, 245 pages. $5.00 Science of Cycling ...",City of Toronto,< 3 hours ago,2020-10-06 10:56:58.744517
1413325935,/v-non-fiction/city-of-toronto/self-help-how-to-think-like-leonardo-da-vinci/1413325935,7.0,Self-Help - How to Think like Leonardo Da Vinci,,Good condition,City of Toronto,< 4 hours ago,2020-10-06 10:56:58.745015
1505287363,/v-non-fiction/city-of-toronto/be-the-better-broker-box-set/1505287363,50.0,Be the Better Broker box set,,Volumes 1 - 3 Volume 1 slightly used (I highlighted a few things!) Volumes 2 and 3 have not been touched. Curb side pick up in west end of Toronto.,City of Toronto,< 5 hours ago,2020-10-06 10:56:58.745510
204316820,/v-non-fiction/city-of-toronto/unitts-cdn-price-gde-to-antiques-collect-bk-two-1969/204316820,20.0,"Unitt's Cdn Price Gde to Antiques & Collect.; Bk Two, 1969",,"Unitt's Canadian Price Guide to Antiques & Collectables; Book Two; An Illustrated Guide to Price Trends in Canada for Dealer and Collector, 1969, 240 pgs., 7¾"" x 9¾"", Clock House Pubns., ...",City of Toronto,< 8 hours ago,2020-10-06 10:56:58.746039
1470116833,/v-non-fiction/city-of-toronto/rare-canadian-sculptor-r-c-a-1st-ed-exhibition-bk-1984/1470116833,20.0,"RARE CANADIAN SCULPTOR, R.C.A., 1ST ED., Exhibition Bk, 1984",,"Rare Canadian Sculptor, Ron Baird 1984, A Celebration of His First 20 Years of Sculpture by Joan Murray, Autographed by the artist, Illustrated, Exhibition spiral bound stiff covers book, 98 pgs., ...",City of Toronto,< 8 hours ago,2020-10-06 10:56:58.746540
1515910406,/v-non-fiction/city-of-toronto/schindlers-list-and-paris-1919-books/1515910406,15.0,Schindler's List and Paris 1919 books,,2 books for $15! Schindler's List by Thomas Keneally and Paris 1919 by Margaret Macmillan,City of Toronto,< 9 hours ago,2020-10-06 10:56:58.747044
1515903484,/v-non-fiction/city-of-toronto/books-about-men-and-love/1515903484,5.0,books about men and love,,"by Barbara DeAngelis, PhD 1) Secrets About Men Every Woman Should Know 2) Are You the One For Me? both for only $10!",City of Toronto,< 9 hours ago,2020-10-06 10:56:58.747558
1434207512,/v-non-fiction/city-of-toronto/a-world-history-of-photography-by-naomi-rosenblum/1434207512,20.0,A WORLD HISTORY OF PHOTOGRAPHY by NAOMI ROSENBLUM,,Amazing photography book with the best works from world famous photographers,City of Toronto,< 12 hours ago,2020-10-06 10:56:58.748055
1528157282,/v-non-fiction/city-of-toronto/free:-photography-books/1528157282,1.0,FREE: Photography Books,,"Giving away 3 books, for a good home! All in great shape ! Pickup near Royal York and Queensway.",City of Toronto,< 13 hours ago,2020-10-06 10:56:58.748549
