,url,price,title,distance,description,location,time_offset,retreived
1528428598,/v-other-bike/city-of-toronto/planet-bike-chain-heavy-duty/1528428598,40.0,planet bike Chain heavy duty,,heavy duty bike chain,City of Toronto,< 51 minutes ago,2020-10-07 13:48:31.316839
1528414699,/v-other-bike/city-of-toronto/krups-coffee-and-expresso-machine/1528414699,45.0,Krups coffee and expresso machine,,"Krups coffee and expresso machine. Posted in bikes, other in City of Toronto. October 7, 2020",City of Toronto,< 2 hours ago,2020-10-07 13:48:31.317336
1528413903,/v-other-bike/city-of-toronto/man-or-women-s-bike-seat/1528413903,40.0,Man or women’s bike seat,,Bike seat $40 each,City of Toronto,< 3 hours ago,2020-10-07 13:48:31.317830
1528402334,/v-other-bike/city-of-toronto/scooter/1528402334,50.0,Scooter,,Razor Scooter Extra large wheels Great condition,City of Toronto,< 3 hours ago,2020-10-07 13:48:31.318326
1528382728,/v-other-bike/city-of-toronto/nib-elite-suito-smart-bike-trainer/1528382728,1400.0,NIB Elite Suito Smart Bike Trainer,,"Bought it from MEC but ended up getting a Wahoo Kickr instead. Brand new, unopened. Comes with an 11 speed Shimano 105 cassette. Sold out everywhere. Tags: bike, trainer, wahoo, kickr, climb, elite, ...",City of Toronto,< 5 hours ago,2020-10-07 13:48:31.318818
1528372635,/v-other-bike/city-of-toronto/brand-new-opus-sonar-bicycle/1528372635,800.0,Brand New Opus Sonar Bicycle,,Brand New Opus Sonar Bicycle still in the box. Size Large Colour Red $800.00 OBO,City of Toronto,< 6 hours ago,2020-10-07 13:48:31.319520
1528368466,/v-other-bike/city-of-toronto/platform-sportrack-crest-2-bike-rack-brand-new/1528368466,190.0,Platform SportRack Crest 2 Bike Rack - Brand new,,"Platform SportRack Crest 2 Bike Rack - Brand new Please price is firm. Description This is a 2 bike, hitch mounted bike rack from SportRack. Retail price is $280 ...",City of Toronto,< 7 hours ago,2020-10-07 13:48:31.320014
1528350502,/v-other-bike/city-of-toronto/bike-rack-made-by-thule-raceway/1528350502,200.0,Bike Rack made by THULE Raceway,,2 bike rack lightly used. The rack is almost new and in perfect working condition and includes all the original straps. Very sturdy and reliable for transporting 2 bicycles on a car. Can be picked up ...,City of Toronto,< 12 hours ago,2020-10-07 13:48:31.320511
1517682051,/v-other-bike/city-of-toronto/for-sale-motorized-bicycle-80cc/1517682051,300.0,FOR SALE - Motorized Bicycle 80CC,,"Hi, I’m selling a motorized bicycle for a friend. It’s an 80CC bike that was working but has been sitting for a while. It starts but won’t accelerate with the throttle. In good shape, see pictures. ...",City of Toronto,< 16 hours ago,2020-10-07 13:48:31.321393
1517599262,/v-other-bike/city-of-toronto/ac-unit/1517599262,180.0,AC unit,,"Almost new used only few times excellent shape , ready to go ! Cool off living room / bedroom very well !",City of Toronto,< 18 hours ago,2020-10-07 13:48:31.321892
1517601881,/v-other-bike/city-of-toronto/soft-carpet/1517601881,150.0,Soft carpet,,5’11x7 area carpet beautiful rich blue colour . Excellent condition never been walk on with shoes . Nice and clean! Ready to go !,City of Toronto,< 18 hours ago,2020-10-07 13:48:31.322386
1528305514,/v-other-bike/city-of-toronto/ergo-minoura-bike-trainer-magtura/1528305514,110.0,Ergo+Minoura Bike Trainer Magtura,,"Bike Stand, great for exercising at home in the winter or training",City of Toronto,< 20 hours ago,2020-10-07 13:48:31.322879
1528286208,/v-other-bike/city-of-toronto/fabric-road-tt-saddle/1528286208,100.0,Fabric road TT saddle,,Brand new. Never mounted. Comes with the rear bottle holder.,City of Toronto,< 22 hours ago,2020-10-07 13:48:31.323373
1528284255,/v-other-bike/city-of-toronto/bike-nook/1528284255,50.0,Bike Nook,,Bike Nook bicycle stand like new condition. Assembled. Pick up in the junction.,City of Toronto,< 22 hours ago,2020-10-07 13:48:31.323909
1528274477,/v-other-bike/city-of-toronto/adult-tricycle/1528274477,420.0,Adult Tricycle,,Like new adult Trike - Schwinn Meridian.,City of Toronto,< 23 hours ago,2020-10-07 13:48:31.324430
1528272776,/v-other-bike/city-of-toronto/removable-front-basket/1528272776,20.0,Removable Front Basket,,"Quick release mechanism makes the basket easy to mount or detach. All mounting hardware included. W13"" x L10"" x D8.5""",City of Toronto,< 23 hours ago,2020-10-07 13:48:31.324935
1528271551,/v-other-bike/city-of-toronto/vintage-bicycle/1528271551,200.0,Vintage Bicycle,,"I have nice Vintage classic Raleigh bike for sale,still in good condition just needs basic tuneup.",City of Toronto,< 23 hours ago,2020-10-07 13:48:31.325444
1528258532,/v-other-bike/city-of-toronto/bell-bike-trailer-and-stroller/1528258532,125.0,Bell bike trailer and stroller,,Excellent condition stroller that converts into a bike trailer Comes with the complete bike attachment rain and net cover Folds down for easy transport,City of Toronto,< 24 hours ago,2020-10-07 13:48:31.325955
1528253163,/v-other-bike/city-of-toronto/swagman-3-bike-carrier-lockable-hitch-style-140-00/1528253163,140.0,"Swagman 3 bike carrier, lockable, hitch style $140.00",,Swagman Hitch bike rack. Very sturdy and secure. Carries 3 bikes and bikes can be securely locked onto rack. Excellent condition. $140.00,City of Toronto,Yesterday,2020-10-07 13:48:31.326506
1528250903,/v-other-bike/city-of-toronto/giovanni-atv-motorcycle/1528250903,450.0,Giovanni ATV Motorcycle,,Excellent Giovanni ATV 50cc motorcycle four wheels. Brand New never used before. All instruction manuals and tools are there.,City of Toronto,Yesterday,2020-10-07 13:48:31.327002
1528247502,/v-other-bike/city-of-toronto/bike-lift/1528247502,10.0,Bike Lift,,Ceiling Bike lift,City of Toronto,Yesterday,2020-10-07 13:48:31.327506
1528242622,/v-other-bike/city-of-toronto/platform-sportrack-crest-2-bike-rack-brand-new/1528242622,190.0,Platform SportRack Crest 2 Bike Rack - Brand new,,"Platform SportRack Crest 2 Bike Rack - Brand new Please price is firm. Description This is a 2 bike, hitch mounted bike rack from SportRack. Retail price is $280 ...",City of Toronto,Yesterday,2020-10-07 13:48:31.328009
1528228323,/v-other-bike/city-of-toronto/bike-rack/1528228323,30.0,Bike rack,,2 bike bike rack good condition perfect fir garages and keeping bikes out of the way,City of Toronto,Yesterday,2020-10-07 13:48:31.328502
1517040168,/v-other-bike/city-of-toronto/brand-new-swagman-park-city-bike-rack-stand-finch-station/1517040168,100.0,Brand New Swagman Park City Bike Rack Stand [Finch Station],,Brand New Sealed Swagman Park City Bike Rack Stand • Sturdy rack • Stores up to six bikes (2 large slots for mountain bikes and/or 6 slots for regular bikes) • Quick and easy assembly (just 8 bolts ...,City of Toronto,Yesterday,2020-10-07 13:48:31.328997
1528185729,/v-other-bike/city-of-toronto/gas-scooter/1528185729,60.0,Gas scooter,,Need to be service been sitting for a Little while,City of Toronto,Yesterday,2020-10-07 13:48:31.329493
1528183916,/v-other-bike/city-of-toronto/specialized-keg-bike-storage-container-w-tool-wrap/1528183916,40.0,Specialized Keg Bike Storage Container w/ Tool Wrap,,- Storage for your tools while on the road - 16oz size - Tool wrap - Mint condition - Barely used - Priced to sell - Will deliver within GTA $40,City of Toronto,Yesterday,2020-10-07 13:48:31.329990
1528182909,/v-other-bike/city-of-toronto/kryptonite-keeper-712-combo-bike-lock/1528182909,100.0,Kryptonite Keeper 712 Combo Bike Lock,,- 47.2” (120cm ) - Mint condition - Used once - Save the tax - Priced to sell - Will deliver within GTA $100,City of Toronto,Yesterday,2020-10-07 13:48:31.330482
1528170389,/v-other-bike/city-of-toronto/bike-lock/1528170389,15.0,Bike lock,,"Meetups in scarborough, text or email",City of Toronto,Yesterday,2020-10-07 13:48:31.331076
1528167053,/v-other-bike/city-of-toronto/thule-bike-racks/1528167053,210.0,Thule Bike Racks,,Upright bike racks.,City of Toronto,Yesterday,2020-10-07 13:48:31.331590
1528128390,/v-other-bike/city-of-toronto/raleigh-revenio-bike-for-sale/1528128390,350.0,Raleigh Revenio Bike for Sale,,"Raleigh Revenio Bike 1.0 for Sale. White, gray and red. Comes with water bottle holder. $350.00",City of Toronto,05/10/2020,2020-10-07 13:48:31.332090
1528126956,/v-other-bike/city-of-toronto/brand-new-bicycle-lock/1528126956,5.0,Brand New Bicycle Lock,,Brand New Bicycle Lock,City of Toronto,05/10/2020,2020-10-07 13:48:31.332588
1528061099,/v-other-bike/city-of-toronto/woode-bicycle-rack-wood-and-stained-fits-three-bikes/1528061099,30.0,"Woode. bicycle rack - wood and stained, fits three bikes",,Wooden bike rack that has been stained. Includes the lock and chain. Holds 3 bikes. Great for your back yard. And built so rhat yoi can lock up your bikes individually or all together.,City of Toronto,05/10/2020,2020-10-07 13:48:31.333090
1528064678,/v-other-bike/city-of-toronto/adult-tricycle/1528064678,375.0,Adult Tricycle,,Schwinn Adult tricycle 3 Wheels a basket and Height is 27 inches,City of Toronto,05/10/2020,2020-10-07 13:48:31.333582
1527994600,/v-other-bike/city-of-toronto/bike/1527994600,130.0,Bike,,Good condition,City of Toronto,05/10/2020,2020-10-07 13:48:31.334074
1527942816,/v-other-bike/city-of-toronto/bike-helmet-full-face/1527942816,80.0,Bike Helmet-full face,,"Full face Fox downhill bike helmet, Size Large Hardly used $80.00",City of Toronto,04/10/2020,2020-10-07 13:48:31.334572
1527902440,/v-other-bike/city-of-toronto/save-25-on-rear-bike-rack/1527902440,60.0,Save $25 on rear bike rack,,"Hi, I hope you are staying healthy and inspired. Here is a link to the full description. https://www.axiomgear.com/products/racks/journey-racks/journey-disc/ The rack is in excellent condition. It is ...",City of Toronto,04/10/2020,2020-10-07 13:48:31.335066
1528428598,/v-other-bike/city-of-toronto/planet-bike-chain-heavy-duty/1528428598,40.0,planet bike Chain heavy duty,,heavy duty bike chain,City of Toronto,< 51 minutes ago,2020-10-07 13:48:34.670669
1528414699,/v-other-bike/city-of-toronto/krups-coffee-and-expresso-machine/1528414699,45.0,Krups coffee and expresso machine,,"Krups coffee and expresso machine. Posted in bikes, other in City of Toronto. October 7, 2020",City of Toronto,< 2 hours ago,2020-10-07 13:48:34.671170
1528413903,/v-other-bike/city-of-toronto/man-or-women-s-bike-seat/1528413903,40.0,Man or women’s bike seat,,Bike seat $40 each,City of Toronto,< 3 hours ago,2020-10-07 13:48:34.671729
1528402334,/v-other-bike/city-of-toronto/scooter/1528402334,50.0,Scooter,,Razor Scooter Extra large wheels Great condition,City of Toronto,< 3 hours ago,2020-10-07 13:48:34.672228
1528382728,/v-other-bike/city-of-toronto/nib-elite-suito-smart-bike-trainer/1528382728,1400.0,NIB Elite Suito Smart Bike Trainer,,"Bought it from MEC but ended up getting a Wahoo Kickr instead. Brand new, unopened. Comes with an 11 speed Shimano 105 cassette. Sold out everywhere. Tags: bike, trainer, wahoo, kickr, climb, elite, ...",City of Toronto,< 5 hours ago,2020-10-07 13:48:34.672726
1528372635,/v-other-bike/city-of-toronto/brand-new-opus-sonar-bicycle/1528372635,800.0,Brand New Opus Sonar Bicycle,,Brand New Opus Sonar Bicycle still in the box. Size Large Colour Red $800.00 OBO,City of Toronto,< 6 hours ago,2020-10-07 13:48:34.673422
1528368466,/v-other-bike/city-of-toronto/platform-sportrack-crest-2-bike-rack-brand-new/1528368466,190.0,Platform SportRack Crest 2 Bike Rack - Brand new,,"Platform SportRack Crest 2 Bike Rack - Brand new Please price is firm. Description This is a 2 bike, hitch mounted bike rack from SportRack. Retail price is $280 ...",City of Toronto,< 7 hours ago,2020-10-07 13:48:34.673919
1528350502,/v-other-bike/city-of-toronto/bike-rack-made-by-thule-raceway/1528350502,200.0,Bike Rack made by THULE Raceway,,2 bike rack lightly used. The rack is almost new and in perfect working condition and includes all the original straps. Very sturdy and reliable for transporting 2 bicycles on a car. Can be picked up ...,City of Toronto,< 12 hours ago,2020-10-07 13:48:34.674413
1517682051,/v-other-bike/city-of-toronto/for-sale-motorized-bicycle-80cc/1517682051,300.0,FOR SALE - Motorized Bicycle 80CC,,"Hi, I’m selling a motorized bicycle for a friend. It’s an 80CC bike that was working but has been sitting for a while. It starts but won’t accelerate with the throttle. In good shape, see pictures. ...",City of Toronto,< 16 hours ago,2020-10-07 13:48:34.675312
1517599262,/v-other-bike/city-of-toronto/ac-unit/1517599262,180.0,AC unit,,"Almost new used only few times excellent shape , ready to go ! Cool off living room / bedroom very well !",City of Toronto,< 18 hours ago,2020-10-07 13:48:34.675813
1517601881,/v-other-bike/city-of-toronto/soft-carpet/1517601881,150.0,Soft carpet,,5’11x7 area carpet beautiful rich blue colour . Excellent condition never been walk on with shoes . Nice and clean! Ready to go !,City of Toronto,< 18 hours ago,2020-10-07 13:48:34.676309
1528305514,/v-other-bike/city-of-toronto/ergo-minoura-bike-trainer-magtura/1528305514,110.0,Ergo+Minoura Bike Trainer Magtura,,"Bike Stand, great for exercising at home in the winter or training",City of Toronto,< 20 hours ago,2020-10-07 13:48:34.676805
1528286208,/v-other-bike/city-of-toronto/fabric-road-tt-saddle/1528286208,100.0,Fabric road TT saddle,,Brand new. Never mounted. Comes with the rear bottle holder.,City of Toronto,< 22 hours ago,2020-10-07 13:48:34.677298
1528284255,/v-other-bike/city-of-toronto/bike-nook/1528284255,50.0,Bike Nook,,Bike Nook bicycle stand like new condition. Assembled. Pick up in the junction.,City of Toronto,< 22 hours ago,2020-10-07 13:48:34.677791
1528274477,/v-other-bike/city-of-toronto/adult-tricycle/1528274477,420.0,Adult Tricycle,,Like new adult Trike - Schwinn Meridian.,City of Toronto,< 23 hours ago,2020-10-07 13:48:34.678393
1528272776,/v-other-bike/city-of-toronto/removable-front-basket/1528272776,20.0,Removable Front Basket,,"Quick release mechanism makes the basket easy to mount or detach. All mounting hardware included. W13"" x L10"" x D8.5""",City of Toronto,< 23 hours ago,2020-10-07 13:48:34.678912
1528271551,/v-other-bike/city-of-toronto/vintage-bicycle/1528271551,200.0,Vintage Bicycle,,"I have nice Vintage classic Raleigh bike for sale,still in good condition just needs basic tuneup.",City of Toronto,< 23 hours ago,2020-10-07 13:48:34.679430
1528258532,/v-other-bike/city-of-toronto/bell-bike-trailer-and-stroller/1528258532,125.0,Bell bike trailer and stroller,,Excellent condition stroller that converts into a bike trailer Comes with the complete bike attachment rain and net cover Folds down for easy transport,City of Toronto,< 24 hours ago,2020-10-07 13:48:34.679928
1528253163,/v-other-bike/city-of-toronto/swagman-3-bike-carrier-lockable-hitch-style-140-00/1528253163,140.0,"Swagman 3 bike carrier, lockable, hitch style $140.00",,Swagman Hitch bike rack. Very sturdy and secure. Carries 3 bikes and bikes can be securely locked onto rack. Excellent condition. $140.00,City of Toronto,Yesterday,2020-10-07 13:48:34.680424
1528250903,/v-other-bike/city-of-toronto/giovanni-atv-motorcycle/1528250903,450.0,Giovanni ATV Motorcycle,,Excellent Giovanni ATV 50cc motorcycle four wheels. Brand New never used before. All instruction manuals and tools are there.,City of Toronto,Yesterday,2020-10-07 13:48:34.680917
1528247502,/v-other-bike/city-of-toronto/bike-lift/1528247502,10.0,Bike Lift,,Ceiling Bike lift,City of Toronto,Yesterday,2020-10-07 13:48:34.681408
1528242622,/v-other-bike/city-of-toronto/platform-sportrack-crest-2-bike-rack-brand-new/1528242622,190.0,Platform SportRack Crest 2 Bike Rack - Brand new,,"Platform SportRack Crest 2 Bike Rack - Brand new Please price is firm. Description This is a 2 bike, hitch mounted bike rack from SportRack. Retail price is $280 ...",City of Toronto,Yesterday,2020-10-07 13:48:34.681997
1528228323,/v-other-bike/city-of-toronto/bike-rack/1528228323,30.0,Bike rack,,2 bike bike rack good condition perfect fir garages and keeping bikes out of the way,City of Toronto,Yesterday,2020-10-07 13:48:34.682495
1517040168,/v-other-bike/city-of-toronto/brand-new-swagman-park-city-bike-rack-stand-finch-station/1517040168,100.0,Brand New Swagman Park City Bike Rack Stand [Finch Station],,Brand New Sealed Swagman Park City Bike Rack Stand • Sturdy rack • Stores up to six bikes (2 large slots for mountain bikes and/or 6 slots for regular bikes) • Quick and easy assembly (just 8 bolts ...,City of Toronto,Yesterday,2020-10-07 13:48:34.682988
1528185729,/v-other-bike/city-of-toronto/gas-scooter/1528185729,60.0,Gas scooter,,Need to be service been sitting for a Little while,City of Toronto,Yesterday,2020-10-07 13:48:34.683492
1528183916,/v-other-bike/city-of-toronto/specialized-keg-bike-storage-container-w-tool-wrap/1528183916,40.0,Specialized Keg Bike Storage Container w/ Tool Wrap,,- Storage for your tools while on the road - 16oz size - Tool wrap - Mint condition - Barely used - Priced to sell - Will deliver within GTA $40,City of Toronto,Yesterday,2020-10-07 13:48:34.683985
1528182909,/v-other-bike/city-of-toronto/kryptonite-keeper-712-combo-bike-lock/1528182909,100.0,Kryptonite Keeper 712 Combo Bike Lock,,- 47.2” (120cm ) - Mint condition - Used once - Save the tax - Priced to sell - Will deliver within GTA $100,City of Toronto,Yesterday,2020-10-07 13:48:34.684480
1528170389,/v-other-bike/city-of-toronto/bike-lock/1528170389,15.0,Bike lock,,"Meetups in scarborough, text or email",City of Toronto,Yesterday,2020-10-07 13:48:34.684987
1528167053,/v-other-bike/city-of-toronto/thule-bike-racks/1528167053,210.0,Thule Bike Racks,,Upright bike racks.,City of Toronto,Yesterday,2020-10-07 13:48:34.685484
1528128390,/v-other-bike/city-of-toronto/raleigh-revenio-bike-for-sale/1528128390,350.0,Raleigh Revenio Bike for Sale,,"Raleigh Revenio Bike 1.0 for Sale. White, gray and red. Comes with water bottle holder. $350.00",City of Toronto,05/10/2020,2020-10-07 13:48:34.685994
1528126956,/v-other-bike/city-of-toronto/brand-new-bicycle-lock/1528126956,5.0,Brand New Bicycle Lock,,Brand New Bicycle Lock,City of Toronto,05/10/2020,2020-10-07 13:48:34.686509
1528061099,/v-other-bike/city-of-toronto/woode-bicycle-rack-wood-and-stained-fits-three-bikes/1528061099,30.0,"Woode. bicycle rack - wood and stained, fits three bikes",,Wooden bike rack that has been stained. Includes the lock and chain. Holds 3 bikes. Great for your back yard. And built so rhat yoi can lock up your bikes individually or all together.,City of Toronto,05/10/2020,2020-10-07 13:48:34.687066
1528064678,/v-other-bike/city-of-toronto/adult-tricycle/1528064678,375.0,Adult Tricycle,,Schwinn Adult tricycle 3 Wheels a basket and Height is 27 inches,City of Toronto,05/10/2020,2020-10-07 13:48:34.687621
1527994600,/v-other-bike/city-of-toronto/bike/1527994600,130.0,Bike,,Good condition,City of Toronto,05/10/2020,2020-10-07 13:48:34.688124
1527942816,/v-other-bike/city-of-toronto/bike-helmet-full-face/1527942816,80.0,Bike Helmet-full face,,"Full face Fox downhill bike helmet, Size Large Hardly used $80.00",City of Toronto,04/10/2020,2020-10-07 13:48:34.688618
