,url,price,title,distance,description,location,time_offset,retreived
1528466909,/v-other-business-industrial/city-of-toronto/candy-vending-machine-u-turn-4heads-to-fill-clean-working-key/1528466909,45.0,Candy Vending Machine U-Turn 4Heads to fill.Clean/Working/Key,,Candy Vending Machine U-Turn 4Heads to fill.Clean/Working/Key It’s in very good condition. Fill 4 canisters of candy. Three of the coin mechs are for .25 cent and the other is for $1.00 loonies.Has a ...,City of Toronto,< 3 minutes ago,2020-10-07 16:09:48.567313
1528466705,/v-other-business-industrial/city-of-toronto/led-exit-sign-led-running-man-combo-exit-light/1528466705,48.99,LED Exit Sign* LED Running Man Combo Exit Light,,PLEASE CALL 647-955-3586 BEST PRICES ***PLEASE REMEMBER YOU GET WHAT YOU PAY FOR ***BE AWARE FROM HERE TODAY GONE TOMORROW SELLERS* Ask to see Energy Star or Cul listing* OPEN- Monday- Friday ...,City of Toronto,< 4 minutes ago,2020-10-07 16:09:48.567811
1514428119,/v-other-business-industrial/city-of-toronto/hellburg-10-earmuffs/1514428119,25.0,Hellburg 10 earmuffs,,Hellburg 10 earmuffs New in box,City of Toronto,< 18 minutes ago,2020-10-07 16:09:48.568429
1514477367,/v-other-business-industrial/city-of-toronto/new-traffic-safety-vest/1514477367,10.0,New Traffic safety vest,,New Traffic safety vest,City of Toronto,< 18 minutes ago,2020-10-07 16:09:48.568930
1528461391,/v-other-business-industrial/city-of-toronto/7-foot-glass-display-table-retail-store-fixture-counter/1528461391,1900.0,7 foot glass display table retail store fixture counter,,"7 foot glass display table retail store fixture counter . Posted in business, industrial, other business, industrial in City of Toronto. October 7, 2020",City of Toronto,< 32 minutes ago,2020-10-07 16:09:48.569454
1528460800,/v-other-business-industrial/city-of-toronto/hanging-file-cart-on-castors/1528460800,45.0,Hanging File Cart on Castors,,"Adjustable hanging file cart for 11 X 14 legal documents or A4 documents or a combination of both (as pictured). Many hanging file folders included (as pictured). Dimensions from top; 14.5"" X 28.5""",City of Toronto,< 35 minutes ago,2020-10-07 16:09:48.569974
1528457309,/v-other-business-industrial/city-of-toronto/pallet-jack-pump-truck-hand-pallet-jack-w-scale-mini-low-pr/1528457309,229.99,"pallet jack, pump truck, hand pallet jack, w/scale, mini, low pr",,"****1 YEAR WARRANTY ******CALL 647-977-7677 *****www.mrdockplate.ca ***** FOR STOCK ON BELOW ITEMS PLEASE VISIT www.mrdockplate.ca or call 647-977-7677 21.5 x 48 - 5,500 lb capacity $229.99 27 x 48 - ...",City of Toronto,< 53 minutes ago,2020-10-07 16:09:48.571189
1528451781,/v-other-business-industrial/city-of-toronto/799-instant-temporary-wall-modular-soft-room-partition/1528451781,799.0,"$799 INSTANT TEMPORARY WALL, MODULAR, SOFT, ROOM PARTITION",,"Amazing prices on temporary walls, starting at $799 (& up). One day room partition with our modular walls. Instant, affordable and legal. We offer one fifth of the market rate! A temporary wall ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.572428
1528450714,/v-other-business-industrial/city-of-toronto/notouch-tool-key-bnib-opener/1528450714,5.0,NoTouch tool key (BNIB) opener,,"Touch tool keys! Reduces exposure to germs/bacteria: designed to keep your hands from touching common, public surfaces to reduce the transmission of germs. If interested on buying more than one gets ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.573147
1528450011,/v-other-business-industrial/city-of-toronto/hand-pallet-pallet-jack-with-scale-printer-pump-truck/1528450011,899.99,"HAND PALLET, PALLET JACK WITH SCALE, PRINTER, PUMP TRUCK,",,"●●Call now 416-301-6462 ● 1 YEAR MANUFACTURE WARR ● www.mrdockplate.ca●● ➊ENTRY LEVEL MODEL 27 x 48 5,500 lb capacity for $899.99 ➋DELUX SERIES MODEL 27"" wide x 48"" Long with 4,400 lb capacity --with ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.573836
1528449053,/v-other-business-industrial/city-of-toronto/custom-glass-shield-protector-acrylic-plexiglass-sneeze-guard/1528449053,110.0,CUSTOM GLASS SHIELD PROTECTOR / ACRYLIC PLEXIGLASS SNEEZE GUARD,,"* CUSTOM MADE TO FIT YOUR SPECIFIC NEEDS! * * SAME DAY PICKUP! OR READY WITHIN 24 HOURS! MADE WHILE YOU WAIT! CALL NOW TO BOOK AN APPOINTMENT! * ** TOP QUALITY, CANADIAN MADE, CLEAR PLEXIGLASS ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.574342
1528448596,/v-other-business-industrial/city-of-toronto/used-detecto-t100-multi-purpose-100-lb-top-load-fixed-dial-scale/1528448596,80.0,Used Detecto T100 multi-purpose 100 Lb Top Load Fixed Dial Scale,,"416-284-0811 FIRM PRICE Used Commercial grade Detecto T100 multi-purpose 100 Lb Top Loading Fixed Dial Scale 11.5"" x 11.5"", 100 lb. Capacity, medium size Top loading dial scale made of sturdy ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.574841
1528446640,/v-other-business-industrial/city-of-toronto/warehouse-cart-dolly-flat-bed-dolly-1100-lb-capacity/1528446640,139.99,"warehouse cart, dolly, flat bed dolly 1100 lb capacity",,"****1 year warranty *****Mrdockplate***** www.mrdockplate.ca Warehouse cart, amazing product Platform size: Weight capacity: Visit: www.mrdockplate.ca call us: 647-977-7677 visit our showroom: finch ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.575355
1448764975,/v-other-business-industrial/city-of-toronto/ach-4u-ac-adapter-12vdc-760ma-from-salcompoy/1448764975,5.0,ACH-4U AC Adapter 12VDC 760mA from Salcompoy,,ACH-4U AC Adapter 12VDC 760mA From Salcompoy Tested and work perfectly,City of Toronto,< 2 hours ago,2020-10-07 16:09:48.575949
1528445564,/v-other-business-industrial/city-of-toronto/new-15x15-commercial-heat-transfer-press-teflon-coated-pu-vinyl/1528445564,269.99,"New 15x15"" Commercial Heat Transfer Press Teflon Coated PU Vinyl",,"The 15""x15"" Flat Clam shell Heat Press with Teflon Coated Heat Element is ideal for heat transfer of design, graphics and photos to T-shirts, mouse pads, ceramic tiles etc. It is heavy duty ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.576745
1528445489,/v-other-business-industrial/city-of-toronto/28-500g-laser-metal-vinyl-cutter-plotter-car-decal-heat-press/1528445489,539.99,"28"" 500g Laser Metal Vinyl Cutter Plotter Car Decal Heat Press",,"The ""28"" 500g Metal Laser Dot Eye Vinyl Cutter Plotter HTV PU vinyl Car Decal Sticker Sign Vinyl Heat Press Vinyl"" is ideal equipment for cutting car decal or heat transfer vinyl of design, graphics ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.577239
1528445397,/v-other-business-industrial/city-of-toronto/15x15-heat-press-epson-wireless-printer-htv-vinyl-heat-transfer/1528445397,599.99,"15x15 Heat Press,Epson Wireless Printer HTV Vinyl Heat Transfer",,"The ""New 15x15 Heat Press,Epson All-in-One wireless Printer, PU Vinyl Heat Transfer Package"" is ideal for heat transfer of design, graphics and photos to T-shirts, mouse pads, ceramic tiles etc. It ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.577733
1528444137,/v-other-business-industrial/city-of-toronto/28-500g-metal-vinyl-cutter-15x15-heat-press-htv-pu-vinyl-pack/1528444137,839.99,"28"" 500g Metal Vinyl Cutter 15x15 Heat Press HTV PU Vinyl Pack",,"The ""New 28"" 500g force All METAL Laser Point Vinyl Cutter Plotter, 15x15 Heat Press, T-shirts, Heat Transfer Paper, HTV PU Vinyl, Window Vinyl, Vinyl Plotter Weeding Tools Package"" is ideal for heat ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.578223
1528444067,/v-other-business-industrial/city-of-toronto/15x15-heat-press-28-laser-plotter-cutter-epson-wireless-printer/1528444067,1099.99,"15x15 Heat Press,28"" Laser Plotter Cutter Epson Wireless Printer",,"The ""New 15x15 Heat Press, New 28"" 500g Force Metal Laser Point High Quality HTV PU Vinyl Cutter, New Epson wireless all-in-one printer, tshirt ink Kit Combo Package"" is ideal for heat transfer of ...",City of Toronto,< 2 hours ago,2020-10-07 16:09:48.578712
1528443432,/v-other-business-industrial/city-of-toronto/kee-klamps-structural-pipe-fittings/1528443432,180.0,Kee Klamps structural pipe fittings,,"Assortment of 81 Kee Klamp structrural pipe fittings for 1"" - 2"" pipe Similar to Alvin Industrial clamps or Easyfit clamps. fittings by pipe size: 2"" pipe - 3 fittings see picture 1 1/2'"" pipe - 51 ...",City of Toronto,< 3 hours ago,2020-10-07 16:09:48.579223
1528443194,/v-other-business-industrial/city-of-toronto/cooler-freezer-panels-3-and-6-new-used-blowout-prices/1528443194,4.5,"Cooler & Freezer Panels 3"" and 6"" New & Used, Blowout Prices!",,"Walk-in Freezer panels sale in Toronto I am clearing my stacks of used walk-in cooler and freezer panels of 3 or 6 inches. 514-577-7960 Size of Panels: WIDTH = 3.5ft LENGTH = 8-14ft USED 3"" NEW 3"" ...",City of Toronto,< 3 hours ago,2020-10-07 16:09:48.579731
