,url,price,title,distance,description,location,time_offset,retreived
1527332228,/v-other-clothing/city-of-toronto/genuine-leather-backpack-taupe/1527332228,60.0,"Genuine Leather Backpack, Taupe",,"Genuine leather backpack, taupe Fits 13” laptops 2 closure options (to make it larger or smaller) 1 small outside pocket, 3 internal pockets Pickup at King x Spadina",City of Toronto,< 8 minutes ago,2020-10-01 18:52:36.777917
1527331212,/v-other-clothing/city-of-toronto/belts/1527331212,15.0,Belts,,Brand new Never been used Size s-m for men Keep me posted,City of Toronto,< 15 minutes ago,2020-10-01 18:52:36.778403
1527320670,/v-other-clothing/city-of-toronto/new-size-46-full-custom-aprilia-racing-one-peice-suit/1527320670,850.0,New Size 46 full Custom Aprilia Racing One peice suit.,,New Size 46 full Custom Aprilia Racing One peice suit. Amazing quality. Condition of this suit is NEW. It has all safety padding included and can ship in a box for the cost of shipping. I Was ...,City of Toronto,< 2 hours ago,2020-10-01 18:52:36.778891
1527313676,/v-other-clothing/city-of-toronto/gucci-gg-belt-gold-size-95/1527313676,350.0,GUCCI GG BELT GOLD SIZE 95,,BRAND NEW 100% AUTHENTIC GUCCI BELT FOR SALE. NEVER WORN. COMES WITH VERY RARE SPECIALTY PACKAGING,City of Toronto,< 2 hours ago,2020-10-01 18:52:36.779375
1527305194,/v-other-clothing/city-of-toronto/gucci-gg-black-messenger-bag/1527305194,800.0,GUCCI GG BLACK MESSENGER BAG,,Excellent condition Gucci messenger bag 100% authentic. Willing to meet up/negotiate.,City of Toronto,< 3 hours ago,2020-10-01 18:52:36.779937
1527302012,/v-other-clothing/city-of-toronto/ray-ban-new-wayfarer-sunglasses-rb2132-901-52-18-3n-w-case/1527302012,60.0,"Ray-Ban “New Wayfarer” sunglasses RB2132 901 52 - 18 3N, w/case",,"Ray-Ban “New Wayfarer” RB 2132, comes with case! Lenses needed. Condition is Pre-owned. RB2132 New Wayfarer 901 52 - 18 3N Excellent condition Ray-Ban “New Wayfarers“! NOTE: They will need new lenses ...",City of Toronto,< 3 hours ago,2020-10-01 18:52:36.780424
1514850105,/v-other-clothing/city-of-toronto/deep-cleaning-services-for-enagic-kangen-water/1514850105,50.0,Deep Cleaning services for Enagic Kangen Water,,"6062 Yonge, North York, ON M2M 3W6 647 978 4080",City of Toronto,< 4 hours ago,2020-10-01 18:52:36.780910
1527287882,/v-other-clothing/city-of-toronto/gucci-belt-authentic/1527287882,400.0,Gucci belt authentic,,Brand new never worn size 38 Gucci belt,City of Toronto,< 5 hours ago,2020-10-01 18:52:36.781485
1527285990,/v-other-clothing/city-of-toronto/supreme-zip-tote/1527285990,175.0,Supreme Zip Tote,,SIZE: one size SEASON: FW20 COLOR: black CONDITION: new ASKING: $175 100% authentic｜Pick up in Toronto Purchased @supremenewyork online with receipt DM for details,City of Toronto,< 5 hours ago,2020-10-01 18:52:36.781978
1527285660,/v-other-clothing/city-of-toronto/supreme-canvas-tote/1527285660,150.0,Supreme Canvas Tote,,SIZE: one size SEASON: FW20 COLOR: white CONDITION: new ASKING: $150 100% authentic｜Pick up in Toronto Purchased @supremenewyork online with receipt DM for details,City of Toronto,< 5 hours ago,2020-10-01 18:52:36.782463
1527285147,/v-other-clothing/city-of-toronto/korean-hair-extensions-20-100g-400/1527285147,400.0,Korean hair extensions 20” 100g $400,,Dm @hairextensionsbydragon for inquiries and booking!,City of Toronto,< 5 hours ago,2020-10-01 18:52:36.782969
1527279441,/v-other-clothing/city-of-toronto/impact-gloves/1527279441,330.0,Impact Gloves,,"Selling different kind of impact gloves (28 pairs in total). Some of them costs 60 $, other are 29.99$ in canadian tire (Mechanix) per pair plus tax. Price is 330$ firm for all, can sell in smaller ...",City of Toronto,< 5 hours ago,2020-10-01 18:52:36.783452
1419542100,/v-other-clothing/city-of-toronto/brand-new-burberry-be3097-men-sunglasses/1419542100,200.0,Brand new Burberry BE3097 men sunglasses,,"Never worn, comes with everything (box, documents, case, branded cloth) Price firm",City of Toronto,< 7 hours ago,2020-10-01 18:52:36.783937
1212325751,/v-other-clothing/city-of-toronto/never-worn-venom-jersey-tank-top-m/1212325751,40.0,Never Worn Venom Jersey Tank Top - M,,Brand new Size Medium Officially licensed Marvel apparel,City of Toronto,< 7 hours ago,2020-10-01 18:52:36.784418
