,url,price,title,distance,description,location,time_offset,retreived
1528237928,/v-other-computer-products/city-of-toronto/sony-spressa-usb-plus-cd-rw-drive-usb-interface-model-crx100e-x2/1528237928,30.0,Sony SPRESSA USB Plus CD RW DRIVE USB Interface Model CRX100E/X2,,"Sony SPRESSA USB Plus CD RW DRIVE USB Interface Model CRX100E/X2. Condition is ""Used"". Missing 3 rubber feet. Includes power Cable.",City of Toronto,< 20 minutes ago,2020-10-06 12:46:28.426881
1528233708,/v-other-computer-products/city-of-toronto/monitor-desk-mount-13-27-in-screen-single-arm-20-2-arm-40/1528233708,19.99,MONITOR DESK MOUNT 13-27 IN SCREEN SINGLE-ARM $20 2 ARM $40,,"DESK MOUNT FOR LCD MONITOR MONITORS 13-27 IN SCREENS SINGLE ARM MONITOR MOUNT $25 DOUBLE ARM MONITOR MOUNT $40 The PROTECH DM 325 AND DM 330 Desk mounts allow you to clear out your desk surface while ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                We Deal with Android TV Boxes, Google TV Boxes, TV Wall Mounts, HD TV Antennas, Satellite Dishes, Computers, Laptops and Accessories",City of Toronto,< 39 minutes ago,2020-10-06 12:46:28.427434
1112349530,/v-other-computer-products/city-of-toronto/sony-ait-cleaning-tape-cartridge-and-ait3-data-tape/1112349530,10.0,Sony AIT cleaning tape / cartridge and AIT3 data tape,,"Selling (all are brand new selaed): 1 AIT cleaning cartridge for $10 1 AIT 3 tape for $30 If the ad is up, they are still available. Local pickup only. Thanks.",City of Toronto,< 2 hours ago,2020-10-06 12:46:28.427925
1112221830,/v-other-computer-products/city-of-toronto/sdlt-dlt-cleaning-tapes-cartridges/1112221830,30.0,SDLT DLT cleaning tapes cartridges,,"Selling all 6 tapes for $30. 2 SDLT, 3 DLT3 and 1 DLT1 If the ad is up, they are still available. Local pickup only. Thanks.",City of Toronto,< 2 hours ago,2020-10-06 12:46:28.428430
1528224911,/v-other-computer-products/city-of-toronto/elgato-hd60s-perfect-condition-brand-new/1528224911,240.0,Elgato HD60s Perfect Condition brand new,,HDMI and peer cable include has not been used!!,City of Toronto,< 2 hours ago,2020-10-06 12:46:28.429113
1528216354,/v-other-computer-products/city-of-toronto/quantum-scalar-50-lto4-dual-drive-tape-library/1528216354,250.0,Quantum Scalar 50 LTO4 dual-drive tape library,,"Comes with rails and cables I also have some brand new sealed tapes left, $20 each",City of Toronto,< 3 hours ago,2020-10-06 12:46:28.429647
1528186836,/v-other-computer-products/city-of-toronto/logitech-x56-hotas-rgb-throttle-flight-stick/1528186836,560.0,Logitech X56 HOTAS RGB Throttle Flight Stick,,"New in box, changed my mind about keeping it. Price is firm.",City of Toronto,< 5 hours ago,2020-10-06 12:46:28.430483
1517489800,/v-other-computer-products/city-of-toronto/track-and-find-gps-locators/1517489800,20.0,Track and find gps locators,,2 in a pack Neilson and ellesmere area Scarborough,City of Toronto,< 7 hours ago,2020-10-06 12:46:28.431057
1528164949,/v-other-computer-products/city-of-toronto/wacom-intuos-pro-s/1528164949,170.0,Wacom Intuos Pro S,,Up for sale is a Wacom Intuos Pro Small pen and touch tablet. This is not the new 2019 version but the previous model (PTH-451). Includes original box with the following accessories: Wacom Grip Pen ...,City of Toronto,< 12 hours ago,2020-10-06 12:46:28.431549
1528139096,/v-other-computer-products/city-of-toronto/evga-ftw3-gtx1080ti-11gb/1528139096,600.0,EVGA FTW3 gtx1080ti 11gb,,"Still in warranty , has no problem at all , sell it because upgrade , pick up in yonge and finch",City of Toronto,< 17 hours ago,2020-10-06 12:46:28.432036
