,url,price,title,distance,description,location,time_offset,retreived
1528043177,/v-other-furniture/city-of-toronto/floor-lamp-bronze-tone-and-glass/1528043177,20.0,Floor lamp-bronze tone and glass.,,"Floor lamp, bronze tone stem, amber coloured glass ball decoration. Silk-like matching shade. Give your home a touch of autumn .",City of Toronto,< 2 hours ago,2020-10-05 13:49:41.529952
1528037456,/v-other-furniture/city-of-toronto/ez-moves-furniture-moving-system/1528037456,10.0,EZ-Moves Furniture Moving System,,"EZ-Moves Furniture Moving System provides 10x your natural strength System makes it easy for you to move items by yourself, just lift, place, and slide! Includes EZ-Moves Furniture lifter and 8 ...",City of Toronto,< 3 hours ago,2020-10-05 13:49:41.530451
1528034029,/v-other-furniture/city-of-toronto/lamp-10/1528034029,10.0,Lamp $10,,"Lamp $10. Posted in furniture, other in City of Toronto. October 5, 2020",City of Toronto,< 3 hours ago,2020-10-05 13:49:41.530942
1528033131,/v-other-furniture/city-of-toronto/round-glass-31-inches-for-25/1528033131,25.0,Round glass 31 inches for $25,,"Round glass 31 inches for $25. Posted in furniture, other in City of Toronto. October 5, 2020",City of Toronto,< 3 hours ago,2020-10-05 13:49:41.531431
1528032030,/v-other-furniture/city-of-toronto/bedsure-comfy-pet-elevated-pet-bed/1528032030,40.0,BEDSURE Comfy Pet- Elevated Pet Bed,,"BEDSURE Comfy Pet- Elevated Pet Bed (49""X35""X8"") Can Deliver based on location within GTA",City of Toronto,< 3 hours ago,2020-10-05 13:49:41.531982
1528026455,/v-other-furniture/city-of-toronto/room-divider/1528026455,110.0,Room divider,,"Wood room divider in perfect condition. I will move and it will be not necessary anymore. Pick up online, I don’t have how to deliver it. Young and Eglinton area.",City of Toronto,< 3 hours ago,2020-10-05 13:49:41.532687
1528021464,/v-other-furniture/city-of-toronto/classic-park-bench/1528021464,680.0,Classic Park Bench,,"ON SALE NOW! Classic 6 ft. park bench, slats made of recycled plastic materials and frames made from galvanized steel. High quality furnitures for a low price. Great for park, recreational areas, ...",City of Toronto,< 4 hours ago,2020-10-05 13:49:41.533237
1528018488,/v-other-furniture/city-of-toronto/classic-metal-bench/1528018488,750.0,Classic Metal Bench,,"ON SALE NOW! Classic 6ft. metal bench built with high quality materials and powder-coated finish. Great quality for a lower price! Ideal for parks, recreation areas and public spaces. Can also be ...",City of Toronto,< 4 hours ago,2020-10-05 13:49:41.533741
1528018397,/v-other-furniture/city-of-toronto/ikea-2-drawer-chest/1528018397,50.0,Ikea 2 drawer chest,,Very new pick up only,City of Toronto,< 4 hours ago,2020-10-05 13:49:41.534264
1512151990,/v-other-furniture/city-of-toronto/antique-wood-golden-trimmed-mirror/1512151990,180.0,Antique wood golden trimmed mirror,,We closed our antique shop and selling everything from online. Instagram:beezantique,City of Toronto,< 4 hours ago,2020-10-05 13:49:41.534815
