,url,price,title,distance,description,location,time_offset,retreived
1528281240,/v-other-home-appliance/city-of-toronto/ac-for-sale/1528281240,50.0,AC for sale,,5000 Btu $50 each,City of Toronto,< 2 hours ago,2020-10-06 17:09:35.808831
1528273501,/v-other-home-appliance/city-of-toronto/excalibur-dehydrator/1528273501,175.0,Excalibur dehydrator,,Excellent dehydrator. Used only a few times. Spilled cacao oil on the temp knob so to turn it on you must warm it up w a blow dryer first Still works incredible Will throw in the dehydrator sherts ...,City of Toronto,< 2 hours ago,2020-10-06 17:09:35.809332
1528266919,/v-other-home-appliance/city-of-toronto/kitchen-aid-mixer/1528266919,430.0,Kitchen Aid Mixer!,,"BRAND NEW IN A BOX, 5-Qt.(2, 37 L) Glass Bowl with 10-Speed settings Tilt-Head design. Includes coated metal flat beater, coated metal dough hook, and wire whisk for $430.",City of Toronto,< 3 hours ago,2020-10-06 17:09:35.809823
1528266203,/v-other-home-appliance/city-of-toronto/like-new-counter-top-water-distiller/1528266203,150.0,Like new counter top water distiller,,https://www.purewaterinc.com/Mini-Classic-CT-Countertop-Water-Distiller Originally 600$ USD. Steam powered water distiller. Used twice.,City of Toronto,< 3 hours ago,2020-10-06 17:09:35.810311
1528256926,/v-other-home-appliance/city-of-toronto/small-electric-fondue-crock-pot-by-rival/1528256926,10.0,SMALL ELECTRIC FONDUE CROCK POT BY RIVAL,,"FONDUE ""LITTLE DIPPER"" ELECTRIC CROCK POT BY RIVAL Melt chocolate, cheese, etc. for fondues Electric stoneware server For household use only Cream colour with blue/orange/beige design around bottom ...",City of Toronto,< 4 hours ago,2020-10-06 17:09:35.810866
1505138450,/v-other-home-appliance/city-of-toronto/dishwasher-drain-hose/1505138450,0.01,Dishwasher drain hose,,Black one 7 feet long. white one 82 '' long. $5/each,City of Toronto,< 4 hours ago,2020-10-06 17:09:35.811362
1528246777,/v-other-home-appliance/city-of-toronto/water-hot-and-cold-dispenser/1528246777,110.0,Water Hot and Cold Dispenser,,In excellent condition,City of Toronto,< 4 hours ago,2020-10-06 17:09:35.811852
1528243680,/v-other-home-appliance/city-of-toronto/comfee-5-000-btu-manual-window-air-conditioner/1528243680,125.0,"Comfee 5,000 BTU Manual Window Air Conditioner",,Used for 6 months,City of Toronto,< 5 hours ago,2020-10-06 17:09:35.812341
1528238788,/v-other-home-appliance/city-of-toronto/kitchen-aid-stand-mixer-good-condition/1528238788,280.0,Kitchen-Aid Stand Mixer Good Condition!,,"Red Kitchen-aid stand mixer (Ultra Power PLUS) in very good condition. Easy to use and all extra parts are included: whisk, beater, hook attachments and bowl cover to prevent food splashing outside ...",City of Toronto,< 5 hours ago,2020-10-06 17:09:35.812833
1303224864,/v-other-home-appliance/city-of-toronto/new-inf-professional-5100-hair-dryer/1303224864,150.0,NEW INF PROFESSIONAL 5100 Hair dryer,,BRAND NEW NEW INF PROFESSIONAL 5100 HAIR DRYER PLEASE TEXT OR CALL. NO EXCHANGE OR TRADES. WILL NOT MAIL. NO PAY PAL OR PERSONAL CHEQUES. NO INTERNET OR ELECTRONIC. TRANSACTIONS. •Super strong air ...,City of Toronto,< 5 hours ago,2020-10-06 17:09:35.813329
1528232845,/v-other-home-appliance/city-of-toronto/cuisinart-waffle-maker/1528232845,20.0,Cuisinart Waffle Maker,,Cuisineart waffle maker used maybe 20 times. Come pickup at finch/427,City of Toronto,< 6 hours ago,2020-10-06 17:09:35.813820
1528230255,/v-other-home-appliance/city-of-toronto/food-saver-vacuum-sealer-new/1528230255,100.0,FOOD SAVER VACUUM SEALER! (NEW),,"FOOD SAVER VACUUM SEALER! (NEW). Posted in home appliances, other in City of Toronto. October 6, 2020",City of Toronto,< 6 hours ago,2020-10-06 17:09:35.814311
1528224619,/v-other-home-appliance/city-of-toronto/air-conditioner-for-sale/1528224619,100.0,Air conditioner for sale,,"Whirlpool air conditioner. $100 10,000 BTU/h In great working condition. Must go Asap. Please contact for more details.",City of Toronto,< 6 hours ago,2020-10-06 17:09:35.814816
1528221391,/v-other-home-appliance/city-of-toronto/a-cs/1528221391,50.0,A/Cs,,"Selling 2 A/Cs (i know its late in the season, but good to get a head start) for $30 each or both for $50 or best offer. Both are 4 years old. Were moving to a house on Oct 31 with central AC so we ...",City of Toronto,< 7 hours ago,2020-10-06 17:09:35.815315
1528217197,/v-other-home-appliance/city-of-toronto/foodsaver-v3840-40/1528217197,40.0,Foodsaver v3840  $40,,Foodsaver v3840 $40 Need gone today. 4164588958,City of Toronto,< 7 hours ago,2020-10-06 17:09:35.815811
1528215202,/v-other-home-appliance/city-of-toronto/stand-mixer/1528215202,100.0,Stand mixer,,Sunbeam mixmaster stand mixer Excellent used condition stand mixer. Used only for 3 months. Sunbeam mixmaster 12 speed 350 watts of power Removable head for easy cleaning Has 2.0&4.0 quart stainless ...,City of Toronto,< 7 hours ago,2020-10-06 17:09:35.816307
1517295980,/v-other-home-appliance/city-of-toronto/herb-grinder/1517295980,35.0,Herb Grinder,,"Herb Grinder - NEW - Never used, in box - The cannabis ideal tool",City of Toronto,< 7 hours ago,2020-10-06 17:09:35.816797
