,url,price,title,distance,description,location,time_offset,retreived
1528356811,/v-paint-and-painting-supplies/city-of-toronto/rust-oleum/1528356811,8.0,Rust-oleum,,Brand new ultra matte spray paint,City of Toronto,< 11 hours ago,2020-10-07 16:48:40.321109
1528332239,/v-paint-and-painting-supplies/city-of-toronto/painting-and-staining-exterior-paint-interior-paint-24-7/1528332239,0.0,Painting and staining - exterior paint interior paint 24/7,,We are specialized in interior and exterior paint - sanding and staining 24/7 **Last minute calls are welcome** For affordable price feel free to call or text 6472704382. Thanks...,City of Toronto,< 20 hours ago,2020-10-07 16:48:40.321629
1528312638,/v-paint-and-painting-supplies/city-of-toronto/5-gallon-flat-white-60-each-firm-price/1528312638,60.0,5 Gallon Flat White $60 each firm price,,Selling 5 Gallon Flat white $60 each firm price 6 pails available Call or text 289-923-7687 for pick up,City of Toronto,< 22 hours ago,2020-10-07 16:48:40.322164
1528312226,/v-paint-and-painting-supplies/city-of-toronto/5-gallon-primer-sealer-50-firm-price/1528312226,50.0,5 Gallon Primer Sealer $50 firm price,,5 Gallon Primer sealer $50 each firm price 5 pails available Call 289-923-7687 for pick up,City of Toronto,< 22 hours ago,2020-10-07 16:48:40.322654
1528311842,/v-paint-and-painting-supplies/city-of-toronto/5-gallon-eggshell-white-90-each-firm/1528311842,90.0,5 Gallon Eggshell White $90 each firm,,5 Gallon Eggshell White $90 each firm price. Brand new lots of quantity available. Call or text 289-923-7687 for pick up,City of Toronto,< 22 hours ago,2020-10-07 16:48:40.323145
1528311460,/v-paint-and-painting-supplies/city-of-toronto/5-gallon-semi-gloss-white-95-each-firm/1528311460,95.0,5 Gallon Semi Gloss White $95 each firm,,Selling 5 Gallon Semi Gloss White $95 each firm price . Brand new lots of pails available. Call or text 289-923-7687 for pick up,City of Toronto,< 22 hours ago,2020-10-07 16:48:40.323657
1528247545,/v-paint-and-painting-supplies/city-of-toronto/durex-architectural-coatings-brush-coat-paint/1528247545,30.0,Durex Architectural Coatings Brush Coat Paint,,"Two full 20-litre pails of never-opened Durex Architectural Coatings Brush Coat paints, Colour #46-19P. $30 each pail.",City of Toronto,Yesterday,2020-10-07 16:48:40.324146
1528201511,/v-paint-and-painting-supplies/city-of-toronto/graco-390-pc-and-titan-115-capspray/1528201511,1200.0,Graco 390 pc and titan 115 capspray,,Graco 390 pc $1200.00 The graco 390 is brand new. It has less then 1 hour on it. I just used it to spray 10 interior doors. I have the receipt and was purchased couple weeks ago. I still didn't ...,City of Toronto,Yesterday,2020-10-07 16:48:40.324836
398733806,/v-paint-and-painting-supplies/city-of-toronto/hinges/398733806,10.0,hinges,,"CALL for PICK UP OR INFO. 10 am to 7 pm 416 532 0158, Frank cheers !",City of Toronto,05/10/2020,2020-10-07 16:48:40.325325
1112906982,/v-paint-and-painting-supplies/city-of-toronto/paint-trays-and-paint-roller-for-sale/1112906982,15.0,Paint trays and paint roller for sale.,,"Four pieces set consisting of paint roller frame, paint roller (9.5 inches long) and 2 trays (one from Rona) for sale. Price $15. Contact by e-mail. If ad is online, item is still available.",City of Toronto,05/10/2020,2020-10-07 16:48:40.325814
