,url,price,title,distance,description,location,time_offset,retreived
1528159583,/v-paintball/city-of-toronto/paintball-pack/1528159583,250.0,Paintball Pack,,Tippmann A5 Comes with UMP shroud HPA tank Remote line Stock 8 inch barrel 7 inch apex barrel 10 inch apex ready barrel barrel cover fake mag butt stock missing adjuster lever original end cap 200 ...,City of Toronto,< 13 hours ago,2020-10-06 12:17:04.248139
1528145421,/v-paintball/city-of-toronto/paintball-long-barrel-lightweight-carbon-fiber/1528145421,100.0,Paintball Long Barrel (Lightweight Carbon Fiber),,"Mint condition. I don’t paint all anymore. It’s a long barrel for speedball guns. It’s also carbon fiber, super light weight. Retails for $120. Don’t lowball shoot an offer if I like it I’ll give it ...",City of Toronto,< 16 hours ago,2020-10-06 12:17:04.248641
1525910739,/v-paintball/city-of-toronto/paint-ball/1525910739,150.0,Paint Ball,,$150 for both Good Condition no canister and no paintball 1 gun comes w 3d printed hopper adapter,City of Toronto,< 17 hours ago,2020-10-06 12:17:04.249135
1527447144,/v-paintball/city-of-toronto/paintball-bt-4-combat-marker-with-2-barrels-250-rounds-hopper/1527447144,200.0,"Paintball BT-4 Combat marker with 2 barrels, 250 rounds hopper",,-Gun is in good condition and it has been used twice. - Vest is still new and has been used once.,City of Toronto,< 18 hours ago,2020-10-06 12:17:04.249625
1528116020,/v-paintball/city-of-toronto/smart-parts-ion/1528116020,100.0,Smart Parts Ion,,"Good Condition, no air leaks, shoots no problem, just need new battery.",City of Toronto,< 19 hours ago,2020-10-06 12:17:04.250315
1528115794,/v-paintball/city-of-toronto/paintball-mask/1528115794,15.0,Paintball Mask,,"Used condition, has small scratches on lense",City of Toronto,< 19 hours ago,2020-10-06 12:17:04.250818
1528115010,/v-paintball/city-of-toronto/paintball-sling/1528115010,15.0,Paintball Sling,,"Good condition, no rips or tears.",City of Toronto,< 19 hours ago,2020-10-06 12:17:04.251310
1528106517,/v-paintball/city-of-toronto/tippmann-paintball/1528106517,100.0,Tippmann paintball,,Tippmann A-5 paintball used in excellent used condition have no time anymore for it Asking 100 obo,City of Toronto,< 19 hours ago,2020-10-06 12:17:04.251829
1527983110,/v-paintball/city-of-toronto/tacamo-blizzard/1527983110,250.0,Tacamo blizzard,,"Tacamo blizzard with e trigger, red dot, Apex barrel, tip with stubby grip, air through stock",City of Toronto,Yesterday,2020-10-06 12:17:04.252323
1527982637,/v-paintball/city-of-toronto/tippmann-98-custom/1527982637,160.0,Tippmann 98 custom,,"Bought it years ago, probably only used 5 times. Looking to get rid of it, comes with everything you see in the picture. Looking for $160 or best offer, cash only.",City of Toronto,Yesterday,2020-10-06 12:17:04.252813
1527775657,/v-paintball/city-of-toronto/2005-indian-creek-design-promaster-painball-gun-black-tank/1527775657,180.0,2005 Indian Creek Design Promaster Painball Gun (Black) + TANK,,"2005 Indian Creek Design Promaster, probably needs a new board and it'll then shoot 15-20 balls per second. Comes with air tank & tank sleeve.",City of Toronto,04/10/2020,2020-10-06 12:17:04.253453
1527900391,/v-paintball/city-of-toronto/paintball-marker/1527900391,123.0,Paintball Marker,,"Mokal Fokus VX paintball Marker 2 gas cylinders. Excellent condition Can deliver Barrie, Parry Sound or pick up in Toronto. Best offer",City of Toronto,04/10/2020,2020-10-06 12:17:04.254115
1527628927,/v-paintball/city-of-toronto/tippmann-a5-paintball-gun-with-flatline-barrell-with-tank-kit/1527628927,250.0,Tippmann A5 Paintball Gun with Flatline Barrell with tank & kit,,"My old paintball kit, comes with a flatline barrel, hopper and hopper reload pods as well as an air tank.",City of Toronto,04/10/2020,2020-10-06 12:17:04.254620
1517107551,/v-paintball/city-of-toronto/genglobal-140-paintball-tube-pod/1517107551,5.0,Genglobal 140 Paintball Tube Pod,,Army green coloured.. Selling for a fiver.,City of Toronto,04/10/2020,2020-10-06 12:17:04.255311
1526751491,/v-paintball/city-of-toronto/ninja-50-4500/1526751491,120.0,NINJA 50/4500,,Tank is in amazing condition! Gauge has a scratches but still readable! Date is 09/11 and because of it being under 61 cubic inch does not have to be tested and has 6 years in it! Also will be ...,City of Toronto,03/10/2020,2020-10-06 12:17:04.255880
1469788967,/v-paintball/city-of-toronto/acu-army-uniform/1469788967,20.0,ACU Army Uniform,,"ACU army uniform, size L. In excellent condition.",City of Toronto,03/10/2020,2020-10-06 12:17:04.256381
1527731651,/v-paintball/city-of-toronto/airsoft-paintball-tactical-vest/1527731651,100.0,"Wanted:
                            Airsoft/paintball tactical vest",,"Condor cross-draw vest (used) I’m selling my vest to buy a plate carrier Good condition No rips, no holes It will be cleaned before you buy it",City of Toronto,03/10/2020,2020-10-06 12:17:04.256878
1527711354,/v-paintball/city-of-toronto/paintball-marker-tippman/1527711354,160.0,Paintball Marker Tippman,,Tippman Bravo one Elite Hopper and HPA tank $60 extra,City of Toronto,03/10/2020,2020-10-06 12:17:04.257369
1449480356,/v-paintball/city-of-toronto/more-paintball-stuff/1449480356,40.0,More paintball stuff,,Brand new exalt paintball shoes sz11 - $80 SOLD BN Limited edition NXE skull $50 sold Limited Alex Fraige NXE $60 .... SOLD Camo vest ( very good condition) .. $40 SOLD Yellow mask $30. SOLD Camo ...,City of Toronto,03/10/2020,2020-10-06 12:17:04.257912
1527625035,/v-paintball/city-of-toronto/can-t-miss-offer-for-paint-ball-guns-and-gear/1527625035,500.0,Can’t miss offer for Paint ball guns and gear!!!,,"Selling two paintball guns one is a tippman and the other is a Black hawk . Comes with air chamber, ammunition holder, hoppers and helmets . Excellent condition . Used 4 times . Serious inquiries ...",City of Toronto,03/10/2020,2020-10-06 12:17:04.258423
1527468237,/v-paintball/city-of-toronto/paintball-gun-all-accessories/1527468237,700.0,Paintball Gun + All Accessories,,"- Paintball Gun (Fully upgraded in and out, no stock parts) - Freak Barrel with multiple sized inserts - Stock Barrel - 2, 3000psi Tanks + Cover - 2 Pod Straps, 6 XL Pods, 2 standard Pods - Empire E ...",City of Toronto,03/10/2020,2020-10-06 12:17:04.258928
1527549509,/v-paintball/city-of-toronto/camo-uniform-and-paintball-masks/1527549509,1.0,Camo uniform and paintball masks,,Pm me for the price,City of Toronto,03/10/2020,2020-10-06 12:17:04.259426
