,url,price,title,distance,description,location,time_offset,retreived
1528476286,/v-outdoor-decor/city-of-toronto/ball-of-fire-steel-wood-burning-fire-pit/1528476286,250.0,Ball of Fire Steel Wood Burning Fire Pit,,New in opened box a fire pit. Very trendy and made of steel. Going for over $300 on Wayfair. Asking $250,City of Toronto,< 1 minute ago,2020-10-07 17:01:06.638794
1528475121,/v-outdoor-decor/city-of-toronto/6-new-garden-lanterns-gluckstein-design/1528475121,30.0,6 New Garden Lanterns - Gluckstein Design,,"- Outdoor garden lanterns - Gluckstein Home - They screw in to a wall or wood post (screws included) - Fueled by lantern oil (not included) - 6 total - 4 in box, 2 unboxed - Bonus - 4 free matching ...",City of Toronto,< 8 minutes ago,2020-10-07 17:01:06.639498
1528474800,/v-bbq-outdoor-cooking/city-of-toronto/broil-king-baron-natural-gas-bbq/1528474800,250.0,Broil King Baron Natural Gas BBQ,,"Selling a 3 burner natural gas grill from Broil King, never have to worry about running out of propane in the middle of your barbecue sessions! Grates are in great shape and I've never used a grill ...",City of Toronto,< 10 minutes ago,2020-10-07 17:01:06.639990
1528474623,/v-bbq-outdoor-cooking/city-of-toronto/coleman-fyresergeant-2-burner-grill-stove/1528474623,160.0,Coleman FyreSergeant 2-Burner Grill Stove,,Coleman FyreSergeant 2-Burner Grill Stove New condition. Used 3 times this summer. $160 obo,City of Toronto,< 11 minutes ago,2020-10-07 17:01:06.640483
1528473072,/v-lawnmower-leaf-blower/city-of-toronto/selling-scotts-20-inch-push-mower/1528473072,80.0,*Selling scotts 20 inch push mower*,,Great condition sharp asking 80 text 6476675334,City of Toronto,< 20 minutes ago,2020-10-07 17:01:06.640974
1528472945,/v-patio-garden-furniture/city-of-toronto/patio-furniture/1528472945,750.0,Patio furniture,,"SOLLERON - couch, table and carpet for sale. Brand new - purchased it July 2020. Original price $900",City of Toronto,< 21 minutes ago,2020-10-07 17:01:06.641473
1528472917,/v-patio-garden-furniture/city-of-toronto/70-new-for-living-augusta-wood-burning-fire-bowl/1528472917,70.0,$70. New For Living AUGUSTA Wood Burning Fire Bowl,,"$70.00 Brand new, 29.5 "" fire bowl. Bought today for $ 135.59. tax in. all pieces are still in the box except the firescreen that I removed. Items still have their stickers and wrap in the box. Inc. ...",City of Toronto,< 21 minutes ago,2020-10-07 17:01:06.641962
1528472767,/v-outdoor-decor/city-of-toronto/vintage-wheelbarrow/1528472767,50.0,Vintage Wheelbarrow,,"Old wheelbarrow. Still will function, but better suited for garden decoration $50.00",City of Toronto,< 22 minutes ago,2020-10-07 17:01:06.642453
1528471781,/v-patio-garden-furniture/city-of-toronto/patio-heater/1528471781,350.0,Patio heater,,"Gently used propane patio heater. Puts out 41,000 BTU’s. It’s been stored in the basement for a few years now but is fine shape apart from some minor aesthetic dings and what not. Clearing out ...",City of Toronto,< 28 minutes ago,2020-10-07 17:01:06.642945
1528469563,/v-lawnmower-leaf-blower/city-of-toronto/toro-recycler-22-smartstow-lawn-mower/1528469563,320.0,"Toro recycler 22"" smartstow lawn mower",,This is the toro mow n' stow mower that can be stored vertically. Saves a lot of space in the garage. Only selling as we have hired a contractor to take care of our lawn. Unit is only 2 years old and ...,City of Toronto,< 40 minutes ago,2020-10-07 17:01:06.643445
