,url,price,title,distance,description,location,time_offset,retreived
1528338414,/v-pc-games/city-of-toronto/excellent-condition-for-flight-simulations-yoke-and-throttle/1528338414,175.0,Excellent Condition For Flight Simulations Yoke and Throttle,,Excellent Condition Free Delivery Free Drop Off Throttle and Yoke For Flight Simulations,City of Toronto,< 2 hours ago,2020-10-07 00:04:44.001346
1528337884,/v-pc-games/city-of-toronto/excellent-condition-pro-pedals-for-flight-simulations/1528337884,210.0,Excellent Condition PRO Pedals for Flight Simulations,,Excellent Condition with an Original Box USB connection Works Great Free Delivery Free Drop Off,City of Toronto,< 3 hours ago,2020-10-07 00:04:44.001847
1528329273,/v-pc-games/city-of-toronto/star-trek-items-new/1528329273,15.0,Star Trek items NEW,,Star trek Deluxe starship creator $35 Star trek encyclopedia a reference guide to the future 3.0 $15,City of Toronto,< 4 hours ago,2020-10-07 00:04:44.002334
1528323496,/v-pc-games/city-of-toronto/new-star-wars-pc-games/1528323496,35.0,NEW Star Wars Pc Games,,All games are new and never played. The boxes are not sealed but in perfect condition. With original receipts. Jedi Knight ll Jedi Outcast $35 Empire at War PC CD-Rom $ 50 X-Wing collector Series $60,City of Toronto,< 4 hours ago,2020-10-07 00:04:44.002828
1528321624,/v-pc-games/city-of-toronto/star-trek-starfleet-command-lll-pc-game/1528321624,45.0,Star TRek Starfleet Command lll PC game,,Star TRek: Starfleet Command lll PC game New in box.,City of Toronto,< 5 hours ago,2020-10-07 00:04:44.003325
1528311839,/v-pc-games/city-of-toronto/1981-frogger-video-cassette-game-for-a-timex-sinclair-computer/1528311839,10.0,1981 FROGGER VIDEO CASSETTE GAME FOR A TIMEX SINCLAIR COMPUTER,,1981 FROGGER VIDEO CASSETTE GAME FOR A TIMEX SINCLAIR 1000 COMPUTER Object of game is to direct frogs to their homes one by one by crossing a busy road and navigating a river full of hazards Cassette ...,City of Toronto,< 6 hours ago,2020-10-07 00:04:44.003820
1528286741,/v-pc-games/city-of-toronto/simulation-games-flight-pc/1528286741,20.0,Simulation* Games* flight *PC,,Numerous and various PC simulations for sale. No more use for them. From an avid collector. Pristine condition. Contact for further details. Varies in price depending. Flexible.,City of Toronto,< 8 hours ago,2020-10-07 00:04:44.004523
1528281138,/v-pc-games/city-of-toronto/spider-man-pc-game-cd/1528281138,80.0,Spider-man pc game cd,,Brand new!!!,City of Toronto,< 8 hours ago,2020-10-07 00:04:44.005207
1528281096,/v-pc-games/city-of-toronto/pc-games/1528281096,10.0,PC games,,All games are $10 Trainz Ultimate Collection Age of the Sail ll Privateer's Bounty Beach Head 2002 Hegemonia Legions of Iron Warbirds lll Fighter Pilot Academy Total Immersion Racing Desert Thunder,City of Toronto,< 8 hours ago,2020-10-07 00:04:44.005694
1528278859,/v-pc-games/city-of-toronto/battlefield-1942-cd-ea-games/1528278859,130.0,Battlefield 1942 CD (EA GAMES),,Brand new never used,City of Toronto,< 9 hours ago,2020-10-07 00:04:44.006181
1528276553,/v-pc-games/city-of-toronto/hyperx-cloud-ii-gaming-headset-for-pc-ps4-xbox-one-nintendo/1528276553,95.0,"HyperX Cloud II Gaming Headset for PC & PS4 & Xbox One, Nintendo",,"Brand New! Still in the box and never been used! HyperX Cloud II Gaming Headset for PC & PS4 & Xbox One, Nintendo Switch - Red (KHX-HSCP-RD)",City of Toronto,< 9 hours ago,2020-10-07 00:04:44.006679
1528275229,/v-pc-games/city-of-toronto/star-wars-pc-games/1528275229,20.0,Star Wars PC Games,,All in original packaging and new. STAR WARS: Galactic Battle Grounds $70 Force Commander $30 X-Wing Alliance $10 Rebellion$ 100,City of Toronto,< 9 hours ago,2020-10-07 00:04:44.007167
1528271932,/v-pc-games/city-of-toronto/star-trek-pc-games-all-new/1528271932,15.0,"Star Trek PC Games
All new",,All are in original packaging and most likely have original receipts in box. None of these have been used. Star Trek: *Starship Creator Warp ll -$30 * Armada ll -$ 160 * starfleet command Gold ...,City of Toronto,< 9 hours ago,2020-10-07 00:04:44.007658
1528261087,/v-pc-games/city-of-toronto/star-trek-pc-games/1528261087,15.0,Star Trek PC Games,,All games are in original packaging and have not been used. Boxes were opened for verification of item but other then that. They are all original and untouched. Star Trek: *Conquest Online - $10 *The ...,City of Toronto,< 10 hours ago,2020-10-07 00:04:44.008194
1528256001,/v-pc-games/city-of-toronto/star-trek-pc-games/1528256001,15.0,Star Trek PC games,,Star TRek PC games are all in original packaging and Brand new. The plastic seal is just removed but zero damage. In MINT CONDITION Star Trek Voyager - Elite Force Transition Pack $80 - Generations $ ...,City of Toronto,< 11 hours ago,2020-10-07 00:04:44.008690
1528248498,/v-pc-games/city-of-toronto/switch-controller-pikachu-battle-pad/1528248498,25.0,Switch controller pikachu - battle pad,,Compatible with super smash bros ultimate,City of Toronto,< 11 hours ago,2020-10-07 00:04:44.009185
1528242066,/v-pc-games/city-of-toronto/star-trek-pc-games/1528242066,10.0,Star Trek PC Games,,All PC Games are Star Trek and unopened in original boxes *Birth Of The Federation *Armada- $50 *Starship Creator- $ 20 *Captains Chair- The Virtual Tour of Five Starship Bridges - $20 * Hidden ...,City of Toronto,< 12 hours ago,2020-10-07 00:04:44.009676
