,url,price,title,distance,description,location,time_offset,retreived
1528484613,/v-performance-dj-equipment/city-of-toronto/numark-party-mix-dj-controller/1528484613,100.0,Numark party mix dj controller,,New in box. Comes with Serato djlite,City of Toronto,< 45 minutes ago,2020-10-07 18:25:50.314867
1528443025,/v-performance-dj-equipment/city-of-toronto/selling-2-pioneer-cdj2000nxs2/1528443025,4600.0,Selling 2 Pioneer CDJ2000nxs2,,"Selling a pair of Pioneer CDJ2000nxs2s. Good condition, email with inquiries.",City of Toronto,< 5 hours ago,2020-10-07 18:25:50.315369
1528436473,/v-performance-dj-equipment/city-of-toronto/brand-new-numark-mixtrack-platinum-fx-dj-controller-summer-sale/1528436473,359.99,Brand New Numark MIXTRACK PLATINUM FX DJ Controller -SUMMER SALE,,Brand New Numark MIXTRACK PLATINUM FX DJ Controller -SUMMER SALE!! ================================== Sale > $359.99 Reg > $399.99 ================================== The Mixtrack Platinum FX has all ...,City of Toronto,< 5 hours ago,2020-10-07 18:25:50.315859
1528424774,/v-performance-dj-equipment/city-of-toronto/brand-new-numark-mixtrack-pro-fx-dj-controller-summer-sale/1528424774,289.99,Brand New Numark MIXTRACK PRO FX DJ Controller - SUMMER SALE!,,Brand New Numark MIXTRACK PRO FX DJ Controller - SUMMER SALE! ————————————————————————- Sale > $289.99 Reg > $349.99 ————————————————————————- The Mixtrack Pro FX is a Serato DJ controller designed ...,City of Toronto,< 6 hours ago,2020-10-07 18:25:50.316347
1528423286,/v-performance-dj-equipment/city-of-toronto/elektron-octatrack/1528423286,1200.0,elektron octatrack,,"Haven't used it beyond turning it on and trying to figure out out. Seems to be an amazing tool for sampling and performing music but i haven't had the time to learn it. Like new. Includes cover, ...",City of Toronto,< 6 hours ago,2020-10-07 18:25:50.316832
1528395272,/v-performance-dj-equipment/city-of-toronto/arturia-beatstep/1528395272,60.0,Arturia Beatstep,,"Good condition, includes MIDI adapter and USB cable. Amazing little controller!",City of Toronto,< 9 hours ago,2020-10-07 18:25:50.317318
1528335256,/v-performance-dj-equipment/city-of-toronto/allen-heath-mixer-16-channel/1528335256,850.0,Allen & Heath Mixer - 16 Channel,,"Gently used by a Sound Production Company, always travel in original box. Mint Condition, no scratch or dent. Asking: $850.00 Pick up in Scarborough",City of Toronto,< 21 hours ago,2020-10-07 18:25:50.317823
1528310463,/v-performance-dj-equipment/city-of-toronto/korg-electribe-2-music-production-station/1528310463,550.0,KORG Electribe 2 - Music Production Station,,"I bought this unit a couple years ago to try the Korg workflow. I never got used to it, as I personally like the MPC workflow better. It's been sitting boxed in my studio for a while now, so I think ...",City of Toronto,< 24 hours ago,2020-10-07 18:25:50.318698
1528262487,/v-performance-dj-equipment/city-of-toronto/dj-flight-case/1528262487,100.0,DJ Flight Case,,"Outer Dimensions - 32x18x9"" Inner Dimensions - 29x16.5"" (not including foam - 1 1/4"" thick) Inner Top Piece - 30x12"" Wheels are in good shape. Case is very strong, good condition. Two holes through ...",City of Toronto,Yesterday,2020-10-07 18:25:50.319180
1528255676,/v-performance-dj-equipment/city-of-toronto/roland-dj-505-dj-controller-mixer-with-drum-machines/1528255676,850.0,Roland DJ-505 DJ Controller Mixer With Drum Machines,,Save over $200 by purchasing this mint Roland 505. Selling to Upgrade. Perfect Condition. Comes with the original box and Adaptor. Price is Firm *One free vintage suitcase included* -Two channels and ...,City of Toronto,Yesterday,2020-10-07 18:25:50.319682
1331481341,/v-performance-dj-equipment/city-of-toronto/two-pioneer-dvj-x1-dj-video-player-pair/1331481341,1400.0,Two Pioneer DVJ-X1 DJ Video Player (Pair),,"Two Pioneer DVJ-X1 DJ Video Player (Pair) Specifications Frequency Range: 4 - 20000 Hz Frequency Range DVD 96 kHz: 4 - 44,000 Hz Signal-to-Noise Ratio: > 115 dB (EIAJ) Distortion: < 0.006 % (EIAJ) ...",City of Toronto,Yesterday,2020-10-07 18:25:50.320169
1528219810,/v-performance-dj-equipment/city-of-toronto/2x-pioneer-dj-cdj-900-nexus-1x-djm-700/1528219810,2600.0,2x Pioneer Dj CDJ-900 nexus + 1x DJM 700,,FULL SETUP! Decided to stick with my Denon Prime 4. Everything fully functioning. Can take additional photos at your request. Selling the lot together. Stickers can be removed.,City of Toronto,Yesterday,2020-10-07 18:25:50.320697
1325848013,/v-performance-dj-equipment/city-of-toronto/multi-room-preamp-controller-elan-630-631/1325848013,15.0,Multi Room preamp controller ELAN 630/631,,"ELAN 630/631 High end ELAN Model Z 630/631 preamp controller unit for $ 50 The heart of a Z•Series system, the Z•630 is the controller that routes audio to whatever room you are in. Select any of ...",City of Toronto,Yesterday,2020-10-07 18:25:50.321190
1528181402,/v-performance-dj-equipment/city-of-toronto/lighting-stand/1528181402,150.0,Lighting Stand,,"Two tripod base lighting stands with 3 Telescoping vertical shafts, tension locking knobs and pins adjust and secure height to a max of 10.75' Two T-Bars hold 4 Par cans each Two 5' Truss sections ...",City of Toronto,Yesterday,2020-10-07 18:25:50.321908
1528138253,/v-performance-dj-equipment/city-of-toronto/used-pyramid-3-channel-rackmount-stereo-dj-mixer-w-sound-effects/1528138253,85.0,Used Pyramid 3 Channel RackMount Stereo Dj Mixer W/Sound Effects,,416-284-0811 calls only FIRM PRICE NO OFFERS serious buyers only Used vintage working Pyramid PM4800SFX 3 Channel Rack Mount Stereo Dj Mixer W/ Sound Effects 2 Switch knobs missing but are still easy ...,City of Toronto,05/10/2020,2020-10-07 18:25:50.322396
1528131002,/v-performance-dj-equipment/city-of-toronto/metronome/1528131002,75.0,Metronome,,German made high End metronome,City of Toronto,05/10/2020,2020-10-07 18:25:50.322880
1528109632,/v-performance-dj-equipment/city-of-toronto/numark-dxm-01-digital-mixer/1528109632,100.0,Numark DXM 01 digital mixer,,"DXM01 USB digital mixer; Works, but AC adapter missing (I either accidentally threw it out or it's lost in the abyss of my storage unit). Adaptor costs $10-$20. 2-channel digital scratch mixer with ...",City of Toronto,05/10/2020,2020-10-07 18:25:50.323426
1528070665,/v-performance-dj-equipment/city-of-toronto/brand-new-pyle-pro-pdcd-tp500-dj-cd-controller/1528070665,249.99,BRAND NEW PYLE PRO PDCD-TP500 DJ CD-CONTROLLER,,REGULAR PRICE: $ 299.99 KIJIJI FALL DISCOUNT PRICE: $ 249.99 ------------------------------------------------------------------------------------- Pyle-Pro Table Top CD Players sport rugged ...,City of Toronto,05/10/2020,2020-10-07 18:25:50.323917
1528067630,/v-performance-dj-equipment/city-of-toronto/brand-new-numark-mixtrack-platinum-fx-updated-2020-model/1528067630,359.99,BRAND NEW NUMARK MIXTRACK PLATINUM FX *UPDATED 2020 MODEL*,,REGULAR PRICE - $399.99 KIJIJI FALL SALE PRICE - $359.99 ----------------------------------------------------------------------------------------------------------------------------- The Mixtrack ...,City of Toronto,05/10/2020,2020-10-07 18:25:50.324434
1528067112,/v-performance-dj-equipment/city-of-toronto/clearance-brand-new-numark-mixtrack-platinum-w-led-display/1528067112,289.99,*CLEARANCE* BRAND NEW NUMARK MIXTRACK PLATINUM W/LED DISPLAY,,REGULAR PRICE: $329.99 KIJIJI FALL SALE PRICE: $289.99 ---------------------------------------------------------------------------------------------------------------- From Numark—the world’s leading ...,City of Toronto,05/10/2020,2020-10-07 18:25:50.324924
1528066520,/v-performance-dj-equipment/city-of-toronto/numark-mixdeck-express-premium-dj-controller-w-cd-usb/1528066520,679.99,NUMARK MIXDECK EXPRESS PREMIUM DJ CONTROLLER W/CD & USB,,KIJIJI FALL SALE PRICE: $ 679.99 REGULAR PRICE : $ 749.99 -------------------------------------------------------------------------------------------------------------------- Perform your sets with ...,City of Toronto,05/10/2020,2020-10-07 18:25:50.325411
1528064797,/v-performance-dj-equipment/city-of-toronto/brand-new-2020-model-numark-mixtrack-pro-fx/1528064797,279.99,BRAND NEW *2020 MODEL* NUMARK MIXTRACK PRO FX,,REGULAR PRICE - $349.99 KIJIJI FALL SALE PRICE - $279.99 ----------------------------------------------------------------------------------------------------------------------------- • Complete ...,City of Toronto,05/10/2020,2020-10-07 18:25:50.325898
1487071726,/v-performance-dj-equipment/city-of-toronto/jbl-vrx-918-sp-powered-subwoofers/1487071726,1700.0,JBL VRX 918 SP Powered Subwoofers,,Hello. JBL VRX 918 Self Powered Subwoofers for sale. About 15-20 gigs on them over 5 years. Lightest 18 inch subs available on the market! These go very low compared to competition and are very ...,City of Toronto,05/10/2020,2020-10-07 18:25:50.326386
1528012082,/v-performance-dj-equipment/city-of-toronto/dj-table-and-case/1528012082,1000.0,DJ table and case,,DJ table: DN-S1200 Include all cables and case Very good condition / Working perfectly Price negotiable but no low balls Only pick up in Etobicoke area Plz contact me here,City of Toronto,05/10/2020,2020-10-07 18:25:50.327068
1527971774,/v-performance-dj-equipment/city-of-toronto/native-instruments-audio-8-traktor-scratch/1527971774,80.0,Native Instruments Audio 8 Traktor Scratch,,"In perfect working order, Native Instruments Audio 8 Traktor Scratch external audio card. Comes with all cables. Works fantastically when using for using MP3s as vinyl. Note: I did not take a picture ...",City of Toronto,05/10/2020,2020-10-07 18:25:50.327580
1527971301,/v-performance-dj-equipment/city-of-toronto/pioneer-djm-600-dj-mixer/1527971301,250.0,Pioneer DJM 600 dj mixer,,"Used Pioneer DJM 600 mixer in great shape. This is a classic workhorse mixer that was only used at home. The knob for the effects speed needs replacing, and one of the volume sliders plastic piece ...",City of Toronto,05/10/2020,2020-10-07 18:25:50.328070
1527963433,/v-performance-dj-equipment/city-of-toronto/sound-system-rental/1527963433,100.0,Sound System Rental,,"GTA Speaker Rentals Professional sound systems for your party, at a discount rate. Prices include delivery, set up, and pick up. From $100 Speakers, microphones, projectors, screens... ...",City of Toronto,04/10/2020,2020-10-07 18:25:50.328554
1517292259,/v-performance-dj-equipment/city-of-toronto/kustom-4-channel-pa-mixer-200-obo/1517292259,200.0,KUSTOM 4 channel PA mixer -200 obo,,4 channel pa mixer 200 obo,City of Toronto,04/10/2020,2020-10-07 18:25:50.329040
1527950925,/v-performance-dj-equipment/city-of-toronto/rave-dj-light-with-power-chord/1527950925,85.0,Rave / DJ light with power chord,,this light flashes and moves as well. it’s been used but is as good as new. it also comes with a power cord.,City of Toronto,04/10/2020,2020-10-07 18:25:50.329526
1512931616,/v-performance-dj-equipment/city-of-toronto/mackie-1202-vlz-mixer-with-travel-case/1512931616,120.0,Mackie 1202-VLZ Mixer with Travel Case,,The mixer is in good condition. Two channels sound a bit scratchy when turning the knobs and the master volume knob is also a bit scratchy but only when it's being turned up and down (reflected in ...,City of Toronto,04/10/2020,2020-10-07 18:25:50.330014
1527938527,/v-performance-dj-equipment/city-of-toronto/heavy-duty-flight-case-for-video-wall-screens-or-tvs/1527938527,475.0,Heavy duty flight case for video wall screens or tvs,,Used but in pristine / brand new condition Heavy duty flight case on wheels Spring loaded handles and locks 54 x 47 x 17 17 inch width is divided into two equal sides of 6 inches for screens or ...,City of Toronto,04/10/2020,2020-10-07 18:25:50.330498
1527937802,/v-performance-dj-equipment/city-of-toronto/huge-heavy-duty-flight-case-on-wheels/1527937802,500.0,Huge heavy duty flight case on wheels,,Pristine condition Outer dimensions are: 66x30x44 (high) Has dividers inside On heavy duty casters,City of Toronto,04/10/2020,2020-10-07 18:25:50.330984
1528484613,/v-performance-dj-equipment/city-of-toronto/numark-party-mix-dj-controller/1528484613,100.0,Numark party mix dj controller,,New in box. Comes with Serato djlite,City of Toronto,< 45 minutes ago,2020-10-07 18:25:56.980686
1528443025,/v-performance-dj-equipment/city-of-toronto/selling-2-pioneer-cdj2000nxs2/1528443025,4600.0,Selling 2 Pioneer CDJ2000nxs2,,"Selling a pair of Pioneer CDJ2000nxs2s. Good condition, email with inquiries.",City of Toronto,< 5 hours ago,2020-10-07 18:25:56.981175
1528436473,/v-performance-dj-equipment/city-of-toronto/brand-new-numark-mixtrack-platinum-fx-dj-controller-summer-sale/1528436473,359.99,Brand New Numark MIXTRACK PLATINUM FX DJ Controller -SUMMER SALE,,Brand New Numark MIXTRACK PLATINUM FX DJ Controller -SUMMER SALE!! ================================== Sale > $359.99 Reg > $399.99 ================================== The Mixtrack Platinum FX has all ...,City of Toronto,< 5 hours ago,2020-10-07 18:25:56.981660
1528424774,/v-performance-dj-equipment/city-of-toronto/brand-new-numark-mixtrack-pro-fx-dj-controller-summer-sale/1528424774,289.99,Brand New Numark MIXTRACK PRO FX DJ Controller - SUMMER SALE!,,Brand New Numark MIXTRACK PRO FX DJ Controller - SUMMER SALE! ————————————————————————- Sale > $289.99 Reg > $349.99 ————————————————————————- The Mixtrack Pro FX is a Serato DJ controller designed ...,City of Toronto,< 6 hours ago,2020-10-07 18:25:56.982145
1528423286,/v-performance-dj-equipment/city-of-toronto/elektron-octatrack/1528423286,1200.0,elektron octatrack,,"Haven't used it beyond turning it on and trying to figure out out. Seems to be an amazing tool for sampling and performing music but i haven't had the time to learn it. Like new. Includes cover, ...",City of Toronto,< 6 hours ago,2020-10-07 18:25:56.982672
1528395272,/v-performance-dj-equipment/city-of-toronto/arturia-beatstep/1528395272,60.0,Arturia Beatstep,,"Good condition, includes MIDI adapter and USB cable. Amazing little controller!",City of Toronto,< 9 hours ago,2020-10-07 18:25:56.983165
1528335256,/v-performance-dj-equipment/city-of-toronto/allen-heath-mixer-16-channel/1528335256,850.0,Allen & Heath Mixer - 16 Channel,,"Gently used by a Sound Production Company, always travel in original box. Mint Condition, no scratch or dent. Asking: $850.00 Pick up in Scarborough",City of Toronto,< 21 hours ago,2020-10-07 18:25:56.983663
1528310463,/v-performance-dj-equipment/city-of-toronto/korg-electribe-2-music-production-station/1528310463,550.0,KORG Electribe 2 - Music Production Station,,"I bought this unit a couple years ago to try the Korg workflow. I never got used to it, as I personally like the MPC workflow better. It's been sitting boxed in my studio for a while now, so I think ...",City of Toronto,< 24 hours ago,2020-10-07 18:25:56.984537
