,url,price,title,distance,description,location,time_offset,retreived
1528280462,/v-phone-tablet-other/city-of-toronto/dashboard-cellphone-holder/1528280462,15.0,Dashboard Cellphone Holder,,"Dashboard Car Phone Holder Silicone Stand Mount Holder Good Sight Display Car Phone Holder GPS Support . Anti-fouling and anti-fingerprint. Mini small, easy to install, more stable and firm. . ...",City of Toronto,< 8 hours ago,2020-10-06 23:04:43.353316
1528266231,/v-phone-tablet-other/city-of-toronto/nortel-phone-systems/1528266231,450.0,Nortel Phone systems,,"We have excellent Nortel phone analog phone systems w 15 phones,",City of Toronto,< 9 hours ago,2020-10-06 23:04:43.353824
1528232439,/v-phone-tablet-other/city-of-toronto/secure-and-cheap-phone-system/1528232439,25.0,Secure and Cheap Phone System,,"If You have a small/ medium size business and Tired of managing the calls from your phones or give your personal number to the customer, I have a secure solution for you with no upfront cost involved ...",City of Toronto,< 12 hours ago,2020-10-06 23:04:43.354524
1527810413,/v-phone-tablet-other/city-of-toronto/polycom-vvx-301-311-business-phone-compatible-with-bell-line/1527810413,165.0,Polycom VVX 301/311 ► business phone - Compatible with bell line,,"new (used for 1 month, not Compatible with my service provider) (i have 2 phone without box) ► $165 for each phone reason for selling : this phone not Compatible with my service provide Polycom VVX ...",City of Toronto,< 15 hours ago,2020-10-06 23:04:43.355250
1432359160,/v-phone-tablet-other/city-of-toronto/416-number-sale-trusted-seen-global-news-promote-business/1432359160,100.0,416 Number Sale Trusted! Seen Global News Promote Business,,GTA VIP 416 NUMBERS FOR SALE! THE REAL DEAL! THE #1 ORIGINAL! CALL: 416-707-7707 ..............or (416) 9-10-20-30 direct line. As seen on Global News media a 416 number is a must for every Business ...,City of Toronto,05/10/2020,2020-10-06 23:04:43.355943
1527416664,/v-phone-tablet-other/city-of-toronto/iphones-and-samsungs-biggest-sale-of-the-year/1527416664,139.99,IPHONES AND     SAMSUNGS -     BIGGEST SALE OF THE YEAR!!!,,IPHONES AND SAMSUNGS - BIGGEST SALE OF THE YEAR!!! Limited time Offer IPHONE 6S 16GB REG PRICE:- $279.99 SALE PRICE:- $179.99 IPHONE 8 64GB REG PRICE:- $479.99 SALE PRICE:-$369.99 IPHONE 8 PLUS 64GB ...,City of Toronto,05/10/2020,2020-10-06 23:04:43.356489
1528086183,/v-phone-tablet-other/city-of-toronto/corded-car-charger-3-socket-dual-usb/1528086183,20.0,Corded Car Charger 3 Socket Dual USB,,Brand new. Opened but realized i didnt need it anymore. $20 firm It has dual usb charger plus 3 sockets,City of Toronto,05/10/2020,2020-10-06 23:04:43.357023
1528083138,/v-phone-tablet-other/city-of-toronto/new-apple-airpods-with-charging-case/1528083138,190.0,New Apple AirPods with charging case.,,New Apple AirPods with charging case.,City of Toronto,05/10/2020,2020-10-06 23:04:43.357860
1528015073,/v-phone-tablet-other/city-of-toronto/apple-tv4k-atv4-atv2-mac-mini-jailbreak-xbmc-kodi-ppv-movies/1528015073,45.0,Apple TV4K ATV4 ATV2 / Mac Mini Jailbreak XBMC KODI PPV Movies,,"New: We can now install latest version of KODI on your shinny new Apple TV4K or ATV4 device. Once installed you will be able to enjoy lots of free movies, TV shows, Sports, PPV contents, live ...",City of Toronto,05/10/2020,2020-10-06 23:04:43.358795
1216216918,/v-phone-tablet-other/city-of-toronto/smart-easy-magnetic-cell-phone-holder-car-mount/1216216918,10.0,SMART & EASY Magnetic Cell Phone Holder Car Mount,,"SMART & EASY Magnetic Cell Phone Holder Car Mount This cell phone holder can be used anywhere literally. Its adhesive base allows you to stick it to whatever surface you want, including your car ...",City of Toronto,05/10/2020,2020-10-06 23:04:43.359481
1527959137,/v-phone-tablet-other/city-of-toronto/avaya-ip-office-500-v2-control-unit-rackmountable/1527959137,200.0,Avaya IP Office 500 V2 Control Unit - rackmountable,,Selling a used but working perfectly Avaya IP Office 500 V2 rackmountable Control Unit . A great unit at a great price. Price is firm.,City of Toronto,04/10/2020,2020-10-06 23:04:43.360235
1527958740,/v-phone-tablet-other/city-of-toronto/avaya-ers-3526t-pwr-ethernet-routing-switch/1527958740,160.0,Avaya ERS 3526T-PWR Ethernet Routing Switch,,Selling a used but working great Avaya ERS 3526T-PWR Ethernet Routing Switch. Retails for $450 plus tax. Get a great deal here. Price is firm,City of Toronto,04/10/2020,2020-10-06 23:04:43.360769
1527958368,/v-phone-tablet-other/city-of-toronto/avaya-1608-ip-desktop-phone-black-v2/1527958368,25.0,Avaya 1608 IP Desktop Phone Black v2,,"Selling a Avaya 1608 IP Desktop Phone. Comes with phone, cables/power cable. Retails for around $100. Price is firm. Have several available. Price is for one, but can give a discount if purchasing ...",City of Toronto,04/10/2020,2020-10-06 23:04:43.361307
1527939157,/v-phone-tablet-other/city-of-toronto/mag-one-motarola-handheld/1527939157,280.0,"Wanted:
                            Mag one motarola handheld",,"The BPR™40 portable two-way radio delivers reliable, intuitive communication through 8 channels and 2 programmable buttons. The high-/low-power option saves battery charge. Features such as nuisance ...",City of Toronto,04/10/2020,2020-10-06 23:04:43.361848
1527936412,/v-phone-tablet-other/city-of-toronto/apple-iwatch-series-3/1527936412,300.0,Apple Iwatch series 3,,"Newly and wrapped. Apple I-watch series 3 Cellular, 42mm aluminum GPS & LTE with one year apple warranty, with or without black band for 300, price is negotiable. Online price is 364+ TAX.nCan be ...",City of Toronto,04/10/2020,2020-10-06 23:04:43.362392
1516707528,/v-phone-tablet-other/city-of-toronto/vintage-northern-electric-co-hand-crank-phone-remote-ringer/1516707528,285.0,Vintage Northern Electric Co. Hand Crank Phone & Remote Ringer,,Northern Electric Company Crank Handle Phone and Remote Ringer C. 1951 Excellent condition All original parts Can be wired to operate as an extension in your home/barn etc,City of Toronto,02/10/2020,2020-10-06 23:04:43.364963
1527512180,/v-phone-tablet-other/city-of-toronto/zte-z557bl-used-30-00/1527512180,30.0,ZTE Z557BL used $30.00,,Minor cracks in the screen but works fine. Locked to Chatr mobile. 8 gb memory can add a memory card for more space.,City of Toronto,02/10/2020,2020-10-06 23:04:43.365523
1527511647,/v-phone-tablet-other/city-of-toronto/insta360-nano/1527511647,50.0,Insta360 Nano,,"360 Degree Camera 3K HD Dual Wide Angle Fisheye Lens for iPhone 7, 7 Plus and All iPhone 6 Series.",City of Toronto,02/10/2020,2020-10-06 23:04:43.366063
1527488524,/v-phone-tablet-other/city-of-toronto/dual-fax-telephone/1527488524,20.0,Dual FAX & TELEPHONE,,"Dual Telephone & Brother Fax-255 Fax Machine, and five and a half spools of paper for it. Excellent working condition. Will refund your money within 30 days for the items sold if you are not ...",City of Toronto,02/10/2020,2020-10-06 23:04:43.366633
1527269952,/v-phone-tablet-other/city-of-toronto/zte-grand-x-view-4-tablet-phone-new/1527269952,160.0,ZTE Grand X View 4 Tablet &Phone New!,,"ZTE Grand X View 4 totally NEW. Never use it. Tablet and phone. Specs: Qualcomm® 215 Mobile Platform Size: 8"" Type: Touchscreen Resolution: 1200x800 HD+ Camera: 2MP Front and 5MP Rear with HD video ...",City of Toronto,02/10/2020,2020-10-06 23:04:43.367438
1506246187,/v-phone-tablet-other/city-of-toronto/samsung-s9-plus-glass-repair-kit/1506246187,40.0,Samsung S9 Plus Glass Repair Kit,,"Bought this Kit online but now no longer have a use for it. Comes with glass, tools adhesive, etc. Here is a YouTube video with instructions on how to use the tools to change the glass. ...",City of Toronto,01/10/2020,2020-10-06 23:04:43.367981
1528280462,/v-phone-tablet-other/city-of-toronto/dashboard-cellphone-holder/1528280462,15.0,Dashboard Cellphone Holder,,"Dashboard Car Phone Holder Silicone Stand Mount Holder Good Sight Display Car Phone Holder GPS Support . Anti-fouling and anti-fingerprint. Mini small, easy to install, more stable and firm. . ...",City of Toronto,< 8 hours ago,2020-10-06 23:04:45.390936
1528266231,/v-phone-tablet-other/city-of-toronto/nortel-phone-systems/1528266231,450.0,Nortel Phone systems,,"We have excellent Nortel phone analog phone systems w 15 phones,",City of Toronto,< 9 hours ago,2020-10-06 23:04:45.391427
1528232439,/v-phone-tablet-other/city-of-toronto/secure-and-cheap-phone-system/1528232439,25.0,Secure and Cheap Phone System,,"If You have a small/ medium size business and Tired of managing the calls from your phones or give your personal number to the customer, I have a secure solution for you with no upfront cost involved ...",City of Toronto,< 12 hours ago,2020-10-06 23:04:45.392295
1527810413,/v-phone-tablet-other/city-of-toronto/polycom-vvx-301-311-business-phone-compatible-with-bell-line/1527810413,165.0,Polycom VVX 301/311 ► business phone - Compatible with bell line,,"new (used for 1 month, not Compatible with my service provider) (i have 2 phone without box) ► $165 for each phone reason for selling : this phone not Compatible with my service provide Polycom VVX ...",City of Toronto,< 15 hours ago,2020-10-06 23:04:45.393003
1432359160,/v-phone-tablet-other/city-of-toronto/416-number-sale-trusted-seen-global-news-promote-business/1432359160,100.0,416 Number Sale Trusted! Seen Global News Promote Business,,GTA VIP 416 NUMBERS FOR SALE! THE REAL DEAL! THE #1 ORIGINAL! CALL: 416-707-7707 ..............or (416) 9-10-20-30 direct line. As seen on Global News media a 416 number is a must for every Business ...,City of Toronto,05/10/2020,2020-10-06 23:04:45.393686
