,url,price,title,distance,description,location,time_offset,retreived
1528469248,/v-plumbing-sink-toilet-shower/city-of-toronto/propane-compost-toilet-used/1528469248,1000.0,Propane compost toilet - used,,"Storburn compost toilet, 10yrs, propane heated, comes with roof connection pipes, pictures coming. Pick up in Toronto or if you come see it and pay for it I can deliver along 400/11 corridor between ...",City of Toronto,< 9 minutes ago,2020-10-07 16:28:32.115109
1528459093,/v-plumbing-sink-toilet-shower/city-of-toronto/20x20-inch-rain-shower-head/1528459093,80.0,20x20 Inch Rain Shower Head,,Rainfall Shower Head 20inch by 20inch. Chrome finish. Like new. Similar to https://www.amazon.ca/Rozin-Bathroom-Ultrathin-Sprayer-Ceiling/dp/B00LZN42IM,City of Toronto,< 2 hours ago,2020-10-07 16:28:32.115626
1528456259,/v-plumbing-sink-toilet-shower/city-of-toronto/stainless-steel-kitchen-sink-25width-is-31-1-4-depth-is-20/1528456259,25.0,"Stainless steel Kitchen sink $25width is 31 1/4 ""， depth is 20",,"Stainless steel Kitchen sink $25 width is 31 1/4 ""， depth is 20 1/2 """,City of Toronto,< 2 hours ago,2020-10-07 16:28:32.116120
1528453931,/v-plumbing-sink-toilet-shower/city-of-toronto/180-degree-elbow-copper-fittings/1528453931,20.0,180 degree elbow copper fittings,,"If you see this ad, this item is available. Located in the QEW & 427 area. 1/2"" ID 180 degree elbow copper fittings (40 count) 5/8"" ID 180 degree elbow copper fittings (2 count)",City of Toronto,< 2 hours ago,2020-10-07 16:28:32.116618
1528453647,/v-plumbing-sink-toilet-shower/city-of-toronto/glass-over-the-counter-sink/1528453647,100.0,Glass over the counter sink,,Laufen Encepa Massima Design stile bertone New,City of Toronto,< 2 hours ago,2020-10-07 16:28:32.117116
1515051737,/v-plumbing-sink-toilet-shower/city-of-toronto/brand-new-modern-vanity/1515051737,380.0,Brand new Modern Vanity,,"Brand new washroom wall mount vanity never used or installed Size is 31""/5 wide 27""/5 tall 19"" deep The sink is wide and big granite. Please see the picture for information call or text @ 647 780 ...",City of Toronto,< 2 hours ago,2020-10-07 16:28:32.117617
1528452126,/v-plumbing-sink-toilet-shower/city-of-toronto/35-bathroom-pedestal-sink/1528452126,100.0,"35"" Bathroom pedestal sink",,"Posted by narcy salazar in home renovation materials, plumbing, sinks, toilets, showers in Toronto (GTA), City of Toronto. October 7, 2020 6478329992",City of Toronto,< 2 hours ago,2020-10-07 16:28:32.118129
1507023275,/v-plumbing-sink-toilet-shower/city-of-toronto/brandnew-brasscraft-large-4-to-6-inches-drain-bladder/1507023275,15.0,Brandnew BrassCraft Large 4 to 6 Inches Drain Bladder,,"Brandnew in sealed pack. Never used or opened. Clears 4""- 6"" drains as bladder expands in the drain forcing water through the clog. Attaches to garden hose. Pick up from Port Union, Scarborough M1C ...",City of Toronto,< 2 hours ago,2020-10-07 16:28:32.119084
1528447736,/v-plumbing-sink-toilet-shower/city-of-toronto/bathroom-cabinet/1528447736,125.0,Bathroom cabinet,,24 wide x 21.5 deep x 34.5 tall Solid wood great condition,City of Toronto,< 2 hours ago,2020-10-07 16:28:32.119679
1528447290,/v-plumbing-sink-toilet-shower/city-of-toronto/claw-foot-tub/1528447290,150.0,Claw foot tub,,"Enamel cast iron claw foot tub 59"" long by 25"" wide removed from a 1890's Victorian style house. $150.00 pick up at ground level.",City of Toronto,< 2 hours ago,2020-10-07 16:28:32.120608
