,url,price,title,distance,description,location,time_offset,retreived
1528485706,/v-power-tool/city-of-toronto/free-lincoln-electric-s-6-mig-0-9-kg-spool/1528485706,0.0,FREE Lincoln Electric S-6 MIG 0.9 kg spool,,"Lincoln Electric S-6 MIG, .035"" - 0.9 mm, 2 lb - 0.9 kg A few metres were cut from the lead end but most of it is there. If you can use it, come by and pick up this spool. First come, first serve. ...",City of Toronto,< 11 minutes ago,2020-10-07 17:58:31.709835
1528484953,/v-power-tool/city-of-toronto/ryobi-hammer-drill/1528484953,35.0,Ryobi hammer drill,,"Used but works perfectly, comes with the sds bit adapter",City of Toronto,< 16 minutes ago,2020-10-07 17:58:31.710344
1516654756,/v-power-tool/city-of-toronto/brand-new-m12-milwaukee-fuel-impact-driver-2553-20-tool-only/1516654756,110.0,BRAND NEW - M12 Milwaukee Fuel Impact Driver (2553-20) Tool Only,,"M12 Milwaukee Fuel Impact Driver (2553-20) - New and unused Gen 2 model, no battery or charger Pick up only",City of Toronto,< 19 minutes ago,2020-10-07 17:58:31.710835
1528480962,/v-power-tool/city-of-toronto/metabo-nailer-brand-new/1528480962,300.0,Metabo Nailer Brand new!,,"Brand new. Never used Metabo. nailer With its selective actuation switch, this Metabo HPT pneumatic roofing nailer lets you change from sequential to contact nailing to suit your project. The 16° ...",City of Toronto,< 35 minutes ago,2020-10-07 17:58:31.711372
1528480766,/v-power-tool/city-of-toronto/dewalt-dch273-b-1-sds-hammer-drill/1528480766,300.0,Dewalt DCH273 B 1”sds hammer drill,,Brand new. XR 20V.Never used drill. Box is open to show you type interior. Tool only Price is firm. Contact for more details,City of Toronto,< 36 minutes ago,2020-10-07 17:58:31.711866
1528477926,/v-power-tool/city-of-toronto/craftsman-professional-cordless-stapler-staple-gun/1528477926,75.0,Craftsman Professional Cordless Stapler / Staple Gun,,"I’m selling a Craftsman Professional cordless stapler / staple gun. It’s in excellent condition - functionally, and cosmetically. Uses 3/16”-wide staples - from 5/16” to 9/16” long. Drives one staple ...",City of Toronto,< 49 minutes ago,2020-10-07 17:58:31.712370
1528474286,/v-power-tool/city-of-toronto/milwaukee-tool-m12-12v-lithium-ion-cordless-rivet-tool/1528474286,180.0,Milwaukee Tool M12 12V Lithium-Ion Cordless Rivet Tool,,Just tool no battery Not in original packaging selling this tool because I don't need it Can throw in a brand new M12 REDLITHIUM XC 4.0 Extended Capacity Battery Pack For 80 bucks,City of Toronto,< 2 hours ago,2020-10-07 17:58:31.712879
1528472658,/v-power-tool/city-of-toronto/hilti-gun/1528472658,200.0,Hilti Gun,,"Hilti Gun Posted by Neptune Rising in tools, power tools in Toronto (GTA), City of Toronto. October 7, 2020",City of Toronto,< 2 hours ago,2020-10-07 17:58:31.713363
1528472571,/v-power-tool/city-of-toronto/wormdrive-skilsaw/1528472571,110.0,Wormdrive Skilsaw,,Comes with brand new spare blade,City of Toronto,< 2 hours ago,2020-10-07 17:58:31.713847
1528471874,/v-power-tool/city-of-toronto/new-m12-milwaukee-fuel-drill-2403-20/1528471874,100.0,New - M12 Milwaukee Fuel Drill (2403-20),,New - M12 Milwaukee Fuel Drill (2403-20) -No battery or charger -Pick up only,City of Toronto,< 2 hours ago,2020-10-07 17:58:31.714332
