,url,price,title,distance,description,location,time_offset,retreived
1528237732,/v-printers-scanners-fax/city-of-toronto/genuine-hp-53x-high-yield-toner-cartridge/1528237732,180.0,Genuine HP     53x High     Yield Toner Cartridge,,Genuine HP 53x (Q7553X) High Yield Toner Cartridge for HP laserjet printers. Yield: 7000 pages,City of Toronto,< 2 minutes ago,2020-10-06 12:27:57.109986
1528234439,/v-printers-scanners-fax/city-of-toronto/hp-laserjet-m1522nf-all-in-one-printer/1528234439,80.0,HP LaserJet M1522nf All-in-one Printer,,"HP LaserJet M1522nf All-in-one laser Printer, scanner, copier and fax machine. In good condition. Selling for $80 or best offer.",City of Toronto,< 17 minutes ago,2020-10-06 12:27:57.110761
1528231922,/v-printers-scanners-fax/city-of-toronto/hp7550a-pen-plotter-with-everything/1528231922,260.0,HP7550A Pen Plotter with EVERYTHING,,For sale is a Hewlett-Packard 7550A pen plotter. The plotter is in perfect working condition and comes with an IBM workstation running a Win95 virtual machine (which has native drivers for the ...,City of Toronto,< 30 minutes ago,2020-10-06 12:27:57.111406
1470339817,/v-printers-scanners-fax/city-of-toronto/selling-samsung-laser-printer-ml-1675-with-manual/1470339817,182.0,Selling Samsung Laser Printer ML-1675 with manual,,"Hello, I am graduating soon from UOfT and am selling a rarely used Samsung Laser Printer ML-1675 with cords and paper. I originally bought it for double the price. It works as needed, and includes ...",City of Toronto,< 33 minutes ago,2020-10-06 12:27:57.111903
1528224146,/v-printers-scanners-fax/city-of-toronto/hp-officejet-pro-8710/1528224146,150.0,HP OfficeJet Pro 8710,,Print - scan - fax - copy - web,City of Toronto,< 2 hours ago,2020-10-06 12:27:57.112397
1528222902,/v-printers-scanners-fax/city-of-toronto/printer/1528222902,50.0,printer,,like new priter,City of Toronto,< 2 hours ago,2020-10-06 12:27:57.112894
1528222090,/v-printers-scanners-fax/city-of-toronto/samsung-clp-300-samsung-clx-2160-new-black-toner/1528222090,8.0,Samsung CLP-300 / Samsung CLX-2160 New black toner,,Samsung CLP-300 / Samsung CLX-2160 New black toner 5 brand new black toner CLP-300K sealed in box for sale. each for $8 all together 5 for $35,City of Toronto,< 2 hours ago,2020-10-06 12:27:57.113386
1528218159,/v-printers-scanners-fax/city-of-toronto/hp-inkjet-print-cartridge/1528218159,10.0,Hp inkjet print cartridge,,Tri-color Ho objet print cartridge,City of Toronto,< 2 hours ago,2020-10-06 12:27:57.113881
1528207437,/v-printers-scanners-fax/city-of-toronto/new-lexmark-monochrome-laser-printer-b2236dw/1528207437,140.0,New Lexmark monochrome laser printer- B2236dw,,Originally bought from Staples for my business but never got to use it as the existing printer handled the workload. Asking 140 OBO,City of Toronto,< 3 hours ago,2020-10-06 12:27:57.114389
1528199309,/v-printers-scanners-fax/city-of-toronto/panasonic-scanner-dcp-1612w/1528199309,250.0,Panasonic Scanner dcp-1612w,,"MODEL # DCP-1612W retails new at $950 scans 65 pages per minute, double sided up to 100 sheets 45-65 ppm 50-600 dpi color duplex",City of Toronto,< 4 hours ago,2020-10-06 12:27:57.114957
1528199217,/v-printers-scanners-fax/city-of-toronto/hp-35a-laser-jet-toner/1528199217,75.0,HP 35A Laser Jet Toner,,Bought this from staples a week ago. OCT. 1st. And can't return because I unsealed it. I'll sell it for $75.,City of Toronto,< 4 hours ago,2020-10-06 12:27:57.115428
1528199195,/v-printers-scanners-fax/city-of-toronto/brother-printer-with-printer-table-mfc-j5945dw/1528199195,300.0,Brother Printer with printer table MFC-J5945DW,,Selling my near new Printer and printer table. They go hand in hand. This is a printer for small office or company. A bit overkill for a home printer. It’s ink is still just getting started which is ...,City of Toronto,< 4 hours ago,2020-10-06 12:27:57.115922
1528198783,/v-printers-scanners-fax/city-of-toronto/konica-bizhub-c224e-print-scan-fax-mfp-commercial-printer/1528198783,1000.0,Konica Bizhub C224e -print/scan/fax MFP Commercial Printer,,"Konica bizhub for sale Retails for $4,500 new Specs in the link below https://kmbs.konicaminolta.us/kmbs/technology/predecessor-products/bizhub-c224e I have 4 left of these machines in perfect ...",City of Toronto,< 4 hours ago,2020-10-06 12:27:57.116414
