,url,price,title,distance,description,location,time_offset,retreived
1517817237,/v-pro-audio-recording/city-of-toronto/ableton-push-1-midi-controller/1517817237,320.0,Ableton Push 1 Midi Controller,,"For sale is an Ableton Push version 1 controller for Ableton Live. I got this a couple years ago in a trade and haven't ended up using it much. In good condition, everything works as it should.",City of Toronto,< 6 minutes ago,2020-10-07 18:22:28.138718
1528471604,/v-pro-audio-recording/city-of-toronto/kali-audio-lp-6-studio-monitors-new/1528471604,400.0,"Kali Audio LP-6 Studio Monitors ""New""",,"Up for sale is a brand new pair of Kali Audio LP-6 Studio Monitors , used only for a few hours to compare against some other speakers, absolutely mint ,not a single scratch. Local pickup only. $400 ...",City of Toronto,< 2 hours ago,2020-10-07 18:22:28.139412
1528461813,/v-pro-audio-recording/city-of-toronto/tascam-digital-portastudio/1528461813,200.0,Tascam digital Portastudio,,"8-track digital recording studio, barely used.",City of Toronto,< 3 hours ago,2020-10-07 18:22:28.139900
1528460158,/v-pro-audio-recording/city-of-toronto/digidesign-mbox-2-audio-interface/1528460158,75.0,Digidesign Mbox 2 Audio Interface,,"Mbox 2 USB Audio/Midi interface w/USB cable Used for many years, works perfectly.",City of Toronto,< 3 hours ago,2020-10-07 18:22:28.140387
1528454550,/v-pro-audio-recording/city-of-toronto/harp-mic/1528454550,140.0,Harp Mic,,Selling a Shure 533SA Spherodyne mic customized for harp players. Bottom has been chopped and a volume control has been added. Switchcraft connector has been added to accommodate a regular patch ...,City of Toronto,< 4 hours ago,2020-10-07 18:22:28.140871
1528444922,/v-pro-audio-recording/city-of-toronto/supreme-shure-sm58/1528444922,450.0,Supreme Shure SM58,,FW20 Drop Authentic SupremeNewYork $450 cash only,City of Toronto,< 5 hours ago,2020-10-07 18:22:28.141363
1528440005,/v-pro-audio-recording/city-of-toronto/brand-new-sennheiser-e609-instrument-microphone/1528440005,120.0,Brand New  Sennheiser E609  Instrument Microphone,,Brand New. Never used. Sennheiser E609 Silver Super Cardioid Instrument Microphone. $120. Firm. Located Warden/Ellesmere.,City of Toronto,< 5 hours ago,2020-10-07 18:22:28.141852
1528439434,/v-pro-audio-recording/city-of-toronto/shure-55sh-series-ii-dynamic-microphone-like-new/1528439434,160.0,"Shure 55SH Series II Dynamic Microphone ""Like New""",,"I purchased this mic brand new at Long and McQuade , used it only a few times at home , absolutely mint , works perfectly. Local cash pickup. Thanks",City of Toronto,< 5 hours ago,2020-10-07 18:22:28.142338
1528415194,/v-pro-audio-recording/city-of-toronto/neumann-u-87-ai-large-diaphragm-condenser-microphone/1528415194,3700.0,Neumann U 87 Ai Large-Diaphragm Condenser Microphone,,"Sad to part with it but due to situations in life, I’m selling my 10 month old Neumann U87ai with all original packaging and accessories. Bought it brand new from Long and McQuade and still have the ...",City of Toronto,< 7 hours ago,2020-10-07 18:22:28.142827
1528411908,/v-pro-audio-recording/city-of-toronto/steinberg-ur22-usb-interface/1528411908,70.0,Steinberg UR22 USB Interface,,Looking to sell my Steinberg UR22 mkII audio interface. I purchased it a few years ago and have barely used it. Hoping it will find a good home! Asking $70.00 OBO. Cash only.,City of Toronto,< 7 hours ago,2020-10-07 18:22:28.143326
1528410551,/v-pro-audio-recording/city-of-toronto/roland-jv-2080-64-voice-synthesizer-module/1528410551,330.0,Roland JV-2080 64-Voice Synthesizer Module,,"The Roland JV-2080 is a rack-mount expandable MIDI sound module, and an improved version of the Roland JV-1080. Produced by the Roland Corporation, released in 1996 and built on a sample-based ...",City of Toronto,< 7 hours ago,2020-10-07 18:22:28.143843
1528410250,/v-pro-audio-recording/city-of-toronto/akg-c214-large-diaphragm-condenser-microphone/1528410250,400.0,AKG C214 Large-diaphragm Condenser Microphone,,Bought brand new about year ago and used as a backup mic for strictly vocals. Mic is in mint condition and comes with all the original accessories. Comes with - Mic - Shock mount - Windscreen - ...,City of Toronto,< 7 hours ago,2020-10-07 18:22:28.144335
1528410202,/v-pro-audio-recording/city-of-toronto/yorkville-nx55p-powered-speaker-1000-watts-peak/1528410202,450.0,Yorkville NX55P Powered Speaker (1000 watts peak),,If ad is up then it’s available. 1 speaker left. NX55P Series 2 1000watt version Cash only No trades Price is firm Thanks!,City of Toronto,< 7 hours ago,2020-10-07 18:22:28.144826
1528406960,/v-pro-audio-recording/city-of-toronto/compressor-rms-peak-dual-channel-limiter-plus-gate-with-behringe/1528406960,70.0,Compressor RMS/PEAK Dual Channel Limiter Plus Gate with Behringe,,Good condition items function properly but may exhibit some wear and tear. Alesis 3630 Dual-Channel Compressor / Limiter with Gate Finish Black,City of Toronto,< 8 hours ago,2020-10-07 18:22:28.145312
1528404929,/v-pro-audio-recording/city-of-toronto/brand-new-focusrite-scarlett-audio-interface-sound-card/1528404929,150.0,Brand new Focusrite Scarlett audio interface sound card,,No scratches and damage. Absolutely clean and pretty. Selling it since I have many of them. Original signal + power wire included Additional 2 high quality wires provided for audio monitor/speakers ...,City of Toronto,< 8 hours ago,2020-10-07 18:22:28.145804
1503556432,/v-pro-audio-recording/city-of-toronto/peavey-vsx-electronic-crossover/1503556432,90.0,Peavey vsx electronic crossover,,Peavey vsx electronic crossover,City of Toronto,< 8 hours ago,2020-10-07 18:22:28.146295
1528393484,/v-pro-audio-recording/city-of-toronto/looking-for-yamaha-am802-mixer/1528393484,100.0,Looking for Yamaha AM802 Mixer,,Looking for one of these in good condition. Can also pay shipping if it's outside the GTA.,City of Toronto,< 9 hours ago,2020-10-07 18:22:28.146784
1528382187,/v-pro-audio-recording/city-of-toronto/uad-twin-duo-tb/1528382187,900.0,UAD Twin Duo TB,,For sale a used UAD Twin Duo Thunderbolt. I'm looking to sell or trade for an Apollo DUO OR Quad Rack unit plus cash. This will come with the stock plugins as I still have other UAD gear in my name. ...,City of Toronto,< 10 hours ago,2020-10-07 18:22:28.147285
1528372687,/v-pro-audio-recording/city-of-toronto/rode-podcaster-microphone-deal/1528372687,380.0,RODE Podcaster microphone deal!,,"Near new condition Rode Podcaster. This is a USB (cable included) broadcast quality mic - great for audio voice work, calls, podcasting, narration, streaming, etc. This deal includes: -Rode Podcaster ...",City of Toronto,< 11 hours ago,2020-10-07 18:22:28.147777
1528371146,/v-pro-audio-recording/city-of-toronto/metrophones-isolation-headphones-with-built-in-metronome/1528371146,150.0,Metrophones Isolation Headphones with built-in Metronome,,"Metrophones offer top-quality, stereo isolation headphones with Koss reference speakers. But the big plus is the dedicated click speakers and built-in metronome with an infinite-speed dial for ...",City of Toronto,< 11 hours ago,2020-10-07 18:22:28.148273
1528370986,/v-pro-audio-recording/city-of-toronto/lewitt-mtp-540-dynamic-microphone/1528370986,80.0,Lewitt MTP 540 Dynamic microphone,,Mint condition. This is comparable to a Shure SM 58 with a little more mid range. Great mic.,City of Toronto,< 11 hours ago,2020-10-07 18:22:28.148767
1528370382,/v-pro-audio-recording/city-of-toronto/apex-430-studio-condenser-microphone/1528370382,100.0,Apex 430 Studio Condenser Microphone,,This is a fantastic entry level studio condenser mic. Kept in a smoke free environment it is in very good condition. Comes with a shock mount. Sounds great. You can mod this mic also.,City of Toronto,< 11 hours ago,2020-10-07 18:22:28.149260
1528346839,/v-pro-audio-recording/city-of-toronto/zoom-f8-multi-track-field-recorder-like-new/1528346839,900.0,ZOOM F8 MULTI-TRACK FIELD RECORDER LIKE NEW,,"ZOOM F8 MULTI-TRACK FIELD RECORDER The F8 is an eight-input, 10-track field recorder designed for over-the-shoulder use in location sound recording for film and video. It has eight mic/line inputs ...",City of Toronto,< 18 hours ago,2020-10-07 18:22:28.149747
1528345882,/v-pro-audio-recording/city-of-toronto/9u-rack-cabinet-pure-wood-black-great-condition/1528345882,120.0,9U Rack Cabinet // Pure Wood //Black // Great Condition,,Selling this beautiful and sturdy pure wood 9 Unit Rack cabinet. Great condition. Moving my studio and no longer need it. See it in use in my old studio photo. Contact me with any questions. Thanks ...,City of Toronto,< 19 hours ago,2020-10-07 18:22:28.150255
1497445392,/v-pro-audio-recording/city-of-toronto/peavey-eq-27-1-3-octave-graphic-equalizer/1497445392,70.0,Peavey EQ-27 -1/3 Octave Graphic Equalizer,,Peavey EQ-27 -1/3 Octave Graphic Equalizer – Peavey Electronics Corp. – Made in USA @ 1978 Pick up near DVP and Lawrence Ave,City of Toronto,< 20 hours ago,2020-10-07 18:22:28.150812
1528334231,/v-pro-audio-recording/city-of-toronto/allen-heath-gl2400-dual-function-live-sound-mixer-40-channel/1528334231,2500.0,Allen & Heath GL2400 Dual-function live sound mixer - 40 channel,,"Gently used less than 10 times by a Production Company, no scratch or dent. Mint condition. Always travel in a road case. Asking: $2500 or best offer Pick up in Scarborough",City of Toronto,< 21 hours ago,2020-10-07 18:22:28.151325
1528323902,/v-pro-audio-recording/city-of-toronto/focusrite-platnum-penta-stereo-compressor-pre-amp/1528323902,350.0,Focusrite Platnum Penta Stereo Compressor / Pre-Amp,,Great compressor and pre amp. All details bellow https://reverb.com/ca/item/2103912-focusrite-platinum-penta-stereo-compressor-preamp-tube-rack?locale=en-CA,City of Toronto,< 23 hours ago,2020-10-07 18:22:28.151821
1520599795,/v-pro-audio-recording/city-of-toronto/podcast-mixer-and-more-behringer-x2442usb/1520599795,500.0,Podcast mixer and more... Behringer X2442USB,,"Behringer X2442USB Premium 24-Input 42-Bus Mixer With 24-Bit Multi-FX Processor Great for LIVE performances, BANDS, Podcasts, Studios. Studio DEMO. Mint Condition The feature-packed XENYX X2442USB ...",City of Toronto,< 23 hours ago,2020-10-07 18:22:28.152314
1528312585,/v-pro-audio-recording/city-of-toronto/focusrite-liquid-mix-32-channel-dsp-processor/1528312585,200.0,Focusrite Liquid Mix - 32 Channel DSP Processor,,32 Mono or 16 Stereo Channel Firewire DSP Processor that emulates all the classic compressors and EQs without using up any of your CPU processing power. I switched over to UAD so I am no longer using ...,City of Toronto,< 24 hours ago,2020-10-07 18:22:28.152804
1528301877,/v-pro-audio-recording/city-of-toronto/stam-audio-stereo-bus-compressor-ssl-clone/1528301877,1000.0,Stam Audio Stereo Bus Compressor (SSL Clone),,Mk1. You know what it is. Works great. Very minor rack wear. Quite transparent. Sorry for the crap pictures I will be uploading better ones soon.. The SA-4000 Stereo Buss Compressor is the most ...,City of Toronto,Yesterday,2020-10-07 18:22:28.153321
1528301626,/v-pro-audio-recording/city-of-toronto/akai-professional-mpk-mini-mkii-25-key-usb-midi-keyboard/1528301626,129.99,Akai Professional MPK Mini MKII | 25-Key USB MIDI Keyboard,,Akai Professional MPK Mini MKII | 25-Key USB MIDI Keyboard & Drum Pad Controller with Joystick - FALL SALE!! ------------------------------------------------------------------ Sale Price: $129.99 Reg ...,City of Toronto,Yesterday,2020-10-07 18:22:28.153969
1515802832,/v-pro-audio-recording/city-of-toronto/rings-mutable-instruments-clone/1515802832,200.0,Rings - Mutable Instruments Clone,,"The famous Rings module, doesn't need much explanation. If you're not sure what all the hype is about, check out some youtube videos on this amazing module! Happy to provide video demo to anyone who ...",City of Toronto,Yesterday,2020-10-07 18:22:28.154470
1515340895,/v-pro-audio-recording/city-of-toronto/vc-adsr-befaco-v1-clone-eurorack-module/1515340895,100.0,VC ADSR (Befaco V1 Clone) - Eurorack Module,,"Great little VC ADSR, I no longer need them in my setup. Buy one for $100 or two for $175.",City of Toronto,Yesterday,2020-10-07 18:22:28.154959
1505732255,/v-pro-audio-recording/city-of-toronto/clouds-mutable-instruments-clone-eurorack-synth-module/1505732255,175.0,Clouds - Mutable Instruments (Clone) - Eurorack Synth Module,,"The famous Clouds module, doesn't need much explanation. If you're not sure what all the hype is about, check out some youtube videos on this amazing module! Happy to provide video demo to anyone who ...",City of Toronto,Yesterday,2020-10-07 18:22:28.155460
1505726575,/v-pro-audio-recording/city-of-toronto/ripples-filter-mutable-instruments-diy/1505726575,100.0,Ripples - Filter - Mutable Instruments (DIY),,"This is a beautiful filter in a small form factor. Sounds gorgeous and has a playable 1v/Oct frequency input. Let me know if you have any questions, am happy to send video demo to anyone who requests ...",City of Toronto,Yesterday,2020-10-07 18:22:28.155954
1517817237,/v-pro-audio-recording/city-of-toronto/ableton-push-1-midi-controller/1517817237,320.0,Ableton Push 1 Midi Controller,,"For sale is an Ableton Push version 1 controller for Ableton Live. I got this a couple years ago in a trade and haven't ended up using it much. In good condition, everything works as it should.",City of Toronto,< 6 minutes ago,2020-10-07 18:22:33.426123
1528471604,/v-pro-audio-recording/city-of-toronto/kali-audio-lp-6-studio-monitors-new/1528471604,400.0,"Kali Audio LP-6 Studio Monitors ""New""",,"Up for sale is a brand new pair of Kali Audio LP-6 Studio Monitors , used only for a few hours to compare against some other speakers, absolutely mint ,not a single scratch. Local pickup only. $400 ...",City of Toronto,< 2 hours ago,2020-10-07 18:22:33.426803
1528461813,/v-pro-audio-recording/city-of-toronto/tascam-digital-portastudio/1528461813,200.0,Tascam digital Portastudio,,"8-track digital recording studio, barely used.",City of Toronto,< 3 hours ago,2020-10-07 18:22:33.427334
1528460158,/v-pro-audio-recording/city-of-toronto/digidesign-mbox-2-audio-interface/1528460158,75.0,Digidesign Mbox 2 Audio Interface,,"Mbox 2 USB Audio/Midi interface w/USB cable Used for many years, works perfectly.",City of Toronto,< 3 hours ago,2020-10-07 18:22:33.427818
1528454550,/v-pro-audio-recording/city-of-toronto/harp-mic/1528454550,140.0,Harp Mic,,Selling a Shure 533SA Spherodyne mic customized for harp players. Bottom has been chopped and a volume control has been added. Switchcraft connector has been added to accommodate a regular patch ...,City of Toronto,< 4 hours ago,2020-10-07 18:22:33.428302
1528444922,/v-pro-audio-recording/city-of-toronto/supreme-shure-sm58/1528444922,450.0,Supreme Shure SM58,,FW20 Drop Authentic SupremeNewYork $450 cash only,City of Toronto,< 5 hours ago,2020-10-07 18:22:33.428788
1528440005,/v-pro-audio-recording/city-of-toronto/brand-new-sennheiser-e609-instrument-microphone/1528440005,120.0,Brand New  Sennheiser E609  Instrument Microphone,,Brand New. Never used. Sennheiser E609 Silver Super Cardioid Instrument Microphone. $120. Firm. Located Warden/Ellesmere.,City of Toronto,< 5 hours ago,2020-10-07 18:22:33.429270
1528439434,/v-pro-audio-recording/city-of-toronto/shure-55sh-series-ii-dynamic-microphone-like-new/1528439434,160.0,"Shure 55SH Series II Dynamic Microphone ""Like New""",,"I purchased this mic brand new at Long and McQuade , used it only a few times at home , absolutely mint , works perfectly. Local cash pickup. Thanks",City of Toronto,< 5 hours ago,2020-10-07 18:22:33.429748
