,url,price,title,distance,description,location,time_offset,retreived
1528288359,/v-processor-blender-juicer/city-of-toronto/breville-juicer-bje510xl-multi-speed-juice-fountain/1528288359,20.0,Breville Juicer - BJE510XL Multi-Speed Juice Fountain,,I bought this with the best of intentions but only used it a few times. Then we put it in an impossible to reach cupboard and didn't use it for at least 5 years. This thing could juice anything but ...,City of Toronto,< 35 minutes ago,2020-10-06 17:23:06.041436
1528283964,/v-processor-blender-juicer/city-of-toronto/nutribullet-600-blender-mixer/1528283964,25.0,NutriBullet 600 Blender& mixer,,"This blender is in excellent condition and have been used for less than a year. Making smoothies and protein shakes is fast, and super easy with this blender. It comes with two cup sizes, a 24 oz. ...",City of Toronto,< 59 minutes ago,2020-10-06 17:23:06.041930
1528283179,/v-processor-blender-juicer/city-of-toronto/5-speed-ultra-power-hand-mixer-in-empire-red-hamilton-beach/1528283179,25.0,5-Speed Ultra Power Hand Mixer in Empire Red - Hamilton Beach,,"Used, 5-Speed Hand Mixer is the perfect go to for nearly all of your mixing needs. Five speeds and two stainless steel Turbo Beater Accessories provide you with the power and control to mix up your ...",City of Toronto,< 2 hours ago,2020-10-06 17:23:06.042417
1528278370,/v-processor-blender-juicer/city-of-toronto/kitchenaid-food-grinder-nib/1528278370,50.0,KitchenAid Food Grinder - NIB,,New in box,City of Toronto,< 2 hours ago,2020-10-06 17:23:06.042910
1528273926,/v-processor-blender-juicer/city-of-toronto/4-5qt-kitchenaid-classic-plus-tilt-head-stand-mixer/1528273926,300.0,4.5QT KitchenAid Classic Plus® Tilt-Head Stand Mixer,,"4.5QT Kitchen Aid Classic Plus® Tilt-Head Stand Mixer, Silver Metallic Reg : $ 399 FIXED PRICE $300. FEATURES - KitchenAid Classic Plus® Tilt-Head Stand Mixer is the perfect tool for any kitchen - ...",City of Toronto,< 2 hours ago,2020-10-06 17:23:06.043399
1528269766,/v-processor-blender-juicer/city-of-toronto/rival-1-5qt-automatic-soft-serve-ice-cream-maker/1528269766,35.0,Rival 1.5qt Automatic Soft Serve Ice Cream Maker,,"No Box just the unit. You scream, I scream, we all scream for ice cream! The stylish Rival Soft Serve ice cream maker provides the convenience of a gel canister with the great taste of soft serve ice ...",City of Toronto,< 3 hours ago,2020-10-06 17:23:06.043887
1528262845,/v-processor-blender-juicer/city-of-toronto/blander/1528262845,10.0,Blander,,Used for one year. Picks up only.,City of Toronto,< 3 hours ago,2020-10-06 17:23:06.044576
1528262673,/v-processor-blender-juicer/city-of-toronto/on-the-go-blander/1528262673,10.0,On the go blander,,Great condition. Only used once. Picks up only.,City of Toronto,< 3 hours ago,2020-10-06 17:23:06.045061
1528258480,/v-processor-blender-juicer/city-of-toronto/black-and-decker-use-blender-jug-for-sale-in-good-condition/1528258480,15.0,Black and decker use  blender jug for sale in good condition.,,HiI have a black and decker blender jug for sale in good condition. Asking $15 dollars for each for two $25,City of Toronto,< 4 hours ago,2020-10-06 17:23:06.045546
1528247099,/v-processor-blender-juicer/city-of-toronto/juicer-angel-5500/1528247099,1300.0,Juicer- Angel 5500,,"Angel 5500 juicer. Bought a year ago and never used. Comes with all parts, stainless steel juice collector cup as well. Bought it for $1550",City of Toronto,< 5 hours ago,2020-10-06 17:23:06.046033
1528239538,/v-processor-blender-juicer/city-of-toronto/oster-blender-portable-blender-with-sport-bottle/1528239538,20.0,Oster Blender portable blender with sport bottle,,"Crush ice with 250 watts of power Power, style, and performance in a personal size Blend right into the bpa-free tritan 20-ounce dishwasher safe plastic sport bottle Quick and convenient one-touch ...",City of Toronto,< 5 hours ago,2020-10-06 17:23:06.046515
