,url,price,title,distance,description,location,time_offset,retreived
1528294479,/v-refrigerator-fridge/city-of-toronto/edgestar-countertop-medical-refrigerator-4-units-available/1528294479,350.0,Edgestar Countertop Medical Refrigerator - 4 units available,,"Condition: BRAND NEW (in Unopened Factory Packed Box) Dimensions: 19.31 H x 18.68 W x 17.12 D Compact size, ideal for countertop use with Factory Installed keyed door lock. Temperature range is ...",City of Toronto,< 4 minutes ago,2020-10-06 17:24:43.893226
1528291436,/v-refrigerator-fridge/city-of-toronto/accucold-manual-defrost-refrigerator-48l-4-units-available/1528291436,280.0,Accucold Manual Defrost Refrigerator  48L (4 units available),,"Brand: Accucold Model # FFAR-24L-MAN Color: White Condition: Brand new (in Unopened Factory Packed Box) 4 UNITS available for Immediate Sale Dimensions: 20.13"" H x 17.75"" W x 17.63"" D (51cm H x 45cm ...",City of Toronto,< 18 minutes ago,2020-10-06 17:24:43.893913
1528286902,/v-refrigerator-fridge/city-of-toronto/mini-fridge/1528286902,80.0,Mini fridge,,"I have this mini fridge for sale, please contact me if you are interested",City of Toronto,< 44 minutes ago,2020-10-06 17:24:43.894402
1513430388,/v-refrigerator-fridge/city-of-toronto/whirl-pool-refrigerator/1513430388,600.0,Whirl pool refrigerator,,Great quality . I can send more pictures,City of Toronto,< 51 minutes ago,2020-10-06 17:24:43.894895
1528278461,/v-refrigerator-fridge/city-of-toronto/kitchen-aid-double-door-frigide/1528278461,180.0,"KITCHEN AID DOUBLE DOOR FRIGIDE, `",,"KITCHEN AID DOUBLE DOOR FRIGIDE FOR SALE! - ENERGY STAR * - ICE MAKER AND WATER DISPENSER H= 70"" W=36"" D=30"" CLEAN AND IN WORKING CONDITION PERFECT FOR HOUSE BASEMENT APARTMENT/CONDO PLEASE CALL ME ...",City of Toronto,< 2 hours ago,2020-10-06 17:24:43.895388
1528272484,/v-refrigerator-fridge/city-of-toronto/frigidaire-crown/1528272484,100.0,Frigidaire Crown,,"22 cubic feet refrigerator. Located in Muskoka , 10 Km's south of Gravenhurst. Please call 416-732-8470.",City of Toronto,< 3 hours ago,2020-10-06 17:24:43.896071
1528270309,/v-refrigerator-fridge/city-of-toronto/refrigerator-display-vitrine/1528270309,385.0,refrigerator/display/vitrine,,"perfect working condition, call or text 426 624 1210",City of Toronto,< 3 hours ago,2020-10-06 17:24:43.896567
1528270031,/v-refrigerator-fridge/city-of-toronto/36-full-depth-fridge-whirlpool-gold/1528270031,400.0,36” Full Depth Fridge - Whirlpool Gold,,Water/Ice Maker works great. Great fridge we just no longer have room for it. $400 ORB.,City of Toronto,< 3 hours ago,2020-10-06 17:24:43.897054
1528251974,/v-refrigerator-fridge/city-of-toronto/danby-bar-fridge/1528251974,110.0,Danby bar fridge,,Danby bar fridge - great working condition W: 20.5” H: 33” D: 20.5” Original price $250 plus tax Emt - self pick up in Keelesdale ( eglington / keeles),City of Toronto,< 4 hours ago,2020-10-06 17:24:43.897544
1528241045,/v-refrigerator-fridge/city-of-toronto/whirlpool-black-side-by-side-fridge-good-condition/1528241045,750.0,Whirlpool black Side by side fridge good condition,,Good condition fully functional Whirlpool side-by-side refrigerator for sale. Two three scratches. Two small ones on handle and on thin one 14” long on left face. Details can be found here: ...,City of Toronto,< 5 hours ago,2020-10-06 17:24:43.898032
1528240695,/v-refrigerator-fridge/city-of-toronto/magic-chef-mini-refrigerator/1528240695,30.0,Magic chef mini refrigerator,,Has minor scratches all over but works perfectly fine. The freezer is cold enough to make ice.,City of Toronto,< 5 hours ago,2020-10-06 17:24:43.898519
1528230780,/v-refrigerator-fridge/city-of-toronto/mini-fridge-2/1528230780,50.0,Mini Fridge (2),,"Two mini fridges (34 inches tall). $50 each or best offer. Located at Steeles and Weston Road, North York. In office limited days. Second floor. You have to carry down stairs. In office Wed Oct 7th. ...",City of Toronto,< 6 hours ago,2020-10-06 17:24:43.899024
1528230025,/v-refrigerator-fridge/city-of-toronto/frigidaire-refrigerator-stove-delivery-available/1528230025,350.0,Frigidaire refrigerator  stove delivery available,,"Good work condition, delivery available Deliver in front of house in Scarborough 50$ 350$ for refrigerator, 200$ for stove",City of Toronto,< 6 hours ago,2020-10-06 17:24:43.899510
1511974096,/v-refrigerator-fridge/city-of-toronto/old-defective-fridge-for-scrap-or-repair/1511974096,20.0,Old defective fridge for scrap or repair,,"Old defective fridge for scrap or maybe repair, we are looking to get some cash for it. Only pickup, we CANNOT deliver. We have a loading dock for trucks.",City of Toronto,< 6 hours ago,2020-10-06 17:24:43.900000
1528228942,/v-refrigerator-fridge/city-of-toronto/fridge-ge-30inch-french-door-stainless-steel-500-no-tax/1528228942,500.0,Fridge - GE 30inch French Door  Stainless Steel  - $500 no tax,,"GE 30 inch 20.8 cu.ft. French Door Bottom Mount Refrigerator in Stainless Steel GNE21DSKSS Fridge is in great condition but doesn't fit with my new kitchen layout, which is why I am selling it. ...",City of Toronto,< 6 hours ago,2020-10-06 17:24:43.900683
1528225447,/v-refrigerator-fridge/city-of-toronto/hamilton-beach-17-1-7-cu-ft-compact-refrigerator/1528225447,65.0,"Hamilton Beach 17"" 1.7 Cu. Ft. Compact Refrigerator",,"1.7 cu. ft. Energy star rated compact refrigerator from Hamilton Beach is perfect for dorm rooms, den or office. This unit features an easy accessible adjustable thermostat, 2-litre tall storage ...",City of Toronto,< 6 hours ago,2020-10-06 17:24:43.901173
1516708347,/v-refrigerator-fridge/city-of-toronto/antique-coldspot-fridge-freezer-1950s/1516708347,600.0,Antique Coldspot Fridge/Freezer (1950s),,"Coldspot Fridge/Freezer combo from the 1950s. Purchased from Simpson-Sears. Sold as-is (not tested or certified), potential minor freon leak",City of Toronto,< 7 hours ago,2020-10-06 17:24:43.901689
1528223219,/v-refrigerator-fridge/city-of-toronto/fridge-for-sale/1528223219,150.0,Fridge for sale,,Good working fridge. 30”x65”h,City of Toronto,< 7 hours ago,2020-10-06 17:24:43.902182
1517503492,/v-refrigerator-fridge/city-of-toronto/wine-chiller-new-waring-pro-pc-150/1517503492,50.0,WINE CHILLER - NEW WARING PRO PC 150,,"This cooler is brand new in its original box. Amazon has them for $99 for a refurbished model. Got it as a B day present but have no need for it myself. Offering well below store price, not open to ...",City of Toronto,< 7 hours ago,2020-10-06 17:24:43.902679
1528219079,/v-refrigerator-fridge/city-of-toronto/danby-s-counter-high-compact-refrigerator-is-perfect-for-the-dor/1528219079,70.0,Danby’s counter-high compact refrigerator is perfect for the dor,,"Danby’s counter-high compact refrigerator is perfect for the dorm, bedroom or lunch room. This model can be adjusted to the same height as the counter. Great features include a full width freezer ...",City of Toronto,< 7 hours ago,2020-10-06 17:24:43.903166
1528218737,/v-refrigerator-fridge/city-of-toronto/lg-fridge/1528218737,300.0,LG Fridge,,5 years old LG Fridge,City of Toronto,< 7 hours ago,2020-10-06 17:24:43.903654
1528218684,/v-refrigerator-fridge/city-of-toronto/ge-4-4-cu-ft-freestanding-bar-fridge/1528218684,100.0,GE 4.4 Cu. Ft. Freestanding Bar Fridge,,Outside dimensions: H: 32 1/2 inch W: 20 1/2 inch D: 20 1/2 inch,City of Toronto,< 7 hours ago,2020-10-06 17:24:43.904138
1528217521,/v-refrigerator-fridge/city-of-toronto/brand-new-frigidaire-white-top-mount-refrigerator-11-6-cu-ft/1528217521,600.0,Brand new Frigidaire White Top Mount Refrigerator (11.6 Cu. Ft.),,"Brand new, never used 24"" Energy Star fridge. Exactly the one shown here: ...",City of Toronto,< 7 hours ago,2020-10-06 17:24:43.904621
1528216217,/v-refrigerator-fridge/city-of-toronto/master-chef-compact-refrigerator-for-sale/1528216217,50.0,Master Chef compact refrigerator for sale,,"Pristine unused master chef brand mini-fridge for sale. 1.7 cubic ft capacity, perfect for beer or leftovers, and includes small freezer compartment. Weight (lbs) 33.7 Width (in) 17.3 Height (in) ...",City of Toronto,< 7 hours ago,2020-10-06 17:24:43.905110
1528212531,/v-refrigerator-fridge/city-of-toronto/dishwasher-ge/1528212531,45.0,Dishwasher GE,,Ready for pickup also available microwave and toaster,City of Toronto,< 8 hours ago,2020-10-06 17:24:43.905596
1528210661,/v-refrigerator-fridge/city-of-toronto/huge-saving-on-samsung-lg-stainless-steel-fridge-start-from-999/1528210661,999.99,Huge Saving On Samsung LG Stainless Steel Fridge Start  From$999,,"Amazing Deals On LG , Samsung , Fridge , Stainless Steel Fridge , French Door Fridge , Samsung Fridge , LG Fridge , Fridge with ice and Water , Kitchen Aid ,Maytag t; Washer , Dryer , Front Load ...",City of Toronto,< 8 hours ago,2020-10-06 17:24:43.906135
1528209643,/v-refrigerator-fridge/city-of-toronto/4-4-cubic-mini-fridge/1528209643,50.0,4.4 Cubic Mini fridge,,"Excellent condition 4.4 cubic mini fridge with a Freezer $50 33 inches high, 18 inches wide and 18.5 inches deep. Sorry, No delivery. pickup at North York. Text:647-839-5609",City of Toronto,< 8 hours ago,2020-10-06 17:24:43.906654
1528203471,/v-refrigerator-fridge/city-of-toronto/wine-fridge/1528203471,3000.0,Wine Fridge,,Gaggenau Brand. Made in Germany High End Wine fridge. RW404 series. New price is $6200. 7 years old asking $3000 RW 404 761 Under-counter wine storage unit with stainless steel-framed glass door ...,City of Toronto,< 8 hours ago,2020-10-06 17:24:43.907144
