,url,price,title,distance,description,location,time_offset,retreived
1528471272,/v-renovation-cabinet-counter/city-of-toronto/complete-kitchen-floor-model-65-off-sale/1528471272,2800.0,Complete Kitchen • Floor Model 65% off Sale,,"127"" length New One wall European white gloss kitchen with 2 pull-out garbage bins , 11 pull-out drawers for bottom cabinets and 3 top cabinets with lifting Blum system+Caesar Stone quartz countertop ...",City of Toronto,< 3 minutes ago,2020-10-07 16:34:10.319070
1528469763,/v-renovation-cabinet-counter/city-of-toronto/kitchen-countertops-1999-quartz-installed-free-vanity/1528469763,24.99,KITCHEN COUNTERTOPS  - $1999 QUARTZ INSTALLED + FREE VANITY,,KITCHEN COUNTERTOPS  - $1999 QUARTZ INSTALLED + FREE VANITY THIS MONTH SPECIAL!!!GET YOUR COUNTEROP FOR UNDER $2000 +  FREE VANITY!!!  - Call Today: 289.475.5160 Fully installed within 3-5 days ( ...,City of Toronto,< 12 minutes ago,2020-10-07 16:34:10.319572
1528468542,/v-renovation-cabinet-counter/city-of-toronto/quartz-countertop-on-sale-get-it-done-in-7-business-days/1528468542,22.0,QUARTZ COUNTERTOP ON SALE - GET IT DONE IN 7 BUSINESS DAYS,,Quality with a price you can trust. We are not a volume shop. Since we are a medium-sized company you get the same quality as the bigger companies for half the price. Everything is done in house ...,City of Toronto,< 18 minutes ago,2020-10-07 16:34:10.320158
1528467055,/v-renovation-cabinet-counter/city-of-toronto/best-price-around-quartz-countertop-cabinets-bathroom-vanity/1528467055,24.0,"*Best Price Around* Quartz countertop, Cabinets, Bathroom Vanity",,We are happy to present to you our new promotional deal this season! Quartz countertops only $24 per sqft (Labor Cost) + Material Cost. As a stone fabricator with more than 10 years of experience and ...,City of Toronto,< 26 minutes ago,2020-10-07 16:34:10.320675
1528461030,/v-renovation-cabinet-counter/city-of-toronto/blowout-sale-quartz-countertop-kitchen-cabinets-vanity/1528461030,20.0,"***BLOWOUT SALE***QUARTZ COUNTERTOP, KITCHEN CABINETS, VANITY",,"* Direct Importer * One-Stop-Shop * No Middle Men * You deal right with the source * Special Offer for Marketplace clients: ** Only $20 per sqft (for fabrication, delivery, and installation) + ...",City of Toronto,< 58 minutes ago,2020-10-07 16:34:10.321553
1528460858,/v-renovation-cabinet-counter/city-of-toronto/bathroom-sink-cabinet/1528460858,150.0,Bathroom sink & cabinet,,"Brand new never used I bought it but my wife doesnt like it so im selling for half price, $150 firm,can pick up at yonge and davisville",City of Toronto,< 59 minutes ago,2020-10-07 16:34:10.322056
1528460765,/v-renovation-cabinet-counter/city-of-toronto/free-3d-model-kitchen-cabinets-counter-tops-closets-vanity-sale/1528460765,1.0,FREE 3D Model -Kitchen Cabinets-Counter Tops-Closets-Vanity-SALE,,There are various options available that provide kitchen remodelling and renovation services but to choose the best one is a tricky task. ASASA Kitchens is a top kitchen contractor that has spent ten ...,City of Toronto,< 60 minutes ago,2020-10-07 16:34:10.322546
1528459681,/v-renovation-cabinet-counter/city-of-toronto/white-kitchen-island-with-quartz-countertop-on-sale/1528459681,3999.0,white kitchen island with quartz countertop on sale!!,,"COZYHOME Mississauga showroom is re-open!! Due to COVID-19, we have been closed since March. Now, we re-open our showroom. And for all of our precious customers' safety, please wear a face mask ...",City of Toronto,< 2 hours ago,2020-10-07 16:34:10.323231
1528458447,/v-renovation-cabinet-counter/city-of-toronto/quartz-kitchen-bathroom-countertops-under-1999-647-812-0748/1528458447,24.99,QUARTZ KITCHEN & BATHROOM COUNTERTOPS UNDER $1999 647-812-0748,,"VANITY TOP  WHOLESALE FOR BUILDERS, CONTRACTORS, SUB-CONTRACTORS AND HOUSE OWNERS WITH SPECIAL PRICE $$ LOW $$ CALL:  647-812-0748 (7 DAYS/24 HRS) GET YOUR COUNTERTOP TODAY UNDER $2000 INSTALLED AND ...",City of Toronto,< 2 hours ago,2020-10-07 16:34:10.323729
1528457167,/v-renovation-cabinet-counter/city-of-toronto/premium-quality-quartz-countertops-kitchen-cabinets-vanity/1528457167,20.0,"PREMIUM QUALITY QUARTZ COUNTERTOPS, KITCHEN CABINETS, VANITY",,"We have brought joy to over 10,000 Happy Customers over the last 10 years. Get your countertop project started: • Send us the measurements/ a kitchen picture to get an accurate project quote for 100% ...",City of Toronto,< 2 hours ago,2020-10-07 16:34:10.324213
1528450633,/v-renovation-cabinet-counter/city-of-toronto/top-worth-kitchen-cabinets-with-40-bumper-offer/1528450633,1500.0,(\TOP WORTH KITCHEN CABINETS WITH 40% BUMPER OFFER/),,We will provide our recent job references and customer reviews so that you can place your order without any worries! We are offering: • Custom design and installation • Display cabinets and books ...,City of Toronto,< 2 hours ago,2020-10-07 16:34:10.325079
1528450068,/v-renovation-cabinet-counter/city-of-toronto/hardwood-kitchen-and-bathroom-cabinets/1528450068,1500.0,“HARDWOOD KITCHEN AND BATHROOM CABINETS”,,"Our goal is to take a project from the planning stages to the finished product, while minimizing the stress and effort of our clients. Customer satisfaction is 100% guaranteed, zero complaint. We ...",City of Toronto,< 2 hours ago,2020-10-07 16:34:10.325756
1528449517,/v-renovation-cabinet-counter/city-of-toronto/kitchen-cabinets-availale-in-finest-quality/1528449517,1500.0,**KITCHEN CABINETS AVAILALE IN FINEST QUALITY**,,If you want to design your dream kitchen we can help you in lowest budget. • Kitchen cabinets installation done by professionals. • 3D designs at wide variety are available • Huge variety of colours ...,City of Toronto,< 2 hours ago,2020-10-07 16:34:10.326428
1528448541,/v-renovation-cabinet-counter/city-of-toronto/50-off-comparable-premium-kitchen-cabinets/1528448541,1500.0,“50% Off Comparable Premium Kitchen Cabinets”,,Bring us Your ideas and We will convert it in reality! • 200 Sizes are available • Multi-colour and unique selection • Installation cabinets are available • A Wide Selection of Styles all featured in ...,City of Toronto,< 2 hours ago,2020-10-07 16:34:10.327098
1528445324,/v-renovation-cabinet-counter/city-of-toronto/used-kitchen-cabinets/1528445324,2000.0,Used Kitchen Cabinets,,Selling because we are getting a new kitchen! From the corner it is 151.5” the long way and 105” the short way. Fridge area is 89”. Island is 58”x38”. Appliances NOT included. Tap and sink are ...,City of Toronto,< 3 hours ago,2020-10-07 16:34:10.327792
1528442111,/v-renovation-cabinet-counter/city-of-toronto/granite-quartz-countertops-kitchen-bathroom-toronto/1528442111,23.99,★ Granite & Quartz Countertops ★ Kitchen Bathroom Toronto,,"DEAL DEAL DEAL ✪ ALL COUNTERTOPS UNDER $2000 ✪   647-479-9874 CALL TODAY:  647-479-9874 We are providing leading services in designing, fabricating, and installing custom granite, quartz, and marble ...",City of Toronto,< 3 hours ago,2020-10-07 16:34:10.328704
