,url,price,title,distance,description,location,time_offset,retreived
1528459305,/v-renovation-electrical/city-of-toronto/wires-cables/1528459305,2.0,Wires + cables,,"No Tex Call 647 855 2722 Wires 600 V 60 c per m Lots of fixtures $2 each Armour cables $2 per m ,Work light $10 , Makita $25 , Tool box $15 Power cable 45` $30 , Ext, cables $2-10 , Jump cable $10 , ...",City of Toronto,< 2 hours ago,2020-10-07 16:44:06.367379
1528446481,/v-renovation-electrical/city-of-toronto/12-2-bx/1528446481,145.0,12/2 bx(,,Armoured Electrical Cable Copper Electrical Wire Gauge 12/2. AC90 12/2 - 65 m,City of Toronto,< 3 hours ago,2020-10-07 16:44:06.367871
1528445206,/v-renovation-electrical/city-of-toronto/chain-block-telescopic-ladder-industrial-scale-crane-scale/1528445206,99.99,"Chain block, telescopic ladder, industrial scale, crane scale,",,●HALF TON CHAIN BLOCK /BLOCK HOIST (0.5 Ton) $79.99 Capacity: 0.5 ton Min. Distance in Two Hooks: 280 mm Diameter of Load Chain: 6mm Weight: 21 LB 1.5 Ton CHAIN BLOCK/BLOCK HOIST ( 1.5 Ton ) $99.99 ...,City of Toronto,< 3 hours ago,2020-10-07 16:44:06.368352
1528433277,/v-renovation-electrical/city-of-toronto/free-construction-power-pole-60-amp/1528433277,0.0,FREE Construction Power Pole 60 AMP,,"One great temporary power pole in the ground on site, all yours if you dig out.",City of Toronto,< 4 hours ago,2020-10-07 16:44:06.368827
1528423012,/v-renovation-electrical/city-of-toronto/bulk-cables-cat5e-cat6e-out-door-direct-burial-rg59-cable-rg6/1528423012,69.99,"BULK CABLES CAT5E, CAT6E OUT DOOR DIRECT BURIAL, RG59 CABLE RG6",,"BULK CABLES ,CAT5E ,CAT6 ,CAT5E FT4 RATED , CAT6 FT4 RATED , CAT5E, CAT6 FT6 RATED, OUTDOOR DIRECT BURIAL CAT5E DIRECT BURIAL, OUTDOOR CAT6 DIRECT BURIAL ,RG6 FT4 , RG6 PURE COPPER , RG59 SIAMESE ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                We Deal with Android TV Boxes, Google TV Boxes, TV Wall Mounts, HD TV Antennas, Satellite Dishes, Computers, Laptops and Accessories",City of Toronto,< 5 hours ago,2020-10-07 16:44:06.369363
1528409289,/v-renovation-electrical/city-of-toronto/mr16-low-voltage-bulbs-50-watts/1528409289,1.0,MR16 Low Voltage Bulbs 50 Watts,,"MR16 light bulbs. These are used, my halogen ones that I had in my pot lights. I'm switching everything to LED so I'm selling these for 50 cents each. You must buy a minimum of 10 at a time. I have ...",City of Toronto,< 6 hours ago,2020-10-07 16:44:06.369845
1528390469,/v-renovation-electrical/city-of-toronto/westinghouse-circuit-breakers/1528390469,250.0,Westinghouse Circuit Breakers,,"Westinghouse Circuit Breakers 700amp, 500amp, 100amp, 60amp, 50amp and two 15amp breakers Lot $250.00",City of Toronto,< 7 hours ago,2020-10-07 16:44:06.370904
1528386217,/v-renovation-electrical/city-of-toronto/2-awg-15-amp-heavy-duty-extension-indoor-outdoor-cord-100-ft/1528386217,69.99,2 AWG 15 AMP HEAVY DUTY EXTENSION INDOOR/OUTDOOR CORD 100 FT,,"SPECIAL SALE PRICE ON 30M (100 FT) 12 AWG 15 AMP HEAVY DUTY EXTENSION CABLE FOR ONLY $69.99 ( KIJIJI DISCOUNTED PRICE PLEASE MENTION ADD) • FOR OUTDOOR USE, WORKSHOP OR GARAGE • WEATHER PROOF • 1 ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                We Deal with Android TV Boxes, Google TV Boxes, TV Wall Mounts, HD TV Antennas, Satellite Dishes, Computers, Laptops and Accessories",City of Toronto,< 8 hours ago,2020-10-07 16:44:06.371447
1528367145,/v-renovation-electrical/city-of-toronto/lutron-caseta-smart-lighting-brand-new-sealed/1528367145,30.0,"Lutron Caseta Smart Lighting, brand new sealed",,Brand new Lutron Caseta products starting from $30. Please see pickup pricing below: - Lutron Caseta Dimmer Switch - $60 - Lutron Caseta Light & Fan Switch - $60 - Lutron Caseta Dimmer Kit with Pico ...,City of Toronto,< 10 hours ago,2020-10-07 16:44:06.371933
1528366833,/v-renovation-electrical/city-of-toronto/led-pot-lights-4-inch/1528366833,7.0,LED Pot Lights 4 inch,,LED Pot Lights 4 inch in good condition complete with LED bulbs $7 each or 12 for $70,City of Toronto,< 10 hours ago,2020-10-07 16:44:06.372417
1528366503,/v-renovation-electrical/city-of-toronto/lutron-caseta-dimmer-kit-with-smart-bridge-brand-new-sealed/1528366503,115.0,"Lutron Caseta Dimmer Kit with Smart Bridge, brand new sealed",,"Brand new in a sealed box. PICKUP in Mississauga (L4W 2N9) or SAME-DAY SHIPPING. It's the LOWEST & FIRM PRICE (for single or bulk purchases). NO TAX, with purchase receipt and warranty. Multiple ...",City of Toronto,< 10 hours ago,2020-10-07 16:44:06.372895
1528366301,/v-renovation-electrical/city-of-toronto/lutron-caseta-dimmer-with-pico-remote-kit-brand-new-sealed/1528366301,70.0,"Lutron Caseta Dimmer with Pico Remote Kit, brand new sealed",,"Brand new in a sealed box. PICKUP in Mississauga (L4W 2N9) or SAME-DAY SHIPPING. It's the LOWEST & FIRM PRICE (for single or bulk purchases). NO TAX, with purchase receipt and warranty. Multiple ...",City of Toronto,< 10 hours ago,2020-10-07 16:44:06.373377
1528366092,/v-renovation-electrical/city-of-toronto/lutron-caseta-dimmer-brand-new-sealed/1528366092,60.0,"Lutron Caseta Dimmer, brand new sealed",,"Brand new in a sealed box. PICKUP in Mississauga (L4W 2N9) or SAME-DAY SHIPPING. It's the LOWEST & FIRM PRICE (for single or bulk purchases). NO TAX, with purchase receipt and warranty. Multiple ...",City of Toronto,< 10 hours ago,2020-10-07 16:44:06.373857
1528365884,/v-renovation-electrical/city-of-toronto/lutron-caseta-light-fan-switch-brand-new-sealed/1528365884,60.0,"Lutron Caseta Light & Fan Switch, brand new sealed",,"Brand new in a sealed box. PICKUP in Mississauga (L4W 2N9) or SAME-DAY SHIPPING. It's the LOWEST & FIRM PRICE (for single or bulk purchases). NO TAX, with purchase receipt and warranty. Multiple ...",City of Toronto,< 10 hours ago,2020-10-07 16:44:06.374336
1528365696,/v-renovation-electrical/city-of-toronto/lutron-caseta-smart-fan-speed-control-switch-brand-new-sealed/1528365696,65.0,"Lutron Caseta Smart Fan Speed Control Switch, brand new sealed",,"Brand new in a sealed box. PICKUP in Mississauga (L4W 2N9) or SAME-DAY SHIPPING. It's the LOWEST & FIRM PRICE (for single or bulk purchases). NO TAX, with purchase receipt and warranty. Multiple ...",City of Toronto,< 10 hours ago,2020-10-07 16:44:06.374842
1528365484,/v-renovation-electrical/city-of-toronto/lutron-caseta-lamp-dimmer-and-remote-kit-brand-new-sealed/1528365484,65.0,"Lutron Caseta Lamp Dimmer and Remote Kit, brand new sealed",,"Brand new in a sealed box. PICKUP in Mississauga (L4W 2N9) or SAME-DAY SHIPPING. It's the LOWEST & FIRM PRICE (for single or bulk purchases). NO TAX, with purchase receipt and warranty. Multiple ...",City of Toronto,< 10 hours ago,2020-10-07 16:44:06.375326
1528365349,/v-renovation-electrical/city-of-toronto/lutron-caseta-wireless-in-wall-dimmer-pro-brand-new-sealed/1528365349,110.0,"Lutron Caseta Wireless In-Wall Dimmer PRO, brand new sealed",,"Brand new in a sealed box. PICKUP in Mississauga (L4W 2N9) or SAME-DAY SHIPPING. It's the LOWEST & FIRM PRICE (for single or bulk purchases). NO TAX, with purchase receipt and warranty. Multiple ...",City of Toronto,< 10 hours ago,2020-10-07 16:44:06.375809
1528365165,/v-renovation-electrical/city-of-toronto/lutron-wall-mounting-kit-with-pico-remote-brand-new-sealed/1528365165,30.0,"Lutron Wall-Mounting Kit with Pico Remote, brand new sealed",,"Brand new in a sealed box. PICKUP in Mississauga (L4W 2N9) or SAME-DAY SHIPPING. It's the LOWEST & FIRM PRICE (for single or bulk purchases). NO TAX, with purchase receipt and warranty. Multiple ...",City of Toronto,< 10 hours ago,2020-10-07 16:44:06.376298
1528342399,/v-renovation-electrical/city-of-toronto/brandnew-canada-wire-10m-white-14-2-nmd90-construction-wire/1528342399,12.0,Brandnew Canada Wire 10M White 14/2 NMD90 Construction Wire,,"Made in Canada. NMD90 construction wire. 14/2 Phillips gauge. 15 A. 300 V. 10-m roll. For indoor use. Copper wire. General housing wire: receptacle, switch and lighting. White. Pickup at Port Union ...",City of Toronto,< 18 hours ago,2020-10-07 16:44:06.376785
1528326090,/v-renovation-electrical/city-of-toronto/square-d-breaker-40a-25/1528326090,25.0,Square D Breaker 40A - $25,,Square D Breaker 40A - $25,City of Toronto,< 21 hours ago,2020-10-07 16:44:06.377272
1528325713,/v-renovation-electrical/city-of-toronto/siemens-electric-panel-breakers-10/1528325713,10.0,Siemens Electric Panel breakers - $10,,Siemens Electric Panel breakers - $10 Renovation sale !!! - Variety of Siemens Electric circuit breakers - $10 up. 15A 1 pole GFCI - 4 pcs $50 each 15A 2 pole Twin 1 spot - 1 pcs $15 each 15A 2 pole ...,City of Toronto,< 21 hours ago,2020-10-07 16:44:06.377760
1528325046,/v-renovation-electrical/city-of-toronto/pot-lights-housing-5/1528325046,5.0,Pot Lights Housing - $5,,Pot Lights Housing - $5 each,City of Toronto,< 21 hours ago,2020-10-07 16:44:06.378246
