,url,price,title,distance,description,location,time_offset,retreived
1528469430,/v-renovation-other/city-of-toronto/dyna-glo-50k-80k-portable-convection-heater-new/1528469430,160.0,Dyna-Glo  50K - 80K Portable Convection Heater - New,,"New in sealed box, with attachment hose. The Dyna-Glo 80,000 BTU portable convection gas fired heater, LINK... https://www.homedepot.ca/product/dyna-glo-50k-80k-lp-convection-heater-ca/1000660202",City of Toronto,< 22 minutes ago,2020-10-07 16:42:45.083860
1528463001,/v-renovation-other/city-of-toronto/building-material/1528463001,15.0,Building material,,ICF blocks 8inch,City of Toronto,< 57 minutes ago,2020-10-07 16:42:45.084544
1496473911,/v-renovation-other/city-of-toronto/garage-door-torsion-spring-prime-line-products-gd-12321-right-ha/1496473911,65.0,Garage Door Torsion Spring Prime-Line Products GD 12321 Right Ha,,"Prime-Line Products GD 12321 Right Hand Garage Door Torsion Spring, 0.250 x 2 x 28-Inch, Gold Oil Tempered Wire 10,000 Cycle Commercial Grade Pressure Cast Zinc Cones and Plugs - Pre Installed Color ...",City of Toronto,< 59 minutes ago,2020-10-07 16:42:45.085026
1528452519,/v-renovation-other/city-of-toronto/hand-cart-dolly-mini-pallet-jack-lift-table-telescopic-ladde/1528452519,139.99,"hand cart, dolly, mini pallet jack, lift table, telescopic ladde",,70 % off sale ******1 years warranty *******order www.mrdockplate.ca ****Industrial Supplier 647-558-8245 Warehouse cart with platform - $139.99 Size 42 L X 30 W Capacity 1100 lb ...,City of Toronto,< 2 hours ago,2020-10-07 16:42:45.085721
1528451029,/v-renovation-other/city-of-toronto/pair-of-table-legs/1528451029,60.0,Pair of table legs,,Pair of ikea table base legs. Measures 27.5” H x 17.5” W. Great for creating your own table/desk with live edge wood. Pick up only. Closest intersection is Jane st and Eglinton Ave west.,City of Toronto,< 2 hours ago,2020-10-07 16:42:45.086513
1528448756,/v-renovation-other/city-of-toronto/led-slim-panel-light-2x4-flat-led-pot-light-led-light-bulb/1528448756,50.0,LED Slim Panel Light * 2x4 Flat LED Pot light* LED light bulb,,"PLEASE CALL 647-955-3586 BEST PRICES OPEN- Monday- Friday 9:30am-5:00pm** ALL Products we sell are Energy Star, DLC, CUL, ETL Listed**Minimum 3-5 Year Warranty on ALL Products We also do Government ...",City of Toronto,< 3 hours ago,2020-10-07 16:42:45.087052
1528448174,/v-renovation-other/city-of-toronto/4-chrome-table-legs/1528448174,40.0,4 chrome table legs,,4 chrome table legs 28” tall. One has sticker residue on it. See pic. Pick up only. Closest intersection is Jane st and Eglinton Ave west.,City of Toronto,< 3 hours ago,2020-10-07 16:42:45.087561
1528433266,/v-renovation-other/city-of-toronto/metal-rack-countertop-or-building-material-storage/1528433266,200.0,Metal Rack (countertop or building material storage),,"metal rack and posting to storage countertop or building material. originally paid $800 for the set, now selling $200 pickup location: Sheppard and Victoria Park (hwy 401/404)",City of Toronto,< 4 hours ago,2020-10-07 16:42:45.088242
1528428040,/v-renovation-other/city-of-toronto/temporary-fencing-rental-service/1528428040,0.74,Temporary Fencing Rental Service,,We can deliver anywhere 647-465-6957 6'x8’ Panels Safe and Secure Please provide the following: 1. Location 2. How many linear feet is needed 3. Approximate Duration for rental 4. Start date 5. Will ...,City of Toronto,< 4 hours ago,2020-10-07 16:42:45.088735
1528425859,/v-renovation-other/city-of-toronto/rent-your-fence-today/1528425859,0.74,Rent your fence today!,,Call 647-465-6957 6'x8’ Panels Safe and Secure Please provide the following: 1. Location 2. How many linear feet is needed 3. Approximate Duration for rental 4. Start date 5. Will you require ...,City of Toronto,< 4 hours ago,2020-10-07 16:42:45.089227
1528424387,/v-renovation-other/city-of-toronto/cinder-blocks-8x8x16/1528424387,25.0,CINDER BLOCKS 8X8X16,,I have 25 new cinder blocks that were never used in a home reno project. They are 8x8x16 inches - normally sell for $2.36 each. Yours for $1 each. They are in the basement - you will need to carry ...,City of Toronto,< 5 hours ago,2020-10-07 16:42:45.089715
1528423556,/v-renovation-other/city-of-toronto/floor-cable-hiders-of-various-sizes-at-great-low-prices/1528423556,9.99,FLOOR CABLE HIDERS OF VARIOUS SIZES AT GREAT LOW PRICES,,"AT TECH VISION ELECTRONICS WE CARRY A GREAT SELECTION OF HIGH-QUALITY CABLE HIDERS, CABLE MANAGEMENT, AND FLOOR CABLE HIDERS AT GREAT LOW PRICES. FLOOR HIDER STARTING FROM ONLY $9.99 TECH VISION ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                We Deal with Android TV Boxes, Google TV Boxes, TV Wall Mounts, HD TV Antennas, Satellite Dishes, Computers, Laptops and Accessories",City of Toronto,< 5 hours ago,2020-10-07 16:42:45.090257
1528423543,/v-renovation-other/city-of-toronto/construction-fence-rent/1528423543,0.75,Construction Fence RENT,,Temporary Fence Rental 647-465-6957 6'x8’ Panels Safe and Secure Please provide the following: 1. Location 2. How many linear feet is needed 3. Approximate Duration for rental 4. Start date 5. Will ...,City of Toronto,< 5 hours ago,2020-10-07 16:42:45.090742
1528407401,/v-renovation-other/city-of-toronto/made-in-canada-nonwoven-geotextile-landscape-fabric-texel/1528407401,0.1,Made in Canada Nonwoven Geotextile Landscape Fabric ** TEXEL**,,Geotextile from the Big Box Stores or the Garden Centers are inferior They will Clog and Breakdown. They are smaller in width and length and thinner. They are Expensive. Garden Centers sell inferior ...,City of Toronto,< 6 hours ago,2020-10-07 16:42:45.091222
1528406183,/v-renovation-other/city-of-toronto/mop/1528406183,8.0,Mop,,New refill for comedy BEE moo also mop. Moving cow Get all For $8. Pick up avenue road and wilson.,City of Toronto,< 6 hours ago,2020-10-07 16:42:45.091712
1528399340,/v-renovation-other/city-of-toronto/filters/1528399340,1.0,filters,,Take all for $50 or one for $15. Filter is 15x25x1. Moving so don’t need. All brand new. Pick up only avenue and Wilson.,City of Toronto,< 7 hours ago,2020-10-07 16:42:45.092194
1528387863,/v-renovation-other/city-of-toronto/wheelbarrow/1528387863,75.0,WHEELBARROW,,"* In great shape * Minor crack at the front of the tray * Frame slightly twisted, but no issues when using the wheelbarrow * Dimensions of tray: 25 (width) x 36 (length) inches * Dimensions: 21 ...",City of Toronto,< 7 hours ago,2020-10-07 16:42:45.092675
1528377906,/v-renovation-other/city-of-toronto/peg-board-sheets-only-6-left/1528377906,10.0,Peg board sheets - only 6 left!,,"48"" x 38"" sheets of peg board. New, unused. Mint condition. 6 sheets available. $10/sheet. Or $50 for all 6 sheets. Pick up in Oakville or Toronto.",City of Toronto,< 8 hours ago,2020-10-07 16:42:45.093155
1528339724,/v-renovation-other/city-of-toronto/antique-reproduction-cast-metal-handles-and-drawer-pulls/1528339724,50.0,Antique Reproduction Cast Metal Handles and Drawer Pulls,,Antique Reproduction Cast Metal Handles and Drawer Pulls For sale: Lot of 9 Antique & Vintage Reproduction cast metal furniture hardware - draw pulls & handles - great for DYI projects. Selling as a ...,City of Toronto,< 19 hours ago,2020-10-07 16:42:45.093834
1528334407,/v-renovation-other/city-of-toronto/structural-beams/1528334407,700.0,Structural beams,,Two beams W200’s x36 x8” 19’ each.,City of Toronto,< 20 hours ago,2020-10-07 16:42:45.094316
1528264390,/v-renovation-other/city-of-toronto/7-industrial-hinges/1528264390,20.0,7 industrial hinges,,7 used industrial hinges. Measures 4” x 4.5”. Pick up only. Closest intersection is Jane st and Eglinton Ave west.,City of Toronto,Yesterday,2020-10-07 16:42:45.095186
1528262543,/v-renovation-other/city-of-toronto/20-19-ceiling-medallions-for-sale-with-variety-of-styles/1528262543,20.0,[$20] - 19” ceiling medallions for sale with variety of styles,,[$20] - 19” ceiling medallions for sale with variety of styles and sizes available starting from $20 combo and volume discounts available. pick up in Vaughan #renovationsupply #ceilingmedallion ...,City of Toronto,Yesterday,2020-10-07 16:42:45.095681
1528246166,/v-renovation-other/city-of-toronto/shower-hose-brand-new/1528246166,10.0,SHOWER HOSE-BRAND NEW,,"Brand New, many available. Metal Shower Hose for replacement. Standard 60"" long Canadian Tire retails for $29.99 Asking $10 only. Looking to clear inventory",City of Toronto,Yesterday,2020-10-07 16:42:45.096165
1528243734,/v-renovation-other/city-of-toronto/christmas-gift-for-your-sweetheart:-love-poem-music-box-mint/1528243734,10.0,"CHRISTMAS GIFT FOR YOUR SWEETHEART: ""LOVE POEM"" MUSIC BOX - MINT",,GIFT FOR YOUR SWEETHEART: “LOVE POEM” STAND-UP MUSIC BOX Mint condition and works. Poem written in red script: “Love is a rose that slowly unfolds. The promise of joy that every day holds.” Music box ...,City of Toronto,Yesterday,2020-10-07 16:42:45.096686
1528235670,/v-renovation-other/city-of-toronto/r20-fiberglass-insulation-for-sale/1528235670,25.0,R20 fiberglass insulation for sale,,"New, unopened package of R20 fiberglass insulation. Width 15-inch, Length 47-inch, Thickness 6-inch Each bag covers 49 sq. feet. I have 3 bags as in photos and will sell at C$25 for each bag.",City of Toronto,Yesterday,2020-10-07 16:42:45.097173
1528223177,/v-renovation-other/city-of-toronto/quikrete-5000/1528223177,9.0,Quikrete 5000,,"QUIKRETE® 5000 Concrete Mix is a commercial grade blend of stone or gravel, sand and cement specially designed for higher early strength. Ideal for cold weather application. Achieves 5000 psi after ...",City of Toronto,Yesterday,2020-10-07 16:42:45.097865
1528212543,/v-renovation-other/city-of-toronto/lumber-2x12/1528212543,20.0,Lumber 2x12,,I have 13 pieces of 2x12 lumber stored in a garage. They are roughly 11 feet in length. 12 have varnish or shellac on them and one is bare wood. Need them all let me know. $20 each board or make an ...,City of Toronto,Yesterday,2020-10-07 16:42:45.098349
1528469430,/v-renovation-other/city-of-toronto/dyna-glo-50k-80k-portable-convection-heater-new/1528469430,160.0,Dyna-Glo  50K - 80K Portable Convection Heater - New,,"New in sealed box, with attachment hose. The Dyna-Glo 80,000 BTU portable convection gas fired heater, LINK... https://www.homedepot.ca/product/dyna-glo-50k-80k-lp-convection-heater-ca/1000660202",City of Toronto,< 22 minutes ago,2020-10-07 16:42:50.075075
1528463001,/v-renovation-other/city-of-toronto/building-material/1528463001,15.0,Building material,,ICF blocks 8inch,City of Toronto,< 57 minutes ago,2020-10-07 16:42:50.077233
1496473911,/v-renovation-other/city-of-toronto/garage-door-torsion-spring-prime-line-products-gd-12321-right-ha/1496473911,65.0,Garage Door Torsion Spring Prime-Line Products GD 12321 Right Ha,,"Prime-Line Products GD 12321 Right Hand Garage Door Torsion Spring, 0.250 x 2 x 28-Inch, Gold Oil Tempered Wire 10,000 Cycle Commercial Grade Pressure Cast Zinc Cones and Plugs - Pre Installed Color ...",City of Toronto,< 59 minutes ago,2020-10-07 16:42:50.078796
1528452519,/v-renovation-other/city-of-toronto/hand-cart-dolly-mini-pallet-jack-lift-table-telescopic-ladde/1528452519,139.99,"hand cart, dolly, mini pallet jack, lift table, telescopic ladde",,70 % off sale ******1 years warranty *******order www.mrdockplate.ca ****Industrial Supplier 647-558-8245 Warehouse cart with platform - $139.99 Size 42 L X 30 W Capacity 1100 lb ...,City of Toronto,< 2 hours ago,2020-10-07 16:42:50.079913
1528451029,/v-renovation-other/city-of-toronto/pair-of-table-legs/1528451029,60.0,Pair of table legs,,Pair of ikea table base legs. Measures 27.5” H x 17.5” W. Great for creating your own table/desk with live edge wood. Pick up only. Closest intersection is Jane st and Eglinton Ave west.,City of Toronto,< 2 hours ago,2020-10-07 16:42:50.080652
1528448756,/v-renovation-other/city-of-toronto/led-slim-panel-light-2x4-flat-led-pot-light-led-light-bulb/1528448756,50.0,LED Slim Panel Light * 2x4 Flat LED Pot light* LED light bulb,,"PLEASE CALL 647-955-3586 BEST PRICES OPEN- Monday- Friday 9:30am-5:00pm** ALL Products we sell are Energy Star, DLC, CUL, ETL Listed**Minimum 3-5 Year Warranty on ALL Products We also do Government ...",City of Toronto,< 3 hours ago,2020-10-07 16:42:50.081145
1528448174,/v-renovation-other/city-of-toronto/4-chrome-table-legs/1528448174,40.0,4 chrome table legs,,4 chrome table legs 28” tall. One has sticker residue on it. See pic. Pick up only. Closest intersection is Jane st and Eglinton Ave west.,City of Toronto,< 3 hours ago,2020-10-07 16:42:50.081634
1528433266,/v-renovation-other/city-of-toronto/metal-rack-countertop-or-building-material-storage/1528433266,200.0,Metal Rack (countertop or building material storage),,"metal rack and posting to storage countertop or building material. originally paid $800 for the set, now selling $200 pickup location: Sheppard and Victoria Park (hwy 401/404)",City of Toronto,< 4 hours ago,2020-10-07 16:42:50.082305
1528428040,/v-renovation-other/city-of-toronto/temporary-fencing-rental-service/1528428040,0.74,Temporary Fencing Rental Service,,We can deliver anywhere 647-465-6957 6'x8’ Panels Safe and Secure Please provide the following: 1. Location 2. How many linear feet is needed 3. Approximate Duration for rental 4. Start date 5. Will ...,City of Toronto,< 4 hours ago,2020-10-07 16:42:50.082836
1528425859,/v-renovation-other/city-of-toronto/rent-your-fence-today/1528425859,0.74,Rent your fence today!,,Call 647-465-6957 6'x8’ Panels Safe and Secure Please provide the following: 1. Location 2. How many linear feet is needed 3. Approximate Duration for rental 4. Start date 5. Will you require ...,City of Toronto,< 4 hours ago,2020-10-07 16:42:50.083347
1528424387,/v-renovation-other/city-of-toronto/cinder-blocks-8x8x16/1528424387,25.0,CINDER BLOCKS 8X8X16,,I have 25 new cinder blocks that were never used in a home reno project. They are 8x8x16 inches - normally sell for $2.36 each. Yours for $1 each. They are in the basement - you will need to carry ...,City of Toronto,< 5 hours ago,2020-10-07 16:42:50.083862
1528423556,/v-renovation-other/city-of-toronto/floor-cable-hiders-of-various-sizes-at-great-low-prices/1528423556,9.99,FLOOR CABLE HIDERS OF VARIOUS SIZES AT GREAT LOW PRICES,,"AT TECH VISION ELECTRONICS WE CARRY A GREAT SELECTION OF HIGH-QUALITY CABLE HIDERS, CABLE MANAGEMENT, AND FLOOR CABLE HIDERS AT GREAT LOW PRICES. FLOOR HIDER STARTING FROM ONLY $9.99 TECH VISION ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                We Deal with Android TV Boxes, Google TV Boxes, TV Wall Mounts, HD TV Antennas, Satellite Dishes, Computers, Laptops and Accessories",City of Toronto,< 5 hours ago,2020-10-07 16:42:50.084487
1528423543,/v-renovation-other/city-of-toronto/construction-fence-rent/1528423543,0.75,Construction Fence RENT,,Temporary Fence Rental 647-465-6957 6'x8’ Panels Safe and Secure Please provide the following: 1. Location 2. How many linear feet is needed 3. Approximate Duration for rental 4. Start date 5. Will ...,City of Toronto,< 5 hours ago,2020-10-07 16:42:50.085047
1528407401,/v-renovation-other/city-of-toronto/made-in-canada-nonwoven-geotextile-landscape-fabric-texel/1528407401,0.1,Made in Canada Nonwoven Geotextile Landscape Fabric ** TEXEL**,,Geotextile from the Big Box Stores or the Garden Centers are inferior They will Clog and Breakdown. They are smaller in width and length and thinner. They are Expensive. Garden Centers sell inferior ...,City of Toronto,< 6 hours ago,2020-10-07 16:42:50.085541
1528406183,/v-renovation-other/city-of-toronto/mop/1528406183,8.0,Mop,,New refill for comedy BEE moo also mop. Moving cow Get all For $8. Pick up avenue road and wilson.,City of Toronto,< 6 hours ago,2020-10-07 16:42:50.086032
1528399340,/v-renovation-other/city-of-toronto/filters/1528399340,1.0,filters,,Take all for $50 or one for $15. Filter is 15x25x1. Moving so don’t need. All brand new. Pick up only avenue and Wilson.,City of Toronto,< 7 hours ago,2020-10-07 16:42:50.086520
1528387863,/v-renovation-other/city-of-toronto/wheelbarrow/1528387863,75.0,WHEELBARROW,,"* In great shape * Minor crack at the front of the tray * Frame slightly twisted, but no issues when using the wheelbarrow * Dimensions of tray: 25 (width) x 36 (length) inches * Dimensions: 21 ...",City of Toronto,< 7 hours ago,2020-10-07 16:42:50.087012
1528377906,/v-renovation-other/city-of-toronto/peg-board-sheets-only-6-left/1528377906,10.0,Peg board sheets - only 6 left!,,"48"" x 38"" sheets of peg board. New, unused. Mint condition. 6 sheets available. $10/sheet. Or $50 for all 6 sheets. Pick up in Oakville or Toronto.",City of Toronto,< 8 hours ago,2020-10-07 16:42:50.087522
1528339724,/v-renovation-other/city-of-toronto/antique-reproduction-cast-metal-handles-and-drawer-pulls/1528339724,50.0,Antique Reproduction Cast Metal Handles and Drawer Pulls,,Antique Reproduction Cast Metal Handles and Drawer Pulls For sale: Lot of 9 Antique & Vintage Reproduction cast metal furniture hardware - draw pulls & handles - great for DYI projects. Selling as a ...,City of Toronto,< 19 hours ago,2020-10-07 16:42:50.088210
1528334407,/v-renovation-other/city-of-toronto/structural-beams/1528334407,700.0,Structural beams,,Two beams W200’s x36 x8” 19’ each.,City of Toronto,< 20 hours ago,2020-10-07 16:42:50.088700
1528264390,/v-renovation-other/city-of-toronto/7-industrial-hinges/1528264390,20.0,7 industrial hinges,,7 used industrial hinges. Measures 4” x 4.5”. Pick up only. Closest intersection is Jane st and Eglinton Ave west.,City of Toronto,Yesterday,2020-10-07 16:42:50.089602
1528262543,/v-renovation-other/city-of-toronto/20-19-ceiling-medallions-for-sale-with-variety-of-styles/1528262543,20.0,[$20] - 19” ceiling medallions for sale with variety of styles,,[$20] - 19” ceiling medallions for sale with variety of styles and sizes available starting from $20 combo and volume discounts available. pick up in Vaughan #renovationsupply #ceilingmedallion ...,City of Toronto,Yesterday,2020-10-07 16:42:50.090160
1528246166,/v-renovation-other/city-of-toronto/shower-hose-brand-new/1528246166,10.0,SHOWER HOSE-BRAND NEW,,"Brand New, many available. Metal Shower Hose for replacement. Standard 60"" long Canadian Tire retails for $29.99 Asking $10 only. Looking to clear inventory",City of Toronto,Yesterday,2020-10-07 16:42:50.090678
1528243734,/v-renovation-other/city-of-toronto/christmas-gift-for-your-sweetheart:-love-poem-music-box-mint/1528243734,10.0,"CHRISTMAS GIFT FOR YOUR SWEETHEART: ""LOVE POEM"" MUSIC BOX - MINT",,GIFT FOR YOUR SWEETHEART: “LOVE POEM” STAND-UP MUSIC BOX Mint condition and works. Poem written in red script: “Love is a rose that slowly unfolds. The promise of joy that every day holds.” Music box ...,City of Toronto,Yesterday,2020-10-07 16:42:50.091174
1528235670,/v-renovation-other/city-of-toronto/r20-fiberglass-insulation-for-sale/1528235670,25.0,R20 fiberglass insulation for sale,,"New, unopened package of R20 fiberglass insulation. Width 15-inch, Length 47-inch, Thickness 6-inch Each bag covers 49 sq. feet. I have 3 bags as in photos and will sell at C$25 for each bag.",City of Toronto,Yesterday,2020-10-07 16:42:50.091685
1528223177,/v-renovation-other/city-of-toronto/quikrete-5000/1528223177,9.0,Quikrete 5000,,"QUIKRETE® 5000 Concrete Mix is a commercial grade blend of stone or gravel, sand and cement specially designed for higher early strength. Ideal for cold weather application. Achieves 5000 psi after ...",City of Toronto,Yesterday,2020-10-07 16:42:50.092377
