,url,price,title,distance,description,location,time_offset,retreived
1528466796,/v-renovation-window-door-trim/city-of-toronto/28x80-interior-door/1528466796,20.0,28x80 Interior Door,,"White painted 28x80 interior door. Cutout for handle, comes with hinges. Perfect condition.",City of Toronto,< 26 minutes ago,2020-10-07 16:31:58.267592
1528454374,/v-renovation-window-door-trim/city-of-toronto/24-90-minute-fire-rated-door/1528454374,300.0,24” 90 minute fire rated door,,Door comes with new knock down frame. Door is standard 80” height and meets new code requirements for fire separations.,City of Toronto,< 2 hours ago,2020-10-07 16:31:58.268373
1505824433,/v-renovation-window-door-trim/city-of-toronto/mint-48x21-hinge-window/1505824433,150.0,Mint 48x21 hinge window,,Like-new large window with casement plywood.,City of Toronto,< 2 hours ago,2020-10-07 16:31:58.269298
1528441014,/v-renovation-window-door-trim/city-of-toronto/new-window/1528441014,1.0,New Window,,I order these 2 new window bit unfortunately wrong size. Please make your best offer for which window. I will let it go as soon as I get decent offer.,City of Toronto,< 3 hours ago,2020-10-07 16:31:58.270187
1526901342,/v-renovation-window-door-trim/city-of-toronto/windows-from-199/1526901342,199.0,Windows from $199,,Windows start from $199* with installation. We install windows brick to brick or on existing frame. We can install 10 windows (up to 100 ft2) for $3500 + HST (existing frame) Choose your own style or ...,City of Toronto,< 4 hours ago,2020-10-07 16:31:58.271072
1528428565,/v-renovation-window-door-trim/city-of-toronto/alfred-db1-a-smart-door-lock-touchscreen-keypad-pin-bluetooth/1528428565,99.0,Alfred DB1-A Smart Door Lock Touchscreen Keypad Pin + Bluetooth,,$99: This is used as removed from a working door. BUTLER MEETS BOUNCER: The DB1-A is a tough motorized deadbolt and comes in black. The DB1 is also a keyed-entry lock. ONE TOUCH ENTRY: With Bluetooth ...,City of Toronto,< 4 hours ago,2020-10-07 16:31:58.271957
1528422735,/v-renovation-window-door-trim/city-of-toronto/windows-security-bars/1528422735,10.0,Windows security bars,,Windows security bars for basement. I got one set. Adjustable from 24 inch to 41 inch,City of Toronto,< 5 hours ago,2020-10-07 16:31:58.273031
1528421624,/v-renovation-window-door-trim/city-of-toronto/31-x76-tempered-glass-windows-aluminum-frames/1528421624,300.0,31”x76” Tempered Glass Windows - Aluminum Frames,,"31”x76” Brand New Aluminum Windows! Tempered Glass - Double pane Can be used for a storefront, sunroom, separation wall, house, commercial buildings and more! 23 Available $300 Each",City of Toronto,< 5 hours ago,2020-10-07 16:31:58.273718
1528418820,/v-renovation-window-door-trim/city-of-toronto/like-new:-39x50-double-hung-window/1528418820,40.0,Like new: 39X50 double hung window,,"Like new: 39"" X 50"" double hung window Only 2 years old - asking 10% of replacement cost",City of Toronto,< 5 hours ago,2020-10-07 16:31:58.274205
1528416193,/v-renovation-window-door-trim/city-of-toronto/wood-door/1528416193,100.0,Wood door,,This is a beautiful solid wood antique door. It measures 79 1/2 inches high by 34 inches wide.,City of Toronto,< 5 hours ago,2020-10-07 16:31:58.274735
1528408666,/v-renovation-window-door-trim/city-of-toronto/60-w-x-70-h-white-vinyl-window/1528408666,350.0,60”W x 70”H white vinyl window,,Fairly new large window with bottom 1/3 sliders. Best offer.,City of Toronto,< 6 hours ago,2020-10-07 16:31:58.275440
1528402568,/v-renovation-window-door-trim/city-of-toronto/garage-door-8-x-9-wide-new/1528402568,300.0,Garage door 8' x 9' wide new,,New garage door 8' x 9' wide made by HAAS installed then removed includes all hardware,City of Toronto,< 6 hours ago,2020-10-07 16:31:58.275929
