,url,price,title,distance,description,location,time_offset,retreived
1528344626,/v-bike-frames-parts/city-of-toronto/bike-rim/1528344626,10.0,Bike rim,,Rim 26x1.50_1.75 $10,City of Toronto,< 47 minutes ago,2020-10-07 00:14:40.757773
1497511302,/v-ebike/city-of-toronto/ebike-number-plate-share-the-road-different-colours/1497511302,25.0,Ebike number plate - Share the road - different colours,,Size: 140mm X 85mm. Fits screw plate distances 48-104 mm 3D-printed from PLA It can be mailed anywhere in Canada.,City of Toronto,< 2 hours ago,2020-10-07 00:14:40.758274
1497417487,/v-ebike/city-of-toronto/ebike-number-plate-enjoy-the-ride-green-on-white/1497417487,25.0,Ebike number plate - Enjoy the ride - green on white,,Size: 140mm X 85mm. Fits screw plate distances 48-104 mm. 3D-printed in PLA. It can be mailed anywhere in Canada.,City of Toronto,< 2 hours ago,2020-10-07 00:14:40.758774
1528342704,/v-bike-frames-parts/city-of-toronto/cannondale-f1000sl/1528342704,320.0,Cannondale F1000SL,,"Cannondale f1000 SL frame and fork. Fork is DD70 with working lockout. Includes the hanger, seatpost clamp, headshock stem with bontrager 600 mm handlebars and a new headshock boot. The frame is in ...",City of Toronto,< 2 hours ago,2020-10-07 00:14:40.759268
1528342439,/v-mountain-bike/city-of-toronto/vintage-mens-medium-large-diamond-back-retro-mountain-bike/1528342439,200.0,VINTAGE MENS MEDIUM - LARGE DIAMOND BACK RETRO MOUNTAIN BIKE,,"Like bicycle raleigh specialized rocky mountain gt giant klein miele linus road hybrid city bianchi womens nishiki scott ritchey norco commuter trek etc Excellent condition, all original Diamond Back ...",City of Toronto,< 2 hours ago,2020-10-07 00:14:40.759766
1528341743,/v-bike-frames-parts/city-of-toronto/new-tektro-r539-rear-caliper-brake/1528341743,45.0,NEW tektro R539 rear caliper brake,,Welcome For sale is a brand new tektro R539 rear caliper brake. Accommodates larger sized tires and has quick release functionality. Selling because I purchased a front+rear set and no longer need ...,City of Toronto,< 2 hours ago,2020-10-07 00:14:40.760261
1528340782,/v-mountain-bike/city-of-toronto/the-used-bike-for-sale/1528340782,50.0,The used bike for sale,,The first bike size 27. $150.00 The 2nd bike size 27. $130.00 The 3rd bike size26. $70.00 The last one size 24. $50.00,City of Toronto,< 2 hours ago,2020-10-07 00:14:40.760757
1526412184,/v-ebike/city-of-toronto/brand-new-electrical-bike/1526412184,1000.0,brand new electrical bike,,"I got this bike this summer, only ride three months Two carriers (front and rear) Two 14ah batteries （max 40 km once charge) Two keys One charger One repair kit and guidance book Totally 1000 dollars",City of Toronto,< 2 hours ago,2020-10-07 00:14:40.761251
1517591035,/v-bike-frames-parts/city-of-toronto/kenda-k50-bmx-tires-20x1-75/1517591035,35.0,Kenda K50 BMX tires 20x1.75,,Pair of 20x1.75 Kenda K50 BMX Tires for sale in great condition. Only ridden 2 times. No tubes included. If interested I can meet at any TTC subway stop or pickup from the Broadview and Queen St East ...,City of Toronto,< 3 hours ago,2020-10-07 00:14:40.761747
1528337850,/v-mountain-bike/city-of-toronto/20inch-youth-mountain-bike-brand-new/1528337850,125.0,20inch youth mountain Bike brand new!,,"Hi there had this bike for a couple of months. As you see from the pictures it's brand new everything it's on perfect condition rare used , on the tires their's still the spikes. Was used only 3 ...",City of Toronto,< 3 hours ago,2020-10-07 00:14:40.762430
1528337424,/v-bike-frames-parts/city-of-toronto/brooks-cambium-grips/1528337424,50.0,Brooks Cambium Grips,,Great condition. Will send more pictures by request.,City of Toronto,< 3 hours ago,2020-10-07 00:14:40.762928
1528337393,/v-mountain-bike/city-of-toronto/city-raider/1528337393,100.0,city raider,,"free spirit,26wheels.good condition,ride 6speed.",City of Toronto,< 3 hours ago,2020-10-07 00:14:40.763450
1517682051,/v-other-bike/city-of-toronto/for-sale-motorized-bicycle-80cc/1517682051,300.0,FOR SALE - Motorized Bicycle 80CC,,"Hi, I’m selling a motorized bicycle for a friend. It’s an 80CC bike that was working but has been sitting for a while. It starts but won’t accelerate with the throttle. In good shape, see pictures. ...",City of Toronto,< 3 hours ago,2020-10-07 00:14:40.764028
