,url,price,title,distance,description,location,time_offset,retreived
1528236647,/v-security-systems/city-of-toronto/toronto-security-cameras-4k-security-camera-416-508-7204/1528236647,1.0,"TORONTO SECURITY CAMERAS, 4K SECURITY CAMERA 416-508-7204",,"KANDA CCTV SECURITY CAMERAS INSTALLATION FOR BUSINESS AND RESIDENTIAL 3 YEAR WARRANTY ON PARTS AND LABOR 100% PROFESSIONAL INSTALLATION AND CONCEAL WIRES IN ATTIC OR BEHIND THE WALL SECURE YOUR ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Protect Your Home & Business With A CCTV Surveillance System. Free Quotes From KANDA COMPUTERS & CCTV. Top Level Equipment, Professional Installation",City of Toronto,< 2 minutes ago,2020-10-06 12:23:18.439872
1528218030,/v-security-systems/city-of-toronto/usb-voice-recorded-voice-activated-4gb-48hours-of-recording/1528218030,20.0,USB voice recorded voice activated 4GB 48hours of recording,,Up for sale a USB voice recorded voice activated 4GB 48hours of recording Priced to sell Limited quantity $20 Call/text 6479881324,City of Toronto,< 2 hours ago,2020-10-06 12:23:18.441534
1528215613,/v-security-systems/city-of-toronto/brand-new-spy-watch-hidden-camera-watch-16gb-hd1080p/1528215613,60.0,Brand new spy watch hidden camera watch 16GB HD1080p,,Up for sale a Brand new spy watch hidden camera watch 16GB HD1080p pick up at Yonge and Steeles or Email transfer payment prior to and delivery anywhere in gta Email: cellsourcecanada@gmail.com Don’t ...,City of Toronto,< 2 hours ago,2020-10-06 12:23:18.443594
1528210017,/v-security-systems/city-of-toronto/foscam-fi8910e-ir-night-vision-indoor-security-camera/1528210017,20.0,Foscam FI8910E - IR & Night Vision Indoor Security Camera,,"Foscam FI8910E - IR & Night Vision Indoor Security Camera (2.8 Mm 0.3 Megapixel). Condition: Gently used, functional. Model: FI8910E Smart Home Protocol: Infrared, Wi-Fi Type: Surveillance Camera ...",City of Toronto,< 3 hours ago,2020-10-06 12:23:18.445089
1528158585,/v-security-systems/city-of-toronto/12-v-battery-for-sale/1528158585,20.0,12 V Battery for Sale,,This is a 12V 5AH battery. I bought it off Amazon and never used it (wrong size for what I need). It goes for $26 on Amazon. I'll sell it for $20 OBO.,City of Toronto,< 14 hours ago,2020-10-06 12:23:18.446601
1507131036,/v-security-systems/city-of-toronto/security-door-viewer-with-camera-brand-new/1507131036,50.0,Security door viewer with camera (brand new),,Brand new security door viewer with camera in original sealed box asking for $50.00.,City of Toronto,< 16 hours ago,2020-10-06 12:23:18.448120
1515433112,/v-security-systems/city-of-toronto/bitdefender-box-smart-home-cybersecurity-hub-brand-new/1515433112,160.0,Bitdefender BOX Smart Home Cybersecurity Hub BRAND NEW,,"UPC: 812813014323 Bitdefender BOX Smart Home Cybersecurity Hub. BRAND NEW AND FACTORY SEALED. CHECK PICTURE OF Bitdefender BOX Smart Home Cybersecurity Hub BRAND NEW If you are interested, please ...",City of Toronto,< 19 hours ago,2020-10-06 12:23:18.449621
1528083422,/v-security-systems/city-of-toronto/brand-new-bosma-aegis-smart-door-lock-sold-out-online/1528083422,150.0,BRAND NEW  Bosma Aegis Smart Door Lock (sold out online),,"BRAND NEW incredible Bosma Aegis Smart Door Lock. Just launched in North America, and currently sold out on their website. Retails for $200 (after tax). I have one to sell at 25% off - $150. - Remote ...",City of Toronto,< 21 hours ago,2020-10-06 12:23:18.451118
1528060803,/v-security-systems/city-of-toronto/ecobee-3-lite-smart-thermostat-new/1528060803,160.0,ECOBEE 3 LITE SMART THERMOSTAT (NEW),,ECOBEE 3 LITE SMART THERMOSTAT (NEW) Check Out Our Other Listings We Are A Liquidation Warehouse Store Open Monday To Friday 11AM to 8PM CLOSED Weekends Contact Peter (416) 821-6222 CHECK OUT OUR ...,City of Toronto,< 23 hours ago,2020-10-06 12:23:18.452776
1527986060,/v-security-systems/city-of-toronto/monitored-security-alarm-system/1527986060,59.0,Monitored security Alarm system,,- Expandable Think protection Alarm/ Security system. Required sensors to your need can be purchased from the company on calling. They usually have sale all the time. - Used only for about 6 months. ...,City of Toronto,Yesterday,2020-10-06 12:23:18.454597
1527967372,/v-security-systems/city-of-toronto/brinno-duosmart-peephole-doorcam-model-shc1000w/1527967372,270.0,Brinno DUOSmart Peephole DoorCam (Model SHC1000W),,"Brinno DUOSmart Peephole DoorCam (Model SHC1000W). New, never used in open box. Brinno DUO ensures you peace-of-mind with minimal effort by monitoring your front door for you and your loved ones. ...",City of Toronto,04/10/2020,2020-10-06 12:23:18.457150
