,url,price,title,distance,description,location,time_offset,retreived
1528430871,/v-servers/city-of-toronto/dell-poweredge-servers/1528430871,500.0,Dell Poweredge Servers,,"Selling as a lot, all 4 machines for $500 Dell Poweredge R610 1U with dual xeon processors Quad core and 16gb ram (1 or 2 caddies each, only 1 psu) Three available in same/similar configurations and ...",City of Toronto,< 5 hours ago,2020-10-07 17:57:31.727390
1528411904,/v-servers/city-of-toronto/server-cabinets-server-racks-6u-12u-15u-18u-21u-42u-48u/1528411904,59.99,"SERVER CABINETS, SERVER RACKS 6U, 12U, 15U, 18U, 21U, 42U, 48U",,"WE CARRY SERVER CABINET/RACKS, DVR CABINETS, SERVER POWER BARS, PATCH PANELS, KEYSTONES, MOUNTABLE POWER BARS, NETWORK PATCH CORDS AND MUCH MORE. WE ALSO OFFER DELIVERY SERVICE WHEN YOU BUY THE ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                We Deal with Android TV Boxes, Google TV Boxes, TV Wall Mounts, HD TV Antennas, Satellite Dishes, Computers, Laptops and Accessories",City of Toronto,< 7 hours ago,2020-10-07 17:57:31.727934
1107643523,/v-servers/city-of-toronto/hp-proliant-dl580-g5-server-intel-xeon-cpu/1107643523,400.0,HP ProLiant DL580 G5 Server Intel Xeon CPU,,HP ProLiant DL580 G5 Server for sale in excellent condition. HP Proliant DL580G5 4 Xeon QUAD CORE X7350 2.93GHz 16GB/32GB RAM P400i W/BBWC RAID DVD 4 X Power Supplies HP ProLiant DL580 G5 Server for ...,City of Toronto,< 23 hours ago,2020-10-07 17:57:31.728593
1528306497,/v-servers/city-of-toronto/thecus-n2310-nas-network-attached-storage/1528306497,50.0,Thecus N2310 NAS Network Attached Storage,,"The N2310 is an excellent NAS with plenty of features. This one, however,powers on but will not fully boot due to a failed OS flash. Buy it if you are tech savvy enough to recover from a bad flash, ...",City of Toronto,< 24 hours ago,2020-10-07 17:57:31.729078
1528274263,/v-servers/city-of-toronto/small-business-home-access-remote-desktop/1528274263,72.0,Small Business\Home Access Remote Desktop,,Add or organise USER access to your Office or Home Office System 1yr. Subscription For 10 Computers,City of Toronto,Yesterday,2020-10-07 17:57:31.729565
1517211315,/v-servers/city-of-toronto/supermicro-sys-2027pr-hc1tr-2u-superserver-fully-stocked/1517211315,3000.0,SuperMicro SYS-2027PR-HC1TR 2U SuperServer - Fully Stocked,,"This is a used, but fully tested and operational fully stocked 4x node 2U Rack-mountable server in full working order Comes with: - Total of 512GB RAM (128GB each node) - Total of 19.6TB SATA Disk ...",City of Toronto,05/10/2020,2020-10-07 17:57:31.730050
1528006806,/v-servers/city-of-toronto/server-cabinet-ibm/1528006806,150.0,"Server cabinet, IBM",,IBM server cabinet. You must remove. Yonge and Dundas area.,City of Toronto,05/10/2020,2020-10-07 17:57:31.730532
1527951210,/v-servers/city-of-toronto/dell-perc-h310-adapter-8-port-6gb-s-sas-raid-controller-full-pro/1527951210,20.0,Dell PERC H310 Adapter 8-Port 6Gb/s SAS RAID Controller Full pro,,"Model: PERC H310 Interface Support: 6Gb/s SAS PCI Support: PCI-Express 2.0 SAS Connectors: 2x4 Internal Cache Memory Size: N/A Write Back Cache: N/A RAID Levels Supported: 0, 1, 5, 10, 50 Max. Drive ...",City of Toronto,04/10/2020,2020-10-07 17:57:31.731023
1527891084,/v-servers/city-of-toronto/modem-and-router/1527891084,40.0,Modem and Router,,Selling Motorola Modem: SURFoard Model:SB6141 (with charger) and Buffalo Router Model: WZR-HP-G450H (also with charger). Both in working condition. Just changed the internet provider therefore don't ...,City of Toronto,04/10/2020,2020-10-07 17:57:31.731516
1527841331,/v-servers/city-of-toronto/dell-power-t610-x2-xeon-5790-12core-144gb-ram-7tb/1527841331,750.0,Dell power T610 x2 Xeon 5790 12core 144gb ram 7TB,,Dell Poweredge T610 Intel dual Xeon 5690 (6x2) core. 24 vcpu 144GB Ram max is 192GB Storage: Drac6.0 raid controller 7TB With8 hot swap data 3.5 drives Extrem intel 6x GB Ethernet card 2x870w ...,City of Toronto,04/10/2020,2020-10-07 17:57:31.731998
