,url,price,title,distance,description,location,time_offset,retreived
1528166637,/v-skateboard/city-of-toronto/used-loaded-basalt-tesseract-longboard-deck-only-no-grip-tape/1528166637,170.0,"USED Loaded Basalt Tesseract Longboard (Deck Only, No Grip Tape)",,"For sale, used Loaded Basalt Tesseract. Board is still in a good condition, except for some wear on tail and nose (check pictures). LONGBOARD SPECS Length: 39” / 99 cm Width: 9.5” / 24 cm Wheelbase ...",City of Toronto,< 10 hours ago,2020-10-06 12:16:24.685341
1528142487,/v-skateboard/city-of-toronto/for-rental:-electric-skateboard-longboard-lycaon-gr-28km-rang/1528142487,20.0,For Rental: Electric Skateboard/Longboard -  Lycaon GR 28km Rang,,Explore Toronto with the Lycaon GR electric skateboard/longboard! Also perfect for anyone who'd like to try eskate before investing in one. Rental fee is $20 per 24hrs Here are some specs: ✓ 28km ...,City of Toronto,< 16 hours ago,2020-10-06 12:16:24.686640
1528142124,/v-skateboard/city-of-toronto/for-rental:-electric-skateboard-longboard-wowgo-2s-25km-range/1528142124,20.0,For Rental: Electric Skateboard/Longboard - WowGo 2S 25km Range,,Explore Toronto with the WowGo 2S electric skateboard longboard! Also perfect for anyone who'd like to try eskate before investing in one. Rental fee is $20 per 24hrs Here are some specs of the WowGo ...,City of Toronto,< 16 hours ago,2020-10-06 12:16:24.687230
1528135657,/v-skateboard/city-of-toronto/maxi-deluxe-micro-scooter/1528135657,70.0,Maxi deluxe micro scooter,,Purple maxi deluxe micro scooter Two years old Good condition,City of Toronto,< 17 hours ago,2020-10-06 12:16:24.687733
1528113294,/v-skateboard/city-of-toronto/pro-skateboard/1528113294,50.0,Pro skateboard,,"Used pro Reds skateboard deck with reds bearings, wheels are beat up but can work, otherswise deck is in decent condition $50 obo",City of Toronto,< 19 hours ago,2020-10-06 12:16:24.688327
1528111373,/v-skateboard/city-of-toronto/skateboard/1528111373,45.0,Skateboard,,Best skateboard for beginners and also good for some basic tricks,City of Toronto,< 19 hours ago,2020-10-06 12:16:24.688848
1528096139,/v-skateboard/city-of-toronto/boosted-v2-dual-plus-electric-skateboard-with-accessories/1528096139,1600.0,Boosted V2 Dual Plus Electric Skateboard with Accessories,,Boosted Boards V2 Dual Plus electric skateboard. Fully functioning board with accessories. Including: Boosted board w/ standard range battery Remote Remote charger Board charger Bash guards 2 Front ...,City of Toronto,< 20 hours ago,2020-10-06 12:16:24.689344
1528092202,/v-skateboard/city-of-toronto/long-board-in-perfect-brand-new-condition-38/1528092202,100.0,Long board in perfect brand new condition 38’,,Long board in perfect brand new condition 38’ Bought for $159 + tax,City of Toronto,< 21 hours ago,2020-10-06 12:16:24.690088
1528075665,/v-skateboard/city-of-toronto/skate-boards/1528075665,20.0,Skate boards,,You can buy one for $20 or both for $50 Willing to negotiate on prices,City of Toronto,< 22 hours ago,2020-10-06 12:16:24.690601
1516052011,/v-skateboard/city-of-toronto/skateboard-deck/1516052011,300.0,Skateboard Deck,,Almost Skateboards Rodney Mullen made 60 of these prototypes in 2005 for his Uber Carbon technology. This is a very rare deck #59 of 60. I was told from the original owner that Rodney Mullen was ...,City of Toronto,< 22 hours ago,2020-10-06 12:16:24.691093
1516051276,/v-skateboard/city-of-toronto/skateboard-decks-for-sale/1516051276,175.0,Skateboard Decks for Sale,,Guy Mariano (signed) Numbers deck $175 Miles Silvas (signed) Numbers deck $175 Kerry Getz Terror of Planet X $150,City of Toronto,< 22 hours ago,2020-10-06 12:16:24.691588
1528063843,/v-skateboard/city-of-toronto/supreme-smoke-skateboard-deck/1528063843,150.0,"Wanted:
                            Supreme smoke skateboard deck",,Selling a supreme smoke skateboard deck Brand new never used no scratches Taken out from original packaging Looking for $150 OBO Located in Toronto message for more info,City of Toronto,< 23 hours ago,2020-10-06 12:16:24.692077
1528046710,/v-skateboard/city-of-toronto/grind-box/1528046710,200.0,Grind Box,,"Selling a custom 24” wide, 12” high and 96” long grind box. For $200 FIRM Perfect for the skateboard, scooter or BMX enthusiast. Message if interested. Cash Only, no trades, serious inquiries only. ...",City of Toronto,< 24 hours ago,2020-10-06 12:16:24.692571
1528028726,/v-skateboard/city-of-toronto/long-board-skateboard/1528028726,75.0,Long board - skateboard,,Long board in great condition. Paid well over $200 brand new for it.,City of Toronto,Yesterday,2020-10-06 12:16:24.693060
1527970818,/v-skateboard/city-of-toronto/karnage-clear-plastic-skateboard/1527970818,69.0,Karnage Clear Plastic Skateboard,,Beautiful shape. Fat Gummies rubber. Like new!,City of Toronto,Yesterday,2020-10-06 12:16:24.693883
1527965699,/v-skateboard/city-of-toronto/penny-skateboard-22-new/1527965699,120.0,Penny Skateboard 22' New,,New condition,City of Toronto,04/10/2020,2020-10-06 12:16:24.694409
1527955162,/v-skateboard/city-of-toronto/penny-board/1527955162,50.0,Penny board,,Just like new penny board haven’t been using it lately. Works perfect. Would also be interested in a trade for a longboard or skateboard this is just not what I was right jow,City of Toronto,04/10/2020,2020-10-06 12:16:24.694923
1527943133,/v-skateboard/city-of-toronto/supreme-smurfs-deck/1527943133,250.0,Supreme Smurfs Deck,,Selling Brand New Supreme Smurfs Skateboard Deck Purchased off supreme have proof of payment Open to trades and offers,City of Toronto,04/10/2020,2020-10-06 12:16:24.695418
1527901465,/v-skateboard/city-of-toronto/boosted-board/1527901465,1500.0,Boosted Board,,"Generation 2 boosted board with all original parts, packaging, receipt and 2x extended battery (never used, still in original box). Excellent condition.",City of Toronto,04/10/2020,2020-10-06 12:16:24.695944
1527889400,/v-skateboard/city-of-toronto/skateboard-and-longboard-decks-2-different-ones-available/1527889400,30.0,Skateboard and Longboard Decks  ***2 Different ones available***,,"i have a THREE decks ONLY DECKS NOTHING ELSE EACH DECK IS $30 NOTHING LOWER WILL BE ACCEPTED SORRY! DIMENSIONS: 1.. Green Long Board - 35"" x 8"" + 6.5"" wide lower tail 2. Black Skateboard - 31"" x 8"" ...",City of Toronto,04/10/2020,2020-10-06 12:16:24.696440
1527876468,/v-skateboard/city-of-toronto/scooter-2-in-1-ski-combo/1527876468,20.0,Scooter 2 in 1 ski combo,,can perform at the skate park and snow tracks excellent condition pickup near fairview mall prefer payment in etransfer,City of Toronto,04/10/2020,2020-10-06 12:16:24.696932
