,url,price,title,distance,description,location,time_offset,retreived
1528229787,/v-ski/city-of-toronto/salomon-ski-boots-ladies/1528229787,25.0,Salomon ski boots ladies,,One buckle ski boots Very comfortable Ladies size 8.5-9,City of Toronto,< 24 minutes ago,2020-10-06 12:11:31.406915
1528228000,/v-ski/city-of-toronto/downhill-skis-rossignol-100cm-kids/1528228000,40.0,Downhill Skis - Rossignol - 100cm - Kids,,"Downhill Skis - Rossignol - 100cm - Kids - 100 cm length Skis - Tyrolia Bindings - Skis are in nice condition, kids have outgrown these. - Made in France $40",City of Toronto,< 33 minutes ago,2020-10-06 12:11:31.407426
1528216695,/v-ski/city-of-toronto/rossignol-skis-cut-pro-10-5-160cm/1528216695,30.0,Rossignol skis CUT pro 10.5 160cm,,As per ad good condition. Need a clean.,City of Toronto,< 2 hours ago,2020-10-06 12:11:31.407922
1528215677,/v-ski/city-of-toronto/ski-boots-men-s-size-9-9-5/1528215677,60.0,Ski boots Men’s size 9/9.5,,"Nordica Men’s Ski boots , grey and black Size: 270-275 mm (fits like men’s size 9-9.5) Some scuffing on inner side of boots, reflected in the price",City of Toronto,< 2 hours ago,2020-10-06 12:11:31.408421
1528215652,/v-ski/city-of-toronto/head-xenon-xi-10-0-carbon-skiis-with-bindings-size-170cm/1528215652,150.0,HEAD Xenon XI 10.0 Carbon Skiis with Bindings - Size 170cm,,Lightweight Skiis comes with RFD12 Bindings. Check the last pic for product details.,City of Toronto,< 2 hours ago,2020-10-06 12:11:31.408923
1528197200,/v-ski/city-of-toronto/skiis-boots-bindings-poles-helmet-and-goggles/1528197200,325.0,"Skiis, Boots, Bindings, Poles, Helmet and Goggles",,"Skiis, Boots, Bindings, Poles, Helmet and Goggles Mint condition ski package which was $2000 new. Nordica boots - womens 8 - 250 - 255 cm Roasignol skiis - size 160 cm Scott poles Briko Helmet with ...",City of Toronto,< 4 hours ago,2020-10-06 12:11:31.409454
1528194082,/v-ski/city-of-toronto/kids-ski-safety-harness-and-tip-clips/1528194082,35.0,Kids ski safety harness and tip clips,,Downhill ski kids safety devices.,City of Toronto,< 4 hours ago,2020-10-06 12:11:31.409963
1528155451,/v-ski/city-of-toronto/skis-head-world-cup-rebels/1528155451,175.0,Skis - Head World cup Rebels,,Head Worldcup Rebels race skis. 172cm w/ a 17m turning radius. used them for racing when younger. $175 OBO,City of Toronto,< 14 hours ago,2020-10-06 12:11:31.410467
1528155276,/v-ski/city-of-toronto/skis-ladies-dynastar-ski/1528155276,150.0,Skis - Ladies Dynastar ski,,Dynastar skis for sale. 158cm with 13m turning radius. $150 OBO,City of Toronto,< 14 hours ago,2020-10-06 12:11:31.411067
1528154621,/v-ski/city-of-toronto/poc-racing-chin-guard/1528154621,45.0,POC - Racing Chin Guard,,Brand new POC Breakaway Systems Chin guard. Never been open. $45 OBO,City of Toronto,< 14 hours ago,2020-10-06 12:11:31.411669
1528154445,/v-ski/city-of-toronto/skis-head-i-speed-skis/1528154445,175.0,Skis - Head I.Speed skis,,175cm skis. 17.1m radius. used for racing when younger but don't need them anymore.,City of Toronto,< 14 hours ago,2020-10-06 12:11:31.412455
