,url,price,title,distance,description,location,time_offset,retreived
1528461551,/v-snowblower/city-of-toronto/snow-salt/1528461551,10.0,Snow salt,,Each bag 10$ Have 3 of them,City of Toronto,< 2 hours ago,2020-10-07 17:20:03.077034
1517403723,/v-snowblower/city-of-toronto/mtd-snowblower/1517403723,400.0,MTD Snowblower,,MTD SNOWFLITE 8/26 SNOWBLOWER Powerful 8HP engine 26” clearing width 2 stage Electric Start and pull start Belts replaced 2 years ago Well maintained in very good condition Available if ad is up,City of Toronto,< 4 hours ago,2020-10-07 17:20:03.077522
1528440584,/v-snowblower/city-of-toronto/snowblower-like-new-perfect-size-fully-optioned-100-serviced/1528440584,780.0,"SnowBlower Like New, Perfect size, Fully Optioned, 100% Serviced",,"SnowBlower Like New, Perfect size, Fully Optioned, 100% Serviced Used a few times, 100% Perfect, starts in 1-pull or you can use the Electric Starter r anytype of Winter.100% Serviced and Ready for ...",City of Toronto,< 4 hours ago,2020-10-07 17:20:03.078004
1528439113,/v-snowblower/city-of-toronto/not-working-2-stage-snow-blower/1528439113,45.0,Not working 2 stage snow blower,,Not working selling as is pick up Scarborough area,City of Toronto,< 4 hours ago,2020-10-07 17:20:03.078518
1528437339,/v-snowblower/city-of-toronto/snow-blower-with-electric-starter-8-24/1528437339,350.0,Snow blower with electric starter 8 /24,,"It is barely used. 8 hp. 24 width 5 speed forward and 2 speed back ward, with electric start great working condition.",City of Toronto,< 4 hours ago,2020-10-07 17:20:03.079002
1528425407,/v-snowblower/city-of-toronto/snowblower/1528425407,250.0,Snowblower,,Wrks well... electric start....needs a new pull cord spring but still starts with the electric start ....has 6 forwards and 2 reverse. Asking 250 or best offer,City of Toronto,< 5 hours ago,2020-10-07 17:20:03.079492
1528405436,/v-snowblower/city-of-toronto/electric-snow-blower-60/1528405436,60.0,Electric snow blower - $60,,Electric Snow blower - good condition. Just used last winter but now changed to gas. Available for pick up this long weekend.,City of Toronto,< 7 hours ago,2020-10-07 17:20:03.081265
1528399384,/v-snowblower/city-of-toronto/wanted-dead-or-alive-concrete-cut-off-saws-stihl-husqvarna/1528399384,350.0,WANTED DEAD OR ALIVE Concrete Cut Off Saws Stihl Husqvarna,,"!!!!WANTED DEAD OR ALIVE !!!!! Bring in your DEAD OR ALIVE saws For CASH on the Spot. Up To $350.00 for some units. We also carry parts for all major Commercial brands of Concrete saws, Chainsaws, ...",City of Toronto,< 7 hours ago,2020-10-07 17:20:03.083495
1528396734,/v-snowblower/city-of-toronto/toro-snow-commander-snowblower/1528396734,525.0,Toro Snow Commander Snowblower,,Toro Snow Commander 2 Cycle Commercial Snowblower. DuraForce 7 hp 2 Cycle Engine. Runs great .,City of Toronto,< 7 hours ago,2020-10-07 17:20:03.085015
1528389654,/v-snowblower/city-of-toronto/30-yardworks-snowblower-for-sale-mint-condition/1528389654,750.0,30” Yardworks Snowblower for sale MINT CONDITION,,30” Yardworks Snowblower for sale in MINT CONDITION. If interested plz call/text 4168903933. Price is negotiable OBO.,City of Toronto,< 8 hours ago,2020-10-07 17:20:03.086449
1528373455,/v-snowblower/city-of-toronto/snow-joe-snow-blower-thrower-electric/1528373455,140.0,Snow Joe snow blower/thrower electric!,,"Snow Joe snow blower 21 inch electric. Must be plugged in to use. 120 vac, 60 Hz, 15 Amp. Only used for one winter. Great condition.",City of Toronto,< 9 hours ago,2020-10-07 17:20:03.087974
1528360840,/v-snowblower/city-of-toronto/selling-21-inch-toro-power-clear-2-stroke/1528360840,350.0,*Selling 21 inch toro power clear 2 stroke*,,Motor and blower in good condition everything works except the electric starter but starts fine with cord asking 350 obo text 647-667-5334,City of Toronto,< 11 hours ago,2020-10-07 17:20:03.089453
