,url,price,title,distance,description,location,time_offset,retreived
1528146002,/v-soccer/city-of-toronto/indoor-soccer-shoes/1528146002,40.0,Indoor soccer shoes,,Size 13 Good condition,City of Toronto,< 16 hours ago,2020-10-06 12:09:20.581223
1528145855,/v-soccer/city-of-toronto/adidas-cleats/1528145855,40.0,Adidas cleats,,Size 8 Comes with box Good condition,City of Toronto,< 16 hours ago,2020-10-06 12:09:20.581767
1528145549,/v-soccer/city-of-toronto/soccer-cleats/1528145549,40.0,Soccer cleats,,Under Armour Size 10.5 Used once Great condition,City of Toronto,< 16 hours ago,2020-10-06 12:09:20.582326
1528094960,/v-soccer/city-of-toronto/brand-new-soccer-cleats/1528094960,15.0,Brand New Soccer Cleats,,"Brand New, Never Used, Size 2 ⚽️ Cleats Pick up in Scarborough Only. ****If Ad Is Up, It's Still Available****",City of Toronto,< 20 hours ago,2020-10-06 12:09:20.583690
1516681676,/v-soccer/city-of-toronto/adidas-soccer-shoes-kids-size-6-indoor-turf/1516681676,20.0,Adidas soccer shoes kids size 6 - indoor & turf,,"If the ad is up, they are still available! Two pairs (selling each pair separately) of new Adidas Predator soccer shoes, size 6 US (38 2/3 FR), one pair for turf/artificial grass and one pair for ...",City of Toronto,< 24 hours ago,2020-10-06 12:09:20.584221
1506766141,/v-soccer/city-of-toronto/soccer-ball/1506766141,10.0,Soccer Ball,,Cheap Lightly Used Soccer Ball Fully pumped up and ready to be kicked $10 See map for location area,City of Toronto,Yesterday,2020-10-06 12:09:20.584722
1527986561,/v-soccer/city-of-toronto/adidas-women-s-soccer-cleats/1527986561,25.0,Adidas Women’s Soccer Cleats,,Brand New w/Tags. Size 10.,City of Toronto,Yesterday,2020-10-06 12:09:20.585218
1527966747,/v-soccer/city-of-toronto/two-soccer-jerseys-for-10-5-each/1527966747,10.0,two soccer jerseys for 10$ 5$ each,,two soccer jerseys for 10$ 5$ each,City of Toronto,04/10/2020,2020-10-06 12:09:20.585710
1517298629,/v-soccer/city-of-toronto/toronto-fc-season-ticket-holder-scarves-henley-shirt/1517298629,15.0,Toronto FC Season Ticket Holder Scarves + Henley Shirt,,Selling a variety of my Toronto FC Season Ticket Holder Scarves. All are from various years including the inaugural season of 2007. MLS Cup Winning Scarf - SOLD. The Henley shirt has been used but in ...,City of Toronto,04/10/2020,2020-10-06 12:09:20.586208
1500590922,/v-soccer/city-of-toronto/kids-unisex-shin-guards-soccer-field-hockey-lacrosse/1500590922,15.0,Kids unisex shin guards soccer field hockey lacrosse,,9/10 condition Spalding brand,City of Toronto,04/10/2020,2020-10-06 12:09:20.586720
1496996930,/v-soccer/city-of-toronto/tottenham-soccer-jersey-youth-large/1496996930,10.0,Tottenham Soccer Jersey youth large,,"Authentic Tottenham jersey size youth large, produced by under armour.",City of Toronto,04/10/2020,2020-10-06 12:09:20.587250
1527899983,/v-soccer/city-of-toronto/spain-t-shirt-adidas/1527899983,10.0,SPAIN T Shirt adidas,,Brand new with tag adidas size XL Soccer 2018 Russia worldcup,City of Toronto,04/10/2020,2020-10-06 12:09:20.587861
1505849257,/v-soccer/city-of-toronto/kids-soccer-boots-cleats/1505849257,20.0,Kids Soccer boots cleats,,"Lotto Soccer boot / cleats Worn for 5 minutes In brand new condition come with the original box Size US 12 , EUR 30",City of Toronto,04/10/2020,2020-10-06 12:09:20.588366
1527849892,/v-soccer/city-of-toronto/adidas-tfc-duffel-bag-30/1527849892,30.0,ADIDAS TFC DUFFEL BAG $30,,Selling a used but excellent condition ADIDAS TFC DUFFEL BAG. Comes from a smoke & pet free. Asking $30 or better offer.,City of Toronto,04/10/2020,2020-10-06 12:09:20.588867
1527844638,/v-soccer/city-of-toronto/used-youth-nike-soccer-cleats-turf-shoes-for-sale/1527844638,20.0,Used Youth Nike Soccer Cleats & Turf shoes for sale,,Selling used but in excelent shape assorted soccer shoes (Cleats/Turf/Indoor). Comes from a smoke and pet free home. 1.NIKE HYPERVENOM X FLYKNIT MID CUT Turf Blk/Yellow Youth Size 5 $25 2.NIKE ...,City of Toronto,04/10/2020,2020-10-06 12:09:20.589365
1527836604,/v-soccer/city-of-toronto/soccer-ball-soccer-cleats-brand-new-soccer-shorts/1527836604,25.0,"Soccer ball, soccer, cleats, brand new soccer shorts",,Youth soccer package. Included 1. Bag 2. 2 soccer balls 3. Two pairs of cleets. Size boys 2 4. One pair of shin guarfs 5. Six soccer shorts. Three are still in the bag. 6. 3 soccer jerseys 7. 2 pairs ...,City of Toronto,04/10/2020,2020-10-06 12:09:20.589834
1506486588,/v-soccer/city-of-toronto/under-armour-kids-soccer-cleats-size:-11c/1506486588,20.0,Under Armour Kids Soccer Cleats - Size: 11c,,Excellent Condition,City of Toronto,04/10/2020,2020-10-06 12:09:20.590330
1515671134,/v-soccer/city-of-toronto/liverpool-2019-20-blackout-jersey-10-mane-size-:-large/1515671134,35.0,Liverpool 2019/20 “Blackout” Jersey #10 Mané - size : Large,,Liverpool 2019/20 “Blackout” Replica Jersey #10 Saudi Mané Size : Large New Balance Replica with tags,City of Toronto,04/10/2020,2020-10-06 12:09:20.590842
1515670372,/v-soccer/city-of-toronto/ajax-2019-20-away-replica-jersey-10-tadic-size:-medium/1515670372,35.0,Ajax 2019/20 Away Replica Jersey #10 Tadic - size: Medium,,Ajax 2019/20 Away Jersey #10 Dusan Tadic Size : Medium Black/gold/white Adidas Replica 3x UEFA Champions League patchers : - Champions League Ball patch - 4x CL winners patch - Respect patch,City of Toronto,04/10/2020,2020-10-06 12:09:20.591372
1515669712,/v-soccer/city-of-toronto/ajax-2019-20-replica-jersey-4-de-ligt-size:-medium/1515669712,35.0,Ajax 2019/20 Replica Jersey #4 De Ligt - size: Medium,,Ajax FC 2019/20 Alternate 3rd Jersey #4 Matthijs de Ligt Size : Medium Green/orange/black Adidas Replica 3x UEFA Champions League sleeve patches : - Champions League Ball patch - 4x CL Winner patch - ...,City of Toronto,04/10/2020,2020-10-06 12:09:20.591957
1506505848,/v-soccer/city-of-toronto/adidas-soccer-cleats/1506505848,49.0,Adidas Soccer Cleats,,"Adidas Soccer Cleats, all surface, extremely comfortable to wear. In great condition. Men size 7, Women size 8.",City of Toronto,04/10/2020,2020-10-06 12:09:20.592475
1527744823,/v-soccer/city-of-toronto/toronto-fc-soccer-jerseys/1527744823,55.0,Toronto FC Soccer Jerseys!,,"Brand new with tags, various sizes, pick up only keele/wilson",City of Toronto,03/10/2020,2020-10-06 12:09:20.593035
1516983509,/v-soccer/city-of-toronto/thomas-scooter-15/1516983509,15.0,Thomas scooter $15,,Thomas scooter $15 Gentle used Pick up at Yonge and finch,City of Toronto,03/10/2020,2020-10-06 12:09:20.593654
1516947351,/v-soccer/city-of-toronto/chelsea-fc-retro-jersey/1516947351,25.0,Chelsea FC Retro Jersey,,Selling a Chelsea FC Retro Jersey. This has never been worn and is basically new but with no tags. Size Medium. Asking $25. Pick up only in the Queen/Dovercourt area. CASH ONLY. No trades. Check out ...,City of Toronto,03/10/2020,2020-10-06 12:09:20.594155
1527689971,/v-soccer/city-of-toronto/80s-fc-barcelona-jersey/1527689971,320.0,80s FC Barcelona Jersey,,Real Vintage bought in the 80s. Never worn or washed strictly displayed and stored with care. This is considered a rare jersey made from Meyba a sportswear company that isn't really around anymore. ...,City of Toronto,03/10/2020,2020-10-06 12:09:20.594665
1527684017,/v-soccer/city-of-toronto/2-pairs-of-uhl-sport-eliminator-soft-port-soccer-goalkeeper/1527684017,80.0,2 Pairs of   UHL Sport Eliminator Soft Port Soccer Goalkeeper,,2 Pairs of UHL Sport Eliminator Soft Port Soccer Goalkeeper Gloves Size 8 Brand new in the packages. Soft on top and bottom. Comfortable to use when playing. VIEW MY OTHER ADS!!!,City of Toronto,03/10/2020,2020-10-06 12:09:20.595361
1527630988,/v-soccer/city-of-toronto/folding-soccer-net/1527630988,50.0,Folding Soccer Net,,Folding Soccer Net Barley used. 8 feet long by 4 feet high by 4 feet deep (when opened).,City of Toronto,03/10/2020,2020-10-06 12:09:20.595888
