,url,price,title,distance,description,location,time_offset,retreived
1528222458,/v-software/city-of-toronto/battle-g/1528222458,50.0,battle g,,battle game for rent.,City of Toronto,< 6 hours ago,2020-10-06 17:09:23.612481
1528025899,/v-software/city-of-toronto/serif-webplus-essentials-web-design-tool/1528025899,10.0,Serif WebPlus Essentials Web Design Tool,,"CLOSING SALE ( we moved to new address) CLEARANCE FINAL SALE (SoldLess Clearance Center INC) all our prices are without tax (cash only ) regular price :$20 our price :$10 New , open box Final ...",City of Toronto,Yesterday,2020-10-06 17:09:23.612976
1527743322,/v-software/city-of-toronto/a-ton-of-older-software-for-art-production/1527743322,0.0,A ton of older software for art production,,"Just a bunch of software I have collected over the years. Allot of it still works. I dont want it anymore, but could come in handy for someone starting out.",City of Toronto,03/10/2020,2020-10-06 17:09:23.613458
1527474971,/v-software/city-of-toronto/eset-nod32-antivirus-1-year-subscription-15/1527474971,15.0,ESET NOD32 Antivirus 1-Year Subscription ($15),,I work for a licensed ESET distributor and we received a bunch of keys to give away to our clients. I'm selling them below market value. These keys are at least $26.88 retail. Only taking payment via ...,City of Toronto,02/10/2020,2020-10-06 17:09:23.614176
1527458557,/v-software/city-of-toronto/wordperfect-dvd-software/1527458557,20.0,WordPerfect DVD Software,,DVD for Corel WordPerfect Standard Office X6. Works with Windows 8. Never used.,City of Toronto,02/10/2020,2020-10-06 17:09:23.614721
1527286715,/v-software/city-of-toronto/rosetta-stone-portuguese-level-1/1527286715,40.0,Rosetta Stone Portuguese Level 1,,Rosetta Stone Portuguese Level 1 ideal for learning the basics and having simple conversations,City of Toronto,01/10/2020,2020-10-06 17:09:23.615798
1481256305,/v-software/city-of-toronto/various-oem-software-office-project-visio-server-os-adobeacrobat/1481256305,7.0,Various OEM Software-Office/Project/Visio/Server OS/AdobeAcrobat,,Various Software- Very Very Cheap Give away prices Prices below is superfluous. Changes with attitude!! Some 50% discount PRICE IS VERY NEGOTIABLE!! SOME MAY HAVE BEEN SOLD BUT DETAILS NOT UPDATED. ...,City of Toronto,30/09/2020,2020-10-06 17:09:23.616308
1516399528,/v-software/city-of-toronto/microsoft-windows-server-standard-2012-release-2/1516399528,250.0,Microsoft windows server standard 2012 release 2,,"This is a software license for windows server standard 2012, the part number is P73-06165",City of Toronto,30/09/2020,2020-10-06 17:09:23.616799
1516399885,/v-software/city-of-toronto/microsoft-windows-server-standard-2016-64-bit-english/1516399885,758.0,Microsoft windows server standard 2016 - 64 bit English,,The software licensing kit includes the DVD media The Microsoft part number is X18–45392 and P73–07113,City of Toronto,30/09/2020,2020-10-06 17:09:23.617292
1516400133,/v-software/city-of-toronto/microsoft-server-2012-5-cals/1516400133,250.0,"Microsoft server 2012, 5 CALs",,This is a five client access license for Microsoft server 2012 The product number is X18–95772-01 I have three of these for a total of 15 client access licenses.,City of Toronto,30/09/2020,2020-10-06 17:09:23.617806
1527153698,/v-software/city-of-toronto/windows-2016-server-standard-oem-packs/1527153698,200.0,Windows 2016 Server Standard OEM packs,,"Microsoft Windows Server Standard 2016 2CPU-16-core-2VM Genuine OEM DVD Packs Part No. P73-07113 These are genuine, SEALED OEM packs. These are NOT NFR, educational, or grey market versions. $200.00 ...",City of Toronto,30/09/2020,2020-10-06 17:09:23.618297
1262432443,/v-software/city-of-toronto/rue-image-home-2012-pc-backup-and-recovery-old-version/1262432443,10.0,rue Image Home 2012 PC Backup and Recovery [Old Version],,True Image Home 2012 PC Backup and Recovery [Old Version] BRAND NEW IN BOX - NEVER USED OR OPENED!!! SEALED Fast and Easy Backup and Recovery - Acronis True Image Home 2012 provides complete system ...,City of Toronto,30/09/2020,2020-10-06 17:09:23.618804
1262449320,/v-software/city-of-toronto/roxio-creator-nxt-4-bnib/1262449320,35.0,Roxio Creator NXT 4  BNIB,,"Roxio Creator NXT 4 BRAND NEW IN BOX - SEALED - NEVER OPENED OR SEALED Platform: PC Disc Get everything you need to enhance, copy, convert, burn and share your digital content in one complete suite. ...",City of Toronto,30/09/2020,2020-10-06 17:09:23.619295
1262423360,/v-software/city-of-toronto/malwarebytes-anti-malware-exploit-premium-boxed-bnib/1262423360,15.0,Malwarebytes Anti-Malware + Exploit Premium [Boxed] BNIB,,"Malwarebytes Anti-Malware + Exploit Premium [Boxed] 3-User, 1-Year Subscription BRAND NEW IN BOX - NEVER OPENED - NEVER USED Product Details Comprehensive exploit protection for browsers and ...",City of Toronto,30/09/2020,2020-10-06 17:09:23.619782
1262427524,/v-software/city-of-toronto/panda-global-protection-2015-multi-device-3-dev-1-yr-bnib/1262427524,15.0,"Panda Global Protection 2015, Multi-device, 3 dev, 1 yr BNIB",,"Panda Global Protection Multi-device 2015, Unlimited, 1-Year Subscription, 2 devices BRAND NEW IN BOX - SEALED - NEVER OPENED OR USED Product Details Everything you need to protect your PC, Mac® or ...",City of Toronto,30/09/2020,2020-10-06 17:09:23.620271
1262437605,/v-software/city-of-toronto/panda-security-antivirus-pro-2015-3-devices-1-yr-bnib/1262437605,10.0,"Panda Security AntiVirus Pro 2015 - 3 Devices, 1 YR BNIB",,"Panda Security AntiVirus Pro 2015 - 3 Devices, 1 YR BRAND NEW IN BOX - NEVER USED, SEALED Panda Antivirus Pro 2015 is truly install and forget. Remove viruses and any other threats or malware from ...",City of Toronto,30/09/2020,2020-10-06 17:09:23.620768
