,url,price,title,distance,description,location,time_offset,retreived
1528344094,/v-playstation-3/city-of-toronto/rare-controllers/1528344094,35.0,RARE Controllers,,Crystal PS3 Dualshock Controller $100 Clear Red PS3 Dualshock Controller $100 Black PS3 Dualshock Controller $35 Black PS3 Regular Controller $30 Black Wii Motion Plus Remote $35 Halo Edition Xbox360 ...,City of Toronto,< 4 minutes ago,2020-10-06 23:21:45.029479
1528341602,/v-playstation-3/city-of-toronto/playstation-3-bundle-3-games-1-controller/1528341602,175.0,Playstation 3 Bundle (3 games + 1 controller),,PlayStation Bundle includes: 1 PlayStation Console 1 controller + charger 3 games - The Last of Us - Assassins Creed: Rogue - Call of Duty: Modern Warfare 3,City of Toronto,< 38 minutes ago,2020-10-06 23:21:45.029979
1528335906,/v-playstation-3/city-of-toronto/playstation-3-bundle/1528335906,150.0,Playstation 3 Bundle,,Includes PS3 Slim console 230 GB 2 Dualshock controllers 38 Games !! Power cable & Controller charge cable,City of Toronto,< 2 hours ago,2020-10-06 23:21:45.030471
1528333566,/v-playstation-3/city-of-toronto/playstation-3-does-not-power-on/1528333566,1.0,PlayStation 3 *Does not power on*,,PlayStation 3 Does not power on. Comes with 3 controllers and cables. Make an offer.,City of Toronto,< 2 hours ago,2020-10-06 23:21:45.030982
1528324881,/v-playstation-3/city-of-toronto/playstation-3-slim-comes-with-2-controllers-and-8-games/1528324881,200.0,Playstation 3 Slim (comes with 2 controllers and 8 games),,"PS3 slim in great working condition being sold with 2 controllers, a set of Playstation Move controllers, charging cable, power cable and 10 games. Willing to negotiate if you don't want the games.  ...",City of Toronto,< 3 hours ago,2020-10-06 23:21:45.031778
1528319772,/v-playstation-3/city-of-toronto/playstation-3-with-games-and-commtroller/1528319772,140.0,PlayStation 3 with games and commtroller,,PlayStation 3 bundle with games and controller! Selling PlayStation 3 with one controller and bundle of games. All in great condition!,City of Toronto,< 4 hours ago,2020-10-06 23:21:45.032275
1528309445,/v-playstation-3/city-of-toronto/ps3-bundle-remote-control-17-games/1528309445,280.0,PS3 Bundle + Remote Control - 17 Games,,Red controller is a little unreliable sometimes. Otherwise everything works as it should! Console model: (CECH-3001B) 18 games (One is Duplicate of uncharted 3. So 17 different games. ),City of Toronto,< 5 hours ago,2020-10-06 23:21:45.032805
1528281967,/v-playstation-3/city-of-toronto/fightstick-hori-scv-soul-calibur-v-modded-with-brook-ufb/1528281967,185.0,Fightstick - HORI SCV (Soul Calibur V) Modded with Brook UFB,,Fightstick - HORI SCV (Soul Calibur V) Modded with Brook UFB This was originally an XBOX 360 HORI Fightstick (Still Have Original PCB) It is modded with Brooks Universal Fight Board ($99 USD) ...,City of Toronto,< 8 hours ago,2020-10-06 23:21:45.033300
1528260154,/v-playstation-3/city-of-toronto/brand-new-sealed-ps3-game/1528260154,15.0,Brand New Sealed PS3 Game,,Brand New Sealed PS3 Game Contact if interested,City of Toronto,< 10 hours ago,2020-10-06 23:21:45.033793
1528259758,/v-playstation-3/city-of-toronto/sony-ps3-bundle-barely-used-10-10/1528259758,125.0,Sony PS3 Bundle Barely Used 10/10,,"I have for sale my barely used PS3 120gb model...I initially bought this as a Blu-ray player but this barely got any use, I literally didn't buy a game after the two that are included here, it's ...",City of Toronto,< 10 hours ago,2020-10-06 23:21:45.034284
1528254371,/v-playstation-3/city-of-toronto/playstation-3/1528254371,70.0,Playstation 3,,"Sony Playstation 3 console 160GB. Comes with the wires, instructions, and an HDMI cable. Working and in decent condition. Controller not included. Model # CECH-2501A",City of Toronto,< 10 hours ago,2020-10-06 23:21:45.034983
1528248438,/v-playstation-3/city-of-toronto/ps3/1528248438,150.0,PS3,,Seeking ps3 and game pad Excellent condition. First come first serve You can come pick it up.,City of Toronto,< 11 hours ago,2020-10-06 23:21:45.035468
1528246681,/v-playstation-3/city-of-toronto/ps3-controller/1528246681,15.0,PS3 controller,,Great condition,City of Toronto,< 11 hours ago,2020-10-06 23:21:45.035952
1528222354,/v-playstation-3/city-of-toronto/sony-playstation-3-80g-just-by-itself-no-controllers-etc/1528222354,45.0,"Sony playstation 3, 80G - just by itself (no controllers, etc.)",,"Selling an old Playstation 3 with 80 GB hard drive. I have absolutely nothing with it: not controllers, or wires, but I know it's working when connected to TV. I will give you 2 days moneyback to try ...",City of Toronto,< 13 hours ago,2020-10-06 23:21:45.036441
1528218160,/v-playstation-3/city-of-toronto/guitar-hero-world-tour-drums-and-guitar-ps2-ps3-playstation-pc/1528218160,275.0,Guitar Hero World Tour Drums and Guitar PS2 PS3 Playstation PC,,LOWEST PRICE IS $275 NOTHING LOWER WILL BE ACCEPTED! SORRY WILL NOT SEPARATE All i am missing is the microphone and the actual game. I have working drum set with dongle and Working Guitar with Dongle ...,City of Toronto,< 13 hours ago,2020-10-06 23:21:45.036976
1528199746,/v-playstation-3/city-of-toronto/fifa-14-playstation-3/1528199746,10.0,FIFA 14 (PlayStation 3),,"FIFA 14 (PlayStation 3). Posted in video games, consoles, Sony Playstation 3 in City of Toronto. October 6, 2020",City of Toronto,< 14 hours ago,2020-10-06 23:21:45.037466
1528192365,/v-playstation-3/city-of-toronto/ps3-console-2-controllers-for-sale-epic-deal/1528192365,70.0,PS3 Console + 2 Controllers For Sale - Epic Deal,,All accessories plus 2 controllers included. $70. Please check out my other ad for games to go with your console.,City of Toronto,< 15 hours ago,2020-10-06 23:21:45.037959
1528191363,/v-playstation-3/city-of-toronto/ps3-games-for-sale/1528191363,5.0,PS3 Games For Sale,,I am selling the following games for the PS3. Grand Theft Auto - $10 Red Dead Redemption - $10 Far Cry 3 - $10 Call Of Duty Modern Warfare 2 - $10 Assassin's Creed 2 - $10 Fallout 3 - $10 Fallout New ...,City of Toronto,< 15 hours ago,2020-10-06 23:21:45.038446
1528160741,/v-playstation-3/city-of-toronto/playstation-vr-launch-bundle-new-in-box-think-xmas/1528160741,600.0,Playstation VR Launch Bundle New In Box...Think XMAS,,"Playstation VR Launch Bundle New In Box Never opened Platinum Wireless Headset Playstation Aim Controller Powered by PS4 4 worlds to explore, London Heist,Ocean Dive, VR LUGE, Danger Ball, Scavengrs ...",City of Toronto,< 24 hours ago,2020-10-06 23:21:45.038974
1517478079,/v-playstation-3/city-of-toronto/afterglow-wireless-controller-for-ps3/1517478079,36.96,Afterglow Wireless Controller for PS3,,it comes with a light blue with on button,City of Toronto,05/10/2020,2020-10-06 23:21:45.039468
1528137007,/v-playstation-3/city-of-toronto/ps3-steering-wheels-controllers-games/1528137007,400.0,Ps3/steering wheels/controllers/games,,Selling my ps3 3 controllers All cables 11 games Steering wheels Pedal + shifter 60$ All boxes included No separate,City of Toronto,05/10/2020,2020-10-06 23:21:45.039960
1528134939,/v-playstation-3/city-of-toronto/playstation-3-11-games-3-controllers/1528134939,95.0,Playstation 3 + 11 games + 3 controllers,,Playstation 3 for sale --- works 100% fine for both video games and blue ray discs. Power cord included (not in picture) Includes 11 game: UFC Undisputed 3 Battlefield 3 NHL 11 Grand Theft Auto 5 ...,City of Toronto,05/10/2020,2020-10-06 23:21:45.040446
1528134127,/v-playstation-3/city-of-toronto/ps3-game-bundle/1528134127,60.0,Ps3 game bundle,,"Not selling separately, take the whole stack for $60.",City of Toronto,05/10/2020,2020-10-06 23:21:45.040933
1528114470,/v-playstation-3/city-of-toronto/like-new-ps3-slim/1528114470,180.0,Like new PS3 slim,,Like new PS3 slim with controller. See my other posting for games. Part of a moving sale.,City of Toronto,05/10/2020,2020-10-06 23:21:45.041619
1528114104,/v-playstation-3/city-of-toronto/original-ps3-60gb-w-2-controllers-24-games/1528114104,230.0,Original PS3 60GB w 2 controllers & 24 games,,A like new original 60GB PS3 w 2 controllers and 24 games Heavenly sword Ratchet & Clank future tools of destruction Assassins creed Need for speed hot pursuit Need for speed underground Need for ...,City of Toronto,05/10/2020,2020-10-06 23:21:45.042108
1528113960,/v-playstation-3/city-of-toronto/ps3-160gb-bundle-with-36-games-on-sale/1528113960,400.0,PS3 160gb bundle with 36 games on sale!,,"Mint condition console, accessories, and games What’s included * - Ps3 console 160gb * - Power cable, HDMI cable, AVI cable, 2 Charging cable * - 2 controllers * - Bluetooth headset * - 36 games * o ...",City of Toronto,05/10/2020,2020-10-06 23:21:45.042607
1528104297,/v-playstation-3/city-of-toronto/ps3/1528104297,95.0,PS3,,"needs cleaning on the inside, other than that runs fine. I don’t need this anymore. Selling for cheap, non negotiable",City of Toronto,05/10/2020,2020-10-06 23:21:45.043292
1528079687,/v-playstation-3/city-of-toronto/ps3-for-sale-with-games/1528079687,150.0,Ps3 for sale with games,,Barely used ps3 120GB version with call of duty black ops 2 and grand turismo game included. 2 controllers also come with the console. Asking $150 obo,City of Toronto,05/10/2020,2020-10-06 23:21:45.043750
1528077061,/v-playstation-3/city-of-toronto/ps3-game:-injustice-gods-among-us/1528077061,5.0,PS3 Game: Injustice Gods Among Us,,"Injustice: Gods Among Us game for PS3 (Playstation 3). Some scratches, but playable, hence the $5 price. Pick up near Queen & Ossington intersection.",City of Toronto,05/10/2020,2020-10-06 23:21:45.044237
1528070798,/v-playstation-3/city-of-toronto/skyrim-ps3-steelbook-edition/1528070798,30.0,Skyrim PS3 Steelbook Edition,,"Very good condition. Comes with steelbook, game manual, and large map of Skyrim. Pickup from my lobby near St. Patrick station. Price is firm.",City of Toronto,05/10/2020,2020-10-06 23:21:45.044730
1528070047,/v-playstation-3/city-of-toronto/metal-gear-solid-4-ps3/1528070047,10.0,Metal Gear Solid 4 PS3,,"Excellent condition, tested and working. Comes with game manual. Pickup from my lobby near St. Patrick station. Price is firm.",City of Toronto,05/10/2020,2020-10-06 23:21:45.045217
1528047721,/v-playstation-3/city-of-toronto/sony-playstation-3-console/1528047721,60.0,Sony PlayStation 3 Console,,Console only with 40GB HDD Red light blinks For parts or repair Model CECHG12 Box included Local pick up and cash only $60,City of Toronto,05/10/2020,2020-10-06 23:21:45.045742
1528023218,/v-playstation-3/city-of-toronto/playstation-3-super-slim-500-gb-edition-works-great/1528023218,120.0,Playstation 3 - 'Super Slim' (500 GB edition) - Works great!,,"Adult owned, non-smoker, refreshed and reset! Comes with all cables to hook up, and an extra controller!",City of Toronto,05/10/2020,2020-10-06 23:21:45.046243
1528008439,/v-playstation-3/city-of-toronto/ps3-super-slim-box/1528008439,50.0,"Wanted:
                            PS3 Super Slim Box",,Looking for a Super Slim PS3 box that comes with everything included in the box. I'm willing to buy the entire console with the cables/controller if needed for a reasonable price. Please let me know ...,City of Toronto,05/10/2020,2020-10-06 23:21:45.046744
1528002952,/v-playstation-3/city-of-toronto/bioshock-2-ps3-collectors-edition/1528002952,80.0,Bioshock 2 PS3 Collectors Edition,,"Selling the PS3 collectors edition of Bioshock 2. Includes the soundtrack to Bioshock 1 on vinyl, plus the rest of the extras. Can meet near Dupont Station.",City of Toronto,05/10/2020,2020-10-06 23:21:45.047230
1527991866,/v-playstation-3/city-of-toronto/logitech-ps3-driving-force-wireless-steering-wheel/1527991866,45.0,+++Logitech PS3 Driving Force Wireless Steering Wheel+++++,,Logitech PS3 Driving Force Wireless Steering Wheel - M/N E-X5D12 in excellent condition. Can also be used with PC or PS2 Only $45,City of Toronto,05/10/2020,2020-10-06 23:21:45.047725
1528344094,/v-playstation-3/city-of-toronto/rare-controllers/1528344094,35.0,RARE Controllers,,Crystal PS3 Dualshock Controller $100 Clear Red PS3 Dualshock Controller $100 Black PS3 Dualshock Controller $35 Black PS3 Regular Controller $30 Black Wii Motion Plus Remote $35 Halo Edition Xbox360 ...,City of Toronto,< 4 minutes ago,2020-10-06 23:21:49.582443
1528341602,/v-playstation-3/city-of-toronto/playstation-3-bundle-3-games-1-controller/1528341602,175.0,Playstation 3 Bundle (3 games + 1 controller),,PlayStation Bundle includes: 1 PlayStation Console 1 controller + charger 3 games - The Last of Us - Assassins Creed: Rogue - Call of Duty: Modern Warfare 3,City of Toronto,< 38 minutes ago,2020-10-06 23:21:49.582949
1528335906,/v-playstation-3/city-of-toronto/playstation-3-bundle/1528335906,150.0,Playstation 3 Bundle,,Includes PS3 Slim console 230 GB 2 Dualshock controllers 38 Games !! Power cable & Controller charge cable,City of Toronto,< 2 hours ago,2020-10-06 23:21:49.583440
1528333566,/v-playstation-3/city-of-toronto/playstation-3-does-not-power-on/1528333566,1.0,PlayStation 3 *Does not power on*,,PlayStation 3 Does not power on. Comes with 3 controllers and cables. Make an offer.,City of Toronto,< 2 hours ago,2020-10-06 23:21:49.583925
1528324881,/v-playstation-3/city-of-toronto/playstation-3-slim-comes-with-2-controllers-and-8-games/1528324881,200.0,Playstation 3 Slim (comes with 2 controllers and 8 games),,"PS3 slim in great working condition being sold with 2 controllers, a set of Playstation Move controllers, charging cable, power cable and 10 games. Willing to negotiate if you don't want the games.  ...",City of Toronto,< 3 hours ago,2020-10-06 23:21:49.585201
1528319772,/v-playstation-3/city-of-toronto/playstation-3-with-games-and-commtroller/1528319772,140.0,PlayStation 3 with games and commtroller,,PlayStation 3 bundle with games and controller! Selling PlayStation 3 with one controller and bundle of games. All in great condition!,City of Toronto,< 4 hours ago,2020-10-06 23:21:49.586132
1528309445,/v-playstation-3/city-of-toronto/ps3-bundle-remote-control-17-games/1528309445,280.0,PS3 Bundle + Remote Control - 17 Games,,Red controller is a little unreliable sometimes. Otherwise everything works as it should! Console model: (CECH-3001B) 18 games (One is Duplicate of uncharted 3. So 17 different games. ),City of Toronto,< 5 hours ago,2020-10-06 23:21:49.587731
1528281967,/v-playstation-3/city-of-toronto/fightstick-hori-scv-soul-calibur-v-modded-with-brook-ufb/1528281967,185.0,Fightstick - HORI SCV (Soul Calibur V) Modded with Brook UFB,,Fightstick - HORI SCV (Soul Calibur V) Modded with Brook UFB This was originally an XBOX 360 HORI Fightstick (Still Have Original PCB) It is modded with Brooks Universal Fight Board ($99 USD) ...,City of Toronto,< 8 hours ago,2020-10-06 23:21:49.589153
1528260154,/v-playstation-3/city-of-toronto/brand-new-sealed-ps3-game/1528260154,15.0,Brand New Sealed PS3 Game,,Brand New Sealed PS3 Game Contact if interested,City of Toronto,< 10 hours ago,2020-10-06 23:21:49.590120
1528259758,/v-playstation-3/city-of-toronto/sony-ps3-bundle-barely-used-10-10/1528259758,125.0,Sony PS3 Bundle Barely Used 10/10,,"I have for sale my barely used PS3 120gb model...I initially bought this as a Blu-ray player but this barely got any use, I literally didn't buy a game after the two that are included here, it's ...",City of Toronto,< 10 hours ago,2020-10-06 23:21:49.590744
1528254371,/v-playstation-3/city-of-toronto/playstation-3/1528254371,70.0,Playstation 3,,"Sony Playstation 3 console 160GB. Comes with the wires, instructions, and an HDMI cable. Working and in decent condition. Controller not included. Model # CECH-2501A",City of Toronto,< 10 hours ago,2020-10-06 23:21:49.591449
1528248438,/v-playstation-3/city-of-toronto/ps3/1528248438,150.0,PS3,,Seeking ps3 and game pad Excellent condition. First come first serve You can come pick it up.,City of Toronto,< 11 hours ago,2020-10-06 23:21:49.591948
1528246681,/v-playstation-3/city-of-toronto/ps3-controller/1528246681,15.0,PS3 controller,,Great condition,City of Toronto,< 11 hours ago,2020-10-06 23:21:49.592441
1528222354,/v-playstation-3/city-of-toronto/sony-playstation-3-80g-just-by-itself-no-controllers-etc/1528222354,45.0,"Sony playstation 3, 80G - just by itself (no controllers, etc.)",,"Selling an old Playstation 3 with 80 GB hard drive. I have absolutely nothing with it: not controllers, or wires, but I know it's working when connected to TV. I will give you 2 days moneyback to try ...",City of Toronto,< 13 hours ago,2020-10-06 23:21:49.592937
1528218160,/v-playstation-3/city-of-toronto/guitar-hero-world-tour-drums-and-guitar-ps2-ps3-playstation-pc/1528218160,275.0,Guitar Hero World Tour Drums and Guitar PS2 PS3 Playstation PC,,LOWEST PRICE IS $275 NOTHING LOWER WILL BE ACCEPTED! SORRY WILL NOT SEPARATE All i am missing is the microphone and the actual game. I have working drum set with dongle and Working Guitar with Dongle ...,City of Toronto,< 13 hours ago,2020-10-06 23:21:49.593431
1528199746,/v-playstation-3/city-of-toronto/fifa-14-playstation-3/1528199746,10.0,FIFA 14 (PlayStation 3),,"FIFA 14 (PlayStation 3). Posted in video games, consoles, Sony Playstation 3 in City of Toronto. October 6, 2020",City of Toronto,< 14 hours ago,2020-10-06 23:21:49.593892
1528192365,/v-playstation-3/city-of-toronto/ps3-console-2-controllers-for-sale-epic-deal/1528192365,70.0,PS3 Console + 2 Controllers For Sale - Epic Deal,,All accessories plus 2 controllers included. $70. Please check out my other ad for games to go with your console.,City of Toronto,< 15 hours ago,2020-10-06 23:21:49.594383
1528191363,/v-playstation-3/city-of-toronto/ps3-games-for-sale/1528191363,5.0,PS3 Games For Sale,,I am selling the following games for the PS3. Grand Theft Auto - $10 Red Dead Redemption - $10 Far Cry 3 - $10 Call Of Duty Modern Warfare 2 - $10 Assassin's Creed 2 - $10 Fallout 3 - $10 Fallout New ...,City of Toronto,< 15 hours ago,2020-10-06 23:21:49.594885
1528160741,/v-playstation-3/city-of-toronto/playstation-vr-launch-bundle-new-in-box-think-xmas/1528160741,600.0,Playstation VR Launch Bundle New In Box...Think XMAS,,"Playstation VR Launch Bundle New In Box Never opened Platinum Wireless Headset Playstation Aim Controller Powered by PS4 4 worlds to explore, London Heist,Ocean Dive, VR LUGE, Danger Ball, Scavengrs ...",City of Toronto,< 24 hours ago,2020-10-06 23:21:49.595478
1517478079,/v-playstation-3/city-of-toronto/afterglow-wireless-controller-for-ps3/1517478079,36.96,Afterglow Wireless Controller for PS3,,it comes with a light blue with on button,City of Toronto,05/10/2020,2020-10-06 23:21:49.595978
1528137007,/v-playstation-3/city-of-toronto/ps3-steering-wheels-controllers-games/1528137007,400.0,Ps3/steering wheels/controllers/games,,Selling my ps3 3 controllers All cables 11 games Steering wheels Pedal + shifter 60$ All boxes included No separate,City of Toronto,05/10/2020,2020-10-06 23:21:49.596491
1528134939,/v-playstation-3/city-of-toronto/playstation-3-11-games-3-controllers/1528134939,95.0,Playstation 3 + 11 games + 3 controllers,,Playstation 3 for sale --- works 100% fine for both video games and blue ray discs. Power cord included (not in picture) Includes 11 game: UFC Undisputed 3 Battlefield 3 NHL 11 Grand Theft Auto 5 ...,City of Toronto,05/10/2020,2020-10-06 23:21:49.596982
1528134127,/v-playstation-3/city-of-toronto/ps3-game-bundle/1528134127,60.0,Ps3 game bundle,,"Not selling separately, take the whole stack for $60.",City of Toronto,05/10/2020,2020-10-06 23:21:49.597476
1528114470,/v-playstation-3/city-of-toronto/like-new-ps3-slim/1528114470,180.0,Like new PS3 slim,,Like new PS3 slim with controller. See my other posting for games. Part of a moving sale.,City of Toronto,05/10/2020,2020-10-06 23:21:49.598164
1528114104,/v-playstation-3/city-of-toronto/original-ps3-60gb-w-2-controllers-24-games/1528114104,230.0,Original PS3 60GB w 2 controllers & 24 games,,A like new original 60GB PS3 w 2 controllers and 24 games Heavenly sword Ratchet & Clank future tools of destruction Assassins creed Need for speed hot pursuit Need for speed underground Need for ...,City of Toronto,05/10/2020,2020-10-06 23:21:49.598661
1528113960,/v-playstation-3/city-of-toronto/ps3-160gb-bundle-with-36-games-on-sale/1528113960,400.0,PS3 160gb bundle with 36 games on sale!,,"Mint condition console, accessories, and games What’s included * - Ps3 console 160gb * - Power cable, HDMI cable, AVI cable, 2 Charging cable * - 2 controllers * - Bluetooth headset * - 36 games * o ...",City of Toronto,05/10/2020,2020-10-06 23:21:49.599153
