,url,price,title,distance,description,location,time_offset,retreived
1528330141,/v-sony-psp/city-of-toronto/hanna-montana-limited-edition-psp/1528330141,200.0,Hanna Montana Limited Edition PSP,,Handheld PSP from Limited Edition 2009. Pretty lilac glitter case with games and proper adapters. New battery needed,City of Toronto,< 4 hours ago,2020-10-07 00:05:14.341245
1528313511,/v-sony-psp/city-of-toronto/sony-psvita-1001-64gb-card-grips-carrying-case-unit-13/1528313511,250.0,"Sony PSVITA 1001 - 64gb card, grips, carrying case + Unit 13",,"PSVITA model 1001 Charging cable usb Protective case Attachable handgrips 64gb PSVITA Memory card Unit 13 game cartridge Works totally fine, no scratches on the glass.",City of Toronto,< 5 hours ago,2020-10-07 00:05:14.341746
1528249579,/v-sony-psp/city-of-toronto/playstation-vita-complete/1528249579,200.0,PlayStation Vita (Complete),,"PlayStation Vita Comes with - 3 games (Need for Speed, Spy Hunter, and Marvel Lego) Charger Travel Case Original box 4gb memory card Used lightly only selling to repair my phone or I would like to ...",City of Toronto,< 11 hours ago,2020-10-07 00:05:14.342237
1528218133,/v-sony-psp/city-of-toronto/james-bond-007-psp-from-russia-with-love/1528218133,25.0,James bond 007 psp from russia with love.,,complete in box.,City of Toronto,< 14 hours ago,2020-10-07 00:05:14.342735
1528217222,/v-sony-psp/city-of-toronto/gun-showdown-psp/1528217222,30.0,gun showdown psp,,complete in box.,City of Toronto,< 14 hours ago,2020-10-07 00:05:14.343228
1527967102,/v-sony-psp/city-of-toronto/rayman-origins-used-for-the-ps-vita/1527967102,20.0,Rayman Origins (used) for the PS Vita,,"Used game for the PS Vita. Can meet at Sheppard and Warden, by McDonald's parking lot. Email of interested.",City of Toronto,04/10/2020,2020-10-07 00:05:14.343917
1527966946,/v-sony-psp/city-of-toronto/htol-niq-the-firefly-diary-used-for-the-ps-vita/1527966946,20.0,htoL#NiQ The Firefly Diary (used) for the PS Vita,,"Used game for the PS Vita. Can meet at Sheppard and Warden, by McDonald's parking lot. Email of interested.",City of Toronto,04/10/2020,2020-10-07 00:05:14.344408
1527959757,/v-sony-psp/city-of-toronto/psp-and-psp-slim-battery-packs/1527959757,5.0,PSP AND PSP SLIM BATTERY PACKS,,All are 1200 mAh $5 each Buy all for $13,City of Toronto,04/10/2020,2020-10-07 00:05:14.345095
1508755214,/v-sony-psp/city-of-toronto/power-adapter-sony-psp-ac-charger-sony-psp-100/1508755214,10.0,Power Adapter - Sony PSP AC Charger - Sony PSP 100,,Sony PSP Charging cables $10 Model #PSP 100,City of Toronto,04/10/2020,2020-10-07 00:05:14.345643
1527943603,/v-sony-psp/city-of-toronto/ps-vita/1527943603,275.0,PS VITA,,"Nothing wrong with it but the charger wire. The charger still works. The rubber part detached itself (see photos). I taped it back up tho. Aside from that, it's 9.5/10 condition. PS Vita has - 32 GB ...",City of Toronto,04/10/2020,2020-10-07 00:05:14.346119
