,url,price,title,distance,description,location,time_offset,retreived
1528479246,/v-speakers/city-of-toronto/lg-xboom-ok99-1800-watts-brand-new-one-year-warranty-575/1528479246,575.0,LG XBOOM OK99 1800 WATTS / BRAND NEW / ONE YEAR WARRANTY $575,,!! LG XBOOM OK99 1800 WATTS !! !! BRAND NEW !! $575 Plus Tax * 1800 Watts Total Power * DJ Effects * LED Party Lighting * Karaoke Functionality * Handle with Casters BUY FROM A STORE WITH FULL ...,City of Toronto,< 14 minutes ago,2020-10-07 17:29:30.405862
1528479040,/v-speakers/city-of-toronto/new-polk-audio-rti10-floorstanding-loudspeaker-cherry-one-pair/1528479040,600.0,New Polk Audio RTi10  Floorstanding Loudspeaker Cherry) one pair,,New Polk Audio RTi10 High Output Floorstanding Loudspeaker (Cherry) one pair,City of Toronto,< 15 minutes ago,2020-10-07 17:29:30.406332
1528477989,/v-speakers/city-of-toronto/rare-cerwin-vega-vintage-speakers/1528477989,295.0,Rare CERWIN VEGA Vintage Speakers,,Great CERWIN VEGA Rare VINTAGE SPEAKERS in beautiful condition. V-10F ...10” woofer 3 way ...200 watts Sounds perfect. $295 Firm for the pair Size: 32”h x 12”w x 12”d Will remove when sold.,City of Toronto,< 19 minutes ago,2020-10-07 17:29:30.406822
1528477465,/v-speakers/city-of-toronto/vintage-rare-celestion-tower-speakers/1528477465,360.0,Vintage Rare Celestion Tower Speakers,,VINTAGE CELESTION IMPACT -40 FAMOUS Made in England Speakers in great condition. Large and powerful 225 watts each. $360 firm for the pair . Size: 42”h x 12”d x12”w Will remove when sold.,City of Toronto,< 22 minutes ago,2020-10-07 17:29:30.407316
1528475221,/v-speakers/city-of-toronto/fostex-pm0-3-compact-monitor-speakers/1528475221,85.0,Fostex PM0.3 Compact monitor speakers.,,"High quality monitor speakers for desk top music production, PC audio and MP3 player playback. 3"" woofer and 3/4"" tweeter 2 way system with built in 15w + 15w digital amplifier. Price is firm.",City of Toronto,< 36 minutes ago,2020-10-07 17:29:30.407803
1528474247,/v-speakers/city-of-toronto/edifier-m3200bt-multimedia-speaker/1528474247,80.0,EDIFIER M3200BT MULTIMEDIA SPEAKER,,SUPER SALE ON EDIFIER M3200BT MULTIMEDIA SPEAKER SALE PRICE: $79.99 *2.1 sound system with 34W *5½” Subwoofer with bass adjustment *Hourglass satellite speakers *Bluetooth 4.0 and NFC connectivity ...,City of Toronto,< 42 minutes ago,2020-10-07 17:29:30.408292
1528473604,/v-speakers/city-of-toronto/three-bose-speakers-two-bose-cube-subwoofer/1528473604,150.0,THREE BOSE SPEAKERS ( TWO BOSE CUBE & SUBWOOFER ),,"PLEASE GIVE US A CALL FOR QUICK ANSWERS . WE DO NOT REGULARLY CHECK OUR MAILS SO CALLING IS YOUR BEST OPTION . Item is in good working condition . Come and see hundreds of items ( Vintage audio , led ...",City of Toronto,< 45 minutes ago,2020-10-07 17:29:30.408776
1528472310,/v-speakers/city-of-toronto/cerwin-vega-at8-speakers/1528472310,100.0,Cerwin Vega AT8 Speakers,,"2 Cerwin Vega AT8 Speakers 21""H x 12""W x 10""D. Price is for both speakers.",City of Toronto,< 53 minutes ago,2020-10-07 17:29:30.409266
1528472054,/v-speakers/city-of-toronto/jbl-boombox-with-carrying-case/1528472054,550.0,JBL Boombox with carrying case,,"I have for sale are a brand new BB1 ($620 tax included) and carrying case (value $100). I only open up the box for inspection and testing , it was only used for 1 week so it’s basically BRAND NEW. ...",City of Toronto,< 54 minutes ago,2020-10-07 17:29:30.409752
1528471327,/v-speakers/city-of-toronto/tivoli-model-two-complete-set/1528471327,300.0,Tivoli Model Two Complete set.,,I have full Tivoli Model Two set up for sale. They are in good condition cosmetically and functionally. This set includes Tivoli Model Two and Tivoli Model Subwoofer and lastly Tivoli Model CD ...,City of Toronto,< 58 minutes ago,2020-10-07 17:29:30.410240
