,url,price,title,distance,description,location,time_offset,retreived
1528228926,/v-sport-other/city-of-toronto/pellet-bb/1528228926,525.0,pellet bb,,"weihrauch hw75 made in germany pnematic, no license required excellent condition. Everything included as per original package these retail for $700+ if you can find one selling for $525",City of Toronto,< 19 minutes ago,2020-10-06 12:01:51.756820
1528228570,/v-sport-other/city-of-toronto/cool-scooter/1528228570,5.0,Cool scooter,,"Cool basic scooter, tires hold air although angle needs alignment , otherwise all perfect condition , zip along in the last days of summer!!",City of Toronto,< 21 minutes ago,2020-10-06 12:01:51.757326
1528215673,/v-sport-other/city-of-toronto/lot-of-2-fitbit-charge-2-small-gray-large-blue/1528215673,100.0,Lot of 2 - Fitbit Charge 2 - Small Gray & Large Blue,,"Both Fitbits in excellent condition and come with original boxes, charger and manuals. Asking $100 for both for a quick sale. They are still available if ad is up.",City of Toronto,< 2 hours ago,2020-10-06 12:01:51.757823
1528205940,/v-sport-other/city-of-toronto/12-springfree-trampoline/1528205940,850.0,12’ Springfree  Trampoline,,Unlimited and safe fun for kids. Everything is perfectly working condition. There are few rips on the safety net which I fixed. Size : 12’ It is your responsibility to take it apart and delivery.,City of Toronto,< 3 hours ago,2020-10-06 12:01:51.758414
1528204357,/v-sport-other/city-of-toronto/razor-scooter-adult/1528204357,145.0,Razor scooter Adult,,It is brand new. Tried only once at parking lot. Bought for mobility at Covid. Did not work for me. Never used again.,City of Toronto,< 3 hours ago,2020-10-06 12:01:51.758924
1528173646,/v-sport-other/city-of-toronto/table-tennis-ping-pong-table/1528173646,150.0,Table Tennis / Ping Pong Table,,This is the Eastpoint EPS 2500. Mint condition- purchased in April. Selling 150$ firm. You will need a truck to pickup. Paddles not included.,City of Toronto,< 3 hours ago,2020-10-06 12:01:51.759420
1528198237,/v-sport-other/city-of-toronto/climb-cart-for-15/1528198237,15.0,Climb cart for 15,,Used but in good condition,City of Toronto,< 3 hours ago,2020-10-06 12:01:51.759912
1528191870,/v-sport-other/city-of-toronto/new-hyperfly-gi-bjj-gi/1528191870,210.0,NEW HYPERFLY Gi - BJJ Gi,,"ALL NEW - Hyperlfy BJJ Gi: - Kimono, - Pants and Belt - A0. This has only been worn 4 times - bought all new. Great fabric.",City of Toronto,< 4 hours ago,2020-10-06 12:01:51.760406
1479043545,/v-sport-other/city-of-toronto/1991-1992-pro-set-platinum-hockey-cards-set/1479043545,20.0,1991-1992 pro set platinum hockey cards set,,Brand new sealed 1991-1992 pro set platinum NHL Series 1 hockey cards set. 12 packs of cards inside. Smoke and pet free home.,City of Toronto,< 4 hours ago,2020-10-06 12:01:51.760899
1528185944,/v-sport-other/city-of-toronto/trekking-backpack/1528185944,120.0,TREKKING BACKPACK,,"Internal Fram backpack, Teton Outfitter 4600 / 65 + 10 Liters Super comfortable used only a couple of times. Paid $209 I am selling cause moving. Pick up",City of Toronto,< 5 hours ago,2020-10-06 12:01:51.761596
1528183795,/v-sport-other/city-of-toronto/snow-sled/1528183795,20.0,Snow sled,,Snow sled Great for kids,City of Toronto,< 5 hours ago,2020-10-06 12:01:51.762094
1469279737,/v-sport-other/city-of-toronto/custom-chopper/1469279737,189.0,Custom Chopper,,"New chain New tire New shifter New cables and housing New brake pads The chopper was stripped down, painted and reassembled $189",City of Toronto,< 6 hours ago,2020-10-06 12:01:51.762613
1517318401,/v-sport-other/city-of-toronto/sports-and-exercise-pogo-stick/1517318401,90.0,Sports and exercise pogo stick,,The best pogo stick in the market,City of Toronto,< 11 hours ago,2020-10-06 12:01:51.763114
492581405,/v-sport-other/city-of-toronto/brand-new-shin-pads-soccersocks-roller-blade-pads-from-5-set/492581405,5.0,"Brand New Shin Pads, SoccerSocks, Roller Blade Pads, from $5/set",,"These are all BRAND NEW, some do not have the packaging, most do  Pricing: eg 2 pairs of shin guards or socks for $10,             or shin guards & socks for $10,             or shin guards & pads ...",City of Toronto,< 14 hours ago,2020-10-06 12:01:51.763612
536132988,/v-sport-other/city-of-toronto/brand-new-cantebury-of-new-zealand-padded-rugby-shirts/536132988,40.0,Brand New Cantebury of New Zealand Padded Rugby Shirts,,LAST ONE: YOUTH LARGE ONLY Brand New Cantebury of New Zealand Padded Rugby Shirts designed to provide protection in the main impact zones of the sternum and shoulder areas.  -Lycra spandex fabric and ...,City of Toronto,< 14 hours ago,2020-10-06 12:01:51.764113
1528153440,/v-sport-other/city-of-toronto/free-steps-6-size-small/1528153440,25.0,Free steps 6 size small,,Hiked Hawaii with these....essential,City of Toronto,< 14 hours ago,2020-10-06 12:01:51.764616
1528145462,/v-sport-other/city-of-toronto/climbing-shoes-evolv-women-s-sz-9-velcro/1528145462,20.0,Climbing Shoes Evolv Women’s sz 9 Velcro,,PU @ College & Dufferin Climbing Shoes Evolv Women’s sz 9 Velcro Worn 6 months for indoor climbing,City of Toronto,< 15 hours ago,2020-10-06 12:01:51.765208
1528140215,/v-sport-other/city-of-toronto/under-armour-face-mask-size-m-l/1528140215,40.0,Under Armour Face Mask Size M/L,,Never opened or used. Non-medical non PPE. I bought a few and don’t need these ones so I’m selling for the same price I paid for them. Price not negotiable.,City of Toronto,< 16 hours ago,2020-10-06 12:01:51.765706
1528139965,/v-sport-other/city-of-toronto/under-armour-face-mask-size-l-xl/1528139965,40.0,Under Armour Face Mask Size L/XL,,Never opened or used. Non-medical non PPE. I bought a few and don’t need these ones so I’m selling for the same price I paid for them. Price not negotiable.,City of Toronto,< 16 hours ago,2020-10-06 12:01:51.766202
1447587934,/v-sport-other/city-of-toronto/forever-move-natural-solution-for-joint-pain/1447587934,90.0,Forever Move (Natural Solution for Joint Pain),,If you would like to get back into sports and play sports pain free then this product will help you exactly that. If you have joint pain then this Forever Move will solve your problem guaranteed. ...,City of Toronto,< 16 hours ago,2020-10-06 12:01:51.766709
