,url,price,title,distance,description,location,time_offset,retreived
1528402689,/v-storage-containers/city-of-toronto/14-999-obo-40-insulated-heated-storage-container/1528402689,14999.0,"$14,999  OBO - 40' INSULATED HEATED STORAGE CONTAINER",,"40' INSULATED HEATED STORAGE CONTAINER - $ 14,999 OBO 40 ft. Storage Container , 8' 6'' High x 8' Wide , Shelving ( all one side ), Peg Board all Around , Heated, Insulated , T8 lighting , Double ...",City of Toronto,< 6 hours ago,2020-10-07 16:22:34.428026
1528386127,/v-storage-containers/city-of-toronto/18-yard-bins-the-best-price-in-gta-437-882-5016/1528386127,379.0,☆ 18 YARD BINS ☆ THE BEST PRICE IN GTA☆437 882 5016,,437 882 5016 Bin rental special! 18 yard bin rental $379 flat rate 14 yard bin rental $279 flat rate 8 yard bin rental $265 flat rate 5 yard bin rental $240 flat rate AFFORDABLE MINI BIN RENTALS! WE ...,City of Toronto,< 7 hours ago,2020-10-07 16:22:34.428750
1528383057,/v-storage-containers/city-of-toronto/14-yard-bins-summer-deals-279-flat-rate-437-882-5016/1528383057,279.0,★14 YARD BINS ★ SUMMER DEALS ★ $279 FLAT RATE ★ 437 882 5016,,437 882 5016 Bin rental special! 18 yard bin rental $379 flat rate 14 yard bin rental $279 flat rate 8 yard bin rental $265 flat rate 5 yard bin rental $240 flat rate AFFORDABLE MINI BIN RENTALS! WE ...,City of Toronto,< 8 hours ago,2020-10-07 16:22:34.429430
1515240787,/v-storage-containers/city-of-toronto/wooden-apple-bins/1515240787,25.0,Wooden Apple Bins,,"Wooden apple bins Good condition H 29 ,W 47, L 47 Load Volumes available Will deliver orders over 50 for a fee",City of Toronto,< 20 hours ago,2020-10-07 16:22:34.431841
1528237788,/v-storage-containers/city-of-toronto/metal-filing-cabinet-for-sale/1528237788,60.0,Metal    Filing  Cabinet For Sale,,"W hite metal filing cabinet, 3 drawers 18.5"" W x 28.25"" D x 42"" H",City of Toronto,Yesterday,2020-10-07 16:22:34.432536
1528197566,/v-storage-containers/city-of-toronto/5-skids-of-concrete-blocks-all-free-all-must-go/1528197566,0.0,5 Skids of concrete blocks - ALL FREE - ALL MUST GO,,We have five skids of various concrete blocks - MUST TAKE ALL - ALL IS FREE Office is open MON - FRI 9-5 & SAT - SUN 9-4 905-642-2689,City of Toronto,Yesterday,2020-10-07 16:22:34.433224
1528141501,/v-storage-containers/city-of-toronto/adjusted-desk/1528141501,225.0,Adjusted desk,,"Mind Reader SDELEC-BLK Standing Desk Height Adjustable Desk Converter, Sit and Stand Desk, Electric Powered, Riser, Dual Monitors, Black",City of Toronto,05/10/2020,2020-10-07 16:22:34.436343
1510924862,/v-storage-containers/city-of-toronto/shipping-container-rental-storage-container-for-rent-and-sale/1510924862,99.0,"Shipping Container Rental, Storage Container for Rent and Sale",,"The Easy Access Storage Co Inc. Rental and Sales Service 905-795-0655 Safe, Clean, Convenient Storage Container Rentals 8x20 and 8x40 Rentals 20 $99/Month 40 $139/Month Affordable Short or Long term ...",City of Toronto,05/10/2020,2020-10-07 16:22:34.436852
1510924861,/v-storage-containers/city-of-toronto/portable-shipping-containers-secure-container-seacan-sale/1510924861,1850.0,"Portable Shipping Containers, Secure Container, Seacan Sale",,"The Easy Access Storage Co. Inc. (905)795-0655 100% Weatherproof Secure Cargo Shipping Container Sales We offer 20, 40 and 45ft Secure Ground Storage with varied doorway configurations (optional) ...",City of Toronto,05/10/2020,2020-10-07 16:22:34.437434
1528069238,/v-storage-containers/city-of-toronto/c-r-daniels-polyethylene-tilt-truck-hinged-lid/1528069238,220.0,C.R. Daniels Polyethylene Tilt Truck Hinged Lid,,"Condition: New. Stored in storage. Can take pictures upon request. Model Number: 520211 Size: Fits 1 yd. Truck, 68"" x 32"" Colour: Gray Hinged Lid Gray Polyethylene Fill one end of the truck at a time ...",City of Toronto,05/10/2020,2020-10-07 16:22:34.438743
