,url,price,title,distance,description,location,time_offset,retreived
1528072450,/v-storage-organization/city-of-toronto/rev-a-shelf-garbage-bin-pullout/1528072450,40.0,Rev a shelf garbage bin pullout,,Good condition. Minimum vabinet opening is 11.5 inches,City of Toronto,< 13 minutes ago,2020-10-05 14:42:11.910945
1528072414,/v-storage-organization/city-of-toronto/new-in-box-drawer-pull-out-ironing-board/1528072414,95.0,New in Box Drawer Pull-Out Ironing Board,,"This is AVAILABLE, if you see this ad. Pick up and cash only. The price is not negotiable. Want to get in touch, leave a phone number, no texting.",City of Toronto,< 13 minutes ago,2020-10-05 14:42:11.911443
1528069599,/v-storage-organization/city-of-toronto/metal-frame-closet-organizer/1528069599,75.0,Metal Frame Closet Organizer,,"This is AVAILABLE, if you see this ad. Want to get in touch, leave the phone number no texting. Want to get in touch, leave a phone number, no texting. Main rack W18” ½ x D15” 1/5 x H82” 3/4 Shelf ...",City of Toronto,< 27 minutes ago,2020-10-05 14:42:11.911943
1528067406,/v-storage-organization/city-of-toronto/organizer-shelf/1528067406,20.0,Organizer shelf!!!,,Only $20 IKEA lamp $10 2 black end table drawers (I have 2 $30 for both),City of Toronto,< 37 minutes ago,2020-10-05 14:42:11.912435
1528051142,/v-storage-organization/city-of-toronto/bombay-furniture-co-photo-storage-box/1528051142,25.0,Bombay Furniture Co. Photo Storage Box,,"Bombay Furniture Co. Photo Storage Box *BRAND NEW--STILL IN BOX WITH STYROFOAM PACKING--NEVER USED!! *Bombay Furniture Co. *7.5 inches x 6 inches x 7 inches *4 inserts, each with 12 double sided ...",City of Toronto,< 2 hours ago,2020-10-05 14:42:11.912930
1528050736,/v-storage-organization/city-of-toronto/cable-pouch/1528050736,5.0,Cable Pouch,,Pouch I used for cables.,City of Toronto,< 2 hours ago,2020-10-05 14:42:11.913426
1528050699,/v-storage-organization/city-of-toronto/makeup-toiletry-bag/1528050699,5.0,Makeup / Toiletry Bag,,Makeup bag I used for transporting toiletries. Second photo is an attempt at showing scale.,City of Toronto,< 2 hours ago,2020-10-05 14:42:11.913919
1528048757,/v-storage-organization/city-of-toronto/ikea-stenstorp-kitchen-cart/1528048757,125.0,IKEA STENSTORP KITCHEN CART,,"IKEA STENSTORP kitchen cart with oak wood top and extendable back panel. The wheels on the back legs allow for easy moving. Dimensions are 17” (W) x 17”/24.5” (D) x 35.5” (H). In perfect, like new ...",City of Toronto,< 3 hours ago,2020-10-05 14:42:11.914415
1528048278,/v-storage-organization/city-of-toronto/pet-door-for-large-cats/1528048278,10.0,Pet door for large cats,,Brand new never been used. Originally $70.,City of Toronto,< 3 hours ago,2020-10-05 14:42:11.914912
1528047693,/v-storage-organization/city-of-toronto/makeup-organizer/1528047693,85.0,Makeup organizer,,"this is brand new makeup organizer, waterproof, easy cleaning, huge load, convenience to carry everywhere, it were gift for my clients, but the store has been closed during the pandemic, few extra ...",City of Toronto,< 3 hours ago,2020-10-05 14:42:11.915405
1528045039,/v-storage-organization/city-of-toronto/the-tie-system-auto-rotating-rack-by-star-case/1528045039,15.0,The Tie System auto rotating rack by Star Case,,New in box Automatic Tie system and storage. See photos,City of Toronto,< 3 hours ago,2020-10-05 14:42:11.915901
1528032600,/v-storage-organization/city-of-toronto/wooden-hangers/1528032600,5.0,Wooden Hangers,,Up to 30 available $5 per 10,City of Toronto,< 4 hours ago,2020-10-05 14:42:11.916398
1528027972,/v-storage-organization/city-of-toronto/beautiful-storage-ottomans/1528027972,30.0,Beautiful storage ottomans,,"These stunning royal blue velvet ottomans have storage, in addition to serving as extra seating . In excellent condition, a few marks on the inside which can be easily cleaned. Barely used and from ...",City of Toronto,< 4 hours ago,2020-10-05 14:42:11.916894
1528014703,/v-storage-organization/city-of-toronto/shoe-rack/1528014703,15.0,Shoe rack,,"Great condition, just selling as I’m moving cross-country. Pick-ups only. Located in Parkdale area.",City of Toronto,< 5 hours ago,2020-10-05 14:42:11.917389
1528012013,/v-storage-organization/city-of-toronto/white-board-48x36-inches/1528012013,50.0,White board 48x36 inches,,Slightly used white boards from Staples 4 white boards available Text me for pick up Online prices $300 and up,City of Toronto,< 5 hours ago,2020-10-05 14:42:11.917883
1169965649,/v-storage-organization/city-of-toronto/250g-silica-gel-packets-desiccant-moisture-absorbed-dry-bag/1169965649,5.0,250g Silica Gel Packets Desiccant Moisture Absorbed Dry Bag,,Silica Gel Packets Desiccant Moisture Absorber Dry Bag 250gm ± 5gm / Bag $5 / Bag $45 / 10 Bags,City of Toronto,< 5 hours ago,2020-10-05 14:42:11.918376
1528010489,/v-storage-organization/city-of-toronto/umbra-mood-clothing-wall-hooks-hooks-with-rubber-coating/1528010489,10.0,Umbra Mood Clothing Wall Hooks - Hooks with Rubber Coating,,"A modern set of hooks made with industrial materials. Designed in a playful shape and adds storage to your home, making a statement on your walls. Metal hooks have a cover made of silicone, which is ...",City of Toronto,< 6 hours ago,2020-10-05 14:42:11.918875
