,url,price,title,distance,description,location,time_offset,retreived
1528286683,/v-stove-oven-range/city-of-toronto/750-cfm-range-hood-sale-149-each/1528286683,149.0,750 CFM|RANGE HOOD SALE |149 EACH,,"We are a rangehood warehouse located in Scarborough. Kennedy / 401 UNIT 12 - 31 PROGRESS AVE, SCARBOROUGH, ON M1P4S6 We offer brand new in box rangehood | 30 inches under cabinet | 750CFM White 149 | ...",City of Toronto,< 40 minutes ago,2020-10-06 17:18:55.471883
1528277316,/v-stove-oven-range/city-of-toronto/regency-air-tight-stove-with-electric-fan/1528277316,975.0,Regency Air tight stove with electric fan,,"Regency 2001 air tight stove used for one season a few times,like new,stored in the basement . Has full certificate can put in house or garage no problem.Very clean",City of Toronto,< 2 hours ago,2020-10-06 17:18:55.472565
1528277267,/v-stove-oven-range/city-of-toronto/inglis-electric-stove-for-sale-:/1528277267,150.0,"INGLIS ELECTRIC STOVE FOR SALE, :*",,"INGLIS 30"" ELECTRIC STOVE FOR SALE! - ENERGY STAR* - 120 VOLT PLUG - SELF CLEANING OVEN ALL 4 BURNERS AND THE OVEN WORK EXCELLENT! CLEAN AND IN WORKING CONDITION PERFECT FOR HOUSE BASEMENT ...",City of Toronto,< 2 hours ago,2020-10-06 17:18:55.473056
1528273604,/v-stove-oven-range/city-of-toronto/amana-stove-for-sale/1528273604,250.0,Amana Stove for sale,,Amana Stove for sale in great working condition. Perfect for new home owners or rental properties. Selling due to renovation. Price set at $250. Pick up only.,City of Toronto,< 2 hours ago,2020-10-06 17:18:55.473534
1528268842,/v-stove-oven-range/city-of-toronto/whirlpool-gold-30-gas-range/1528268842,300.0,Whirlpool Gold 30” Gas Range,,$300 ORB. Must go ASAP.,City of Toronto,< 3 hours ago,2020-10-06 17:18:55.474016
1528260654,/v-stove-oven-range/city-of-toronto/frigidaire-gas-range-electrical-stove/1528260654,350.0,Frigidaire Gas Range/Electrical Stove,,"Used gas range /electric oven. Good condition, slight cleaning needed. Working only selling because moving.",City of Toronto,< 3 hours ago,2020-10-06 17:18:55.474498
1528259795,/v-stove-oven-range/city-of-toronto/gas-ge-range-stove-for-sale/1528259795,350.0,Gas GE Range Stove For Sale,,"Gas GE Range Stove For Sale Used Gas GE Range For Sale. Great condition GE gas stove. Removed from main level and no longer needed. Available to pickup in Toronto, Ontario Please Text or Call : 647 ...",City of Toronto,< 4 hours ago,2020-10-06 17:18:55.474986
1528258551,/v-stove-oven-range/city-of-toronto/breville-mini-smart-oven-with-element-iq-bov450xl/1528258551,140.0,Breville Mini Smart Oven with Element IQ (BOV450XL),,In Brand New Condition everything works flawlessly. The best mini oven I have ever owned. Located Downtown Toronto 4 Quartz 1800 Watt Elements with Element IQ Technology Function dial with 8 pre-set ...,City of Toronto,< 4 hours ago,2020-10-06 17:18:55.475479
1528255230,/v-stove-oven-range/city-of-toronto/broan-under-cabinet-hood-190-cfm-24-inch-stainless-steel/1528255230,85.0,"Broan Under Cabinet Hood, 190 CFM, 24-Inch, Stainless steel",,"Brand new in box. Please see pictures. Installs as 7-Inch round ducted only 190 CFM, 6.0 Sone (vertical discharge) performance Dishwasher-safe aluminum grease filter Accepts up to 75-Watt light (bulb ...",City of Toronto,< 4 hours ago,2020-10-06 17:18:55.475966
1528250405,/v-stove-oven-range/city-of-toronto/kenmore-self-cleaning-oven-for-sale/1528250405,40.0,Kenmore Self Cleaning Oven for Sale,,White Kenmore Self Cleaning Oven for Sale. Everything works well and it's in good condition. Recently upgraded and no longer needed.,City of Toronto,< 4 hours ago,2020-10-06 17:18:55.476446
