,url,price,title,distance,description,location,time_offset,retreived
1528487588,/v-string-instrument/city-of-toronto/jacob-winter-new-violin-case/1528487588,150.0,Jacob Winter New Violin Case,,"New with tags on it dark blue/slate gray Jacob Winter Violin case. Super light, super weather proof, comes with strap. Great beginners case. Paid 200 for it at the Sound Post sale last black friday ...",City of Toronto,< 29 minutes ago,2020-10-07 18:27:01.460608
1517201065,/v-string-instrument/city-of-toronto/pre-war-gibson-mastertone-5-string-banjo-1928-tb-3-conversion/1517201065,5000.0,Pre-war Gibson Mastertone 5-String Banjo (1928 TB-3 conversion),,I am selling a gorgeous maple pre-war 1928 Gibson 5-string. I purchased the original TB-3 from a retired music instrument dealer about 4 years ago. He said that it had been sitting in his closet for ...,City of Toronto,< 2 hours ago,2020-10-07 18:27:01.461098
1528467313,/v-string-instrument/city-of-toronto/1933-antique-quality-german-violin/1528467313,1500.0,1933 Antique Quality German Violin,,"Oskar Erich Heinel out of Markneukirchen, Germany. Two piece back with a medium grain spruce golden top. Very high quality instrument that has always been professionally taken care of. Price to sell, ...",City of Toronto,< 3 hours ago,2020-10-07 18:27:01.461586
1528465810,/v-string-instrument/city-of-toronto/violin-1-4/1528465810,120.0,Violin 1/4,,"Menzel Violin size 1/4. In perfect condition. Ideal for children starters. Great sound. Bow and shoulder rest included, and hard case too!!",City of Toronto,< 3 hours ago,2020-10-07 18:27:01.462073
1528401344,/v-string-instrument/city-of-toronto/german-violin-for-a-small-budget/1528401344,3250.0,German Violin for a small budget,,"A violin made in Germany with a high quality workmanship and tone. It has rich, warm, round sound like a very expensive professional violin and it plays easily too. This violin is a great true german ...",City of Toronto,< 8 hours ago,2020-10-07 18:27:01.462557
1528401017,/v-string-instrument/city-of-toronto/fine-violins-on-sale/1528401017,600.0,Fine Violins on Sale!!,,1.Blemished Presto-( it was over $1000)-SOLD! -Breath taking gorgeous red coloured tiger grain -easy to play and has warm resonant tone -a great your first professional instrument with very small ...,City of Toronto,< 8 hours ago,2020-10-07 18:27:01.463044
1528397236,/v-string-instrument/city-of-toronto/free-shipping-brand-new-violin-viola-cello-bass/1528397236,99.0,FREE SHIPPING!!Brand New VIOLIN/VIOLA/CELLO/BASS,,"FREE SHIPPING!!Brand New VIOLIN/VIOLA/CELLO/BASS CJC MUSIC Buy online at www.cjcmusic.ca FREE SHIPPING ON ORDERS OVER $79.00 --------------------------------------------- 1/32, 1/16, 1/10 ...",City of Toronto,< 8 hours ago,2020-10-07 18:27:01.463593
1528337110,/v-string-instrument/city-of-toronto/electric-silent-violin-maroon/1528337110,299.0,Electric Silent Violin Maroon,,"4/4 Full size High quality pick-up, 3 outputs Tone and Volume control; Fingerboard ebony; Pegs: Ebony with dot; Bridge: Hard rosewood, specially designed for Electric Violin; Tail piece: Ebony with 1 ...",City of Toronto,< 21 hours ago,2020-10-07 18:27:01.464084
1528277688,/v-string-instrument/city-of-toronto/beautiful-ukulele-for-sale/1528277688,50.0,Beautiful ukulele for sale!,,I’m selling a beautiful a Ukulele and case. It is tuned and in perfect condition! Great instrument to learn!,City of Toronto,Yesterday,2020-10-07 18:27:01.464571
1528257549,/v-string-instrument/city-of-toronto/violin-4-4-with-case-great-for-student/1528257549,150.0,"Violin 4/4 with case , Great for Student",,Violin full size 4/4 . Great Student Violin . I think it is a Stentor . great shape if add is up still available. you can text me at 416-566-0038,City of Toronto,Yesterday,2020-10-07 18:27:01.465050
