,url,price,title,distance,description,location,time_offset,retreived
1528209541,/v-tennis-and-racket/city-of-toronto/head-graphene-touch-radical-mp-tennis-racquet-4-1-4-l2-2/1528209541,100.0,Head Graphene Touch Radical MP tennis racquet 4 1/4 L2 #2,,Listed is a used Head Graphene Touch MP radical tennis racket. Bumper guard and grommets have been replace. Strings are strung recently with signum poly pro at 50#. Grip is new as well.,City of Toronto,< 3 hours ago,2020-10-06 12:12:13.576094
1528185572,/v-tennis-and-racket/city-of-toronto/babolat-n-limited/1528185572,35.0,"Wanted:
                            Babolat  N- Limited",,Tennis Babolat N-Limited,City of Toronto,< 5 hours ago,2020-10-06 12:12:13.576703
1517448201,/v-tennis-and-racket/city-of-toronto/tennis-racquet-70-s-classic-bjorn-donnay/1517448201,35.0,Tennis Racquet 70’s Classic Bjorn Donnay,,Rare Vintage Donnay Bjorn Borg Made in Belgium Donnay 70’s tennis racquet Great condition for display. Cover included. Still available if this ad is up.,City of Toronto,< 15 hours ago,2020-10-06 12:12:13.577199
1528149026,/v-tennis-and-racket/city-of-toronto/wilson-pro-staff-5-5si-95sq-w12-3oz-tennis-racquet-excellent/1528149026,100.0,WILSON PRO STAFF 5.5si 95sq W12.3oz Tennis Racquet Excellent,,"For sale is Wilson Pro Staff 5.5si Tennis Racquet. Excellent condition, no cracks, bumper guard is in excellent condition, string is good, new Wilson overgrip. Wilson Pro Staff 5.5si Tennis Racquet ...",City of Toronto,< 15 hours ago,2020-10-06 12:12:13.577693
1528145162,/v-tennis-and-racket/city-of-toronto/40-brand-new-kawasaki-3-racquet-bag/1528145162,40.0,$40 brand new Kawasaki 3 racquet bag,,"Size: 755 x 310 x 145 mm Single strap, 2 zipper compartment Pick up, cash only. Thanks!",City of Toronto,< 16 hours ago,2020-10-06 12:12:13.578209
1500736278,/v-tennis-and-racket/city-of-toronto/jumbo-inflatable-tennis-ball/1500736278,15.0,Jumbo inflatable tennis ball,,"8"" diameter inflatable jumbo tennis ball. Great toy for kids (not suitable for dogs) or novelty item for any tennis fan. Get this beauty autographed when tournaments are back on. $10 per ball or two ...",City of Toronto,< 16 hours ago,2020-10-06 12:12:13.578751
1528136475,/v-tennis-and-racket/city-of-toronto/wilson-cobra-titanium-squash-racquets/1528136475,70.0,Wilson Cobra Titanium Squash Racquets,,"Two nice squash racquets - Wilson titanium. If you were thinking of taking up the sport, maybe with a family member or a buddy, or it’s always nice to have a backup. $35 each or if you’d like both ...",City of Toronto,< 17 hours ago,2020-10-06 12:12:13.579394
1525510523,/v-tennis-and-racket/city-of-toronto/nikecourt-advantage-tennis-polo-agassi-150/1525510523,150.0,NikeCourt Advantage Tennis Polo Agassi $150,,"Brand new, unworn, tags attached, directly from NIKE. This is the long sold out Agassi polo, perfectly re-issued, in size MEDIUM, black/neo-teal/yellow colour. $150, downtown/east-end pick-up only.",City of Toronto,< 17 hours ago,2020-10-06 12:12:13.579898
1528125186,/v-tennis-and-racket/city-of-toronto/dunlop-revelation-95sq-tennis-racquet-excellent-condition/1528125186,60.0,DUNLOP Revelation 95sq Tennis Racquet Excellent Condition,,"For sale is DUNLOP Revelation Lite +0.50 - Mid+ 95sq Tennis Racquet. Excellent condition, new string, new grip, overgrip is in good condition, bumper guard is in excellent condition, no scratches, no ...",City of Toronto,< 18 hours ago,2020-10-06 12:12:13.580400
1528124536,/v-tennis-and-racket/city-of-toronto/babolat-pure-storm-gt-98sq-w10-4oz-excellent-condition/1528124536,120.0,Babolat Pure Storm GT 98sq  W10.4oz  Excellent Condition,,"For sale is Babolat Pure Storm Tennis Racquet. Excellent condition, Babolat Pro Hurrican Tour 16g string in excellent condition, New Babolat VS Original overgrip, bumper guard is in very good ...",City of Toronto,< 18 hours ago,2020-10-06 12:12:13.581330
