,url,price,title,distance,description,location,time_offset,retreived
1528289647,/v-toasters-toaster-oven/city-of-toronto/sandwich-maker/1528289647,15.0,Sandwich Maker,,Very nice Hamilton beach Sandwich Maker ...only 6 month used,City of Toronto,< 31 minutes ago,2020-10-06 17:26:10.520766
1528281767,/v-toasters-toaster-oven/city-of-toronto/classic-chrome-2-slice-toaster-hamilton-beach/1528281767,15.0,Classic Chrome 2 Slice Toaster Hamilton Beach,,"FEATURES – Bagel setting toasts the cut side, warms the round side 4 toasting functions Toast boost Extra-wide slots Easy-clean crumb tray Auto-shutoff Dimensions (inches): 7.63 H x 6.88 W X 11.06 D ...",City of Toronto,< 2 hours ago,2020-10-06 17:26:10.521261
1528241581,/v-toasters-toaster-oven/city-of-toronto/black-and-decker-toaster-oven/1528241581,15.0,Black and Decker Toaster Oven,,"Great condition. First come, first served.",City of Toronto,< 5 hours ago,2020-10-06 17:26:10.521749
1528215015,/v-toasters-toaster-oven/city-of-toronto/breville-smart-over-pro-like-new/1528215015,195.0,Breville Smart Over Pro - like new,,Breville Smart Oven Pro - VERY GENTLE USED LIKE NEW https://www.breville.com/ca/en/products/ovens/bov845.html PICK UP Bayview Village/surrounding area,City of Toronto,< 7 hours ago,2020-10-06 17:26:10.522235
1528208965,/v-toasters-toaster-oven/city-of-toronto/grilled-cheese-toaster-cage-dualit/1528208965,25.0,Grilled Cheese Toaster Cage - Dualit !,,Dualit is a well-known high-end kitchen appliance brand. The cage opens up to insert 2 slices of bread and desired filler to insert directly in the toaster. Original price is $50. I gifted it to my ...,City of Toronto,< 8 hours ago,2020-10-06 17:26:10.522727
1528087042,/v-toasters-toaster-oven/city-of-toronto/general-electric-ge-toaster-panini-grill-griddle/1528087042,30.0,General Electric (GE)  Toaster/ Panini/ Grill/ Griddle,,"Used GE 4 in 1 press. Comes with set of grill (ribbed) plates and set of griddle (smooth) plates. Grill plates: sandwiches, paninis, wraps, salmon, hot dogs, burgers, etc. Griddle plates: pancakes, ...",City of Toronto,Yesterday,2020-10-06 17:26:10.523214
1528054125,/v-toasters-toaster-oven/city-of-toronto/moving-sale/1528054125,25.0,Moving sale!!!,,"Functionable, and convenient! Delivery possible with a fee.",City of Toronto,Yesterday,2020-10-06 17:26:10.523698
1528005715,/v-toasters-toaster-oven/city-of-toronto/mini-oven-two-toasters-mini-blender-all-4-items-for-20/1528005715,20.0,Mini oven TWO toasters Mini blender all 4 items for $20,,Mini oven TWO toasters Mini blender all 4 items for $20. Very clean in good condition Ready to use Black n Decker Mini Oven with timer n up to 450 degree can bake half a pizza. Sun Beam Toaster. ...,City of Toronto,Yesterday,2020-10-06 17:26:10.524184
1528005203,/v-toasters-toaster-oven/city-of-toronto/nella-star-qcs1-compact-conveyor-toaster-brand-new-on-sale/1528005203,799.0,Nella - Star QCS1 Compact Conveyor Toaster - Brand New - On Sale,,Compact conveyor toaster has been designed and engineered for the budget-minded small volume operation. The QCS toaster is compact and versatile requiring minimal counter space and delivers perfect ...,City of Toronto,Yesterday,2020-10-06 17:26:10.524727
1527969637,/v-toasters-toaster-oven/city-of-toronto/clean-small-oven-with-toaster/1527969637,10.0,Clean small oven with toaster,,"Small oven with toaster , working condition L37 cm W23cm H19cm Downtown pick up",City of Toronto,04/10/2020,2020-10-06 17:26:10.525212
1527969577,/v-toasters-toaster-oven/city-of-toronto/toaster/1527969577,7.0,Toaster,,Stainless Toaster,City of Toronto,04/10/2020,2020-10-06 17:26:10.525695
1527961152,/v-toasters-toaster-oven/city-of-toronto/hamilton-beach-22811c-2-slice-toaster-stainless-steel/1527961152,15.0,"Hamilton Beach 22811C 2-Slice Toaster, Stainless Steel",,"- Heater cycles on and off after completing toast cycle to keep food warm in slot. Use cancel to retrieve toast Audible signal, auto off activates 5 minutes after end of cycle - Extra wide ...",City of Toronto,04/10/2020,2020-10-06 17:26:10.526182
1527960975,/v-toasters-toaster-oven/city-of-toronto/hamilton-beach-grille/1527960975,25.0,Hamilton Beach Grille,,Hamilton Beach Grille. Great working condition. Asking 25.00,City of Toronto,04/10/2020,2020-10-06 17:26:10.526670
1527959497,/v-toasters-toaster-oven/city-of-toronto/toaster-oven/1527959497,20.0,Toaster oven,,Good condition not used much,City of Toronto,04/10/2020,2020-10-06 17:26:10.527159
1527957280,/v-toasters-toaster-oven/city-of-toronto/stainless-steel-toaster/1527957280,10.0,Stainless steel toaster,,"Working well, in good condition pick up only If the ad is up, then it is available. pls don't ask if it is available",City of Toronto,04/10/2020,2020-10-06 17:26:10.527658
1527952796,/v-toasters-toaster-oven/city-of-toronto/sandwich-maker/1527952796,10.0,Sandwich Maker,,Salton Sanwich Maker - brand new - great for making sandwich’s with bread - quick and easy - can pack sandwich with anything preferred - can make the bread crunchy if cooked for right amount of time ...,City of Toronto,04/10/2020,2020-10-06 17:26:10.528151
1527933677,/v-toasters-toaster-oven/city-of-toronto/sandwich-maker-10/1527933677,10.0,"Sandwich maker, $10",,Excellent condition,City of Toronto,04/10/2020,2020-10-06 17:26:10.528637
1527920814,/v-toasters-toaster-oven/city-of-toronto/betty-crocker-toaster-oven/1527920814,50.0,Betty Crocker Toaster Oven,,Great condition toaster oven. Willing to drop off in gta for the right price.,City of Toronto,04/10/2020,2020-10-06 17:26:10.529123
1515806102,/v-toasters-toaster-oven/city-of-toronto/red-copper-flipwich-stovetop-panini-sandwich-maker/1515806102,25.0,Red Copper Flipwich Stovetop Panini Sandwich Maker,,"BRAND NEW. More info here: https://www.canadiantire.ca/en/pdp/as-seen-on-tv-red-copper-flipwich-2996359p.html $25 OBO, please take a look at my other ads. Meet up at Square One",City of Toronto,04/10/2020,2020-10-06 17:26:10.529612
1527890972,/v-toasters-toaster-oven/city-of-toronto/waffle-maker/1527890972,20.0,Waffle  maker,,Proctor's Silex Belgian Waffle maker Makes 4 waffles at once Used only two times,City of Toronto,04/10/2020,2020-10-06 17:26:10.530100
1527889467,/v-toasters-toaster-oven/city-of-toronto/sandwich-maker-new/1527889467,25.0,Sandwich maker (NEW),,"**pick up only in Scarborough, no delivery** Sandwich maker brand new in box Works perfectly Better chef brand",City of Toronto,04/10/2020,2020-10-06 17:26:10.530599
1527851216,/v-toasters-toaster-oven/city-of-toronto/toaster-kettle/1527851216,20.0,Toaster & Kettle,,"20 both Toaster & Kettle. Posted in home appliances, toasters, toaster ovens in City of Toronto. 4 October 2020",City of Toronto,04/10/2020,2020-10-06 17:26:10.531087
1527826049,/v-toasters-toaster-oven/city-of-toronto/russell-hobbs-vintage-style-kettle/1527826049,10.0,Russell hobbs vintage style kettle,,"Posted by Simone in home appliances, toasters, toaster ovens in Toronto (GTA), City of Toronto. October 4, 2020",City of Toronto,04/10/2020,2020-10-06 17:26:10.531577
1527804436,/v-toasters-toaster-oven/city-of-toronto/very-new-bread-machine/1527804436,30.0,Very new bread  machine,,95% new bread machine. Only used two time! Sell it because I don't have time to bake bread by myself. Made in Japan! With user manual and recipes!,City of Toronto,04/10/2020,2020-10-06 17:26:10.532066
1527799281,/v-toasters-toaster-oven/city-of-toronto/oster-4-slice-toaster-copper-metal-finish-new-in-box-nib/1527799281,30.0,Oster 4 Slice Toaster Copper Metal Finish NEW IN BOX NIB,,Oster 4 Slice Toaster Copper Metal Finish NEW IN BOX NIB As pictured below. Brand new in box. Never opened. $30 dollars or best offer. Cash Only. Pick up only – Downtown Toronto (Front St West & ...,City of Toronto,04/10/2020,2020-10-06 17:26:10.532562
1527751194,/v-toasters-toaster-oven/city-of-toronto/toaster/1527751194,15.0,Toaster,,Great toaster with adjustable knob for desired toasting. Fast and easy to clean!,City of Toronto,03/10/2020,2020-10-06 17:26:10.533258
1527751019,/v-toasters-toaster-oven/city-of-toronto/cuisinart-waffle-maker/1527751019,50.0,Cuisinart waffle maker,,Excellent waffle maker. Used twice. Immaculate!,City of Toronto,03/10/2020,2020-10-06 17:26:10.533748
1527745787,/v-toasters-toaster-oven/city-of-toronto/black-decker-4-slice-toaster-oven/1527745787,45.0,Black & Decker 4 Slice toaster oven,,"Brand new in the box, never opened. I recently bought it at Walmart and was planning on taking it back but I’ve lost the receipt. Willing to deliver in central Toronto. Save yourself a trip to the ...",City of Toronto,03/10/2020,2020-10-06 17:26:10.534236
1424269900,/v-toasters-toaster-oven/city-of-toronto/just-reduced-breadmaker/1424269900,80.0,JUST REDUCED!!!!!BREADMAKER,,BREAD MAKER By Charlescraft MODEL-HBC-800 Two pound programmable 3 shades crust colour LIKE NEW!!!!! JUST REDUCED!!!!!! $80,City of Toronto,03/10/2020,2020-10-06 17:26:10.534734
1527702459,/v-toasters-toaster-oven/city-of-toronto/rival-convection-oven/1527702459,30.0,Rival Convection oven,,"Rival Convection oven. Size is 19"" wide X 14"" deep X 10"" high. Only $30.",City of Toronto,03/10/2020,2020-10-06 17:26:10.535217
1527693154,/v-toasters-toaster-oven/city-of-toronto/toaster-kettle-combo/1527693154,20.0,Toaster/kettle combo!,,Works perfectly! Both seem together for one price!,City of Toronto,03/10/2020,2020-10-06 17:26:10.535700
1527683578,/v-toasters-toaster-oven/city-of-toronto/black-decker-bread-toaster-works-great-downtown-toronto/1527683578,10.99,BLACK & DECKER BREAD TOASTER. WORKS GREAT. DOWNTOWN TORONTO,,CURBSIDE PICKUP AT DOWNTOWN TORONTO WORKS GREAT,City of Toronto,03/10/2020,2020-10-06 17:26:10.536187
1527651914,/v-toasters-toaster-oven/city-of-toronto/pizza-baking-machine/1527651914,69.0,PIZZA BAKING MACHINE,,"This pizza baking machine heats quickly and evenly. It can not only bake 12-inch pizzas, but also make omelets, pancakes, sandwiches, barbecues, grilled chickens, grilled fish, etc. It is more ...",City of Toronto,03/10/2020,2020-10-06 17:26:10.536670
1527619514,/v-toasters-toaster-oven/city-of-toronto/black-decker-toaster-oven-15-total/1527619514,15.0,Black & Decker Toaster + Oven - $15 total,,Moving sale,City of Toronto,03/10/2020,2020-10-06 17:26:10.537156
1527579529,/v-toasters-toaster-oven/city-of-toronto/high-quality-griller/1527579529,5.0,High quality griller,,"This's a griller with high quality with an oil collector, heats up really well. Beside some color being pilled off over time as shown in pictures, it's in a very good condition. Asking only 10",City of Toronto,03/10/2020,2020-10-06 17:26:10.537639
1528289647,/v-toasters-toaster-oven/city-of-toronto/sandwich-maker/1528289647,15.0,Sandwich Maker,,Very nice Hamilton beach Sandwich Maker ...only 6 month used,City of Toronto,< 31 minutes ago,2020-10-06 17:26:15.159220
1528281767,/v-toasters-toaster-oven/city-of-toronto/classic-chrome-2-slice-toaster-hamilton-beach/1528281767,15.0,Classic Chrome 2 Slice Toaster Hamilton Beach,,"FEATURES – Bagel setting toasts the cut side, warms the round side 4 toasting functions Toast boost Extra-wide slots Easy-clean crumb tray Auto-shutoff Dimensions (inches): 7.63 H x 6.88 W X 11.06 D ...",City of Toronto,< 2 hours ago,2020-10-06 17:26:15.159720
1528241581,/v-toasters-toaster-oven/city-of-toronto/black-and-decker-toaster-oven/1528241581,15.0,Black and Decker Toaster Oven,,"Great condition. First come, first served.",City of Toronto,< 5 hours ago,2020-10-06 17:26:15.160241
1528215015,/v-toasters-toaster-oven/city-of-toronto/breville-smart-over-pro-like-new/1528215015,195.0,Breville Smart Over Pro - like new,,Breville Smart Oven Pro - VERY GENTLE USED LIKE NEW https://www.breville.com/ca/en/products/ovens/bov845.html PICK UP Bayview Village/surrounding area,City of Toronto,< 7 hours ago,2020-10-06 17:26:15.160731
