,url,price,title,distance,description,location,time_offset,retreived
1527674278,/v-tool-storage-bench/city-of-toronto/tool-box/1527674278,500.0,Tool box,,Full 3 set tool box master craft $450,City of Toronto,< 2 hours ago,2020-10-07 18:09:46.955440
1528426254,/v-tool-storage-bench/city-of-toronto/amp-electrician-backpack/1528426254,60.0,AMP Electrician backpack,,"Like new AMP Electrician backpack. Posted in tools, tool storage, benches in City of Toronto. October 7, 2020",City of Toronto,< 6 hours ago,2020-10-07 18:09:46.955966
1528418321,/v-tool-storage-bench/city-of-toronto/dewalt-tool-bag-18-inch-pro-contractor-s/1528418321,75.0,"Wanted:
                            Dewalt tool bag 18-inch Pro-Contractor’s",,Dewalt tool bag Model DG5553,City of Toronto,< 7 hours ago,2020-10-07 18:09:46.956463
1528408762,/v-tool-storage-bench/city-of-toronto/tool-pouches/1528408762,80.0,Tool pouches,,"Looking to sell tool belts , the dark brown one im asking 160 and the light brown I’m asking 100 obo with a hammer holster",City of Toronto,< 7 hours ago,2020-10-07 18:09:46.956956
1528407348,/v-tool-storage-bench/city-of-toronto/tool-chest-set/1528407348,1500.0,Tool chest set,,"Selling Mac Tools tool chest storage / tool box / cabinet set Coors Bandit Jesse James Top - Wide 26.5"" Depth 18"" Height 19.5"" Bottom - Wide 27"" Depth 18"" Height 40.5"" Message for any questions you ...",City of Toronto,< 7 hours ago,2020-10-07 18:09:46.957453
1528406355,/v-tool-storage-bench/city-of-toronto/craftsman-tool-chest-set/1528406355,500.0,Craftsman Tool chest set,,Selling Craftsman Tool chest / Box set 18” deep 27” wide All drawers lock and comes with key If interested call 6478983916,City of Toronto,< 7 hours ago,2020-10-07 18:09:46.957948
1528402275,/v-tool-storage-bench/city-of-toronto/rolling-tool-box/1528402275,150.0,Rolling tool box,,"Milwaukee rolling tool bag asking 150 just sits around never used ,",City of Toronto,< 8 hours ago,2020-10-07 18:09:46.958451
1528270602,/v-tool-storage-bench/city-of-toronto/new-milwaukee-tool-bag-11-l-x-10-w-x8-tall/1528270602,20.0,"New - Milwaukee Tool Bag ( (11""L x 10""W x8"" Tall)",,"New - Milwaukee Tool Bag ( (11""L x 10""W x8"" Tall) -Will easily fit an M18 drill, impact driver, 2 batteries and the M18 charger -Pickup Only",City of Toronto,Yesterday,2020-10-07 18:09:46.958973
1528264179,/v-tool-storage-bench/city-of-toronto/stanley-professional-work-table/1528264179,100.0,Stanley professional work table,,"Very good condition, just used few times.",City of Toronto,Yesterday,2020-10-07 18:09:46.959505
1528261039,/v-tool-storage-bench/city-of-toronto/metal-tool/1528261039,250.0,Metal tool,,Selling a metal tool box black only thing is i do t have the key but u can change it asking $250,City of Toronto,Yesterday,2020-10-07 18:09:46.960004
