,url,price,title,distance,description,location,time_offset,retreived
1528222864,/v-toys-games/city-of-toronto/thomas-and-friends-twin-sheet/1528222864,20.0,Thomas and friends twin sheet,,"Clean, never truly used. Given as a gift. This is a thin, twin sheet. Perfect for sweaty sleepers or to simply have on the bed.",City of Toronto,< 4 minutes ago,2020-10-06 11:15:53.804303
1528222252,/v-toys-games/city-of-toronto/foos-ball-table/1528222252,75.0,Foos ball table,,I have a Harvard foosball table has a broken score line on one side and a hairline crack don’t use it anymore need gone shout me an offer,City of Toronto,< 7 minutes ago,2020-10-06 11:15:53.804807
1528221538,/v-toys-games/city-of-toronto/kids-bmw-style-ride-on-warehouse-sale/1528221538,199.0,Kids BMW Style Ride-On Warehouse Sale!,,"BMW Style Kids Ride On Car With Remote Control. The perfect gift for a young child. With the handy remote control, parents can drive their child around remotely until they get old enough to start ...",City of Toronto,< 11 minutes ago,2020-10-06 11:15:53.805334
1528220343,/v-toys-games/city-of-toronto/gigatent-toss-it-up-game-open-box/1528220343,20.0,"'GIGATENT' Toss It Up Game, open box",,"'GIGATENT' Toss It Up Game. Open Box, Dent Balls",City of Toronto,< 17 minutes ago,2020-10-06 11:15:53.805833
1528219864,/v-toys-games/city-of-toronto/nerf-guns/1528219864,40.0,Nerf Guns,,"4 nerf guns. One semi automatic, one double barrel shotgun, one revolver pistol and one single shot pistol. As well as unopened 30 pack of green nerf darts.",City of Toronto,< 19 minutes ago,2020-10-06 11:15:53.806329
1528219687,/v-toys-games/city-of-toronto/vintage-1996-the-farming-game-90s-educational-family-game/1528219687,35.0,Vintage 1996 The farming game 90s educational family game,,Vintage The Farming Game 1996 The Weekend Farmer co. Harvest the fun! The game invented on the seat of a tractor Educational and fun family game International award winning Complete and in good ...,City of Toronto,< 20 minutes ago,2020-10-06 11:15:53.806835
1528217487,/v-toys-games/city-of-toronto/cash-register-kids-toy/1528217487,13.0,Cash Register Kids Toy,,"LOWEST PRICE IS $13 NOTHING LOWER WILL BE ACCEPTED SORRY! Very fun toy for kids you can scan items, use cash register, do price check on the microphone and you can weight out items on the scale! My ...",City of Toronto,< 30 minutes ago,2020-10-06 11:15:53.807330
1528216982,/v-toys-games/city-of-toronto/pokemon-cards/1528216982,70.0,Pokémon Cards,,"330 new, old, and rare Pokémon cards all in neat sleeves and very good condition barely been used.",City of Toronto,< 33 minutes ago,2020-10-06 11:15:53.807873
1528216603,/v-toys-games/city-of-toronto/lego-10214-tower-bridge-used-5766-as-gift/1528216603,230.0,Lego 10214 Tower Bridge - Used (5766 as gift),,Lego 10214 Tower Bridge Used set. Partially disassembled (see pictures). No box Was displayed uncovered Will include 5766 as gift Pick up at Yonge/Finch or Mississauga Delivery Optional Also check my ...,City of Toronto,< 34 minutes ago,2020-10-06 11:15:53.808390
1528216389,/v-toys-games/city-of-toronto/lego-75965-the-rise-of-voldemort-bnib/1528216389,30.0,Lego 75965 The Rise of Voldemort - BNIB,,Lego 75965 The Rise of Voldemort *Selling at cost!* Brand new and factory sealed Newly Released set **Free delivery over $50** or Pick up at Yonge/Finch or Mississauga Also check my other Lego ...,City of Toronto,< 36 minutes ago,2020-10-06 11:15:53.808891
1528216237,/v-toys-games/city-of-toronto/lego-75981-harry-potter-advent-calendar-bnib/1528216237,45.0,Lego 75981 Harry Potter Advent Calendar - BNIB,,2020 Lego 75981 Harry Potter Advent Calendar MSRP $50 +tax *Selling below retail!* Brand new and factory sealed newly released set **Free delivery over $50** or Pick up at Yonge/Finch or Mississauga ...,City of Toronto,< 36 minutes ago,2020-10-06 11:15:53.809390
1528216096,/v-toys-games/city-of-toronto/lego-75956-quidditch-match-bnib-free-delivery/1528216096,60.0,Lego 75956 Quidditch Match - BNIB ***Free delivery***,,Lego 75956 Quidditch Match - Mint Box *Selling at cost plus Free Delivery!* Brand new and factory sealed retiring set **Free delivery** or Pick up at Yonge/Finch or Mississauga Also check my other ...,City of Toronto,< 37 minutes ago,2020-10-06 11:15:53.809886
1528215567,/v-toys-games/city-of-toronto/lego-75979-hedwig-bnib-free-delivery/1528215567,60.0,Lego 75979 Hedwig - BNIB ***Free delivery***,,Lego 75979 Hedwig - Mint Box Brand new and factory sealed newly released set **Free delivery** or Pick up at Yonge/Finch or Mississauga Also check my other Lego listings,City of Toronto,< 39 minutes ago,2020-10-06 11:15:53.810385
1528215370,/v-toys-games/city-of-toronto/lego-75958-beauxbatons-carriage-bnib-free-delivery/1528215370,75.0,Lego 75958 Beauxbatons Carriage - BNIB ***Free delivery***,,Lego 75958 Beauxbatons Carriage - Mint Box *Selling at cost plus Free delivery!* Brand new and factory sealed set **Free delivery** or Pick up at Yonge/Finch or Mississauga Also check my other Lego ...,City of Toronto,< 40 minutes ago,2020-10-06 11:15:53.810898
1528215241,/v-toys-games/city-of-toronto/lego-75968-4-privet-drive-bnib-free-delivery/1528215241,115.0,Lego 75968 4 Privet Drive - BNIB ***Free delivery***,,Lego 75968 4 Privet Drive - Box Mint *Selling at cost plus Free delivery!* Brand new and factory sealed newly released Harry Potter set **Free delivery** or Pick up at Yonge/Finch or Mississauga Also ...,City of Toronto,< 41 minutes ago,2020-10-06 11:15:53.811433
1528215157,/v-toys-games/city-of-toronto/guinness-world-records-creative-writing-cards/1528215157,10.0,Guinness World Records Creative Writing Cards,,"Wild & Bizarre Guinness World Records. New and unopened, factory sealed. 30 two sided creative writing cards.",City of Toronto,< 41 minutes ago,2020-10-06 11:15:53.811931
1528215022,/v-toys-games/city-of-toronto/american-girl-truly-me-dolls/1528215022,35.0,American Girl Truly Me Dolls,,Selling my collection. 4 dolls in total. Each doll $35. Accessories are sold separately. Make me an offer and I will sell everything as a package.,City of Toronto,< 42 minutes ago,2020-10-06 11:15:53.812425
1528213759,/v-toys-games/city-of-toronto/2009-corvette-stingray-concept-1:24-diecast-car/1528213759,30.0,2009 Corvette Stingray Concept 1:24 diecast car,,2009 Corvette Stingray Concept by Jada diecast company. Scale 1/24. #92386 diecast car,City of Toronto,< 47 minutes ago,2020-10-06 11:15:53.812922
1528213542,/v-toys-games/city-of-toronto/thomas-and-friends-bundle/1528213542,344.0,Thomas and Friends bundle,,Box full of track and tonnes of accessories and trains. Complete bundle.,City of Toronto,< 49 minutes ago,2020-10-06 11:15:53.813419
1528213439,/v-toys-games/city-of-toronto/pokemon-shield-in-box/1528213439,60.0,Pokemon Shield in Box,,Selling Pokemon Shield in Box,City of Toronto,< 49 minutes ago,2020-10-06 11:15:53.813914
1528213063,/v-toys-games/city-of-toronto/1963-chevrolet-corvette-sting-ray-diecast-car-1:24/1528213063,30.0,1963 Chevrolet Corvette Sting Ray diecast car 1:24,,1963 Chevrolet Corvette Sting Ray diecast car 1:24 scale by Superior/Sunnyside Ltd.,City of Toronto,< 51 minutes ago,2020-10-06 11:15:53.814414
1528213044,/v-toys-games/city-of-toronto/lego-75955-hogwarts-express-bnib-free-delivery/1528213044,115.0,Lego 75955 Hogwarts Express - BNIB ***Free Delivery***,,Lego 75955 Hogwarts Express - Mint Box *Selling at cost plus Free Delivery!* Brand new and factory sealed popular set **Free delivery** or Pick up at Yonge/Finch or Mississauga Also check my other ...,City of Toronto,< 51 minutes ago,2020-10-06 11:15:53.814928
1528212854,/v-toys-games/city-of-toronto/lego-75980-attack-on-the-burrow-bnib-free-delivery/1528212854,150.0,Lego 75980 Attack on the Burrow - BNIB ***Free Delivery***,,Lego 75980 Attack on the Burrow *Selling below retail plus Free Delivery!* Brand new and factory sealed popular set *Temporarily out of stock everywhere!* **Free delivery** or Pick up at Yonge/Finch ...,City of Toronto,< 52 minutes ago,2020-10-06 11:15:53.815471
1528212707,/v-toys-games/city-of-toronto/mezco-one:12-dark-knight-returns-2-pack-sdcc-exclusive/1528212707,640.0,Mezco One:12 Dark Knight Returns 2 Pack SDCC Exclusive,,Brand new in box authentic. More pictures available upon request.,City of Toronto,< 53 minutes ago,2020-10-06 11:15:53.815977
