,url,price,title,distance,description,location,time_offset,retreived
1528063260,/v-tv-table-entertainment-unit/city-of-toronto/tv-stand/1528063260,300.0,Tv stand,,"Wooden tv stand in very good condition, selling for $300 ASAP Don’t deliver, sorry",City of Toronto,< 19 minutes ago,2020-10-05 14:04:11.222361
1528055800,/v-tv-table-entertainment-unit/city-of-toronto/1960s-credenza/1528055800,250.0,1960's credenza,,"Madmen era 1960's credenza. Originally from a bank's executive office. Wood base and drawers with arborite surface. Credenza: 60""L x 18"" x 25.5""H",City of Toronto,< 55 minutes ago,2020-10-05 14:04:11.222863
1528055455,/v-tv-table-entertainment-unit/city-of-toronto/ikea-lack-tv-bench-stand-black-brown/1528055455,50.0,"Ikea LACK - TV bench/stand, black-brown",,TV table/bench for sale in great condition - black-brown 149x55x35 cm. Pick up only. https://www.ikea.com/ca/en/p/lack-tv-bench-black-brown-20105341/,City of Toronto,< 57 minutes ago,2020-10-05 14:04:11.223420
1528054703,/v-tv-table-entertainment-unit/city-of-toronto/glass-entertainment-stand/1528054703,50.0,Glass entertainment stand,,3 tier glass entertainment stand. Glass shelves come out for easy moving and cleaning. $50. Etransfer available.,City of Toronto,< 60 minutes ago,2020-10-05 14:04:11.223966
1528047246,/v-tv-table-entertainment-unit/city-of-toronto/ikea-media-unit/1528047246,100.0,Ikea Media Unit,,IKEA media unit in walnut grey effect 3 glass door and 3 drawers push to open Glass shelves Pick up only,City of Toronto,< 2 hours ago,2020-10-05 14:04:11.224471
1528044989,/v-tv-table-entertainment-unit/city-of-toronto/contemporary-looking-tv-stand/1528044989,40.0,Contemporary looking TV stand,,Contemporary looking TV stand with matching entertainment shelves if interested.,City of Toronto,< 2 hours ago,2020-10-05 14:04:11.224974
1528044630,/v-tv-table-entertainment-unit/city-of-toronto/tv-glass-stand-43/1528044630,175.0,TV Glass Stand - 43”,,"Pick up: Warden and Lawrence Originally $400+ In excellent condition, no scratches or damages. Add a modern touch to your home with this angled panel TV stand from the collection. It accommodates up ...",City of Toronto,< 2 hours ago,2020-10-05 14:04:11.225471
1528043268,/v-tv-table-entertainment-unit/city-of-toronto/moving-out-sale-tv-stand-is-in-excellent-condition/1528043268,60.0,Moving out sale - TV Stand is in excellent condition,,TV stand is in excellent condition. 55inch TV can easily sit on TV stand. Moving out in couple of weeks so selling it. Bought it for $99+tax few months ago. Selling it for $60 or Best offer If ...,City of Toronto,< 2 hours ago,2020-10-05 14:04:11.225974
1528042991,/v-tv-table-entertainment-unit/city-of-toronto/walnut-media-console-unit/1528042991,550.0,Walnut media console unit,,Beautiful media console unit. Great for TV stereo combo. Holes to accomodate wires. 19 “ depth 55 “ wide 21.75 “ high Brass gold knobs. Replaceable should you desire. In excellent condition other ...,City of Toronto,< 2 hours ago,2020-10-05 14:04:11.226471
1528042709,/v-tv-table-entertainment-unit/city-of-toronto/glass-tv-stand/1528042709,80.0,Glass TV Stand,,Glass TV Stand in Perfect Condition,City of Toronto,< 2 hours ago,2020-10-05 14:04:11.226966
1528033205,/v-tv-table-entertainment-unit/city-of-toronto/3-tier-glass-tv-stand-or-entertainment-unit/1528033205,150.0,3-tier glass TV stand or entertainment unit,,- very gently used 3 tier tempered glass TV stand in excellent condition. There are no scratches or scuffs on the stand. - can support up to a 42 inch TV. - Beveled tempered glass - open storage for ...,City of Toronto,< 3 hours ago,2020-10-05 14:04:11.227473
1528033122,/v-tv-table-entertainment-unit/city-of-toronto/media-unit-bookcase/1528033122,100.0,Media unit / bookcase,,"I'm moving and can't take it with me. I've had it for only 1 year and it's in great condition. Materials are wood and metal. Dimensions are W 60"" x D 16"" x H 26"".",City of Toronto,< 3 hours ago,2020-10-05 14:04:11.227973
1528031589,/v-tv-table-entertainment-unit/city-of-toronto/tv-media-unit-storage-shelf-ikea-like-black-brown/1528031589,50.0,TV media unit storage shelf IKEA like black/brown,,Good used condition Few scratches and marks on top of unit (see photo) Drawers work well Plant not included $50 obo Porch pick up (royal York and eglinton) Depth- 15.5” Width- 47.5” Height- 16.5”,City of Toronto,< 3 hours ago,2020-10-05 14:04:11.228476
1528026110,/v-tv-table-entertainment-unit/city-of-toronto/golden-oak-wood-tv-stand/1528026110,70.0,Golden Oak Wood TV Stand,,"Moving out sale! Golden oak wood television stand with lots of storage room. Four enclosed compartments at the front, 2 central dividers, and 2 large corner compartments at the back. Passage in the ...",City of Toronto,< 4 hours ago,2020-10-05 14:04:11.228987
1528024617,/v-tv-table-entertainment-unit/city-of-toronto/tv-tray-tables-solid-wood-20-each/1528024617,20.0,"TV Tray / Tables, Solid Wood $20 each",,"Beautiful Solid wood, black / very dark brown, folding TV trays / tables in excellent condition. This would make a beautiful night table in a small space or as a serving tray/table. Folds neatly and ...",City of Toronto,< 4 hours ago,2020-10-05 14:04:11.229484
1528024342,/v-tv-table-entertainment-unit/city-of-toronto/fireplace-tv-entertainment-unit-hutch/1528024342,120.0,Fireplace TV Entertainment Unit Hutch,,Used but in good condition Fireplace works perfectly. Can light up for décor or produce heat also,City of Toronto,< 4 hours ago,2020-10-05 14:04:11.229983
1528022090,/v-tv-table-entertainment-unit/city-of-toronto/xert-media-table/1528022090,150.0,Xert media table,,Tv is 60 inch. Brand new table. 150. Pick up only.,City of Toronto,< 4 hours ago,2020-10-05 14:04:11.230548
1528020016,/v-tv-table-entertainment-unit/city-of-toronto/electric-fireplace-and-media-console/1528020016,300.0,Electric Fireplace and Media Console,,"Great condition console. Comes with removable electric fireplace heater unit. Some scratches around, but it's very minimal. No issues at all. $300 OBO, contactless pick-up only in the Dufferin-St. ...",City of Toronto,< 4 hours ago,2020-10-05 14:04:11.231056
1528017209,/v-tv-table-entertainment-unit/city-of-toronto/wall-mounted-tv-unit/1528017209,65.0,Wall Mounted TV Unit,,Selling out IKEA TV unit that we no longer need. It looks great under the TV and hides everything quite well.,City of Toronto,< 4 hours ago,2020-10-05 14:04:11.231558
1528006385,/v-tv-table-entertainment-unit/city-of-toronto/tv-table-or-can-be-a-shoe-rack/1528006385,20.0,TV Table or can be a shoe rack,,"I purchased this on Friday from Marketplace and realized the length is not long enough for my TV :(. My fault, I should of measured first - live and learn! Need to get rid of and it’s in very good ...",City of Toronto,< 5 hours ago,2020-10-05 14:04:11.232059
1528003593,/v-tv-table-entertainment-unit/city-of-toronto/tv-stand-entertainment-unit-for-sale/1528003593,350.0,TV stand/ Entertainment unit for sale,,"Almost new TV stand/ TV table for sale. No scratches, No damage Leons furniture Product Made in Canada 152.4cm length 55 cm width 76.2 cm height No delivery. Must pick up. Scarborough Contact ...",City of Toronto,< 5 hours ago,2020-10-05 14:04:11.232549
1527993918,/v-tv-table-entertainment-unit/city-of-toronto/tv-stand/1527993918,200.0,TV Stand.,,Very stylist barn door style tv stand. Only used for 6 months. When I moved I had no use for it so now it’s just taking up space. $200,City of Toronto,< 6 hours ago,2020-10-05 14:04:11.233046
1527990860,/v-tv-table-entertainment-unit/city-of-toronto/tv-stand-black/1527990860,50.0,TV Stand (Black),,"TV stand. Purchased a new one, that is reason for selling this one. Like new- no scratches. Black colour TV stand. (149x55x35 cm)",City of Toronto,< 7 hours ago,2020-10-05 14:04:11.233536
1527988898,/v-tv-table-entertainment-unit/city-of-toronto/antique-mid-century-teak-dresser-sideboard-credenza-tv-stand/1527988898,950.0,Antique mid century teak dresser sideboard credenza tv stand,,Solid wood teak Mid century dresser sideboard credenza console cabinet Tv media stand Excellent shape like new it sells in antique stores for over $2000 Dimensions L80”x D:18”x H:31” Pick up ...,City of Toronto,< 7 hours ago,2020-10-05 14:04:11.234029
1527983431,/v-tv-table-entertainment-unit/city-of-toronto/ikea-tv-stand-with-drawers-excellent-condition/1527983431,65.0,"IKEA TV stand with drawers , excellent condition.",,The height is 55cm (21.75inch); The top surface is 120cm x 41 cm (47.25inch x 16.25inch). Pick up Only,City of Toronto,< 8 hours ago,2020-10-05 14:04:11.234517
1506776655,/v-tv-table-entertainment-unit/city-of-toronto/tv-table/1506776655,150.0,Tv table,,"Glass top black tv table , in new condition. Pick up from Bayview and Eglinton",City of Toronto,< 8 hours ago,2020-10-05 14:04:11.235014
1527976761,/v-tv-table-entertainment-unit/city-of-toronto/free-store-display-cd-stand-tall-wooden-stand/1527976761,1.0,Free store display CD STAND tall wooden stand,,Free wooden cd stand holds over 150 cd rotates FREE,City of Toronto,< 12 hours ago,2020-10-05 14:04:11.235515
1527975596,/v-tv-table-entertainment-unit/city-of-toronto/ikea-tv-stand/1527975596,150.0,IKEA TV stand,,Whit iKEA TV stand perfect conditions very clean must go ASAP! $150 OBO.,City of Toronto,< 13 hours ago,2020-10-05 14:04:11.236026
1527973458,/v-tv-table-entertainment-unit/city-of-toronto/t-v-bench-wall-unit-media-storage-45-long-x-17-x-20-high/1527973458,100.0,T.V. Bench/Wall Unit/ Media Storage 45” Long x 17” x 20” High,,"T.V. Bench/Wall Unit/ Media Storage 45” Long x 17” x 20” High • Made in Germany • Mint condition, clean, no scratches, in storage for past 2 years • Clean Home - non smoking, no pets, no bugs. • ...",City of Toronto,< 14 hours ago,2020-10-05 14:04:11.236584
1527972180,/v-tv-table-entertainment-unit/city-of-toronto/fireplace-tv-stand/1527972180,250.0,Fireplace tv stand,,"Fireplace tv stand Height 30"" Length 57"" Depth 17"" Remote control for electric fireplace",City of Toronto,< 15 hours ago,2020-10-05 14:04:11.237085
1527970944,/v-tv-table-entertainment-unit/city-of-toronto/tv-stand/1527970944,120.0,TV stand,,High quality functional TV stand with wheels. It is in a very good condition and was lightly used.,City of Toronto,< 15 hours ago,2020-10-05 14:04:11.237633
1527969477,/v-tv-table-entertainment-unit/city-of-toronto/nice-strong-tv-stand/1527969477,55.0,Nice strong TV stand,,Strong TV stand L122cm W60cm H 54cm Downtown pick up,City of Toronto,< 16 hours ago,2020-10-05 14:04:11.238171
1527969002,/v-tv-table-entertainment-unit/city-of-toronto/tv-console/1527969002,20.0,TV console.,,TV console. Has glass shelving. $20,City of Toronto,< 16 hours ago,2020-10-05 14:04:11.238667
1527968338,/v-tv-table-entertainment-unit/city-of-toronto/tv-stand-and-media-storage/1527968338,120.0,TV Stand and Media Storage,,"In a very good and clean shape exactly as brand new. Original price was $229.99 + tax. Accommodates TV screen size up to 65"" maximum. Dimensions: 58"" W x 24"" H x 16"" D Comes for a pet-free and smoke ...",City of Toronto,< 16 hours ago,2020-10-05 14:04:11.239171
1527965911,/v-tv-table-entertainment-unit/city-of-toronto/black-tempered-glass-entertainment-unit-tv-stand/1527965911,90.0,Black Tempered Glass Entertainment Unit / TV Stand,,For sale is a lightly used but in good contition Black Tempered Glass Entertainment Unit / TV Stand with 4 sheleves and one on top for the TV or other items. Purchased for $300 from TV Store in ...,City of Toronto,< 16 hours ago,2020-10-05 14:04:11.239680
