,url,price,title,distance,description,location,time_offset,retreived
1505809877,/v-tvs/city-of-toronto/vizio-smart-tv-43-249-55-4k-smart-tv-from-369-no-tax/1505809877,250.0,"Vizio Smart TV 43"" $249 / 55"" 4K Smart TV From $369 No Tax",,WHOLESALE WAREHOUSE OPEN TO PUBLIC PLEASE CHECK OUR OTHER ADS ON KIJIJI BY CLICKING VIEW POSTER'S OTHER ADS FOR GREAT DEALS! -------------------------------------------------------------------------- ...,City of Toronto,< 12 minutes ago,2020-10-07 18:28:03.443824
1505728794,/v-tvs/city-of-toronto/hisense-q8-q9-h8-h9-55-65-4k-uled-android-smart-tv-no-tax/1505728794,600.0,"Hisense Q8/Q9/H8/H9 55""& 65"" 4K ULED  Android Smart TV.  No TAX!",,WHOLESALE WAREHOUSE OPEN TO PUBLIC ! PLEASE CHECK OUR OTHER ADS ON KIJIJI BY CLICKING VIEW POSTER'S OTHER ADS FOR GREAT DEALS! ...,City of Toronto,< 12 minutes ago,2020-10-07 18:28:03.444312
1528490338,/v-tvs/city-of-toronto/40-inch-samsung-flat-screen-tv/1528490338,175.0,40 inch Samsung Flat Screen TV,,Purchased new in 2015. Rarely used as it’s a spare room TV. No remote included- just needs a universal one. No damage. Great condition. I live west end Toronto at Queen & Dovercourt. Willing to do ...,City of Toronto,< 14 minutes ago,2020-10-07 18:28:03.444798
1528490135,/v-tvs/city-of-toronto/emerson-tv/1528490135,200.0,Emerson TV,,Emerson TV good condition Sorry do not have the technical specs but you are more then welcome to come see it in person,City of Toronto,< 15 minutes ago,2020-10-07 18:28:03.445292
1528488589,/v-tvs/city-of-toronto/rca-24-led-hd-tv/1528488589,125.0,RCA 24” LED HD TV,,Model number: RT2412 Serial number: A1906281040000569 10/10 open box. Brand new TV Comes in the original packaging Pick up and delivery options available. Delivery prices vary. Price is negotiable.. ...,City of Toronto,< 25 minutes ago,2020-10-07 18:28:03.445815
1528488188,/v-tvs/city-of-toronto/sanyo-32-led-hd-tv/1528488188,140.0,SANYO 32” LED HD TV,,Model number: FW32D06F-B 10/10 open box. Brand new TV In good condition but doesn’t come in the original packaging Pick up and delivery options available. Delivery prices vary. Price is negotiable.. ...,City of Toronto,< 27 minutes ago,2020-10-07 18:28:03.446301
1528487608,/v-tvs/city-of-toronto/samsung-55-led-tv/1528487608,650.0,Samsung 55” LED TV,,Model number: UN55RU8000 10/10 open box. Brand new TV Comes in the original packaging Pick up and delivery options available. Delivery prices vary. Price is negotiable.. feel free to message for more ...,City of Toronto,< 30 minutes ago,2020-10-07 18:28:03.446784
1528487501,/v-tvs/city-of-toronto/tv-samsung/1528487501,250.0,Tv Samsung,,Very good condition tv Only selling to get a bigger one :) All technical information available in the photos,City of Toronto,< 31 minutes ago,2020-10-07 18:28:03.447279
1528487359,/v-tvs/city-of-toronto/tcl-50-4k-smart-tv/1528487359,365.0,TCL 50” 4K Smart TV,,Model number: 50S421-CA Serial number: 2005GTC007552A00365 10/10 open box. Brand new TV Comes in the original packaging Pick up and delivery options available. Delivery prices vary. Price is ...,City of Toronto,< 32 minutes ago,2020-10-07 18:28:03.447771
1528486647,/v-tvs/city-of-toronto/sony-bravia-32-lcd-tv-great-condition/1528486647,100.0,"Sony Bravia 32"" LCD TV - great condition",,"This TV spent it's lifetime in a spare bedroom and got very little use. I've recently upgraded and looking to find it a new home. Comes with original remote, power cable and stand. Has awesome colour ...",City of Toronto,< 36 minutes ago,2020-10-07 18:28:03.448253
