,url,price,title,distance,description,location,time_offset,retreived
1528476210,/v-video-tv-accessories/city-of-toronto/amazonbasics-high-speed-4k-hdmi-cable-6-feet-1-pack/1528476210,5.0,"AmazonBasics High-Speed 4K HDMI Cable, 6 Feet, 1-Pack",,Currently $10.99 with Amazon Prime: https://www.amazon.ca/AmazonBasics-High-Speed-HDMI-Cable-1-Pack/dp/B014I8SSD0 Purchased in 2019. Used once. Comes in the original box. HDMI A Male to A Male Cable: ...,City of Toronto,< 2 hours ago,2020-10-07 18:32:57.006136
1528470628,/v-video-tv-accessories/city-of-toronto/commercial-coax-cable/1528470628,50.0,Commercial COAX Cable,,Commercial COAX Cable in Box Its more than 50 meters. Cash pick up at Brimley and Steeles area,City of Toronto,< 3 hours ago,2020-10-07 18:32:57.006666
1528470185,/v-video-tv-accessories/city-of-toronto/universal-mobile-tv-cart-stand-32-to-65-inch/1528470185,100.0,Universal Mobile TV Cart Stand - 32 to 65 inch,,NB North Bayou Mobile TV Cart TV Stand with Wheels for 32 to 65 Inch. $100 cash and pickup only. https://www.amazon.ca/dp/B00GQLLCTA/ref=pe_386430_126088100_TE_item,City of Toronto,< 3 hours ago,2020-10-07 18:32:57.007171
1528468991,/v-video-tv-accessories/city-of-toronto/tv-stand/1528468991,100.0,Tv stand,,"Tv stand . Posted in TVs, video, video & TV accessories in City of Toronto. October 7, 2020",City of Toronto,< 3 hours ago,2020-10-07 18:32:57.007679
1528468475,/v-video-tv-accessories/city-of-toronto/pioneer-elite-media-receiver-pro-r04u/1528468475,75.0,PIONEER ELITE  MEDIA RECEIVER  PRO-R04U,,PIONEER ELITE MEDIA RECEIVER PRO-R04U In Good Condition MEDIA RECEIVER PLASMA HDTV INCLUDING REMOTE CONTROL,City of Toronto,< 3 hours ago,2020-10-07 18:32:57.008171
1528458996,/v-video-tv-accessories/city-of-toronto/hd-tv-antenna/1528458996,35.0,HD TV Antenna,,RCA HD antenna. Receives between 5 and 16 channels depending on location and orientation.,City of Toronto,< 4 hours ago,2020-10-07 18:32:57.008694
1528457625,/v-video-tv-accessories/city-of-toronto/brand-new-mag-322w1-i-p-t-v-set-top-box-summer-sale/1528457625,109.99,BRAND NEW MAG 322w1 I P T V SET-TOP BOX - SUMMER SALE!,,BRAND NEW MAG 322w1 I P T V SET-TOP BOX - SUMMER SALE! ——————————————————————— WE ARE OPEN!! AND WE HAVE STOCK!! PICK-UP & SHIPPING AVAILABLE! -------------------------------------------- Sale: ...,City of Toronto,< 4 hours ago,2020-10-07 18:32:57.009190
1528452356,/v-video-tv-accessories/city-of-toronto/new-bell-vip2502-wireless-fibe-tv-receiver/1528452356,99.0,New Bell VIP2502 Wireless Fibe TV Receiver,,New Bell VIP2502 Wireless Fibe TV Receiver Unit has a free title and is ready to be activated on any account on Bell. Box comes with: *Receiver * *Slim Remote *Power adapter Unit is still available ...,City of Toronto,< 4 hours ago,2020-10-07 18:32:57.009689
1528451923,/v-video-tv-accessories/city-of-toronto/bell-fibe-tv-4k-vip5662w-wireless-pvr-1tb-receiver/1528451923,199.0,Bell Fibe TV 4K VIP5662W Wireless PVR 1TB Receiver,,"Bell Fibe TV 4K VIP5662W Wireless PVR 1TB Receiver Call / Text 613-689-6762 to arrange pickup With the 4K VIP5662W Whole Home PVR, you can set your recordings from anywhere as well as pause and ...",City of Toronto,< 4 hours ago,2020-10-07 18:32:57.010181
1471046137,/v-video-tv-accessories/city-of-toronto/new-tv-stands-excellent-condition/1471046137,40.0,NEW TV STANDS -EXCELLENT CONDITION!,,Containers to conveniently store your VCR tapes- $10/each. Two TV stands-swivel-NEW-$40.00 each Entertainment Unit-4 shelves-NEW-$55.00 Stand-Last picture-$25.00,City of Toronto,< 5 hours ago,2020-10-07 18:32:57.010666
1507191788,/v-video-tv-accessories/city-of-toronto/legends-of-chima-chi-tribes-and-betrayal-dvd-new/1507191788,20.0,"Legends of Chima Chi, Tribes, and Betrayal DVD new",,"Legends of Chima Chi, Tribes, and Betrayal DVD new with shrink wrap. 10 episodes on 2 discs. Willing to ship at buyer’s expense. Please message or text me with questions or if interested.",City of Toronto,< 5 hours ago,2020-10-07 18:32:57.011160
1528429750,/v-video-tv-accessories/city-of-toronto/android-tv-box-9-0-remote-a-v-cable-64gb-wifi-hd-4k/1528429750,45.0,Android TV Box 9.0 + Remote + A/V Cable + 64GB + WiFi + HD + 4K,,Please Note: The box will function through A/V Cable port as HDMI port is not available and cable will be supplied Scarborough Pickup Call me pickup 647-849-7955 no texting Comes with: 64GB/4GB ...,City of Toronto,< 6 hours ago,2020-10-07 18:32:57.011853
