,url,price,title,distance,description,location,time_offset,retreived
1528231339,/v-water-sport/city-of-toronto/air-mattresses-x2-for-a-great-price-for-your-cottage/1528231339,20.0,Air mattresses x2 for a great price! For your cottage!,,2 blue and red air sturdy mattresses for lakes rivers or pools Constructed of Thick material with extra patches for future repairs Great for vacation or cottage,City of Toronto,< 15 minutes ago,2020-10-06 12:10:17.948517
1506820059,/v-water-sport/city-of-toronto/speedo-training-paddle/1506820059,10.0,Speedo training paddle,,"Speedo's Traditional Training Paddles are great for all purpose use, including building upper body strength.  Traditional paddles for all-purpose use.     Great for developing stroke technique and ...",City of Toronto,< 3 hours ago,2020-10-06 12:10:17.949220
1528197727,/v-water-sport/city-of-toronto/scuba-scubapro-gear-fins-mask-snorkel-boots-bag/1528197727,1.0,"Scuba ScubaPro Gear (fins, mask, snorkel, boots, bag)",,"Hey there, tried scuba diving a couple years ago but with my anxiety it’s not for me! Selling my gear as pictured. Used on 2/3 dives that’s it! Make me any offer, I don’t know value but feel like ...",City of Toronto,< 3 hours ago,2020-10-06 12:10:17.949712
1204795817,/v-water-sport/city-of-toronto/windsurfing-adapter-for-old-boards/1204795817,20.0,Windsurfing adapter for old boards,,"If you have an old board (like I did) and want to mount the newer mast base on it, this is prob. what you need. 16.3mm is the O.D. of the rod. Can be att. to the standart joint by using M8 bolt. ...",City of Toronto,< 4 hours ago,2020-10-06 12:10:17.950199
1528191343,/v-water-sport/city-of-toronto/zoot-wetsuit-size-m-l/1528191343,50.0,Zoot wetsuit size M/L,,Good shape. There no tears or cracking in the neoprene. I haven’t used it in a few years since I stopped triathlon. Comes with mesh storage bag. You’ll have to read up on zoot sizing. On height the ...,City of Toronto,< 4 hours ago,2020-10-06 12:10:17.950847
1528190885,/v-water-sport/city-of-toronto/liquid-image-explorer-series/1528190885,50.0,Liquid image explorer series,,"Condition is 9/10, with manual, USB cable and sd card, waterproof up to 15ft, pick up pharmacy and danforth. Thanks",City of Toronto,< 4 hours ago,2020-10-06 12:10:17.951354
1528181618,/v-water-sport/city-of-toronto/jp-australia-12-x-32-5-217l-stand-up-paddle-board/1528181618,1700.0,JP Australia 12 x 32.5 217L Stand Up Paddle board,,"JP Australia 12 x 32.5 217L wood edition, like new, no damage, no scratches, no paddle marks. Board was $2495 plus taxes looking for $1700, Also fitted bag available for $140 (bag was $225 plus tax)",City of Toronto,< 5 hours ago,2020-10-06 12:10:17.952145
1528167156,/v-water-sport/city-of-toronto/2020-mercury-stroke-outboard-motor-2-5-hp-new/1528167156,1000.0,2020 Mercury  Stroke Outboard Motor 2.5 hp  ( new),,2020 Mercury Stroke Outboard Motor 2.5 hp 4 stroke outboard ( new) Sold with: - Motor Carrier - Mercury Gear Lube -Mercury 4-stroke Temp 10W-30 - Gear Lube Pump Everything new. Ready to use. !! LAST ...,City of Toronto,< 9 hours ago,2020-10-06 12:10:17.952761
1527056064,/v-water-sport/city-of-toronto/intex-explorer-k2-inflatable-kayak-for-2/1527056064,325.0,Intex Explorer K2 inflatable kayak for 2,,"Intex Explorer K2 Kayak, 2-Person Inflatable Kayak Set with Aluminum Oars and High Output Air Pump. *******Will sell to first responder who can confirm pickup in the Queen St E/Carlaw area******* You ...",City of Toronto,< 17 hours ago,2020-10-06 12:10:17.953782
1528014117,/v-water-sport/city-of-toronto/switchblade-water-board/1528014117,90.0,Switchblade water board,,"A liunatic switchblade, in good condition.",City of Toronto,< 18 hours ago,2020-10-06 12:10:17.954451
