,url,price,title,distance,description,location,time_offset,retreived
1527309669,/v-wedding-dresses-suits/city-of-toronto/nwt-jason-wu-halter-open-back-white-wedding-dress-gown/1527309669,650.0,NWT Jason Wu Halter Open back White  wedding dress / gown,,"New with tag, size 2. True to size. I'm between a 0 and 2 and it's slightly too big for me. Would suggest someone who is around 5'-7” Retail value 2750 usd. Price Negotiable. Will send actual photos ...",City of Toronto,< 3 hours ago,2020-10-01 18:56:02.397546
1527287084,/v-wedding-dresses-suits/city-of-toronto/wedding-dress-size-10/1527287084,500.0,Wedding Dress SIZE 10,,"Wedding Dress Size10-Looks like brand new used only two time, Also has been dry clean by the professional cleaners. $500 Mascotte's size is 7.5 excellent conditions in a box. $50 Versus Boot size is ...",City of Toronto,< 5 hours ago,2020-10-01 18:56:02.398035
1233963523,/v-wedding-dresses-suits/city-of-toronto/beautiful-wedding-dress/1233963523,400.0,Beautiful wedding dress,,Beautiful chiffon wedding dress size 2-4for 163 cm tall plus high heels.,City of Toronto,Yesterday,2020-10-01 18:56:02.399155
1527132113,/v-wedding-dresses-suits/city-of-toronto/vera-wang-embrace-perfume-kit/1527132113,15.0,Vera Wang Embrace perfume kit,,"Vera Wang Embrace Green ""Tea & Pear Blossom"" EDT 10ml Rollerball and ""Marigold and Gardenia"" 30ml EDT tester. New, not used",City of Toronto,Yesterday,2020-10-01 18:56:02.399641
1527057746,/v-wedding-dresses-suits/city-of-toronto/modern-chinese-wedding-dress/1527057746,150.0,Modern Chinese wedding dress,,Modern Chinese red dress. Very nice material which has subtle gold threads in the lace and a small train. Bought to be worn as an evening dress for reception but was cancelled due to covid. Only worn ...,City of Toronto,Yesterday,2020-10-01 18:56:02.400128
1527047961,/v-wedding-dresses-suits/city-of-toronto/wedding-dress-size-14-includes-veil-wrap-tiara-and-shoes/1527047961,150.0,"wedding dress size 14 includes veil, wrap, tiara and shoes",,"Beautiful strapless wedding dress in ivory/off white colour. Ruching and delicate beading on the bodice. Corset tie up in back. Size 14 Includes veil, wrap, tiara and shoes size 8 dyeable satin so ...",City of Toronto,Yesterday,2020-10-01 18:56:02.400614
1363269548,/v-wedding-dresses-suits/city-of-toronto/classic-wedding-dress-24-waist-34-bust-petite-size-100/1363269548,100.0,"Classic Wedding Dress-24"" waist--34"" bust-petite size--$100.",,in perfect condition,City of Toronto,Yesterday,2020-10-01 18:56:02.401102
1516356052,/v-wedding-dresses-suits/city-of-toronto/watters-wtoo-juno-wedding-dress-size-6/1516356052,1000.0,Watters Wtoo Juno wedding dress size 6,,Worn once for 3 hours. Size 6. Shortened to fit 5'4 height and bustle added. Originally $2400 including alterations. A couple of small tears in the train but are not noticeable. Easily trimmed off ...,City of Toronto,Yesterday,2020-10-01 18:56:02.401586
1421836111,/v-wedding-dresses-suits/city-of-toronto/size-4-lace-tulle-illusion-wedding-dress-size-8-bridal/1421836111,300.0,Size 4 Lace & Tulle Illusion wedding dress (size 8 bridal),,"This dress made my feel like a princess without breaking the bank! It's a lace & tulle illusion ball gown: -Lace upper & tulle skirt -Illusion neckline, sleeveless -Empire waist, straight hem -Self & ...",City of Toronto,Yesterday,2020-10-01 18:56:02.402081
1527028226,/v-wedding-dresses-suits/city-of-toronto/wedding-gown/1527028226,300.0,Wedding Gown,,"This gorgeous Pronovias wedding gown was worn once, years ago and has been sitting in my closet since. I think it’s time it made another girl feel like a princess on her special day! P.a. I will also ...",City of Toronto,Yesterday,2020-10-01 18:56:02.402612
