,url,price,title,distance,description,location,time_offset,retreived
1528074681,/v-window-treatment/city-of-toronto/blinds-shutters-guaranteed-lowest-price-in-toronto/1528074681,80.0,Blinds & Shutters - Guaranteed Lowest Price in ***TORONTO***,,Call us for mode information 647.812.4965 Why pay more when you don't have to? Purchase all types of window coverings at a much lower cost going through an authorized dealer. Why should you pay for ...,City of Toronto,< 19 minutes ago,2020-10-05 14:58:13.959804
1528071290,/v-window-treatment/city-of-toronto/toronto-1-new-blinds-shutters-for-lowest-price-647-812-0586/1528071290,10.0,TORONTO #1 NEW BLINDS & SHUTTERS FOR LOWEST PRICE 647-812-0586,,"Why pay more for the same product when you don't have to? We carry Pleated Shades, Roller Shades, Silhouettes, Pirouettes, Duettes, Fauxwood Blinds, Roman Shades, Remote Control Blinds, Concept Dual ...",City of Toronto,< 35 minutes ago,2020-10-05 14:58:13.960296
1528066695,/v-window-treatment/city-of-toronto/shades-blinds-factory-direct-sample-sale-up-to-90-off/1528066695,25.0,Shades & Blinds - Factory Direct Sample Sale - Up to 90% off,,"Off Cut Shades is having a sample sale for all of its past samples and off-season fabrics. Either purchase a ready-made window shade with one of our innovative systems and beautiful fabrics, or ...",City of Toronto,< 56 minutes ago,2020-10-05 14:58:13.960783
1496955691,/v-window-treatment/city-of-toronto/retro-fabric/1496955691,75.0,Retro Fabric,,"Fun and funky retro inspired fabric, perfect for curtains or light upholstery. Cotton blend",City of Toronto,< 2 hours ago,2020-10-05 14:58:13.961269
1528053961,/v-window-treatment/city-of-toronto/thai-silk-drapery/1528053961,100.0,Thai Silk Drapery,,Thai silk drapery. French pleat. Lined and interlined with felt. Deep champagne colour. 2 panels - 33 inches wide x 100 inches long for a total of 66 inches wide. Excellent condition. Pick-up in St. ...,City of Toronto,< 2 hours ago,2020-10-05 14:58:13.961956
1528053452,/v-window-treatment/city-of-toronto/thai-silk-drapes/1528053452,100.0,Thai silk drapes.,,Thai silk drapery. French pleat. Lined and interlined with felt. Deep champagne colour. 2 panels - 33 inches wide x 100 inches long for a total of 66 inches wide. Excellent condition. Pick-up in St. ...,City of Toronto,< 2 hours ago,2020-10-05 14:58:13.962445
1528046435,/v-window-treatment/city-of-toronto/restoration-hardware-thai-silk-drapes/1528046435,200.0,Restoration Hardware Thai silk drapes,,"Restoration Hardware Thai silk, cotton lined inverted pleat drapery in sand colour. 4 panels in total. 2 panels are 50 inches wide x 96 inches long for a total of 100 inches wide. 2 panels are 26 ...",City of Toronto,< 3 hours ago,2020-10-05 14:58:13.963135
1528039345,/v-window-treatment/city-of-toronto/4-solid-brass-finials-and-one-8-foot-brass-curtain-road/1528039345,50.0,4 Solid brass finials and one 8 foot brass curtain road......,,Beautiful 4 solid brass finials and 1 8 foot brass curtain rod. In perfect shape,City of Toronto,< 4 hours ago,2020-10-05 14:58:13.963627
1528035750,/v-window-treatment/city-of-toronto/wooden-curtain-rod-and-pottery-barn-finials/1528035750,10.0,Wooden curtain rod and pottery barn finials,,Rod is poplar unfinished wood 1x72 2 blue with white stripes finials from pottery barn kids,City of Toronto,< 4 hours ago,2020-10-05 14:58:13.964119
1528033848,/v-window-treatment/city-of-toronto/window-blinds-shutters-best-free-estimate-416-671-7096/1528033848,10.0,Window Blinds & Shutters BEST $$$ + FREE ESTIMATE 416-671-7096,,"Tired of being gouged by retailers? Send measurements and the type of blind that you are interested in for our lowest prices ever this year! Simply Put, why pay more? Get your blinds straight from ...",City of Toronto,< 4 hours ago,2020-10-05 14:58:13.964611
