,url,price,title,distance,description,location,time_offset,retreived
1527328943,/v-women-bags-wallets/city-of-toronto/furla-handbag-pickup-only/1527328943,200.0,Furla handbag（pickup only）,,"Furla handbag（pickup only）. Posted in clothing, women's - bags, wallets in City of Toronto. October 1, 2020",City of Toronto,< 2 minutes ago,2020-10-01 18:26:35.342936
1505504080,/v-women-bags-wallets/city-of-toronto/coach-wristlet-bag/1505504080,28.0,Coach wristlet bag,,"Brand new never been used, include original coach dust bag • Signature Coach canvas • With card slots • Wrist strap attached • 6.5"" (L) x 4.5"" (H) x1.5"" (D) • Fits an iPhone or Android",City of Toronto,< 23 minutes ago,2020-10-01 18:26:35.343420
1527325785,/v-women-bags-wallets/city-of-toronto/michael-kors-large-ciara-satchel-in-saffiano-leather/1527325785,100.0,Michael Kors Large Ciara Satchel in saffiano leather,,"Brand new condition. Only worn once. Authentic, does not include dust bag. Retails $350",City of Toronto,< 23 minutes ago,2020-10-01 18:26:35.343918
1527322266,/v-women-bags-wallets/city-of-toronto/new-turkish-stylish-handbag/1527322266,40.0,New Turkish stylish handbag,,New beautiful handbag please contact me for more details and pictures,City of Toronto,< 46 minutes ago,2020-10-01 18:26:35.344606
1527320612,/v-women-bags-wallets/city-of-toronto/givenchy-medium-antigona-bag/1527320612,2400.0,Givenchy Medium Antigona Bag,,"GIVENCHY ANTIGONA BAG SIZE MEDIUM - NUDE / MAUVE *PRICE IS NEGOTIABLE.* - CONDITION: 10/10; used twice. NO SCRATCHES, NO DENTS, NO ODOURS. PRISTINE NEW CONDITION. - CALFSKIN LEATHER W/ SILVER ...",City of Toronto,< 56 minutes ago,2020-10-01 18:26:35.345088
1527320451,/v-women-bags-wallets/city-of-toronto/new-silk-brocade-tonal-clutch-bag/1527320451,35.0,NEW - Silk Brocade Tonal Clutch Bag,,New. Includes a draw string bag for storage or gifting. Pick up: marting grove and mercury road.,City of Toronto,< 57 minutes ago,2020-10-01 18:26:35.345568
1527320424,/v-women-bags-wallets/city-of-toronto/lv-chain-purse/1527320424,300.0,LV chain purse,,"LV chain purse . Posted in clothing, women's - bags, wallets in City of Toronto. October 1, 2020",City of Toronto,< 57 minutes ago,2020-10-01 18:26:35.346050
1527319904,/v-women-bags-wallets/city-of-toronto/michael-kors-bags/1527319904,60.0,Michael kors bags!,,1 black tote bag - 40$ 1 tan cross body bag - 30$ Or both for 60$!,City of Toronto,< 60 minutes ago,2020-10-01 18:26:35.346538
1527319851,/v-women-bags-wallets/city-of-toronto/brand-new-white-zara-belt-bag/1527319851,20.0,BRAND NEW WHITE ZARA BELT BAG,,Brand new white Zara belt bag Tags attached Never used,City of Toronto,< 60 minutes ago,2020-10-01 18:26:35.347021
1527319712,/v-women-bags-wallets/city-of-toronto/ysl-nikki-bag/1527319712,400.0,Ysl Nikki bag,,"Ysl Nikki bag . Posted in clothing, women's - bags, wallets in City of Toronto. October 1, 2020",City of Toronto,< 2 hours ago,2020-10-01 18:26:35.347500
