,url,price,title,distance,description,location,time_offset,retreived
1528002151,/v-women-maternity-clothes/city-of-toronto/thyme-maternity-support-belt/1528002151,30.0,Thyme Maternity Support Belt,,Open box but unused. This lightweight maternity belt is uniquely designed to relieve back pain by providing natural support for your growing belly. Its wide elastic band provides a stable support for ...,City of Toronto,< 4 hours ago,2020-10-05 12:03:30.887879
1506687639,/v-women-maternity-clothes/city-of-toronto/happymama-maternity-breastfeeding-dress-gown-size-l-xl/1506687639,20.0,HappyMama Maternity Breastfeeding Dress Gown Size L / XL,,"Maternity / Postpartum dress, gown, home wear, loungewear, pyjama, or cover up for pregnancy, nursing, breastfeeding, sleep - Comfortable, large, soft, black, never used, brand NEW, tag on, size XL - ...",City of Toronto,< 4 hours ago,2020-10-05 12:03:30.888396
1527996652,/v-women-maternity-clothes/city-of-toronto/bravado-pumping-bra/1527996652,10.0,Bravado Pumping Bra,,https://www.amazon.ca/Bravado-Designs-Maternity-Hands-Free-Accessory/dp/B01MZ232Y7/ref=mp_s_a_1_6?dchild=1&keywords=bravado+pumping+bra&qid=1601904407&sprefix=bravado+&sr=8-6,City of Toronto,< 4 hours ago,2020-10-05 12:03:30.888909
1527992953,/v-women-maternity-clothes/city-of-toronto/maternity-jacket-extender/1527992953,50.0,Maternity Jacket Extender,,Make my belly fit jacket extender,City of Toronto,< 4 hours ago,2020-10-05 12:03:30.889421
1527989814,/v-women-maternity-clothes/city-of-toronto/maternity-winter-jacket/1527989814,90.0,Maternity winter jacket,,Wore hand full of time Xsmall Down/poly fill with insert can we worn when not pregnant as regular winter jacket Smoke/pet free home Etransfer preferred Pick up location Queen and Broadview,City of Toronto,< 5 hours ago,2020-10-05 12:03:30.889953
1527962629,/v-women-maternity-clothes/city-of-toronto/maternity-leggings-small/1527962629,15.0,Maternity leggings small,,"Excellent used condition. Size small, maternity leggings with high belly panel. Zella brand from Nordstrom ($65 regular price), have pockets on outer thighs, good quality stretchy sporty material. ...",City of Toronto,< 15 hours ago,2020-10-05 12:03:30.890673
1527902648,/v-women-maternity-clothes/city-of-toronto/boys-or-mens-shirt/1527902648,5.0,Boys or Men's Shirt,,"Small Men's short sleeved shirt ""Ferruche""",City of Toronto,< 20 hours ago,2020-10-05 12:03:30.891186
1527889443,/v-women-maternity-clothes/city-of-toronto/snoogle-maternity-full-body-pillow-40/1527889443,40.0,Snoogle Maternity Full Body Pillow - $40,,Retailed around $100. Good condition. Removeable cover has been washed. $40. Pick up or drop off nearby Don Mills and Steeles.,City of Toronto,< 21 hours ago,2020-10-05 12:03:30.891698
1527880468,/v-women-maternity-clothes/city-of-toronto/maternity-clothes-lot-of-h-m-size-medium/1527880468,20.0,Maternity Clothes -lot of H&M size medium,,"Used condition H&M Maternity clothes. shirts, 2 pairs black maternity leggings, 2 pairs black pantyhose. Also a Bellaband purchased from Thyme Maternity (size 2). Bellaband holds your pants up if the ...",City of Toronto,< 22 hours ago,2020-10-05 12:03:30.892204
1527872522,/v-women-maternity-clothes/city-of-toronto/lot-of-old-navy-maternity-shirts/1527872522,20.0,Lot of Old Navy Maternity shirts,,"GUC Old Navy Maternity shirts, size medium and large. Selling together as a lot. Asking $20",City of Toronto,< 22 hours ago,2020-10-05 12:03:30.892714
1527868283,/v-women-maternity-clothes/city-of-toronto/maternity-clothes-sizes-medium-large-and-one-item-xl/1527868283,50.0,"Maternity clothes (sizes medium, large and one item xl)",,GUC maternity clothes Jeans are from Thyme Maternity - size medium Black leggings are Thyme maternity - size large Black and grey jersey material shirts -Thyme Maternity -large Navy and grey sweater ...,City of Toronto,< 23 hours ago,2020-10-05 12:03:30.893409
1527867150,/v-women-maternity-clothes/city-of-toronto/make-my-belly-fit-jacket-expander/1527867150,50.0,Make My Belly Fit Jacket Expander,,"Make My Belly Fit jacket extender. Use this to continue wearing your own jacket during pregnancy and when baby wearing. Extender zips in to your jacket (not the universal extender), but includes ...",City of Toronto,< 23 hours ago,2020-10-05 12:03:30.893940
1527861376,/v-women-maternity-clothes/city-of-toronto/thyme-maternity-winter-coat-size-large/1527861376,30.0,Thyme maternity winter coat (size large),,"EUC Thyme maternity winter coat. Size Large. Detachable hood, removable belt.",City of Toronto,< 23 hours ago,2020-10-05 12:03:30.894493
