,url,price,title,distance,description,location,time_offset,retreived
1462564841,/v-women-other-clothing/city-of-toronto/brand-new-in-box-milk-kush-fiber-brow-gel-in-shade-dutch/1462564841,15.0,BRAND NEW IN BOX MILK KUSH FIBER BROW GEL IN SHADE DUTCH,,BRAND NEW IN BOX MILK KUSH FIBER BROW GEL IN SHADE DUTCH (medium dark brown - medium dark hair colours with neutral undertones) - tinted vegan brow gel made with thickening heart shaped fibers and ...,City of Toronto,< 2 hours ago,2020-10-01 18:45:21.418759
1479973126,/v-women-other-clothing/city-of-toronto/brand-new-in-box-benefit-roller-lash-mascara/1479973126,20.0,BRAND NEW IN BOX BENEFIT ROLLER LASH MASCARA !,,"BRAND NEW IN BOX BENEFIT ROLLER LASH MASCARA - great mascara that visibly lifts + curls, even short and straight lashes - makes eyes look more wide open - conditions lashes with vitamin B5 and serine ...",City of Toronto,< 2 hours ago,2020-10-01 18:45:21.419253
1527297184,/v-women-other-clothing/city-of-toronto/brand-new-hair-finishing-stick/1527297184,2.0,Brand new hair finishing stick,,"Hair Finishing Stick, 2 PCS x 10ML Neat Hair Stick, Small Broken Hair Finishing,Natural Ingredients, Refreshing Not Greasy, Fast Solution for Neat Hair Styles Pick up only If listing still up the ...",City of Toronto,< 4 hours ago,2020-10-01 18:45:21.419739
1527295659,/v-women-other-clothing/city-of-toronto/new-magnetic-eyelashes-and-eyeliner-kit/1527295659,10.0,New magnetic eyelashes and eyeliner kit,,Magnetic Eyelashes and Eyeliner Kit 5 Pairs with Tweezers Reusable False Eyelashes Natural Look Ultra-thin Eye lashes sets magnetic No Glue Needed (blue),City of Toronto,< 4 hours ago,2020-10-01 18:45:21.420291
1527293627,/v-women-other-clothing/city-of-toronto/smashbox-ablaze-face-palette/1527293627,10.0,Smashbox Ablaze Face Palette,,Never been used!! Smashbox Ablaze Face Palette blush + bronze + highlight (Willing to negotiate price),City of Toronto,< 4 hours ago,2020-10-01 18:45:21.420781
1527284702,/v-women-other-clothing/city-of-toronto/victoria-s-secret-pink-bikini-top-size-small-32c-d/1527284702,20.0,Victoria’s Secret Pink Bikini Top - Size Small 32C-D,,Brand new with tags,City of Toronto,< 5 hours ago,2020-10-01 18:45:21.421273
1527284448,/v-women-other-clothing/city-of-toronto/prada-sunglassess/1527284448,115.0,Prada Sunglassess,,"Beautiful, like new. Prada Sunglassess They are exactly like this image I found. https://www.amazon.com/Prada-Womens-05TS-Gradient-Sunglasses/dp/B01LX3X4NM colour: very dark brown, not black I paid ...",City of Toronto,< 5 hours ago,2020-10-01 18:45:21.421757
1527281772,/v-women-other-clothing/city-of-toronto/scrubs-nursing-uniform/1527281772,5.0,Scrubs Nursing Uniform,,"Color a bit darker. Can meet in Scarborough,Richmond Hill, Aurora, Newmarket",City of Toronto,< 5 hours ago,2020-10-01 18:45:21.422286
1527280566,/v-women-other-clothing/city-of-toronto/scrubs-hospital-uniform-nursing/1527280566,5.0,Scrubs Hospital Uniform Nursing,,"Color maybe bit different. Can meet in Scarborough, Richmond Hill, Aurora, Newmarket",City of Toronto,< 5 hours ago,2020-10-01 18:45:21.422781
1527272076,/v-women-other-clothing/city-of-toronto/gucci-nicklace/1527272076,350.0,Gucci nicklace,,Very good condition,City of Toronto,< 6 hours ago,2020-10-01 18:45:21.423277
