,url,price,title,distance,description,location,time_offset,retreived
1516638656,/v-woodwind/city-of-toronto/vintage-selmer-b-flat-clarinet-mouthpiece-hs-two-star/1516638656,60.0,Vintage Selmer B flat Clarinet Mouthpiece HS two star,,"Made in France, black with two rings.",City of Toronto,< 2 hours ago,2020-10-07 18:27:28.711301
1516640929,/v-woodwind/city-of-toronto/ebolin-b-flat-clarinet-mouthpiece-3-star-old-and-new-stock/1516640929,30.0,Ebolin B flat Clarinet mouthpiece 3 star old and new stock,,Old but in almost new condition,City of Toronto,< 2 hours ago,2020-10-07 18:27:28.711803
1516637793,/v-woodwind/city-of-toronto/ag-blue-clarinet-mouthpiece/1516637793,19.0,AG Blue Clarinet mouthpiece,,See through blue plastic B flat mouthpiece made in the USA.,City of Toronto,< 2 hours ago,2020-10-07 18:27:28.712335
1516639939,/v-woodwind/city-of-toronto/e-z-tone-b-flat-clarinet-mouthpiece/1516639939,15.0,E-Z Tone B flat Clarinet mouthpiece,,Black. Somewhat worn,City of Toronto,< 2 hours ago,2020-10-07 18:27:28.712823
1516636136,/v-woodwind/city-of-toronto/backun-cg-crystal-eb-clarinet-mouthpiece/1516636136,215.0,BACKUN CG Crystal Eb Clarinet Mouthpiece,,"1.19 mm tip opening. 16.5 mm length. Handcrafted by the Pomarico family in Tuscany, Italy. See through, lilac coloured crystal.",City of Toronto,< 2 hours ago,2020-10-07 18:27:28.713358
1528413075,/v-woodwind/city-of-toronto/free-shipping-brand-new-clarinet-flute-saxophone-from-199-00/1528413075,199.0,FREE SHIPPING！BRAND NEW! Clarinet/Flute/Saxophone from $199.00,,CJC MUSIC Buy online at www.cjcmusic.ca FREE SHIPPING ON ORDERS OVER $79.00 ---------------------------------------------------------------------- Clarinet Model: CL530 Price: $199.00 17-key Bb ...,City of Toronto,< 7 hours ago,2020-10-07 18:27:28.714039
1528399268,/v-woodwind/city-of-toronto/g-flute-bansuri-of-pvc/1528399268,70.0,G flute Bansuri of PVC,,G medium bass flute of 26 to 27 inch long. Professionally tuned. Few left.,City of Toronto,< 8 hours ago,2020-10-07 18:27:28.714537
1528372173,/v-woodwind/city-of-toronto/student-clarinet-by-first-act/1528372173,50.0,Student Clarinet by First Act,,"This clarinet is very clean and works well. comes with two barrels, upper tube, lower tube, and bell. only missing the mouthpiece. Also comes with its case. If interested please send me a message at ...",City of Toronto,< 11 hours ago,2020-10-07 18:27:28.715029
1528337580,/v-woodwind/city-of-toronto/flute-for-school-band/1528337580,189.0,Flute for School Band,,Flute Brand: Zeff Key of C; 16 Keys; Closed holes; Silver plated body and keys; High quality double bladder pads; Comes with a brand new hard case; a pair of gloves; cleaning rod; cleaning cloth; By ...,City of Toronto,< 21 hours ago,2020-10-07 18:27:28.715545
1528316486,/v-woodwind/city-of-toronto/jupiter-jcl-631-bb-clarinet/1528316486,200.0,JUPITER JCL-631 Bb CLARINET,,"This is a great looking Jupiter model 631 clarinet. Great for a beginner or intermediate player. This instrument looks great, and plays great. It comes with original case and a mouthpiece. Being sold ...",City of Toronto,< 23 hours ago,2020-10-07 18:27:28.716038
1517481720,/v-woodwind/city-of-toronto/childrens-recorder/1517481720,5.0,Children's Recorder,,"In great condition, used a handful of times. It's been sanitized but obviously sanitize upon upon purchase just incase. Pickup/delivery around the downtown core, or near Dupont Station",City of Toronto,05/10/2020,2020-10-07 18:27:28.716524
1528107925,/v-woodwind/city-of-toronto/c-flute-indian-bansuri-19-to-20-inch-long-professional-branded/1528107925,90.0,"C flute, Indian bansuri 19 to 20 inch long, professional branded",,a2g Sarfuddin C flute. With carry bag,City of Toronto,05/10/2020,2020-10-07 18:27:28.717011
