,url,price,title,distance,description,location,time_offset,retreived
1528336122,/v-xbox-360/city-of-toronto/xbox-360-controllers/1528336122,50.0,Xbox 360 controllers,,4 controllers 6 battery packs 1 charger. $50 Local pick up gerrard and Coxwell area. Will ship anywhere in Canada (buyer pays shipping),City of Toronto,< 2 hours ago,2020-10-06 23:23:41.079212
1480256014,/v-xbox-360/city-of-toronto/call-of-duty-bundle-xbox360/1480256014,40.0,Call of Duty bundle - Xbox360,,-CoD 1-3 -CoD MW3 -CoD Ghosts Special Edition -CoD Advanced Warfare Selling as full bundle only!!!! ****If it’s posted it’s available. If you ask you will get redirect and asked to read properly**** ...,City of Toronto,< 3 hours ago,2020-10-06 23:23:41.079707
1509249223,/v-xbox-360/city-of-toronto/xbox-360-games-all-for-50/1509249223,10.0,Xbox 360 games all for $50,,Each game -$10. All good and working condition. Charger port $5 and text pad $5 Assassins Creed3 w/ special cases Tom clancy’s Endwar GTA 4 Rockband 2 Halo Wars w/ special case Rockband w/ AC/DC ...,City of Toronto,< 4 hours ago,2020-10-06 23:23:41.080197
1528317006,/v-xbox-360/city-of-toronto/xbox-360/1528317006,100.0,Xbox 360,,1 controller 11 Games all cords condition is perfect,City of Toronto,< 4 hours ago,2020-10-06 23:23:41.080687
1528308830,/v-xbox-360/city-of-toronto/xbox-360-games/1528308830,10.0,Xbox 360 Games,,Army of Two (No Manual) Hot Wheels Worlds Best Driver Midnight Club Loas Angeles Nail’d Quantam of Solace Ski-doo Challenge (No Manual) Various xbox 360 games. Games are in good condition a couple ...,City of Toronto,< 5 hours ago,2020-10-06 23:23:41.081187
1528300634,/v-xbox-360/city-of-toronto/xbox-360-games-11-games-5-each/1528300634,5.0,xbox 360 games - 11 games 5$ each,,1. Need for speed Rivals 2. Spiderman 3. Kinectimals - Kinetic 4. UFC Undisputed 2010 5. Terminator Salvation 6. DanceDance Revolution - Kinetic 7. Zumba - Kinetic 8. Star Wars - Kinetic 9. Kinetic ...,City of Toronto,< 6 hours ago,2020-10-06 23:23:41.081679
1528296329,/v-xbox-360/city-of-toronto/xbox-360-4-controllers-6-games-all-cables-perfectly-working/1528296329,80.0,"Xbox 360, 4 controllers, 6 games, all cables perfectly working!",,Everything's shown in the picture and everything is perfectly working!,City of Toronto,< 6 hours ago,2020-10-06 23:23:41.082171
1495295413,/v-xbox-360/city-of-toronto/lot-of-240-x-xbox-one-xbox-360-ps3-ps4-wii-video-games/1495295413,1200.0,"Lot Of 240 x XBOX ONE, XBOX 360, PS3, PS4, Wii, Video Games",,"Lot Of 240 x XBOX ONE, XBOX 360, PS3, PS4, Wii, Video Games",City of Toronto,< 7 hours ago,2020-10-06 23:23:41.082670
1528282385,/v-xbox-360/city-of-toronto/fightstick-hori-scv-soul-calibur-v-modded-with-brook-ufb/1528282385,185.0,Fightstick - HORI SCV (Soul Calibur V) Modded with Brook UFB,,Fightstick - HORI SCV (Soul Calibur V) Modded with Brook UFB This was originally an XBOX 360 HORI Fightstick (Still Have Original PCB) It is modded with Brooks Universal Fight Board ($99 USD) ...,City of Toronto,< 8 hours ago,2020-10-06 23:23:41.083356
1528269724,/v-xbox-360/city-of-toronto/grand-theft-auto-5-gta-5-xbox-360-trade-welcome/1528269724,10.0,Grand Theft Auto 5 (GTA 5) XBOX 360 - Trade Welcome,,"Copy of GTA 5 for Xbox 360, open to trade Used but working Collection Only, College and Dufferin Cash Only",City of Toronto,< 9 hours ago,2020-10-06 23:23:41.083846
1528248280,/v-xbox-360/city-of-toronto/xbox-360/1528248280,100.0,Xbox 360,,"A really nice Xbox 360 with 2 controller, I will add assassins creed 2 for just $10!",City of Toronto,< 11 hours ago,2020-10-06 23:23:41.084529
1528188019,/v-xbox-360/city-of-toronto/xbox-series-s-preorder-100-confirmed/1528188019,480.0,XBOX SERIES S PREORDER 100% CONFIRMED,,XBOX SERIES S From Shoppers Drug Mart MESSAGE QUICK BEFORE IT GOES AWAY,City of Toronto,< 12 hours ago,2020-10-06 23:23:41.085017
1528188382,/v-xbox-360/city-of-toronto/xbox-series-x-preorder-100-confirmed/1528188382,775.0,XBOX SERIES X PREORDER 100% CONFIRMED,,**CHEAPESR ANYWHERE** XBOX SERIES X COMES FROM WALMART MESSAGE BEFORE ITS GONE,City of Toronto,< 12 hours ago,2020-10-06 23:23:41.085505
1528234555,/v-xbox-360/city-of-toronto/xbox-360-16-games-bundle-120/1528234555,120.0,Xbox 360 + 16 games bundle - $120,,"Xbox 360 + 16 games All in great condition, comes in original packaging with manuals included Bundle is $120 Pick up in Etobicoke",City of Toronto,< 12 hours ago,2020-10-06 23:23:41.085993
1243708414,/v-xbox-360/city-of-toronto/xbox-360-games:-deadrising-2/1243708414,20.0,XBOX 360 Games: Deadrising 2,,"XBOX 360 Games with disc, artwork, case and manual in perfect condition: - Deadrising 2 selling for $20 Delivery or shipping always available",City of Toronto,< 12 hours ago,2020-10-06 23:23:41.086482
1528231102,/v-xbox-360/city-of-toronto/xbox-dance-dance-revolution-mat-excellent-condition/1528231102,30.0,Xbox dance dance revolution mat excellent condition,,Excellent condition Pick up Vp Sheppard Or Markham rd Lawrence east,City of Toronto,< 12 hours ago,2020-10-06 23:23:41.086977
1528226061,/v-xbox-360/city-of-toronto/skylanders-superchargers-set-for-xbox-360/1528226061,25.0,Skylanders Superchargers set for Xbox 360,,Box Condition 8.5/10 Disc Condition 9/10 Figures Condition 9/10 Comes with 2 extra vehicles,City of Toronto,< 12 hours ago,2020-10-06 23:23:41.087477
1528216917,/v-xbox-360/city-of-toronto/two-xbox-360-games:-rage-and-mirrors-edge/1528216917,0.0,Two Xbox 360 games: Rage and Mirror's Edge,,Free games. Pick up only,City of Toronto,< 13 hours ago,2020-10-06 23:23:41.087963
1528214758,/v-xbox-360/city-of-toronto/xbox360-package-with-kinect-sensor/1528214758,125.0,XBOX360 Package with Kinect Sensor,,"XBOX360 Package including Kinect Senor, two controllers and 8 games!",City of Toronto,< 13 hours ago,2020-10-06 23:23:41.088453
1528199748,/v-xbox-360/city-of-toronto/xbox-360/1528199748,100.0,Xbox 360,,"Xbox 360 - 2 copies of Halo 3. 4 controllers (3 wireless), headset $100",City of Toronto,< 15 hours ago,2020-10-06 23:23:41.088942
1528199599,/v-xbox-360/city-of-toronto/gta-5-xbox-360-edition/1528199599,25.0,GTA 5 (Xbox 360 edition),,"GTA 5 (Xbox 360 edition). Posted in video games, consoles, XBOX 360 in City of Toronto. October 6, 2020",City of Toronto,< 15 hours ago,2020-10-06 23:23:41.089401
1528182524,/v-xbox-360/city-of-toronto/20-xbox360-games-bundle/1528182524,60.0,20 XBOX360 GAMES BUNDLE..,,"Hello, I am selling 20 Xbox 360 games in a Bundle. They all come with: (cases, manuals, coverings). I jad these games for atleast a month. All games were kept well. Only sold As a bundle, no ...",City of Toronto,< 16 hours ago,2020-10-06 23:23:41.089886
1528181700,/v-xbox-360/city-of-toronto/xbox-360-left-4-dead-1-and-2/1528181700,15.0,XBOX 360 left 4 dead 1 and 2,,"Hello, I am selling Left 4 dead 1 and 2 for the xbox360 system. They comes with: (cases, coverings, cds). I had these games for atleast a week. Games were kept well, both games are compatible for the ...",City of Toronto,< 17 hours ago,2020-10-06 23:23:41.090555
1515911301,/v-xbox-360/city-of-toronto/xbox-360-power-brick-power-supply/1515911301,30.0,Xbox 360 power brick / power supply,,2 working Xbox 360 power bars. $30 each,City of Toronto,< 21 hours ago,2020-10-06 23:23:41.091065
1528112143,/v-xbox-360/city-of-toronto/xbox-360-1-controller-8-games/1528112143,130.0,Xbox 360 1 controller 8 games,,A like new Xbox360 20GB w 1 controllers and 8 games Halo 3 Fable II Fantastic four rise of the silver surfer Gears of war Just dance 3 GTA IV Kinect adventures Command & Conquer Part of a moving ...,City of Toronto,05/10/2020,2020-10-06 23:23:41.091786
1528107677,/v-xbox-360/city-of-toronto/xbox-360-elite-moded-w-2-controllers-and-36-games-original-box/1528107677,200.0,Xbox 360 Elite MODED w/ 2 controllers and 36 games ORIGINAL BOX,,Selling my Xbox 360 Elite console. 120GB removable hard drive. Hdmi capable and lots of games. This is a Moded Xbox 360 which means you can play original or downloaded games. Just download your ...,City of Toronto,05/10/2020,2020-10-06 23:23:41.092280
